区分１,区分２,度数計,割合計,高額の料金を請求されてしまう_度数,高額の料金を請求されてしまう_割合,スマートフォンに依存してしまう_度数,スマートフォンに依存してしまう_割合,有害なサイトを閲覧するかもしれない_度数,有害なサイトを閲覧するかもしれない_割合,出会い系アプリ等で、知らない人と知り合いになれてしまう_度数,出会い系アプリ等で、知らない人と知り合いになれてしまう_割合,SNSを利用し、友達とトラブルになる_度数,SNSを利用し、友達とトラブルになる_割合,自分の写真をアップして、トラブルに巻き込まれる_度数,自分の写真をアップして、トラブルに巻き込まれる_割合,不安なことはない_度数,不安なことはない_割合,その他_度数,その他_割合
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,651,100,171,26.3,367,56.4,223,34.3,221,33.9,222,34.1,125,19.2,111,17.1,3,0.5
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,69,100,19,27.5,38,55.1,23,33.3,14,20.3,23,33.3,15,21.7,11,15.9,1,1.4
携帯電話の購入所別,家電量販店,222,100,59,26.6,129,58.1,77,34.7,78,35.1,82,36.9,51,23,40,18,1,0.5
携帯電話の購入所別,インターネット販売,104,100,16,15.4,55,52.9,34,32.7,27,26,36,34.6,17,16.3,17,16.3,0,0
携帯電話の購入所別,その他,34,100,7,20.6,14,41.2,12,35.3,14,41.2,14,41.2,8,23.5,5,14.7,1,2.9
携帯電話の購入所別,わからない,24,100,7,29.2,8,33.3,3,12.5,4,16.7,5,20.8,3,12.5,10,41.7,0,0
フィルタリングサービスの加入状況別,加入している,454,100,127,28,268,59,196,43.2,180,39.6,203,44.7,107,23.6,51,11.2,2,0.4
フィルタリングサービスの加入状況別,加入している,429,100,98,22.8,243,56.6,118,27.5,106,24.7,124,28.9,78,18.2,83,19.3,3,0.7
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,25,100,7,28,12,48,7,28,12,48,7,28,6,24,1,4,0,0
フィルタリングサービスの加入状況別,わからない,196,100,47,24,88,44.9,51,26,60,30.6,48,24.5,28,14.3,59,30.1,1,0.5
利用制限サービスの加入状況別,加入している,366,100,109,29.8,224,61.2,157,42.9,142,38.8,169,46.2,84,23,35,9.6,1,0.3
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,42,25.1,106,63.5,68,40.7,58,34.7,69,41.3,43,25.7,17,10.2,3,1.8
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,79,22.5,200,57,86,24.5,90,25.6,91,25.9,58,16.5,73,20.8,1,0.3
利用制限サービスの加入状況別,わからない,87,100,23,26.4,41,47.1,26,29.9,30,34.5,22,25.3,16,18.4,21,24.1,0,0
利用状況の管理状態別,利用状況の把握及び監督もできている,334,100,82,24.6,158,47.3,108,32.3,103,30.8,116,34.7,70,21,76,22.8,3,0.9
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,520,100,136,26.2,338,65,196,37.7,172,33.1,194,37.3,104,20,49,9.4,1,0.2
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,176,100,52,29.5,98,55.7,61,34.7,76,43.2,64,36.4,42,23.9,21,11.9,1,0.6
利用状況の管理状態別,子供の利用状況に関心がない,70,100,8,11.4,15,21.4,6,8.6,6,8.6,6,8.6,2,2.9,47,67.1,0,0
利用状況の管理状態別,その他,4,100,1,25,2,50,1,25,1,25,2,50,1,25,1,25,1,25
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,330,100,105,31.8,222,67.3,140,42.4,129,39.1,141,42.7,91,27.6,31,9.4,2,0.6
説明・学習経験別,インターネットで調べた,366,100,107,29.2,223,60.9,141,38.5,128,35,140,38.3,77,21,33,9,4,1.1
説明・学習経験別,学校から配布される資料等を読んだ,401,100,96,23.9,252,62.8,180,44.9,160,39.9,183,45.6,110,27.4,49,12.2,1,0.2
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,262,100,65,24.8,173,66,120,45.8,100,38.2,129,49.2,79,30.2,32,12.2,0,0
説明・学習経験別,知識のある知人から説明を受けた,58,100,23,39.7,35,60.3,22,37.9,28,48.3,19,32.8,16,27.6,4,6.9,1,1.7
説明・学習経験別,販売店等から詳しく説明をうけた,90,100,24,26.7,49,54.4,42,46.7,39,43.3,33,36.7,20,22.2,16,17.8,1,1.1
説明・学習経験別,公共施設などで開催された講座に参加した,28,100,12,42.9,14,50,12,42.9,14,50,11,39.3,10,35.7,6,21.4,0,0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,249,100,56,22.5,108,43.4,53,21.3,72,28.9,63,25.3,39,15.7,86,34.5,1,0.4
説明・学習経験別,その他,5,100,2,40,1,20,1,20,1,20,1,20,0,0,2,40,0,0
