区分１,区分２,度数計,割合計,未就学時_度数,未就学時_割合,小学１年生～２年生_度数,小学１年生～２年生_割合,小学３年生～４年生_度数,小学３年生～４年生_割合,小学５年生～６年生_度数,小学５年生～６年生_割合,中学１年生_度数,中学１年生_割合,中学２年生_度数,中学２年生_割合,中学３年生_度数,中学３年生_割合,高校１年生_度数,高校１年生_割合,高校２年生_度数,高校２年生_割合,高校３年生_度数,高校３年生_割合
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,161,100,3,1.9,84,52.2,49,30.4,19,11.8,4,2.5,0,0,1,0.6,1,0.6,0,0,0,0
フィルタリングサービスの加入状況別,わからない,60,100,0,0,20,33.3,21,35,10,16.7,3,5,1,1.7,3,5,1,1.7,0,0,1,1.7
利用制限サービスの加入状況別,加入している,6,100,1,16.7,3,50,0,0,1,16.7,0,0,0,0,1,16.7,0,0,0,0,0,0
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,4,100,0,0,2,50,1,25,1,25,0,0,0,0,0,0,0,0,0,0,0,0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,4,100,0,0,0,0,1,25,1,25,1,25,1,25,0,0,0,0,0,0,0,0
利用制限サービスの加入状況別,わからない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
利用状況の管理状態別,利用状況の把握及び監督もできている,222,100,5,2.3,100,45,73,32.9,31,14,10,4.5,0,0,0,0,3,1.4,0,0,0,0
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,127,100,4,3.1,41,32.3,36,28.3,27,21.3,10,7.9,3,2.4,2,1.6,4,3.1,0,0,0,0
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,33,100,1,3,9,27.3,5,15.2,7,21.2,5,15.2,2,6.1,2,6.1,1,3,0,0,1,3
利用状況の管理状態別,子供の利用状況に関心がない,28,100,0,0,10,35.7,9,32.1,3,10.7,1,3.6,1,3.6,2,7.1,1,3.6,0,0,1,3.6
利用状況の管理状態別,その他,2,100,1,50,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,150,100,1,0.7,58,38.7,49,32.7,22,14.7,12,8,2,1.3,2,1.3,4,2.7,0,0,0,0
説明・学習経験別,インターネットで調べた,127,100,2,1.6,47,37,42,33.1,20,15.7,7,5.5,2,1.6,3,2.4,4,3.1,0,0,0,0
説明・学習経験別,学校から配布される資料等を読んだ,141,100,3,2.1,68,48.2,36,25.5,27,19.1,5,3.5,0,0,1,0.7,1,0.7,0,0,0,0
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,73,100,1,1.4,36,49.3,14,19.2,14,19.2,7,9.6,0,0,0,0,1,1.4,0,0,0,0
説明・学習経験別,知識のある知人から説明を受けた,18,100,0,0,6,33.3,6,33.3,5,27.8,0,0,0,0,0,0,1,5.6,0,0,0,0
説明・学習経験別,販売店等から詳しく説明をうけた,25,100,0,0,8,32,7,28,6,24,2,8,0,0,0,0,1,4,0,0,1,4
説明・学習経験別,公共施設などで開催された講座に参加した,13,100,0,0,6,46.2,3,23.1,3,23.1,0,0,1,7.7,0,0,0,0,0,0,0,0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,91,100,4,4.4,33,36.3,27,29.7,14,15.4,7,7.7,2,2.2,2,2.2,1,1.1,0,0,1,1.1
説明・学習経験別,その他,4,100,0,0,3,75,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
