区分１,区分２,度数計,割合計,子供を信用しており、ルールを作らなくても、子供が適正な利用をしているから_度数,子供を信用しており、ルールを作らなくても、子供が適正な利用をしているから_割合,ルールを作っても、守れないから_度数,ルールを作っても、守れないから_割合,ルールを作ろうとしても、子供とケンカになってしまうから_度数,ルールを作ろうとしても、子供とケンカになってしまうから_割合,話し合ってルールを作る時間がないから_度数,話し合ってルールを作る時間がないから_割合,ルール作りが推奨されていること自体を知らなかったから_度数,ルール作りが推奨されていること自体を知らなかったから_割合,どんなルールを作ればいいのかよく分からないから_度数,どんなルールを作ればいいのかよく分からないから_割合,親も自由に使いたいから、ルールを決めたくない_度数,親も自由に使いたいから、ルールを決めたくない_割合,機能が少ない携帯電話（キッズ携帯等）だから_度数,機能が少ない携帯電話（キッズ携帯等）だから_割合,その他_度数,その他_割合
児童・生徒×子供の性別,高校生女子,96,100,61,63.5,21,21.9,7,7.3,1,1,0,0,9,9.4,1,1,3,3.1,2,2.1
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,269,100,134,49.8,42,15.6,13,4.8,7,2.6,4,1.5,20,7.4,9,3.3,64,23.8,4,1.5
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,15,100,7,46.7,0,0,0,0,1,6.7,1,6.7,0,0,1,6.7,5,33.3,0,0
携帯電話の購入所別,家電量販店,86,100,44,51.2,16,18.6,8,9.3,1,1.2,0,0,5,5.8,2,2.3,19,22.1,1,1.2
携帯電話の購入所別,インターネット販売,23,100,13,56.5,4,17.4,1,4.3,0,0,0,0,1,4.3,1,4.3,2,8.7,1,4.3
携帯電話の購入所別,その他,13,100,4,30.8,1,7.7,1,7.7,1,7.7,0,0,2,15.4,1,7.7,3,23.1,2,15.4
携帯電話の購入所別,わからない,19,100,9,47.4,2,10.5,0,0,0,0,0,0,3,15.8,2,10.5,3,15.8,1,5.3
フィルタリングサービスの加入状況別,加入している,72,100,46,63.9,12,16.7,8,11.1,0,0,1,1.4,5,6.9,2,2.8,5,6.9,1,1.4
フィルタリングサービスの加入状況別,加入している,166,100,99,59.6,24,14.5,9,5.4,3,1.8,2,1.2,7,4.2,6,3.6,22,13.3,3,1.8
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,56,100,8,14.3,4,7.1,1,1.8,1,1.8,1,1.8,3,5.4,0,0,44,78.6,0,0
フィルタリングサービスの加入状況別,わからない,131,100,58,44.3,25,19.1,5,3.8,6,4.6,1,0.8,16,12.2,8,6.1,25,19.1,5,3.8
利用制限サービスの加入状況別,加入している,44,100,27,61.4,11,25,7,15.9,0,0,0,0,2,4.5,1,2.3,1,2.3,2,4.5
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,13,100,8,61.5,2,15.4,2,15.4,0,0,1,7.7,0,0,0,0,1,7.7,0,0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,114,100,74,64.9,23,20.2,7,6.1,4,3.5,1,0.9,7,6.1,5,4.4,0,0,2,1.8
利用制限サービスの加入状況別,わからない,40,100,28,70,6,15,2,5,1,2.5,0,0,2,5,3,7.5,1,2.5,0,0
利用状況の管理状態別,利用状況の把握及び監督もできている,123,100,64,52,4,3.3,1,0.8,3,2.4,0,0,6,4.9,3,2.4,48,39,2,1.6
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,123,100,75,61,24,19.5,11,8.9,4,3.3,1,0.8,4,3.3,2,1.6,14,11.4,1,0.8
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,102,100,39,38.2,29,28.4,9,8.8,3,2.9,4,3.9,16,15.7,7,6.9,13,12.7,0,0
利用状況の管理状態別,子供の利用状況に関心がない,75,100,33,44,8,10.7,2,2.7,0,0,0,0,5,6.7,4,5.3,20,26.7,5,6.7
利用状況の管理状態別,その他,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,1,50
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,88,100,44,50,14,15.9,6,6.8,3,3.4,2,2.3,7,8,2,2.3,20,22.7,0,0
説明・学習経験別,インターネットで調べた,80,100,44,55,13,16.3,3,3.8,3,3.8,1,1.3,8,10,2,2.5,13,16.3,1,1.3
説明・学習経験別,学校から配布される資料等を読んだ,63,100,29,46,13,20.6,6,9.5,2,3.2,2,3.2,1,1.6,0,0,15,23.8,0,0
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,48,100,30,62.5,8,16.7,3,6.3,1,2.1,0,0,1,2.1,0,0,9,18.8,0,0
説明・学習経験別,知識のある知人から説明を受けた,12,100,4,33.3,1,8.3,0,0,1,8.3,0,0,3,25,0,0,4,33.3,0,0
説明・学習経験別,販売店等から詳しく説明をうけた,24,100,14,58.3,4,16.7,0,0,1,4.2,0,0,3,12.5,0,0,4,16.7,0,0
説明・学習経験別,公共施設などで開催された講座に参加した,11,100,5,45.5,0,0,0,0,0,0,1,9.1,1,9.1,0,0,3,27.3,1,9.1
説明・学習経験別,特に説明をうけたり学習したりしたことはない,184,100,91,49.5,28,15.2,10,5.4,5,2.7,1,0.5,15,8.2,12,6.5,37,20.1,6,3.3
説明・学習経験別,その他,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,1,50
