年月,西暦（年）,月,消費者物価指数(平成22年=100）/全国,消費者物価指数(平成22年=100）/東京都区部,戦前基準指数(昭和9～11年=1)/企業物価指数,注1)消費水準指数全国(平成22年=100）/二人以上の世帯,注1)消費水準指数全国(平成22年=100）/二人以上の世帯のうち勤労者世帯,東京都生計分析調査（勤労者世帯）/実収入（円）,東京都生計分析調査（勤労者世帯）/消費支出（円）,東京都生計分析調査（勤労者世帯）/注3)/平均消費性向（％）,東京都生計分析調査（勤労者世帯）/注4)/公共的料金負担率（％）,注2)実質賃金指数東京都/調査産業計
平成25年8月,2013,8,100.3,99.3,710.7,96,95.8,520428,364945,86.2,25.6,-
平成25年9月,2013,9,100.6,99.5,716.3,97.5,99.6,490718,374207,96,33.1,-
平成25年10月,2013,10,100.7,99.6,713.6,97.6,96.7,516001,336365,80.5,33,-
平成25年11月,2013,11,100.8,99.7,717.5,96.9,95,493430,350728,88.9,26.4,-
平成25年12月,2013,12,100.9,99.7,726.6,112.2,109.3,976594,384054,48.1,26.6,-
平成26年1月,2014,1,100.7,99.3,728.9,100,99.6,510311,338772,82.7,30.2,79.4
平成26年2月,2014,2,100.7,99.3,723.8,99.3,99.5,539310,313979,72.6,30.8,78.8
平成26年3月,2014,3,101,99.8,723.3,115.9,117,510464,402851,99.1,27.8,85.3
平成26年4月,2014,4,103.1,101.7,735.3,102.1,101.1,553050,367585,81.7,33.8,81.1
平成26年5月,2014,5,103.5,102.1,734.5,88.3,86.5,498218,358028,93,29.8,79.2
平成26年6月,2014,6,103.4,101.9,735.2,91.8,90.4,856786,328938,50.7,26.6,158.2
平成26年7月,2014,7,103.4,101.8,736.3,91.3,92.2,612077,346076,72.5,26.2,105.3
平成26年8月,2014,8,103.7,102.1,737.8,91.7,90.2,506907,338381,82.6,25.3,77
平成26年9月,2014,9,103.9,102.3,743.5,92.1,92.3,466190,372079,100,28.5,80.3
平成26年10月,2014,10,103.6,102.2,737.1,93.9,93.4,519617,338522,81.8,31,77
平成26年11月,2014,11,103.2,101.8,746.5,94.6,93.9,475452,326069,84.9,28.2,79.6
平成26年12月,2014,12,103.3,101.9,742.6,108.4,106.1,979250,407852,50.8,26.5,182
平成27年1月,2015,1,103.1,101.6,723.4,94.9,95.4,502885,380771,94.5,29.9,77.3
平成27年2月,2015,2,102.9,101.6,714.1,96.5,96.1,509393,342866,82.2,31,76.3
平成27年3月,2015,3,103.3,102.1,718.8,103.8,104.4,500360,370134,92.3,30.8,85.8
平成27年4月,2015,4,103.7,102.4,715.7,101.1,101.9,521125,423571,100.3,38.8,80.6
平成27年5月,2015,5,104,102.6,719.6,92.8,93.2,-,-,-,-,-
,,,,,,,,,,,,
東京の物価／平成27年6月,,,,,,,,,,,,
参考表１　主要指標,,,,,,,,,,,,
注1)月々の１世帯当たりの世帯人員別消費支出額を基準年の世帯分布で加重平均し、30.4日（365日÷12）の額に調整した後、   これを平成22年平均を基準として指数化し、更に消費者物価指数で除して実質化した指数,,,,,,,,,,,,
2)実質賃金指数(現金給与総額）（事業所規模30人以上）=名目賃金指数（現金給与総額）÷東京都区部消費者物価指数（持ち家の帰属家賃を除く総合）×100   　(平成22年＝100),,,,,,,,,,,,
3)平均消費性向＝（消費支出÷可処分所得）×100（可処分所得＝実収入－租税公課等）,,,,,,,,,,,,
4)公共的料金負担率＝（公共的料金÷消費支出）×100,,,,,,,,,,,,
資料　 総務省統計局(1)／日本銀行(2)／東京都統計部(3),,,,,,,,,,,,
