年月,西暦（年）,月,消費者物価指数(平成22年=100）/全国,消費者物価指数(平成22年=100）/東京都区部,戦前基準指数(昭和9～11年=1)/企業物価指数,注1)消費水準指数全国(平成22年=100）/二人以上の世帯,注1)消費水準指数全国(平成22年=100）/二人以上の世帯のうち勤労者世帯,東京都生計分析調査（勤労者世帯）/実収入（円）,東京都生計分析調査（勤労者世帯）/消費支出（円）,東京都生計分析調査（勤労者世帯）/注3)/平均消費性向（％）,東京都生計分析調査（勤労者世帯）/注4)/公共的料金負担率（％）,注2)実質賃金指数東京都/調査産業計
平成26年2月,2014,2,100.7,99.3,723.9,99.3,99.5,539310,313979,72.6,30.8,78.8
平成26年3月,2014,3,101,99.8,723.3,115.9,117,510464,402851,99.1,27.8,85.3
平成26年4月,2014,4,103.1,101.7,735.4,102.1,101.1,553050,367585,81.7,33.8,81.1
平成26年5月,2014,5,103.5,102.1,734.6,88.3,86.5,498218,358028,93,29.8,79.2
平成26年6月,2014,6,103.4,101.9,735.2,91.8,90.4,856786,328938,50.7,26.6,158.2
平成26年7月,2014,7,103.4,101.8,736.4,91.3,92.2,612077,346076,72.5,26.2,105.3
平成26年8月,2014,8,103.7,102.1,737.8,91.7,90.2,506907,338381,82.6,25.3,77
平成26年9月,2014,9,103.9,102.3,743.6,92.1,92.3,466190,372079,100,28.5,80.3
平成26年10月,2014,10,103.6,102.2,737.2,93.9,93.4,519617,338522,81.8,31,77
平成26年11月,2014,11,103.2,101.8,746.5,94.6,93.9,475452,326069,84.9,28.2,79.6
平成26年12月,2014,12,103.3,101.9,742.6,108.4,106.1,979250,407852,50.8,26.5,182
平成27年1月,2015,1,103.1,101.6,723.6,94.9,95.4,502885,380771,94.5,29.9,77.3
平成27年2月,2015,2,102.9,101.6,714.3,96.5,96.1,509393,342866,82.2,31,76.3
平成27年3月,2015,3,103.3,102.1,718.9,103.8,104.4,500360,370134,92.3,30.8,85.8
平成27年4月,2015,4,103.7,102.4,715.8,101.1,101.9,521125,423571,100.3,38.8,80.6
平成27年5月,2015,5,104,102.6,718.4,92.8,93.2,482508,375467,99.7,28.6,82.4
平成27年6月,2015,6,103.8,102.2,724.2,90.1,89.2,862848,324527,49.6,26.6,148.8
平成27年7月,2015,7,103.7,102,718.7,91.2,92.8,590877,330863,70.5,25.5,108.3
平成27年8月,2015,8,103.9,102.2,712.2,94.6,93.3,497942,335029,82.6,25.6,77.5
平成27年9月,2015,9,103.9,102.2,699.8,91.9,90.7,450322,324185,89.4,32.4,78.1
平成27年10月,2015,10,103.9,102.3,694.5,91.5,91.1,518855,336083,78.8,28.4,79.6
平成27年11月,2015,11,103.5,101.9,696.1,92,89.9,-,-,-,-,-
,,,,,,,,,,,,
東京の物価／平成27年12月,,,,,,,,,,,,
参考表１　主要指標,,,,,,,,,,,,
注1)月々の１世帯当たりの世帯人員別消費支出額を基準年の世帯分布で加重平均し、30.4日（365日÷12）の額に調整した後、   これを平成22年平均を基準として指数化し、更に消費者物価指数で除して実質化した指数,,,,,,,,,,,,
2)実質賃金指数(現金給与総額）（事業所規模30人以上）=名目賃金指数（現金給与総額）÷東京都区部消費者物価指数（持ち家の帰属家賃を除く総合）×100   　(平成22年＝100),,,,,,,,,,,,
3)平均消費性向＝（消費支出÷可処分所得）×100（可処分所得＝実収入－租税公課等）,,,,,,,,,,,,
4)公共的料金負担率＝（公共的料金÷消費支出）×100,,,,,,,,,,,,
資料　 総務省統計局(1)／日本銀行(2)／東京都統計部(3),,,,,,,,,,,,
