総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,総平均,総平均/対前年(月)比（％）,総平均/対前年同月比（％）,工業製品,工業製品/食料品・飲料・たばこ・飼料注2),工業製品/繊維製品,工業製品/製材・木製品,工業製品/パルプ・紙・同製品,工業製品/化学製品,工業製品/石油・石炭製品,工業製品/プラスチック製品,工業製品/窯業・土石製品,工業製品/鉄鋼,工業製品/非鉄金属,工業製品/金属製品,工業製品/はん用機器注2),工業製品/生産用機器注2),工業製品/業務用機器注2),工業製品/電子部品・デバイス,工業製品/電気機器,工業製品/情報通信機器,工業製品/輸送用機器,工業製品/その他工業製品注2),農林水産物,鉱産物,電力都市ガス水道,スクラップ類,（参考）輸出物価指数,（参考）輸入物価指数
平成25年度平均,2013,,102.4,1.9,　　　-,100.7,103.7,105.7,113.3,99.9,104.9,128.2,98.3,98.3,98.9,105.8,103.3,100.5,101.8,98.9,89.5,92.8,74.4,96.3,98.8,107.1,107,127.3,104,108.1,125
平成26年度平均,2014,,105.3,2.8,　　　-,103.2,107.1,110.1,119,102.8,105.4,126,102.4,101.6,102.4,112,108.3,105.3,105.2,102.4,88.7,94.9,75.3,98.9,102.1,106.8,116.2,138.8,99.2,111.2,125.3
平成26年9月,2014,9,106.4,-0.1,3.6,104.3,107.4,110.2,118.8,102.7,107.8,136.6,102.5,101.5,103,111.7,108.6,104.7,105.3,102.6,88.8,95.2,75,99,102.2,107.6,116,142.2,106.7,111,129.4
平成26年10月,2014,10,105.5,-0.8,2.9,103.6,107.1,110.8,118.6,102.8,106.7,130.7,102.5,101.6,102.1,112.1,108.7,105.4,104.8,102.7,88.5,94.8,74.8,98.9,102.1,105.4,116.3,136.5,101.6,110.8,127.9
平成26年11月,2014,11,105.2,-0.3,2.6,103.4,107,110.8,118,102.7,106.3,126.8,102.6,101.7,102,114.6,108.3,105.4,105.8,103.1,88.4,94.5,75,98.8,102.2,105.6,116.3,136.4,98.6,115.7,131.6
平成26年12月,2014,12,104.7,-0.5,1.8,102.7,106.9,110.8,118.5,102.8,104.9,118.1,102.4,101.9,102,116.5,108.3,105.7,106.3,102.3,88.5,94.5,74.5,98.7,102.3,106.8,116.9,136.9,95.4,116.4,129.4
平成27年1月,2015,1,103.3,-1.3,0.3,101.3,107.1,109.8,118.6,102.9,100.9,102.9,102.5,102,101.3,114.9,108.1,106,105.9,103,88.5,94.2,75.1,98.9,102.4,103.4,117.2,137.7,91,113.2,121.5
平成27年2月,2015,2,103.3,0,0.5,101.1,107.2,110,118.6,102.8,100.5,101.6,102.6,102,101,113.1,108.4,106,105.2,103.2,88.2,94.1,75.2,99,102.2,105.6,117.4,138.6,88.9,112.1,114.8
平成27年3月,2015,3,103.5,0.2,0.7,101.4,107.6,110.6,117.6,103.1,100.5,104.9,102.6,102.1,101,114,108.4,105.4,105.7,103.6,88.1,93.9,75.1,99,101.9,105.1,117.6,139.2,87.1,112.9,117
平成27年4月,2015,4,103.6,0.1,-2.1,101.5,108,110.7,117.1,103.3,100.5,104.6,101.6,102.5,99.8,114.9,109.3,105.5,106.2,103.2,87.7,94.6,75.6,99.2,102,106.2,116.6,139.1,87.3,112.2,114.5
平成27年5月,2015,5,103.8,0.2,-2.2,101.7,107.8,110.9,116.3,103.7,100.5,108.3,101.3,102.2,99.7,116.8,109.2,105.8,105.9,101.7,87.5,94.4,75.3,99.3,102.2,105.7,115.8,139.5,88.8,113.5,114.7
平成27年6月,2015,6,103.6,-0.2,-2.4,101.8,108,110.9,115.9,103.7,100.3,110.6,101.3,102.4,99.4,115.4,109,105.6,106.3,103,87.5,94.3,74.9,99.5,102,106.3,114.7,133.6,89.5,115.2,118.7
平成27年7月,2015,7,103.3,-0.3,-3.1,101.5,108,110.2,116.6,103.7,100.2,107.5,101.1,102.4,99.1,111.8,109.5,105.7,106.2,102.5,87.5,94.2,74.9,99.5,102.1,107.1,113.8,133.3,85.1,113.6,116.7
平成27年8月,2015,8,102.7,-0.6,-3.6,101.1,108.2,110.5,117.1,103.7,99.5,101.5,100.9,102.5,98.9,108.6,109.3,105.9,106.2,102.8,87.3,94.3,75.5,99.6,102.4,107.9,113.6,130,81.7,112.7,114.4
平成27年9月注1),2015,9,102.2,-0.5,-3.9,100.8,108.2,111,117.4,103.6,98.7,99.9,100.9,102.4,98.3,107.5,109.4,106,105.9,102.9,87.5,94.2,75,99.5,102.3,107.3,113.6,127.4,71.7,109.7,109.4
前月比(%),,,-0.5,　　　-,　　　-,-0.3,0,0.5,0.3,-0.1,-0.8,-1.6,0,-0.1,-0.6,-1,0.1,0.1,-0.3,0.1,0.2,-0.1,-0.7,-0.1,-0.1,-0.6,0,-2,-12.2,-2.7,-4.4
前年同月比(%),,,-3.9,　　　-,　　　-,-3.4,0.7,0.7,-1.2,0.9,-8.4,-26.9,-1.6,0.9,-4.6,-3.8,0.7,1.2,0.6,0.3,-1.5,-1.1,0,0.5,0.1,-0.3,-2.1,-10.4,-32.8,-1.2,-15.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成27年10月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
参考表２　国内企業物価指数〔総平均・大類別・類別指数〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1)  最新月の数値は速報値のため、後日訂正される場合がある。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 2)　平成22年（2010年）基準から、従来の「加工食品」を「食料品・飲料・たばこ・飼料」に変更したほか、従来の類別「一般機器」「精密機器」を類別「はん用機器」「生産用機器」「業務用機器」「その他工業製品」に組み替えている。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
