品目,Item,区分,Classification,項番 Item number,区分,Classification,銘柄,Specification,単位,Unit,マーク Mark,28年平均 2016 Av.,1月 Jan.,2月 Feb.,3月 Mar.,4月 Apr.,5月 May,6月 June,7月 July,8月 Aug.,9月 Sept.,10月 Oct.,11月 Nov.,12月 Dec.
食料,Food,果物,Fruits,3,いちご,Strawberries,国産品,Domestic,1kg,1kg,,1789,1778,1955,1795,1514,1563,...,...,...,...,...,...,2130
食料,Food,油脂・調味料,Oils， fats & seasonings,1,食用油,Edible oil,キャノーラ（なたね）油，ポリ容器入り（1000g入り）,Canola oil， in polyethylene container (1000g),1本,1 bottle,,303,306,306,301,308,304,306,303,310,302,300,299,289
食料,Food,油脂・調味料,Oils， fats & seasonings,2,みそ,Soybean paste,米みそ，カップ入り （750g入り），並,Fermented with rice malt， in cups (750g)， ordinary quality,1個,1 cup,,313,313,312,311,314,311,309,315,312,315,316,318,315
食料,Food,菓子類,Cakes & candies,1,ケーキ,Cakes ,いちごショートケーキ，1個(70～120g),Sponge cakes with cream and strawberry， 1 piece (70 -120g),1個,1 piece,,425,422,424,423,423,423,423,423,430,430,426,426,426
食料,Food,菓子類,Cakes & candies,2,チョコレート,Chocolate,板チョコレート，50g，「明治ミルクチョコレート」，「ロッテガーナミルクチョコレート」又は「森永ミルクチョコレート」,"Chocolate bar， 50g， ""Meiji milk chocolate""， ""LOTTE Ghana milk chocolate"" or ""Morinaga milk chocolate""",1枚,1sheet,,107,105,102,108,108,108,108,108,107,109,109,107,105
食料,Food,飲料,Beverages,1,緑茶,Green tea,煎茶（抹茶入りを含む），袋入り（100～300g入り）,"""Sencha"" (including ""Maccha"" contained)， in bag (100 - 300g)",100g,100g,,570,574,575,572,578,567,574,574,575,574,558,561,557
食料,Food,酒類,Alcoholic beverages,1,ビール,Beer,淡色， 缶入り (350mL入り)， 6缶入り,Lager， canned (350mL)， 6 cans,1パック,1 pack,,1128,1129,1129,1127,1124,1128,1127,1124,1124,1131,1137,1137,1118
食料,Food,外食,Meals outside the home,1,中華そば（外食）,Chinese noodles (eating out),ラーメン，しょう油味（豚骨しょう油味を含む）,"""Ramen""， soy sauce-based (including pork and soy sauce-based)",1杯,1 bowl,※ 1月 Jan.,573,572,572,572,572,572,572,572,572,578,578,571,571
食料,Food,外食,Meals outside the home,2,すし（外食）,"""Sushi"" (eating out) ",にぎりずし，並,"""Nigiri-zushi""， hand-rolled ""Sushi""， ordinary quality",1人前,1 serving,※ 7月 July,1290,1289,1289,1289,1265,1265,1290,"1,290",1290,1290,1290,1290,1290
食料,Food,外食,Meals outside the home,3,カレーライス（外食）,Curry and rice (eating out),,,1皿,1 dish,※ 1月 Jan.,767,712,755,755,755,755,783,783,773,784,784,784,785
食料,Food,外食,Meals outside the home,4,ピザパイ（配達）,Delivered pizza,宅配ピザ， ミックスピザ(野菜類3種類，肉・魚介類2種類程度)， [サイズ] M (約25cm)　,Delivered pizza， mixed pizza　(3 kinds of vegetable toppings and 2 kinds of meat or seafood toppings)， [size] M (about 25cm),1枚,1 sheet,,2215,2215,2215,2215,2215,2215,2215,2215,2215,2215,2215,2215,2215
住居,Housing,家賃,Rent,1,民営家賃,House rent， private,民営借家の家賃 (3.3m2当たりの料金を算出したものである),House rent managed by private sector  (Charges calculated by converting the surveyed price and area to the charge for 3.3m2),1か月,1 month,※ 1月 Jan.,8620,"8,653",8627,8632,8632,8622,8616,8617,8622,8625,8592,8604,8596
住居,Housing,設備修繕・維持,Repairs & maintenance,1,大工手間代,Carpentering,家屋修理手間代，常用1人分,For house repair，charge per regular carpenter,1日,1 day,,19467,19467,19467,19467,19467,19467,19467,19467,19467,19467,19467,19467,19467
光熱・水道,Fuel， light & water charges,,,1,電気代,Electricity,従量電灯，アンペア制（契約電流50アンペア），441kWh (1か月441kWh使用したときの料金を算出したものである),Meter rate system， ampere system (50 ampere)， 441kWh (Charges calculated by converting the original price to the charge for 441kWh per month),1か月,1 month,,11853,12498,12397,12247,12035,12111,11886,11718,11537,11427,11414,11453,11515
光熱・水道,Fuel， light & water charges,,,2,都市ガス代,Gas， manufactured and piped,一般家庭用， 1465.12MJ (1か月1465.12MJ使用したときの料金を算出したものである),For domestic use， 1465.12MJ(Charges calculated by converting the surveyed price and calorie to the charge for 1465.12MJ per month),1か月,1 month,※ 1月 Jan.,4797,"5,185",5163,5107,5020,4939,4824,4723,4600,4502,4480,4496,4530
光熱・水道,Fuel， light & water charges,,,3,プロパンガス,Liquefied propane,基本料金及び10? (従量料金）を使用した料金 (1か月10?使用したときの料金を算出したものである)  ,Basic charges and meter rate charges (10m3) (Charges calculated by adding 10? charges to basic charge),1か月,1 month,,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928
光熱・水道,Fuel， light & water charges,,,4,灯油,Kerosene ,白灯油， 詰め替え売り， 店頭売り,White kerosene， refill， sold in stores,18L,18L,,1342,1329,1315,1318,1319,1325,1328,1325,1325,1326,1327,1364,1502
光熱・水道,Fuel， light & water charges,,,5,水道料,Water charges,計量制， 専用給水装置（専用栓）， 一般用， 20m3 (1か月20m3使用したときの料金を算出したものである),Meter charges，private hydrant，for domestic use， 20m3 (Charges calculated by converting the surveyed price to the charge for 20m3 per month),1か月,1 month,,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430
家具・家事用品,Furniture & household utensils,家事用消耗品,Domestic non-durable goods,1,ラップ,Food wrap,ポリ塩化ビニリデン製，幅22cm×長さ50m，「サランラップ」又は「NEWクレラップ」,"Made of polyvinylidene chloride， 22cm width， 50m length， ""Saran Wrap"" or ""New Kurewrap""",1本,1 roll,※ 7月 July,294,160,159,160,159,159,159,293,290,297,297,294,294
家具・家事用品,Furniture & household utensils,家事用消耗品,Domestic non-durable goods,2,トイレットペーパー,Rolled toilet paper,再生紙100%，白，〔長さ〕 55m， 60m， ２枚重ね27.5m又は２枚重ね30m，12ロール入り,100% re-cycled paper， white， [length] 55m， 60m， doubled sheets 27.5m or doubled sheets 30m， 12 rolls,1パック,1pack,,283,286,285,285,281,281,283,287,285,285,281,281,281
家具・家事用品,Furniture & household utensils,家事用消耗品,Domestic non-durable goods,3,洗濯用洗剤,Detergent， laundry,合成洗剤，綿・麻・合成繊維用，液体，詰め替え用，袋入り（770～850g入り），「アタック 高浸透バイオジェル」，「トップ クリアリキッド」又は「アリエール サイエンスプラス イオンパワージェル」,"Synthetic detergent， for cotton， hemp and synthetic fiber， liquid， refill，in bag (770 - 850g)， ""Attack High activity gel""， ""Top Clear liquid"" or ""ARIEL science plus ion power gel """,1kg,1kg,,301,309,309,306,310,302,294,297,303,295,299,296,289
被服及び履物,Clothes & footwear,洋服,Clothing,1,背広服,Men's suits ,夏物，ｼﾝｸﾞﾙ上下，並型，半裏又は背抜き,For summer， single breasted 2 pieces， ordinary style， half back lining or unlined back,1着,1 suit,,26230,…,…,28318,26926,26605,26455,24779,24298,…,…,…,…
被服及び履物,Clothes & footwear,洋服,Clothing,2,背広服,Men's suits ,秋冬物，ｼﾝｸﾞﾙ上下，並型，総裏 ,For autumn and winter， single breasted 2 pieces， ordinary style， full lining,1着,1 suit,※ 7月 July,36911,30679,30510,…,…,…,…,…,…,37870,36800,37201,35774
被服及び履物,Clothes & footwear,洋服,Clothing,3,ワイシャツ,Men's business shirts,長袖，ｼﾝｸﾞﾙｶﾌｽ， 〔素材〕ﾎﾟﾘｴｽﾃﾙ・綿混用，白（白織柄を含む）  　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,Long sleeves， single cuffs， [material] mixed polyester and cotton， white (including white weave pattern),1枚,1 sheet,,2628,2579,2579,2529,2744,2656,2656,2552,2459,2645,2645,2744,2744
被服及び履物,Clothes & footwear,洋服,Clothing,4,婦人用セーター,Women's sweaters ,カーディガン，「長袖」又は「7分袖」，〔素材〕毛・化学繊維混用，〔サイズ〕M，普通品,"Cardigan， ""long sleeves"" or ""three-quarter sleeves""， [material] ""mixed wool and synthetic fiber""， [size] M， ordinary quality",1枚,1 sheet,※ 1月 Jan.,3302,"2,877",2615,3053,…,…,…,…,…,4032,3635,3630,3272
被服及び履物,Clothes & footwear,履物類,Footwear,1,男子靴,Men's shoes ,短靴，黒，〔甲〕牛革，〔底〕「合成ゴム」又は「ウレタン」，〔底の製法〕張り付け，〔サイズ〕25～26cm，中級品,"Low shoes， black， [instep] oxhide， [sole] ""synthetic rubber"" or ""urethane""， sticked soles， [size] 25 - 26cm， medium quality",1足,1 pair,,11024,10458,10693,10919,11087,11087,11239,11239,10887,11230,11149,11149,11149
被服及び履物,Clothes & footwear,履物類,Footwear,2,婦人靴,Women's shoes,パンプス，〔甲〕牛革，〔底〕合成ゴム，〔底の製法〕張り付け，〔サイズ〕23～24cm，中級品,Pumps， [instep] oxhide， [sole] synthetic rubber， sticked soles， [size] 23 - 24cm， medium quality,1足,1 pair,,9214,8843,9161,9143,9658,9091,9106,8793,8943,8943,9359,9807,9726
被服及び履物,Clothes & footwear,被服関連 サービス,Services related to clothing,1,洗濯代,Laundry charges ,ワイシャツ，水洗い， 機械仕上げ， 折りたたみ仕上げ， 持ち込み， 配達なし， 料金前払い,Business shirt， water washing， machine finishing， fold finishing， bringing in， not delivery， payment in advance,1枚,1 sheet,,232,231,231,231,231,231,231,231,243,231,231,231,232
保健医療,Medical care,医薬品,Medicines,1,ビタミン剤,Vitamin preparations,第3類医薬品，ビタミン含有保健剤，錠剤，プラスチックボトル入り（90錠入り），「キューピーコーワゴールドα-プラス」,"Third-class OTC drugs， multiple vitamins， tablets， plastic-bottled (90 tablets)， ""Q&P Kowa Gold Alpha-plus""",1箱,1 package,,2331,2327,2318,2308,2327,2320,2339,2337,2342,2342,2342,2342,2332
保健医療,Medical care,医薬品,Medicines,2,漢方薬,Chinese medicines,第2類医薬品，防風通聖散， 錠剤， 瓶入り (336錠入り)， 「ナイシトールG」,"Second-class OTC drugs， ""Bofutsu-Shosan""　(Chinese herbal medicine) extracts，tablets， bottled (336 tablets)， "" NicitolG""",1箱,1 package,※ 4月 Apr.,4523,4570,4571,4571,4507,4507,4531,4507,4487,4487,4511,4511,4511
保健医療,Medical care,保健医療用品・器具,Medical supplies & appliances,1,眼鏡,Spectacles,〔レンズ〕プラスチックレンズ，非球面レンズ，近視用，屈折率1.60，UVカット，無色，「HOYAニュールックス」，「セイコースーパールーシャスUV」又は「ニコンライト3-AS」，〔フレーム〕男性用，樹脂フレーム，中級品，加工料を含む,"[lens] plastic lenses， non-spherical lenses， for myopia， refractive index 1.60， UV protection， untinted， ""HOYA NULUX""， ""SEIKO Super Luscious UV"" or ""Nikon Lite 3-AS""， [frame] for men， plastic frames， medium quality， including conversion costs",1式,1 set,,24073,23760,24102,24102,24102,24102,24102,24102,24102,24102,24102,24102,24102
保健医療,Medical care,保健医療サービス,Medical services,1,診療代（国民健康保険),Medical treatment (National health insurance) ,国民健康保険，被保険者の一部負担金の割合 (６歳未満及び70歳以上を除く)  ,National Health Insurance，rate of charges shared by the insured (excluding under 6 years old and 70 years old or more),1回／パーセント,once／In％,※ 1月 Jan.,30,30,30,30,30,30,30,30,30,30,30,30,30
交通・通信,Transportation & communication,交通,Public transportation,1,タクシー代,Taxi fares ,4km，昼　〔車種〕普通車,4km， diurnal　〔type of cars〕 standard cars,1回,once,,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
交通・通信,Transportation & communication,自動車等関係費,Private transportation,1,ガソリン,Gasoline,レギュラーガソリン，セルフサービス式を除く,Regular， excluding self-service,1L,1L,※ 1月 Jan.,118,114,111,109,115,117,122,120,118,120,120,124,126
交通・通信,Transportation & communication,自動車等関係費,Private transportation,2,車庫借料,Garage rental charges,月極駐車料金， 屋根なし駐車場， アスファルト舗装， 小型自動車,Monthly contract， no roof garage， asphalted， small motor vehicle,1か月,1 month,,26282,26232,26232,26232,26232,26232,26232,26232,26232,26432,26432,26329,26329
交通・通信,Transportation & communication,通信,Communication,1,通信料,Telephone charges ,固定電話， 加入電話， 住宅用， 回線使用料， ﾕﾆﾊﾞｰｻﾙｻｰﾋﾞｽ料を含む,Fixed telephone， subscribed phone， for domestic use， access charges， including the universal service charges,1か月,1 month,※ 1月 Jan.,1839,"1,838",1838,1838,1838,1838,1838,1839,1839,1839,1839,1839,1839
交通・通信,Transportation & communication,通信,Communication,2,携帯電話機,Mobile phones ,ＮＴＴドコモ，スマートフォン，〔OS(基本ソフト)〕iOS 10，〔CPU〕A10　Fusionチップ，〔記憶容量〕128GB，〔ディスプレイ〕Retina　HD(サイズ：4.7インチ)，機種変更，オプション未加入，一括払い，「ドコモ iPhone 7」   ,"""NTT DOCOMO""， smartphone， [OS] iOS 10， [CPU] A10 Fusion chip， [Capacity] 128GB， [Display] Retina HD (size:4.7 inches)， model change， option non-participation， lump-sum payment，  ""DOCOMO iPhone 7""",1台,1 set,,93960,99792,99792,99792,99792,99792,99792,99792,99792,98755,"93,960",93960,93960
交通・通信,Transportation & communication,通信,Communication,3,携帯電話機,Mobile phones ,KDDI(au)又は沖縄セルラー，スマートフォン，〔OS(基本ソフト)〕iOS 10，〔CPU〕A10　Fusionチップ，〔記憶容量〕128GB，〔ディスプレイ〕Retina HD(サイズ：4.7インチ)，機種変更，オプション未加入，一括払い，「au iPhone 7」,"""KDDI(au)"" or ""OKINAWA‐CELLU‐LAR""， smartphone， [OS] iOS 10， [CPU] A10 Fusion chip， [Capacity] 128GB， [Display] Retina HD (size:4.7 inches)， model change， option non-participation， lump-sum payment， ""au iPhone 7""",1台,1 set,※ 10月 Oct.,89208,97080,97080,97080,97080,97080,97080,97080,97080,69000,"90,720",90720,86184
交通・通信,Transportation & communication,通信,Communication,4,携帯電話機,Mobile phones ,ソフトバンクモバイル，スマートフォン，〔OS(基本ソフト)〕iOS 10，〔CPU〕A10　Fusionチップ，〔記憶容量〕128GB，〔ディスプレイ〕 Re-tina　HD(サイズ：4.7インチ)，機種変更，一括払い，「ソフトバンク iPhone 7」,"""SOFTBANK MOBILE""， smartphone， [OS] iOS 10，[CPU] A10 Fusion chip， [Capacity] 128GB， [Display] Retina HD (size:4.7 inches)，  model change， lump-sum payment， ""SOFTBANK iPhone 7""",1台,1 set,※ 10月 Oct.,98192,106560,106560,106560,106560,106560,106560,106560,106560,81408,"99,840",99840,94896
教育,Education,授業料等,School fees,1,大学(私立) 1),College and university (Private) 1),昼間部，法文経系,Daytime， Law， literature and economic course,1か年,1 year,,750122,-,-,-,750122,-,-,-,-,-,-,-,-
教育,Education,授業料等,School fees,2,高等学校(私立),High school (Private),全日制，普通科,Daytime， General course,1か年,1 year,,430626,-,-,-,430626,-,-,-,-,-,-,-,-
教養娯楽,Culture & recreation,教養娯楽用耐久財,Recreational durable goods,1,テレビ,TV sets,液晶テレビ，32V型，地上デジタルチューナー2基内蔵，ハイビジョン対応パネル，LEDバックライト搭載，特殊機能付きは除く,LCD， 32V type， 2 built-in digital terrestrial television tuners， acceptable the high-definition television panel， LED back light loading， without special function,1台,1 set,,52695,51152,55354,55127,55064,53059,53460,54899,51352,49741,50211,51239,51680
教養娯楽,Culture & recreation,教養娯楽サービス,Recreational services,1,映画観覧料,Admission to movies,一般,For adults,1回,once,,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
諸雑費,Miscellaneous,理美容サービス,Personal care services,1,理髪料,Men's haircut charges,総合調髪， 男性（高校生以下を除く）,General trim，  for man (excluding ones under high school students age),1回,once,,3803,3803,3803,3803,3803,3803,3803,3803,3803,3801,3801,3801,3805
諸雑費,Miscellaneous,理美容サービス,Personal care services,2,パーマネント代,Permanent wave charges,パーマネント(ｼｬﾝﾌﾟｰ， ｶｯﾄ， ﾌﾞﾛｰ又はｾｯﾄ込み)， ショート女性（高校生以下を除く）                                                                              ,Permanent wave (including shampoo， haircut and blow or set)， short， for women (excluding ones under high school students age),1回,once,,8678,8768,8768,8768,8768,8768,8614,8614,8614,8614,8614,8614,8614
,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016) 13 　物価・地価 13   PRICES,,,,,,,,,,,,,,,,,,,,,,,,
13-3  東京都区部の主要品目小売価格 （平成28年） 13-3  RETAIL PRICES OF PRINCIPAL ITEMS IN KU-AREA OF TOKYO ( 2016 ),,,,,,,,,,,,,,,,,,,,,,,,
この表は小売物価統計調査の結果であり，調査日は毎月12日を含む週の水曜日，木曜日及び金曜日のいずれか1日を調査日とする。 ただし，生鮮食品は，上旬，中旬，下旬の3旬別に調査を行い（旬別調査），それぞれ，5日，12日及び22日を含む週の水曜日，木曜日又は金曜日のいずれか1日を調査日とする。短期間の特売価格や棚ざらい，在庫一掃セール等の特売価格は，原則として調査しない。また，生鮮食品は，調査日とその前2日間(計3日間）の中値を調査する。,,,,,,,,,,,,,,,,,,,,,,,,
This table shows the results of the Retail Price Survey， conducted on either Wednesday， Thursday， or Friday of the week that includes the 12th of the month. However， for fresh foods， the survey is conducted three times on either Wednesday， Thursday， or Friday of the weeks including the 5th， 12th， and 22nd. In principle， prices from short-term bargain， discount， or clearance sales are not surveyed. For fresh foods， the median prices of three consecutive days (the survey date and two days prior to it) are surveyed.,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 東京都全体の数値。,,,,,,,,,,,,,,,,,,,,,,,,
2) ※印月から基本銘柄改正。,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) The average of all universities that meet the criteria in Tokyo.,,,,,,,,,,,,,,,,,,,,,,,,
2) ※indicates the month when the basic criteria were revised.,,,,,,,,,,,,,,,,,,,,,,,,
資料：総務省 「小売物価統計調査(動向編)年報」（ホームページ） Source: Ministry of Internal Affairs and Communications,,,,,,,,,,,,,,,,,,,,,,,,
（単位　　円） (In yen),,,,,,,,,,,,,,,,,,,,,,,,
