年次,Year,区分階層,項番 Item number,種類,Kind,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,既済 Disposed／総数 Total,既済 Disposed／調停成立 Successful conciliation,既済 Disposed／調停不成立 Unsuccessful conciliation,既済 Disposed／取下 Withdrawal,既済 Disposed／合意に相当する審判 Adjudication equivalent to agreement,既済 Disposed／調停に代わる審判 Adjudication in lieu of conciliation,既済 Disposed／調停をしないもの Non-conciliation,既済 Disposed／その他 Others,未済 Pending,異議 Objection／合意に相当する審判 Adjudication equivalent to agreement,異議 Objection／調停に代わる審判 Adjudication in lieu of conciliation
平成28,2016,2,13,推定相続人の廃除及びその取消し（家事審判法第9条乙類）,Disinheritance of a presumptive heir ／ rescission of such disinheritance (Article 9， Clause 2 of the Domestic Relations Trial Act),-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成28,2016,1,,別表第二以外の調停事件総数,Total number of cases of conciliation of domestic relations other than those stipulated in Appended Table 2 of the Domestic Relations Case Procedure Act,"9,952","3,207","6,745","6,865","2,974","2,170","1,182",294,100,56,89,"3,087",1,4
平成28,2016,2,1,婚姻中の夫婦間の事件,Cases between married couple,"7,709","2,541","5,168","5,238","2,547","1,660",834,-,90,35,72,"2,471",-,4
平成28,2016,2,2,婚姻外の男女間の事件,Cases between men and women outside of marriage,39,14,25,35,14,9,11,-,-,1,-,4,-,-
平成28,2016,2,3,離婚その他男女関係解消に基づく慰謝料,Compensation for divorce or breakup of a male-female relationship,65,23,42,47,18,15,14,-,-,-,-,18,-,-
平成28,2016,2,4,親族間の紛争,Dispute among relatives,281,80,201,224,52,103,63,-,1,2,3,57,-,-
平成28,2016,2,5,合意に相当する審判事項,Ruling equivalent to agreement,690,184,506,527,3,100,115,291,-,13,5,163,1,-
平成28,2016,3,,うち協議離婚無効・取消し,(of which) Invalidation／annulment of divorce by agreement,69,14,55,58,1,16,11,26,-,3,1,11,-,-
平成28,2016,3,,うち認知,(of which) Acknowledgement of paternity,257,70,187,183,-,29,54,95,-,5,-,74,-,-
平成28,2016,3,,うち嫡出否認,(of which) Rebuttal of presumption of a child in wedlock,105,38,67,82,1,6,5,69,-,1,-,23,-,-
平成28,2016,3,,うち親子関係不存在確認,(of which) Clarification of non-existence of a parent-child relationship,171,46,125,129,-,19,25,80,-,3,2,42,1,-
平成28,2016,2,6,離縁,Dissolution of an adoptive relationship,136,23,113,110,38,45,21,-,5,-,1,26,-,-
平成28,2016,2,7,その他,Others,"1,032",342,690,684,302,238,124,3,4,5,8,348,-,-
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,
20-6 家事調停事件の種類別件数 （平成27， 28年） 20-6  CASES OF CONCILIATION OF DOMESTIC RELATIONS BY KIND ( 2015 and 2016 ),,,,,,,,,,,,,,,,,,,
資料：東京家庭裁判所事務局総務課 Source: Tokyo Family Court,,,,,,,,,,,,,,,,,,,
区分階層(0:総数 1:区分 2:区分内訳),,,,,,,,,,,,,,,,,,,
