年次,Year,地域階層,地域コード,地域,District,施設数 Facilities／総数 Total,施設数 Facilities／公立 Public,施設数 Facilities／私立 Private,児童定員 Capacity／総数 Total,児童定員 Capacity／公立 Public,児童定員 Capacity／私立 Private,入所児童数 Children enrolled／総数 Total,入所児童数 Children enrolled／公立 Public,入所児童数 Children enrolled／私立 Private
平成28,2016,2,13202,立川市,Tachikawa-shi,31,8,23,3477,863,2614,3444,752,2692
平成28,2016,2,13203,武蔵野市,Musashino-shi,20,4,16,1829,402,1427,1876,429,1447
平成28,2016,2,13204,三鷹市,Mitaka-shi,35,13,22,2887,1176,1711,2920,1211,1709
平成28,2016,2,13205,青梅市,Ome-shi,30,-,30,3200,-,3200,3050,4,3046
平成28,2016,2,13206,府中市,Fuchu-shi,45,15,30,4797,1593,3204,4777,1631,3146
平成28,2016,2,13207,昭島市,Akishima-shi,22,2,20,2600,126,2474,2520,129,2391
平成28,2016,2,13208,調布市,Chofu-shi,49,12,37,4362,1175,3187,4252,1177,3075
平成28,2016,2,13209,町田市,Machida-shi,71,5,66,6449,527,5922,6432,503,5929
平成28,2016,2,13210,小金井市,Koganei-shi,19,5,14,1839,563,1276,1794,557,1237
平成28,2016,2,13211,小平市,Kodaira-shi,33,9,24,2908,1046,1862,2896,1087,1809
平成28,2016,2,13212,日野市,Hino-shi,31,11,20,3058,1135,1923,3214,1158,2056
平成28,2016,2,13213,東村山市,Higashimurayama-shi,21,7,14,2116,710,1406,2284,762,1522
平成28,2016,2,13214,国分寺市,Kokubunji-shi,24,6,18,2312,680,1632,2245,628,1617
平成28,2016,2,13215,国立市,Kunitachi-shi,13,4,9,1242,423,819,1285,415,870
平成28,2016,2,13218,福生市,Fussa-shi,14,-,14,1321,-,1321,1324,1,1323
平成28,2016,2,13219,狛江市,Komae-shi,14,5,9,1337,541,796,1258,544,714
平成28,2016,2,13220,東大和市,Higashiyamato-shi,16,1,15,1943,105,1838,1934,82,1852
平成28,2016,2,13221,清瀬市,Kiyose-shi,15,6,9,1373,416,957,1279,373,906
平成28,2016,2,13222,東久留米市,Higashikurume-shi,18,9,9,1791,929,862,1828,935,893
平成28,2016,2,13223,武蔵村山市,Musashimurayama-shi,13,1,12,1972,146,1826,1873,119,1754
平成28,2016,2,13224,多摩市,Tama-shi,20,2,18,2572,247,2325,2495,219,2276
平成28,2016,2,13225,稲城市,Inagi-shi,14,4,10,1775,408,1367,1757,399,1358
平成28,2016,2,13227,羽村市,Hamura-shi,13,1,12,1258,100,1158,1273,71,1202
平成28,2016,2,13228,あきる野市,Akiruno-shi,15,3,12,1783,200,1583,1739,166,1573
平成28,2016,2,13229,西東京市,Nishitokyo-shi,30,17,13,2918,1732,1186,2977,1771,1206
平成28,2016,1,13300,郡部,All gun,15,2,13,1385,230,1155,1329,236,1093
平成28,2016,1,13350,島部,All islands,15,13,2,1086,966,120,731,616,115
,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,
18-4  地域別保育所の状況（平成24～28年） 18-4  CHILDREN DAY CARE CENTERS BY DISTRICT ( 2012-2016 ) ,,,,,,,,,,,,,,
各年4月1日現在。休止中の施設を除く。 ,,,,,,,,,,,,,,
As of April 1 of the year noted．Figures exclude facilities currently inactive.,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,
