年度,Fiscal year,地域階層,地域コード,項番 Item number,地域,District,ごみ Refuse volume／排出量 Discharged／総計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／可燃ごみ Combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量Volume collected and carried-in／不燃ごみ Non-combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／粗大ごみ Large-sized refuse (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／資源ごみ Recyclable refuse (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Collected and carried-in refuse／有害ごみ Toxic refuse (t),ごみ Refuse volume／排出量 Discharged／集団回収量 Group-collection recyclables (t),ごみ Refuse volume／排出量 Discharged／ピックアップ回収量 Recyclables recovered from refuse (t),ごみ Refuse volume／中間処分量 Intermediate disposal／焼却 Incinerated (t),ごみ Refuse volume／中間処分量 Intermediate disposal／その他 Others (t),ごみ Refuse volume／最終処分量 Final disposal (t),ごみ Refuse volume／総資源化量 Total recycled amount (t),し尿 Human waste／排出量 Discharged (kl),し尿 Human waste／処分量 Disposed (kl)
平成27,2015,2,13108,8,江東区,Koto-ku,128901,110260,91595,-,3024,15641,-,15100,3541,…,…,…,…,…,…
平成27,2015,2,13109,9,品川区,Shinagawa-ku,98978,88872,68390,2881,2005,15596,-,9289,817,…,…,…,…,…,…
平成27,2015,2,13110,10,目黒区,Meguro-ku,74591,61218,49610,2364,2373,6871,-,13301,71,…,…,…,…,…,…
平成27,2015,2,13111,11,大田区,Ota-ku,172637,158491,127672,4742,3616,22461,-,12938,1208,…,…,…,…,…,…
平成27,2015,2,13112,12,世田谷区,Setagaya-ku,226868,215824,167017,4856,6404,37546,-,8288,2756,…,…,…,…,…,…
平成27,2015,2,13113,13,渋谷区,Shibuya-ku,66401,63751,49092,2134,1414,11112,-,2650,-,…,…,…,…,…,…
平成27,2015,2,13114,14,中野区,Nakano-ku ,83696,67773,56085,2423,1802,7462,-,15173,750,…,…,…,…,…,…
平成27,2015,2,13115,15,杉並区,Suginami-ku,138426,130433,92393,3187,3608,31246,-,6684,1309,…,…,…,…,…,…
平成27,2015,2,13116,16,豊島区,Toshima-ku,73541,69472,53520,2071,2114,11767,-,3769,300,…,…,…,…,…,…
平成27,2015,2,13117,17,北区,Kita-ku,87601,79735,63717,2040,1675,12304,-,6908,958,…,…,…,…,…,…
平成27,2015,2,13118,18,荒川区,Arakawa-ku,55493,44976,41699,1807,1270,200,-,10515,2,…,…,…,…,…,…
平成27,2015,2,13119,19,板橋区,Itabashi-ku,139682,124525,104107,3447,3210,13762,-,14679,477,…,…,…,…,…,…
平成27,2015,2,13120,20,練馬区,Nerima-ku,175894,163231,123083,5190,4195,30764,-,11801,863,…,…,…,…,…,…
平成27,2015,2,13121,21,足立区,Adachi-ku,168147,151247,132254,293,2722,15979,-,11954,4946,…,…,…,…,…,…
平成27,2015,2,13122,22,葛飾区,Katsushika-ku,113858,104839,80870,3753,2875,17341,-,8695,324,…,…,…,…,…,…
平成27,2015,2,13123,23,江戸川区,Edogawa-ku,165635,153314,124337,4729,3949,20299,-,11653,668,…,…,…,…,…,…
平成27,2015,,,,継続持込,Carried by enterprise,944632,944632,944632,-,-,-,-,-,-,…,…,…,…,…,…
平成27,2015,1,13200,,市部,All shi,1148681,1070527,732726,60419,27492,248287,1603,78152,-,799146,345539,1367,438683,45578,45578
平成27,2015,2,13201,1,八王子市,Hachioji-shi,167929,159703,116992,6400,2284,33682,345,8226,-,123035,42748,86,57766,9423,9423
平成27,2015,2,13202,2,立川市,Tachikawa-shi,50545,46821,31163,2004,1160,12435,59,3724,-,33810,15269,-,20826,391,391
平成27,2015,2,13203,3,武蔵野市,Musashino-shi,44121,40891,27334,1165,1476,10829,87,3230,-,29376,13557,-,17716,150,150
平成27,2015,2,13204,4,三鷹市,Mitaka-shi,48513,45716,27513,1774,1804,14568,57,2797,-,31826,17328,-,19886,149,149
平成27,2015,2,13205,5,青梅市,Ome-shi,42439,38132,28058,1398,1387,7234,55,4307,-,30004,10074,-,15111,5416,5416
平成27,2015,2,13206,6,府中市,Fuchu-shi,64228,58767,37254,3523,2029,15874,87,5461,-,42653,28889,-,32756,382,382
平成27,2015,2,13207,7,昭島市,Akishima-shi,32137,30672,21488,1435,967,6737,45,1465,-,23158,9229,38,11685,815,815
平成27,2015,2,13208,8,調布市,Chofu-shi,60943,56877,32279,3630,1507,19380,79,4066,-,36979,26630,-,27476,352,352
平成27,2015,2,13209,9,町田市,Machida-shi,125988,114316,86728,6277,4387,16763,161,11672,-,94372,27705,-,40735,9603,9603
平成27,2015,2,13210,10,小金井市,Koganei-shi,27006,25403,12700,3769,906,7991,37,1603,-,12700,12703,15,14270,71,71
平成27,2015,2,13211,11,小平市,Kodaira-shi,51124,49004,33113,4833,1040,9948,70,2120,-,38180,15892,79,17700,399,399
平成27,2015,2,13212,12,日野市,Hino-shi,45041,43288,27056,5589,1276,9309,58,1753,-,33138,15367,17,15906,6722,6722
平成27,2015,2,13213,13,東村山市,Higashimurayama-shi,39613,36905,24371,2049,1414,9017,54,2708,-,24785,12534,-,17197,306,306
平成27,2015,2,13214,14,国分寺市,Kokubunji-shi,30483,27910,16334,1724,757,9055,40,2573,-,18180,11576,20,13897,264,264
平成27,2015,2,13215,15,国立市,Kunitachi-shi,22874,21630,14653,1732,574,4646,25,1244,-,16389,6977,-,7963,216,216
平成27,2015,2,13218,16,福生市,Fussa-shi　,17409,16301,11319,583,493,3885,21,1108,-,12175,4982,27,6273,105,105
平成27,2015,2,13219,17,狛江市,Komae-shi,20419,19016,13135,933,326,4602,20,1403,-,14214,5936,-,7542,73,73
平成27,2015,2,13220,18,東大和市,Higashiyamato-shi,21554,20378,14585,597,275,4893,28,1176,-,15323,5793,12,8161,388,388
平成27,2015,2,13221,19,清瀬市,Kiyose-shi,19153,18003,12405,1377,75,4122,24,1150,-,13538,5598,-,7144,255,255
平成27,2015,2,13222,20,東久留米市,Higashikurume-shi,33006,29891,21531,2183,130,6010,37,3115,-,23361,8369,-,12358,338,338
平成27,2015,2,13223,21,武蔵村山市,Musashimurayama-shi,20660,20080,14472,907,254,4419,28,580,-,15640,5801,17,7197,205,205
平成27,2015,2,13224,22,多摩市,Tama-shi,44848,40481,31291,1070,1190,6886,44,4367,-,33207,9190,-,15401,413,413
平成27,2015,2,13225,23,稲城市,Inagi-shi,23764,21833,16836,1236,413,3319,29,1931,-,18246,4997,-,7175,2190,2190
平成27,2015,2,13227,24,羽村市,Hamura-shi,17795,16813,11429,386,601,4374,23,982,-,12242,5384,-,6567,564,564
平成27,2015,2,13228,25,あきる野市,Akiruno-shi,25890,23823,18465,358,604,4360,36,2067,-,19578,5358,1056,8115,5913,5913
平成27,2015,2,13229,26,西東京市,Nishitokyo-shi,51199,47875,30222,3487,163,13949,54,3324,-,33037,17653,-,21860,475,475
平成27,2015,1,13300,,郡部,All gun,20740,19297,14635,437,639,3559,27,1443,-,15632,4371,400,6622,5465,5465
平成27,2015,2,13303,1,瑞穂町,Mizuho-machi,12093,11727,8342,319,411,2638,17,366,-,8981,3385,40,3873,1527,1527
平成27,2015,2,13305,2,日の出町,Hinode-machi,5670,5150,4295,78,132,640,5,520,-,4517,645,244,1777,479,479
平成27,2015,2,13307,3,檜原村,Hinohara-mura,884,869,608,13,53,195,-,15,-,674,250,37,187,565,565
平成27,2015,2,13308,4,奥多摩町,Okutama-machi,2093,1551,1390,27,43,86,5,542,-,1460,91,79,785,2894,2894
平成27,2015,1,13350,,島部,All islands,14465,14461,10954,968,967,1543,29,4,-,11189,2344,3427,1567,25893,25893
平成27,2015,2,13361,1,大島町,Oshima-machi,3902,3902,3272,162,156,306,6,-,-,3427,630,671,278,9634,9634
平成27,2015,2,13362,2,利島村,Toshima-mura,111,111,98,2,-,11,-,-,-,100,11,11,9,681,681
平成27,2015,2,13363,3,新島村,Niijima-mura,1674,1674,1130,480,7,57,-,-,-,1128,62,529,48,1752,1752
平成27,2015,2,13364,4,神津島村,Kouzushima-mura,1915,1915,1192,72,634,17,-,-,-,1205,144,1303,106,616,616
平成27,2015,2,13381,5,三宅村,Miyake-mura,1546,1546,1217,126,119,84,-,-,-,1263,329,301,28,2222,2222
平成27,2015,2,13382,6,御蔵島村,Mikurajima-mura,234,231,208,4,15,3,1,3,-,208,19,25,22,63,63
平成27,2015,2,13401,7,八丈町,Hachijo-machi,3796,3796,3068,102,-,623,3,-,-,3068,626,430,623,10244,10244
平成27,2015,2,13402,8,青ヶ島村,Aogashima-mura,127,127,83,20,-,24,-,-,-,83,44,9,24,321,321
平成27,2015,2,13421,9,小笠原村,Ogasawara-mura,1160,1159,686,-,36,418,19,1,-,707,479,148,429,360,360
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,
19-9  ごみ ・ し尿 (平成25～平成27年度) 19-9  REFUSE AND HUMAN WASTE ( Fiscal years 2013-2015 ),,,,,,,,,,,,,,,,,,,,,
資料：都環境局資源循環推進部一般廃棄物対策課「東京都区市町村清掃事業年報」 Source: Bureau of Environment， TMG        ,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,
