年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,議会費 Assemblies,総務費 General services,民生費 Social welfare,衛生費 Sanitation,労働費 Labor,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Civil engineering works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt services,諸支出金 Miscellaneous
平成28,2016,13362,2,利島村,Toshima-mura,1234,20,261,151,208,28,100,172,174,16,66,-,38,-
平成28,2016,13363,3,新島村,Niijima-mura,3699,52,902,554,371,60,225,332,451,117,316,-,319,-
平成28,2016,13364,4,神津島村,Kozushima-mura,3016,37,846,634,362,66,233,203,263,55,221,2,94,-
平成28,2016,13381,5,三宅村,Miyake-mura,3910,52,794,503,638,48,391,258,406,314,294,3,175,36
平成28,2016,13382,6,御蔵島村,Mikurajima-mura,1961,15,1335,101,165,-,46,47,113,10,78,-,49,-
平成28,2016,13401,7,八丈町,Hachijo-machi,7339,90,956,1503,1241,133,378,201,831,385,769,21,770,61
平成28,2016,13402,8,青ヶ島村,Aogashima-mura,1095,19,664,31,48,-,127,39,21,17,94,-,35,0
平成28,2016,13421,9,小笠原村,Ogasawara-mura,4417,58,1281,739,1108,-,58,151,224,34,251,-,513,-
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,   ,
21-6  市町村普通会計決算額 (2) 歳出 (平成26～平成28年度) 21-6  SETTLEMENTS OF THE ORDINARY ACCOUNTS OF SHI， MACHI， AND MURA (2) EXPENDITURE ( Fiscal Years 2014-2016 ),,,,,,,,,,,,,,,,,,,
資料：都総務局行政部市町村課 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,
