年度末,End of fiscal year,地域階層,地区コード,地域,District,総人口 (A) Total population 1),排水区域 Areas served by sewerage system／人口 (B) Population,排水区域 Areas served by sewerage system／計画面積 Planned area (ha),排水区域 Areas served by sewerage system／面積 Area　(ha),処理区域 Areas served by sewerage system and sewage treatment system／人口 Population,処理区域 Areas served by sewerage system and sewage treatment system／計画面積 Planned area (ha),処理区域Areas served by sewerage system and sewage treatment system／面積 Area (ha),終末処理場数 Number of sewage treatment plants 2),終末処理場数 Number of sewage treatment plants,普及率 (B／A) Sewerage system coverage (%),,,
平成28,2016,2,13223,武蔵村山市,Musashimurayama-shi,72275,72264,1522,1164,72264,1522,1164,-,-,100,,,
平成28,2016,2,13224,多摩市,Tama-shi,148511,148498,2019,2014,148498,2019,2014,-,-,100,,,
平成28,2016,2,13225,稲城市,Inagi-shi,89344,88481,1747,1061,88481,1747,1053,1,1,99,,,
平成28,2016,2,13227,羽村市,Hamura-shi,56079,55845,905,803,55845,905,803,-,-,100,,,
平成28,2016,2,13228,あきる野市,Akiruno-shi,81315,76430,1659,1324,76370,1659,1257,-,-,94,,,
平成28,2016,2,13229,西東京市,Nishitokyo-shi,200098,200098,1585,1585,200098,1585,1585,-,-,100,,,
平成28,2016,1,13300,郡部,All gun,58162,56639,1930,1615,56510,1930,1589,-,1,97,,,
平成28,2016,2,13303,瑞穂町,Mizuho-machi,33624,32882,929,793,32755,929,767,-,-,98,,,
平成28,2016,2,13305,日の出町,Hinode-machi,17003,16998,700,527,16998,700,527,-,-,100,,,
平成28,2016,2,13307,檜原村,Hinohara-mura,2271,1969,102,96,1967,102,96,-,-,87,,,
平成28,2016,2,13308,奥多摩町,Okutama-machi,5264,4790,199,199,4790,199,199,-,1,91,,,
平成28,2016,1,13350,島部,All islands,2721,1792,87,80,1792,87,80,-,1,66,,,
平成28,2016,2,13363,新島村,Niijima-mura,2721,1792,87,80,1792,87,80,-,1,66,,,
,,,,,,,,,,,,,,,,,,
6-7  地域別下水道の普及状況 （平成26～28年度末） ,,,,,,,,,,,,,,,,,,
6-7 SEWERAGE SERVICE BY DISTRICT ( End of Fiscal Years 2014-2016 ) ,,,,,,,,,,,,,,,,,,
　注． 1) 総人口は， 住民基本台帳人口である。 ,,,,,,,,,,,,,,,,,,
            2) 終末処理場の （　） 内の数値は流域下水道にかかるものであり， 内数である。 ,,,,,,,,,,,,,,,,,,
　　    3) 島部に関しては，新島村のみ公共下水道である。 ,,,,,,,,,,,,,,,,,,
　Note: 1) Total population data from the Basic Resident Register. ,,,,,,,,,,,,,,,,,,
          　2) Figures in parentheses show the number of sewage treatment plants for a regional sewerage system within the total number  (figures on the right). ,,,,,,,,,,,,,,,,,,
             3) In the islands， only Niijima-mura is served by public sewer.,,,,,,,,,,,,,,,,,,
資料：都下水道局総務部広報サービス課，同都市整備局都市基盤部調整課 ,,,,,,,,,,,,,,,,,,
　Source : Bureau of Sewerage， T.M.G.， Bureau of Urban Development， T.M.G.,,,,,,,,,,,,,,,,,, 
