年度平均,Fiscal year average,地域階層,地域コード,地域,District,被保護世帯数 Households assisted 1),生活扶助 Livelihood assistance,住宅扶助 Housing assistance,教育扶助 Education assistance,介護扶助 LTC assistance,医療扶助 Medical assistance,出産扶助 Maternity assistance,生業扶助 Occupational assistance,葬祭扶助 Funeral assistance,被保護人員数 Persons assisted(人 persons)
平成27,2015,2,13115,杉並区,Suginami-ku,6687,5934,6034,165,1153,6262,-,94,8,7808
平成27,2015,2,13116,豊島区,Toshima-ku,6297,5462,5580,97,1014,5806,0,44,13,7077
平成27,2015,2,13117,北区,Kita-ku,7839,6895,7077,230,1603,6950,0,138,27,9657
平成27,2015,2,13118,荒川区,Arakawa-ku,5384,4845,4890,194,1030,4633,-,87,27,6512
平成27,2015,2,13119,板橋区,Itabashi-ku,14301,12299,12791,877,2132,11574,0,422,45,19072
平成27,2015,2,13120,練馬区,Nerima-ku,12976,11566,11883,812,2293,10238,1,493,11,17153
平成27,2015,2,13121,足立区,Adachi-ku,18864,16701,16576,1124,3476,15541,1,528,33,25891
平成27,2015,2,13122,葛飾区,Katsushika-ku,10490,9160,9392,533,1929,8896,0,276,26,13835
平成27,2015,2,13123,江戸川区,Edogawa-ku,15247,13808,14168,1085,2282,14201,1,595,45,20835
平成27,2015,1,13200,市部,All shi,55829,48589,49153,3370,9379,47414,1,1673,130,75155
平成27,2015,2,13201,八王子市,Hachioji-shi,7974,6764,6797,514,1373,6376,-,169,18,10817
平成27,2015,2,13202,立川市,Tachikawa-shi,3773,3325,3425,209,707,3505,-,91,14,4992
平成27,2015,2,13203,武蔵野市,Musashino-shi,1708,1482,1484,42,235,1391,-,19,4,1979
平成27,2015,2,13204,三鷹市,Mitaka-shi,2700,2334,2399,125,423,2595,-,62,4,3445
平成27,2015,2,13205,青梅市,Ome-shi,1984,1706,1626,152,271,1447,-,61,4,2782
平成27,2015,2,13206,府中市,Fuchu-shi,3980,3597,3604,276,635,3759,-,150,12,5412
平成27,2015,2,13207,昭島市,Akishima-shi,1806,1556,1553,105,347,1442,-,48,8,2431
平成27,2015,2,13208,調布市,Chofu-shi,2347,1988,2020,73,391,2177,-,37,5,2894
平成27,2015,2,13209,町田市,Machida-shi,5291,4588,4767,425,878,3987,0,246,13,7577
平成27,2015,2,13210,小金井市,Koganei-shi,1367,1155,1202,36,175,912,-,22,3,1588
平成27,2015,2,13211,小平市,Kodaira-shi,2404,2188,2130,150,418,2341,-,92,6,3266
平成27,2015,2,13212,日野市,Hino-shi,1732,1567,1530,93,330,1642,0,52,4,2301
平成27,2015,2,13213,東村山市,Higashimurayama-shi,2559,2211,2185,161,417,1880,-,95,7,3449
平成27,2015,2,13214,国分寺市,Kokubunji-shi,927,814,789,27,150,691,-,13,3,1124
平成27,2015,2,13215,国立市,Kunitachi-shi,842,747,753,38,133,744,-,16,1,1065
平成27,2015,2,13218,福生市,Fussa-shi,900,777,809,40,172,788,-,26,2,1171
平成27,2015,2,13219,狛江市,Komae-shi,887,763,798,25,195,825,-,15,1,1077
平成27,2015,2,13220,東大和市,Higashiyamato-shi,1271,1113,1139,96,237,1100,0,48,1,1850
平成27,2015,2,13221,清瀬市,Kiyose-shi,1587,1423,1419,92,301,1451,-,48,4,2192
平成27,2015,2,13222,東久留米市,Higashikurume-shi,1668,1482,1512,132,295,1355,0,70,3,2362
平成27,2015,2,13223,武蔵村山市,Musashimurayama-shi,1176,1037,1059,76,212,987,0,27,3,1676
平成27,2015,2,13224,多摩市,Tama-shi,1855,1596,1653,146,260,1623,0,79,3,2636
平成27,2015,2,13225,稲城市,Inagi-shi,882,748,772,53,148,675,-,34,2,1247
平成27,2015,2,13227,羽村市,Hamura-shi,566,467,497,33,78,506,-,23,1,776
平成27,2015,2,13228,あきる野市,Akiruno-shi,680,542,557,56,113,603,-,18,1,965
平成27,2015,2,13229,西東京市,Nishitokyo-shi,2967,2620,2674,195,486,2612,0,112,3,4082
平成27,2015,1,13300,郡部,All gun,702,548,503,50,137,621,-,28,-,1059
平成27,2015,1,13350,島部,All islands,449,370,255,9,121,404,-,8,1,543
,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,
18-2  地域別被保護世帯数（平成23～27年度 年度平均） 18-2  HOUSEHOLDS ASSISTED BY DISTRICT ( Annual Averages of Fiscal Years 2011-2015 ),,,,,,,,,,,,,,,
この数字は各地区別に平均し，集計した数字なので総数とは必ずしも一致しない。,,,,,,,,,,,,,,,
Figures are averaged by district and so may not add up to the totals provided.,,,,,,,,,,,,,,,
注 1) 「被保護世帯数」には保護停止中の世帯，「被保護人員数」には保護停止中の人員を含む。,,,,,,,,,,,,,,,
"Note: 1) The numbers of ""Households assisted"" and ""Persons assisted"" include households／persons for whom welfare benefits are currently discontinued.",,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG ,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,
（単位　世帯）(Value in households),,,,,,,,,,,,,,,
