事業階層,事業,Program,施設総数 Total facilities,公営 Public management／施設数 Facilities,公営 Public management／定員 Capacity,公営 Public management／在所者数 Service users,私営 Private management／施設数 Facilities,私営 Private management／定員 Capacity,私営 Private management／在所者数 Service users
2,大型児童館C型,Large child centers type C,-,-,…,…,-,…,…
2,その他の児童館,Other child centers,-,-,…,…,-,…,…
2,児童遊園,Child play space,89,89,…,…,-,…,…
1,母子・父子福祉施設,Welfare facilities for single-mother／father families,-,-,…,…,-,…,…
2,母子・父子福祉センター,Welfare centers for single-mother／father families,-,-,…,…,-,…,…
2,母子・父子休養ホーム,Recreational facilities for single-mother／father families,-,-,…,…,-,…,…
1,その他の社会福祉施設,Other social welfare facilities,1160,2,29,9,1158,56811,34392
2,授産施設（社会福祉法）,Vocational facilities (Social Welfare Act),11,-,-,-,11,346,261
2,宿所提供施設（社会福祉法）,Facilities providing accommodation (Social Welfare Act),173,-,-,-,173,5321,4029
2,盲人ホーム,Vocational centers for the visually impaired,4,-,-,…,4,80,…
2,無料低額診療施設,Free or low cost medical facilities,51,-,…,…,51,…,…
2,隣保館,Social service facilities,-,-,…,…,-,…,…
2,へき地保健福祉館,Public health and welfare centers in remote areas,-,-,…,…,-,…,…
2,へき地保育所,Day care centers in remote areas,…,…,…,…,…,…,…
2,有料老人ホーム,Fee-based nursing homes for the elderly,921,2,29,9,919,51064,30102
,(別掲）介護老人福祉施設（特別養護老人ホーム）4),(Appendix) Long-term care welfare facilities (Special nursing homes for the elderly) 4),479,…,…,…,479,42303,38156
,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,
18-1  社会福祉施設数（平成27年） 18-1  SOCIAL WELFARE FACILITIES ( 2015 ),,,,,,,,,
10月1日現在休止中の施設を除く。 ,,,,,,,,,
Figures exclude facilities inactive as of Oct. 1 of the year.,,,,,,,,,
注 1) 施設数及び定員は基本票（行政情報），在所者数は詳細票（調査票が回収できた施設の状況）の結果である。,,,,,,,,,
2) 総数及び児童福祉施設の「定員」・「在所者数」には母子生活支援施設を含まない。,,,,,,,,,
3) 母子生活支援施設の定員は世帯数である。,,,,,,,,,
4) 介護老人福祉施設（特別養護老人ホーム）は，公営，私営別に集計していないため，私営部分に公営，私営を合算した数値を掲載している。,,,,,,,,,
Note: 1) The number of facilities and capacities are based on the basic records (government information)， and the number of residents is based on detailed records (facilities that responded to a survey). ,,,,,,,,,
"2) Living support facilities for single-mother families are not included in the total number of social welfare facilities or the child welfare facility ""capacity""  and ""number of service users.""",,,,,,,,,
3) The capacity of living support facilities for single-mother families is expressed in number of households.,,,,,,,,,
"4) Because figures for long-term care facilities for the elderly (special nursing homes for the elderly) are not tabulated separately as public or private， data are combined in the ""private"" column.   ",,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,
事業階層(0:総数　1:保護施設・老人福祉施設・障害者支援施設等・身体障害者社会参加支援施設・婦人保護施設・児童福祉施設・母子・父子福祉施設・その他の社会福祉施設 2:各事業施設),,,,,,,,,
