区分,単位,全市場合計23,全市場合計24,全市場合計25,全市場合計26,全市場合計27,北足立合計23,北足立合計24,北足立合計25,北足立合計26,北足立合計27,大田市場合計23,大田市場合計24,大田市場合計25,大田市場合計26,大田市場合計27,板橋市場合計23,板橋市場合計24,板橋市場合計25,板橋市場合計26,板橋市場合計27,葛西市場合計23,葛西市場合計24,葛西市場合計25,葛西市場合計26,葛西市場合計27,世田谷市場合計23,世田谷市場合計24,世田谷市場合計25,世田谷市場合計26,世田谷市場合計27
収益性総資本経常利益率,％,-0.21,1.52,1.61,2.06,1.62,0.02,0.24,1.32,-1.15,3.03,-0.89,1.37,1.39,1.11,1.63,-3.83,-0.85,2.12,1.99,3.48,3.43,2.18,-3.06,0.13,-2.93,3.27,3.69,2.81,5.15,0.48
効率性総資本回転率,回,3.97,3.89,3.80,3.76,3.83,3.74,3.93,3.86,3.96,4.10,5.12,4.85,4.54,4.72,4.93,2.23,2.09,2.28,1.90,1.80,4.94,4.46,4.71,4.65,5.10,3.07,3.14,3.15,3.27,3.31
効率性売掛債権回転日数,日,38.82,41.84,40.79,40.17,40.51,51.88,50.58,49.92,50.95,48.06,28.53,30.24,30.48,29.93,30.47,62.15,60.88,57.22,50.92,47.36,28.77,30.66,32.74,34.60,35.25,56.81,69.20,63.22,62.60,65.11
効率性買掛債務回転日数,日,28.34,31.70,30.98,30.95,30.55,59.99,60.36,63.01,64.07,50.35,26.75,28.73,28.55,28.24,28.80,27.53,34.75,28.30,23.44,27.46,25.80,28.42,29.60,31.03,30.31,25.00,32.46,31.37,33.34,32.18
効率性商品回転日数,日,1.50,1.34,1.42,1.81,1.04,0.79,1.03,0.79,0.81,0.91,1.44,1.30,1.54,2.11,0.95,2.60,2.81,2.14,2.98,2.04,0.46,0.69,0.77,0.89,0.96,1.66,1.17,1.12,0.98,0.92
安全性手元流動性比率,日,22.85,24.69,23.08,23.55,22.88,15.77,11.18,14.33,13.86,15.22,23.60,25.89,20.24,19.99,18.76,26.62,30.73,31.34,35.82,48.84,24.55,27.38,21.44,23.09,19.81,19.85,21.31,30.41,30.27,24.30
安全性流動比率,％,168.14,170.57,152.20,156.98,159.38,122.04,110.72,111.05,111.09,131.93,161.57,156.18,125.45,134.24,134.85,177.24,217.14,209.42,232.58,230.07,200.64,200.32,185.66,172.54,159.54,188.76,196.71,202.31,188.17,182.91
安全性自己資本比率,％,20.88,18.95,21.01,22.04,22.33,0.79,-0.11,-1.38,-4.56,9.29,23.06,22.25,25.12,27.45,26.72,-0.26,-1.72,-0.54,1.07,3.42,25.86,27.52,26.24,26.11,24.98,38.25,30.12,32.25,34.81,33.86
安全性借入金比率,％,46.33,45.22,44.36,43.85,42.75,42.98,41.10,41.11,41.56,38.08,37.72,37.53,36.08,31.94,31.10,81.02,79.28,78.45,83.13,78.87,32.61,33.47,32.77,31.00,30.29,37.81,39.35,40.27,36.48,34.65
安全性金利負担率,％,0.26,0.22,0.20,0.21,0.20,0.48,0.46,0.46,0.41,0.32,0.16,0.13,0.09,0.13,0.12,0.70,0.72,0.67,0.63,0.73,0.07,0.09,0.08,0.07,0.07,0.27,0.22,0.24,0.23,0.19
生産性従事員一人当たり売上高,万円,4862,4725,4954,4840,4541,3902,4377,4254,4535,4855,5439,5606,5587,5492,5555,3494,2330,3639,2727,2150,4145,3868,3920,4195,3770,5027,5351,4879,5507,5012
生産性従事員一人当たり売上総利益,万円,809,789,811,839,773,686,862,883,916,1043,796,806,765,806,801,843,641,960,809,641,759,688,682,766,653,889,927,858,967,832
生産性従事員一人当たり人件費,万円,467,432,455,449,419,402,417,415,438,484,469,454,447,447,451,495,329,475,383,287,529,454,476,513,464,436,477,466,504,460
