男女・年,15歳以上人口（千人）,15歳以上人口／労働力人口（千人）,15歳以上人口／労働力人口／就業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数／主に仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／通学のかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／家事などのかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／休業者数（千人）,15歳以上人口／労働力人口／就業者数／自営業主数（千人）,15歳以上人口／労働力人口／就業者数／家族従業者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち正規の職員・従業員（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち非正規の職員･従業員（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち非正規の職員･従業員／うちパート･アルバイト（千人）,15歳以上人口／労働力人口／完全失業者数（千人）,15歳以上人口／非労働力人口（千人）,15歳以上人口／非労働力人口／通学（千人）,15歳以上人口／非労働力人口／家事（千人）,15歳以上人口／非労働力人口／その他（千人）,労働力人口比率（％、ポイント）,就業率（％、ポイント）,完全失業率（％、ポイント）
対前年増減数／男女計／平成29年平均,93,140,165,138,125,7,7,26,18,-5,154,111,33,16,-25,-48,10,-37,-21,0.6,0.9,-0.3
対前年増減数／男女計／平成30年平均,93,225,240,211,97,44,69,30,32,2,183,123,105,125,-15,-134,-54,-68,-11,1.4,1.5,-0.3
対前年増減数／男女計／平成31年・令和元年平均,92,121,139,135,123,25,-13,4,24,-11,132,105,31,-3,-18,-33,-7,-78,50,0.5,0.6,-0.3
対前年増減数／男女計／令和２年平均,66,108,43,-94,-8,-39,-47,137,2,-4,61,116,-65,-78,65,-38,-32,-77,71,0.5,0,0.8
対前年増減数／男女計／令和３年平均,-23,35,42,125,117,-6,14,-83,-25,6,49,56,-35,-7,-6,-60,3,-4,-59,0.4,0.5,-0.1
対前年増減数／男／平成23年平均,121,157,181,179,193,-8,-6,2,13,-2,174,   －,   －,   －,-24,-33,-19,10,-25,1.1,1.7,-0.8
対前年増減数／男／平成24年平均,12,-8,8,7,-7,4,10,0,-3,1,7,   －,   －,   －,-16,21,-8,-1,31,-0.3,0,-0.3
対前年増減数／男／平成25年平均,19,-13,0,3,6,-3,-1,-2,5,2,-5,   －,   －,   －,-13,29,-7,1,35,-0.4,-0.2,-0.3
対前年増減数／男／平成26年平均,28,38,53,52,42,10,1,1,-18,-4,71,36,23,2,-15,-9,-8,4,-5,0.3,0.5,-0.4
対前年増減数／男／平成27年平均,38,48,49,43,36,7,0,6,-2,-1,47,57,2,14,-1,-10,-23,6,7,0.3,0.4,-0.1
対前年増減数／男／平成28年平均,67,28,56,71,58,11,2,-15,-15,5,67,77,-15,0,-27,40,2,-4,42,-0.4,0.1,-0.6
対前年増減数／男／平成29年平均,42,37,44,35,33,0,3,9,5,-5,50,48,-4,9,-8,5,10,2,-8,0.1,0.3,-0.2
対前年増減数／男／平成30年平均,38,76,86,76,33,29,12,10,21,-1,50,52,44,50,-11,-38,-29,-2,-6,0.8,0.9,-0.3
対前年増減数／男／平成31年・令和元年平均,40,42,52,48,44,7,-2,5,20,1,38,12,25,0,-10,-7,-2,1,-6,0.2,0.4,-0.2
対前年増減数／男／令和２年平均,27,54,15,-46,-37,-17,8,60,-3,-5,31,33,-22,-19,40,-23,-5,0,-19,0.5,-0.1,0.8
対前年増減数／男／令和３年平均,-21,-10,-14,22,25,-16,12,-35,-16,1,-6,2,-28,-15,4,-13,-5,8,-15,0.1,0,0.1
対前年増減数／女／平成23年平均,185,146,153,155,116,-2,41,-2,-12,3,161,   －,   －,   －,-7,42,23,62,-44,0.8,1.1,-0.4
対前年増減数／女／平成24年平均,24,-6,0,-1,28,-3,-26,1,-6,-14,22,   －,   －,   －,-6,30,-14,-39,83,-0.3,-0.2,-0.2
対前年増減数／女／平成25年平均,27,82,93,84,59,6,18,9,10,3,77,   －,   －,   －,-11,-57,-21,-96,59,1.2,1.3,-0.5
対前年増減数／女／平成26年平均,37,87,96,73,57,10,7,23,10,-6,92,42,41,11,-10,-50,-2,-81,35,1.1,1.3,-0.4
対前年増減数／女／平成27年平均,46,27,39,43,29,0,15,-5,-15,-2,60,39,20,41,-11,20,8,-11,22,0,0.3,-0.4
対前年増減数／女／平成28年平均,72,64,61,55,42,17,-5,7,-4,-10,75,65,12,22,4,8,9,-37,36,0.4,0.4,0.1
対前年増減数／女／平成29年平均,53,104,120,103,92,7,4,17,13,0,104,64,38,6,-18,-54,0,-40,-13,1.2,1.4,-0.6
対前年増減数／女／平成30年平均,53,149,155,135,64,14,57,20,12,3,133,71,61,76,-5,-96,-26,-66,-6,2,2.1,-0.3
対前年増減数／女／平成31年・令和元年平均,53,79,86,87,79,19,-11,-1,3,-12,94,93,7,-3,-7,-27,-4,-79,57,0.7,0.9,-0.2
対前年増減数／女／令和２年平均,39,54,29,-48,29,-22,-56,77,5,1,31,83,-44,-59,25,-14,-27,-77,90,0.5,0.1,0.6
対前年増減数／女／令和３年平均,-2,45,55,103,92,10,2,-48,-9,5,54,53,-7,9,-10,-47,9,-12,-44,0.7,0.8,-0.3
,,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（令和３年平均）,,,,,,,,,,,,,,,,,,,,,,
第２表　就業状態、活動状態別15歳以上人口,,,,,,,,,,,,,,,,,,,,,,
