区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,269,273,-4,-1.5,116,125,-9,-7.2,153,148,5,3.4
〔就業者の主な産業別内訳〕／教育，学習支援業,453,455,-2,-0.4,194,193,1,0.5,259,263,-4,-1.5
〔就業者の主な産業別内訳〕／医療，福祉,874,839,35,4.2,221,214,7,3.3,653,625,28,4.5
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,666,711,-45,-6.3,380,419,-39,-9.3,286,292,-6,-2.1
〔雇用者の主な産業別内訳〕／建設業,359,359,0,0,278,284,-6,-2.1,81,75,6,8
〔雇用者の主な産業別内訳〕／製造業,654,664,-10,-1.5,461,463,-2,-0.4,193,200,-7,-3.5
〔雇用者の主な産業別内訳〕／情報通信業,842,792,50,6.3,574,537,37,6.9,268,254,14,5.5
〔雇用者の主な産業別内訳〕／運輸業，郵便業,374,352,22,6.3,279,263,16,6.1,95,89,6,6.7
〔雇用者の主な産業別内訳〕／卸売業，小売業,1214,1217,-3,-0.2,602,600,2,0.3,612,618,-6,-1
〔雇用者の主な産業別内訳〕／金融業，保険業,347,341,6,1.8,167,166,1,0.6,180,175,5,2.9
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,258,260,-2,-0.8,153,147,6,4.1,104,113,-9,-8
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,439,420,19,4.5,261,259,2,0.8,179,160,19,11.9
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,411,430,-19,-4.4,175,193,-18,-9.3,236,237,-1,-0.4
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,208,221,-13,-5.9,87,99,-12,-12.1,121,121,0,0
〔雇用者の主な産業別内訳〕／教育，学習支援業,415,417,-2,-0.5,178,180,-2,-1.1,236,236,0,0
〔雇用者の主な産業別内訳〕／医療，福祉,826,796,30,3.8,193,187,6,3.2,634,609,25,4.1
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,616,636,-20,-3.1,345,365,-20,-5.5,271,271,0,0
〔非農林業雇用者の従業者規模別内訳〕／総数,7414,7365,49,0.7,4015,4023,-8,-0.2,3399,3343,56,1.7
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1667,1681,-14,-0.8,877,909,-32,-3.5,790,772,18,2.3
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,2231,2234,-3,-0.1,1196,1195,1,0.1,1035,1039,-4,-0.4
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,2918,2836,82,2.9,1639,1594,45,2.8,1279,1242,37,3
〔完全失業率（年齢階級別）(%)〕／総数,3,3.1,-0.1,…,3.4,3.3,0.1,…,2.5,2.8,-0.3,…
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,4.3,4.5,-0.2,…,5.8,5.8,0,…,2.9,3.6,-0.7,…
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,3.7,3.9,-0.2,…,4.6,4,0.6,…,2.6,3.7,-1.1,…
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,2.5,2.6,-0.1,…,2.8,3,-0.2,…,2.2,2.2,0,…
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,2.7,2.5,0.2,…,3,2.2,0.8,…,2.3,2.9,-0.6,…
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,3,3.2,-0.2,…,2.8,3.6,-0.8,…,3.3,2.7,0.6,…
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.2,2.5,-0.3,…,2.4,3,-0.6,…,1.9,1.4,0.5,…
〔就業率（%）〕／総数,65.8,65.3,0.5,…,73.9,73.9,0,…,57.9,57.1,0.8,…
〔労働力人口比率(%)〕／総数,67.8,67.4,0.4,…,76.5,76.4,0.1,…,59.4,58.7,0.7,…
,,,,,,,,,,,,
東京の労働力統計データ（令和３年平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
令和３年平均,,,,,,,,,,,,
注)非農林業雇用者の従業者規模別内訳の総数には官公・従業者規模不詳を含んでいるため、内訳の合計とは一致しない。,,,,,,,,,,,,
