年月,西暦（年）,月,消費者物価指数(平成22年=100）/全国,消費者物価指数(平成22年=100）/東京都区部,戦前基準指数(昭和9～11年=1)/企業物価指数,注1)消費水準指数全国(平成22年=100）/二人以上の世帯,注1)消費水準指数全国(平成22年=100）/二人以上の世帯のうち勤労者世帯,東京都生計分析調査（勤労者世帯）/実収入（円）,東京都生計分析調査（勤労者世帯）/消費支出（円）,東京都生計分析調査（勤労者世帯）/注3)/平均消費性向（％）,東京都生計分析調査（勤労者世帯）/注4)/公共的料金負担率（％）,注2)実質賃金指数東京都/調査産業計
平成25年1月,2013,1,99.3,98.6,691.5,98.5,99.5,476992,353013,91.9,32.3,81.4
平成25年2月,2013,2,99.2,98.2,703.2,101.4,102.7,493916,316365,78.7,34.3,81.3
平成25年3月,2013,3,99.4,98.5,706.8,107.9,108.7,498487,396504,98.2,27,87.1
平成25年4月,2013,4,99.7,98.9,711.6,106.9,108.5,528821,400706,92.8,37.5,84.5
平成25年5月,2013,5,99.8,99,715.4,95.8,94.9,471539,338491,91.4,30.4,84.2
平成25年6月,2013,6,99.8,98.9,707.4,94.5,94.5,832662,371202,56.3,27.2,162.2
平成25年7月,2013,7,100,99,713.2,96.8,95.3,643942,378071,74.8,26.6,107.5
平成25年8月,2013,8,100.3,99.3,710.7,96,95.8,520428,364945,86.2,25.6,81.5
平成25年9月,2013,9,100.6,99.5,716.1,97.5,99.6,490718,374207,96,33.1,83.9
平成25年10月,2013,10,100.7,99.6,713.6,97.6,96.7,516001,336365,80.5,33,82
平成25年11月,2013,11,100.8,99.7,717.5,96.9,95,493430,350728,88.9,26.4,83.5
平成25年12月,2013,12,100.9,99.7,726.5,112.2,109.3,976594,384054,48.1,26.6,189.9
平成26年1月,2014,1,100.7,99.3,728.8,100,99.6,510311,338772,82.7,30.2,80.6
平成26年2月,2014,2,100.7,99.3,723.8,99.3,99.5,539310,313979,72.6,30.8,80.1
平成26年3月,2014,3,101,99.8,723.3,115.9,117,510464,402851,99.1,27.8,86.8
平成26年4月,2014,4,103.1,101.7,735.7,102.1,101.1,553050,367585,81.7,33.8,82.6
平成26年5月,2014,5,103.5,102.1,735,88.3,86.5,-,-,-,-,-
,,,,,,,,,,,,
東京の物価／平成26年6月,,,,,,,,,,,,
参考表１　主要指標,,,,,,,,,,,,
注1)月々の１世帯当たりの世帯人員別消費支出額を基準年の世帯分布で加重平均し、30.4日（365日÷12）の額に調整した後、   これを平成22年平均を基準として指数化し、更に消費者物価指数で除して実質化した指数,,,,,,,,,,,,
2)実質賃金指数(現金給与総額）（事業所規模30人以上）=名目賃金指数（現金給与総額）÷東京都区部消費者物価指数（持ち家の帰属家賃を除く総合）×100   　(平成22年＝100),,,,,,,,,,,,
3)平均消費性向＝（消費支出÷可処分所得）×100（可処分所得＝実収入－租税公課等）,,,,,,,,,,,,
4)公共的料金負担率＝（公共的料金÷消費支出）×100,,,,,,,,,,,,
資料　 総務省統計局(1)／日本銀行(2)／東京都統計部(3),,,,,,,,,,,,
