年,西暦（年）,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
昭和47年平均,1972,36.6,37,36.8,36.5,35.1,32.4,38.4,80.3,37.6,41.5,40.7,16.2,42.2,32.2
昭和48年平均,1973,41,41.1,41.2,41.5,39,36.1,40.9,90.1,45.5,40.8,43.1,17.9,46.5,34.5
昭和49年平均,1974,49.7,49.5,50.4,52.1,44.1,44.1,48,122.8,55.4,44.2,50.1,21.4,56.3,39.8
昭和50年平均,1975,55.7,55.8,56.6,58.7,49.3,48,56.8,123.8,58.5,49.9,57.3,27.4,64.6,45.1
昭和51年平均,1976,61.1,60.9,62,64.3,54,52.6,63.1,124.9,63.7,54.6,62.6,31.9,68.7,54.5
昭和52年平均,1977,66.2,66,67.2,68.6,59.1,57.2,69.6,128.9,66.8,57.1,76.5,36.6,73.4,58.1
昭和53年平均,1978,69.5,69.3,70.1,71.2,64.6,61.2,68.6,130.7,69.7,63.1,78.3,41.2,76.6,59.9
昭和54年平均,1979,72.1,71.9,72.5,72.2,68.3,64.8,72.6,132.4,72.5,65.7,82.9,45.2,78.9,61.6
昭和55年平均,1980,77.2,77,78,76.4,70.1,68.5,96.5,142.5,75.9,66.8,86.9,49.5,84.7,70.4
昭和56年平均,1981,80.8,80.6,81.8,80.1,72.7,71.5,104.5,147.6,78.7,68.5,90.3,53.3,88.8,74
昭和57年平均,1982,83.3,83.3,84.3,81.9,74.7,73.3,111.7,148.7,81.6,70.1,95.3,56.7,90.6,75.5
昭和58年平均,1983,85,85,86.1,83.5,76.8,75.8,111.4,148.4,83.4,71.1,94.6,59.5,93.3,78.9
昭和59年平均,1984,87.3,87.1,88.4,86,78.6,78.4,112.5,149.1,86,73.5,96.2,62.1,95.7,80.5
昭和60年平均,1985,89.3,89.2,90.4,87.5,81.1,80.9,112.9,149.9,89.1,78,98.8,65.2,97.4,81.4
昭和61年平均,1986,90.1,90.1,91,87.5,82.9,82.2,107.2,150.5,91.8,79.6,98.6,67.7,99.3,82.9
昭和62年平均,1987,90.5,90.6,91.1,87.3,85.2,84.5,99.4,149.9,91.4,81.2,99.4,70,100.2,84
昭和63年平均,1988,91.4,91.3,92,88.3,86.7,86.3,97.5,149.1,92.6,81.4,99.2,72.6,101.5,84.7
平成元年平均,1989,93.9,93.8,94.4,90.8,89.4,89,96.5,150.2,97.7,82.5,100.3,74.8,105.1,86.1
平成2年平均,1990,96.7,96.3,97.4,94.7,92.1,92.2,97.1,150.2,101.4,83.2,101.2,78.1,109.4,87.5
平成3年平均,1991,99.9,99.1,100.6,99.1,95.2,95.6,97.7,151.4,107.7,84,102.1,80.8,112.5,89.1
平成4年平均,1992,101.9,101.5,102.3,99.6,98.4,99.3,97.7,153.2,110.5,86.3,104.5,83.6,115.5,90.3
平成5年平均,1993,103.1,102.8,103.2,100.6,101.8,101.7,97.5,152,108.1,86.6,104.6,86.6,117.7,91.7
平成6年平均,1994,103.8,103.5,103.6,101.3,104,103,98.5,148.1,105.6,86.9,104,89.3,118.8,92.7
平成7年平均,1995,103.5,103.4,103.3,99.9,104.4,104.4,100.1,145.4,104.8,87.4,105.4,91.3,117,93.3
平成8年平均,1996,103.5,103.4,103.3,99.7,104.1,104.4,99.3,141.2,105.8,88.1,106.2,93.7,116,93.8
平成9年平均,1997,104.9,104.9,104.9,101.3,104.8,104.5,102.6,139.6,107.4,92.7,106.6,95.1,117.9,95.7
平成10年平均,1998,105.7,105.4,105.8,102.8,105,104.3,101.8,137,109.7,100.2,105.4,96.7,118.1,96.8
平成11年平均,1999,105.3,105.2,105.1,101.9,105.2,103.9,100.7,135.1,108.1,99.4,105.2,98.1,117,97
平成12年平均,2000,104.2,104.5,104,99.8,104.4,103.3,101.6,131.9,107.5,98.5,104.8,99.2,115.9,96.5
平成13年平均,2001,103.1,103.2,103.1,99.3,102.7,102.6,101.6,127,105.8,99,103.6,99.9,112.5,96.5
平成14年平均,2002,102.1,102.3,102.1,98.7,101.7,101.9,99.3,121.7,103.7,98,103.3,101.1,110.2,96.4
平成15年平均,2003,101.6,101.8,101.6,98.5,101.1,101.4,99.1,118.2,102.7,101.4,103,101,108.8,97.5
平成16年平均,2004,101.5,101.6,101.6,99.3,100.9,101.4,98.3,115.5,102.8,101.1,102.7,101.3,107.5,97.8
平成17年平均,2005,101,101.2,101,98.2,100.9,101.1,96.9,112.6,102.9,101,101.8,101.8,106.8,97.8
平成18年平均,2006,101.1,101.2,101.2,98.6,101,101.1,99,110.5,103.6,100.4,101.4,102.4,106,98.7
平成19年平均,2007,101.2,101.2,101.1,98.8,101.1,100.9,100.1,108.4,103.1,100.4,101.2,103.7,104.9,99.2
平成20年平均,2008,102.2,102.2,102.2,100.9,101.3,101.1,104.2,107.1,103.2,100.4,102.4,104.4,104.7,99.8
平成21年平均,2009,101,101.2,101,100.4,100.8,100.7,102.2,104.4,101.5,100.5,99.8,105.1,101.5,99
平成22年平均,2010,100,100,100,100,100,100,100,100,100,100,100,100,100,100
平成23年平均,2011,99.5,99.6,99.5,99.3,99.5,99.4,102.7,94.4,100.4,99.4,100.6,100,96.6,102.8
平成24年平均,2012,99,99.1,99,98.6,98.8,98.8,109.1,88.9,100.2,99.1,100.5,100.3,94.2,102.2
平成25年平均,2013,99.1,99.2,99.2,98.2,98.3,98.3,115.4,86.7,99.8,98.5,100.9,100.5,93.3,103.2
,,,,,,,,,,,,,,,
東京の物価／平成２６年２月,,,,,,,,,,,,,,,
２．東京都区部消費者物価１０大費目指数（年平均）,,,,,,,,,,,,,,,
２０１０年＝１００／(平成２２年＝１００),,,,,,,,,,,,,,,
