4　係留施設,,,,,,,,,,,
,,,,,,,,,,,
　4-（1）ブイ・ドルフィン・岸壁・桟橋・物揚場,,,,,,,,,,,
名　　　称,,バース名,,延長（ｍ）,水深（ｍ）,,対象船型(D/W),,船席数,備　　　考,
豊洲物揚場,,T2,,283.13,,‐4.0,500,,-,,
10号地その１,,計,,238.4,,,,,1,,
,有明小型船発着所,,,58.4,,‐4.0,-,,-,,
,多目的ふ頭岸壁,MP,,180,,‐7.5,"5,000(G/T)",,1,,
10号地その２,,計,,"3,296.00",,,,,28,,
,10号地西岸壁,VA～VK,,"1,500.00",,‐7.5,"5,000",,11,沖縄定期航路,3ﾊﾞｰｽ
,10号地東岸壁,VL～VX,,920,,‐5.0,"1,000",,13,,
,フェリーふ頭,VAA～VAD,,876,‐7.5～‐8.5,," 6,000～",,4,,
,,,,,,,"16,000(G/T)",,,,
青海コンテナふ頭,,A0～A2,,870,‐13.0～,,"35,000～",,3,,
,,,,,,‐15.0,"50,000",,,,
辰巳ふ頭,,NA～NM,,"1,040.00",,‐5.0,"1,000",,13,,
中央防波堤,,計,,"1,460.00",,,,,6,,
,内側ばら物ふ頭,X2,,240,,‐12.0,"30,000",,1,,
,内側建設発生土ふ頭,X8,,130,,‐7.5,"5,000",,1,,
,内側内貿ふ頭,X4・X5,,460,,-9,"12,000(G/T)",,2,,
,中央防波堤外側ふ頭,Y1・Y2,,630,-11.0～,,"20,000～",,2,,
,,,,,,-16,"150,000",,,,
13号地ふ頭（有明）,,RA～RJ,,750,,‐5.0,"1,000",,10,一部休止中,
青海小型船発着所,,,,58.4,,‐4.0,-,,-,,
大井その1,,計,,"2,049.50",,,,,8,,
,大井コンテナふ頭,O4～O6,,990,,‐15.0,"50,000",,3,,
,大井水産物,OJ～OK,,450,,‐12.0,"30,000",,2,,
,大井食品,OL,,229.5,,‐12.0,"30,000",,1,,
,〃,OM～ON,,380,,‐11.0,"15,000",,2,,
城南島,,計,,877.2,,,,,5,,
,大井建材ふ頭,OOD～OOG,,280,,‐5.0,"1,000",,4,,
,小型油槽船,OOT,岸壁,387.2,,‐4.0,200(G/T),,-,,
,,　　　　　桟橋,,50,,‐4.0,,,,渡り桟橋,
,建設発生土ふ頭,OOI,,160,,‐7.5,"5,000",,1,,
若洲,,計,,"1,280.00",,,,,8,,
,若洲内貿,LA,,190,,‐11.0,"15,000",,1,H18.6名称変更,
,15号地木材,LB～LD,,720,,‐12.0,"25,000",,3,,
,若洲建材,LLC～LLF,,370,,‐5.5,"2,000",,4,,
東京港埠頭㈱,,合　　　計,,"3,864.00",,,,,15,,
大井コンテナふ頭,,"O1～O3,O7",,"1,364.00",,‐15.0,"50,000",,4,,
青海コンテナふ頭,,A3～A4,,700,,‐15.0,"50,000",,2,,
お台場ライナーふ頭,,AA～AI,,"1,800.00",,‐10.0,"15,000",,9,,
官公庁ふ頭,,合　　　計,,760,,,,,13,,
晴海官庁船,,H2,,50,,‐8.0,"3,000",,1,航海訓練所,
,,H3,,60,,‐8.0,"1,500",,1,水産庁,
,,H4,,60,,‐8.0,"3,200",,1,海洋研究開発機構,
台場官庁船,,RK’,,100,,‐6.0,460,,1,海上保安庁,
築地五丁目,,－,,490,,‐4.5,700,,9,中央卸売市場,
名　　　称,,バース名,,延長（ｍ）,水深（ｍ）,,対象船型(D/W),,船席数,備　　　考,
私設ふ頭,,合　　　計,,"2,822.49",,,,,38,,
(ドルフィン）,,,,  （18基）,,,,,,,
大井建材ふ頭,,OOA～OOC,,210,,‐5.0,"500～1,500",,3,関東宇部コンクリート工業、鏑木生コンクリート、豊田商店,
,,,,,,,,,,,
大井ふ頭その1,,OA(ドルフィン）,,     (3基),,‐8.5,"2,926",,1,JERA,
品川ふ頭,,SB,,106,,‐7.5,"2,075",,1,JERA,
,,SL（ドルフィン）,,     (2基),,‐8.0,"8,400",,1,宇部三菱セメント,
,,SM（ドルフィン）,,     (3基),,‐5.0,699,,1,宇部三菱セメント,
,,SN（ドルフィン）,,     (2基),,‐5.5,"1,000",,1,東京エスオーシー,
,,SO（ドルフィン）,,     (1基),,‐4.5,800,,1,アサノコンクリート,
10号地その1,,KK,,400,,‐7.5,"5,000",,3,住金物流,
,,KN,,390,,‐7.5,"1,500",,5,新日本製鉄,
,,〃,,419,,‐7.5,"2,000",,3,JFE物流,
11号地,,C1（ドルフィン）,,     (3基),,‐8.0,"7,000",,1,太平洋セメント,
砂町北運河,,U2,,60,,‐3.0,900,,1,吉田建材,
,,U3,,60,,‐4.0,499,,1,日本産業,
,,U4,,67.49,,‐4.0,499,,1,上陽レミコン,
東雲運河筋,,U8（ドルフィン）,,     (1基),,‐3.5,499,,4,関東宇部コンクリート工業,
砂町運河筋,,U11（ドルフィン）,,     (2基),,‐2.0,450,,1,昭石化工,
晴海ふ頭,,HA,,160,,‐5.6,"2,000",,1,太平洋セメント,
,,（ドルフィン）,,     (1基),,,,,,,
若洲建材ふ頭,,LLA，LLB,,140,,‐5.0,"1,000",,2,吉田建材、岩本建材,
15号地危険物,,LOA，LOB,,260,,‐5.5,"1,999～4,234",,2,出光興産,
,,LOD,,130,,‐5.5,"1,000",,1,朝田商会,
中防内側外貿雑貨ふ頭,,X3,,260,,‐10.0,"15,000",,1,上組,
若洲内貿特殊品ふ頭,,LM1，LM2,,160,,‐4.5,"1,000",,2,有明興業,
（注）官公庁ふ頭、私設ふ頭については、主なもののみ掲載,,,,,,,,,,,
