年月,西暦（年）,月,消費者物価指数/全国,消費者物価指数/東京都 区部,企業物価指数/総平均/全国, 注1) 消費動向指数/世帯消費動向指数（総世帯実質）/全国,生計分析調査（勤労者世帯）/実収入（円）/東京都,生計分析調査（勤労者世帯）/消費支出（円）/東京都,生計分析調査（勤労者世帯）/ 注3)平均消費性向（％）/東京都,生計分析調査（勤労者世帯）/ 注4)公共的料金負担率（％）/東京都, 注2) 実質賃金指数/調 査産業計/東京都
令和2年6月,2020,6,101.7,101.9,99.6,90.2131,1079611,327538,38.7,27.7,155.3
令和2年7月,2020,7,101.9,102.1,100.2,87.2027,810215,330295,50,27.2,105.7
令和2年8月,2020,8,102,102.1,100.3,89.9546,600926,333977,68.2,25.8,78.3
令和2年9月,2020,9,102,101.9,100.1,- ,- ,- ,- ,- ,- 
,,,,,,,,,,,
東京の物価／令和２年10月分,,,,,,,,,,,
参考表３  主　 要 　指 　標,,,,,,,,,,,
2015年=100(平成27年=100）,,,,,,,,,,,
注1)月々の１世帯当たりの世帯人員、世帯主の年齢階級別消費支出額を基準年の世帯分布で加重平均し、30.4日（365日÷12）の額に調整した後、これを消費者物価指数で除して実質化し、さらに平成27年平均を基準として指数化したもの。,,,,,,,,,,,
2)実質賃金指数(現金給与総額）（事業所規模30人以上）=名目賃金指数（現金給与総額）÷東京都区部消費者物価指数（持ち家の帰属家賃を除く総合）×100   2015年=100(平成27年=100）,,,,,,,,,,,
3)平均消費性向＝（消費支出÷可処分所得）×100（可処分所得＝実収入－租税公課等）,,,,,,,,,,,
4)公共的料金負担率＝（公共的料金÷消費支出）×100,,,,,,,,,,,
資料　 総務省統計局(1)／日本銀行(2)／東京都統計部(3),,,,,,,,,,,
