2,6,7,2,2,閾ｪ霆｢霆願ｳｼ蜈･,484,0.2,448,0.1,613,0.2,160,0.1,790,0.3,202,0.1,645,0.2
2,6,7,2,3,閾ｪ蜍戊ｻ顔ｭ臥ｶｭ謖�,9919,3.1,10177,3.4,10451,2.9,5293,2.4,3844,1.5,10056,3.3,11209,3.1
2,5,7,3,0,騾壻ｿ｡,12835,4,10236,3.4,15617,4.4,9502,4.2,16435,6.5,11496,3.8,15673,4.3
2,4,8,0,0,謨呵ご,20417,6.3,-,-,39319,11,12795,5.7,27717,11,9089,3,34025,9.4
2,5,8,1,0,謗域･ｭ譁咏ｭ�,15467,4.8,-,-,29556,8.3,10981,4.9,15568,6.2,7023,2.3,25801,7.2
2,5,8,2,0,謨咏ｧ第嶌繝ｻ蟄ｦ鄙貞盾閠�蕗譚�,186,0.1,-,-,365,0.1,151,0.1,1068,0.4,26,0,356,0.1
2,5,8,3,0,陬懃ｿ呈蕗閧ｲ,4763,1.5,-,-,9398,2.6,1663,0.7,11081,4.4,2041,0.7,7867,2.2
2,4,9,0,0,謨咎､雁ｨｯ讌ｽ,36071,11.2,34547,11.4,40628,11.4,18794,8.4,26458,10.5,33219,11,41081,11.4
2,5,9,1,0,謨咎､雁ｨｯ讌ｽ逕ｨ閠蝉ｹ�ｲ｡,2214,0.7,2093,0.7,2396,0.7,1520,0.7,3518,1.4,2325,0.8,2643,0.7
2,5,9,2,0,謨咎､雁ｨｯ讌ｽ逕ｨ蜩�,6958,2.2,6093,2,8055,2.3,4243,1.9,6032,2.4,7050,2.3,8031,2.2
2,5,9,3,0,譖ｸ邀阪�莉悶�蜊ｰ蛻ｷ迚ｩ,3810,1.2,4321,1.4,3661,1,2654,1.2,2399,1,3498,1.2,3465,1
2,5,9,4,0,謨咎､雁ｨｯ讌ｽ繧ｵ繝ｼ繝薙せ,23089,7.2,22040,7.3,26516,7.4,10377,4.6,14509,5.8,20346,6.7,26942,7.5
2,6,9,4,1,螳ｿ豕頑侭,2492,0.8,2854,0.9,2641,0.7,692,0.3,901,0.4,1735,0.6,2987,0.8
2,6,9,4,2,繝代ャ繧ｯ譌�｡瑚ｲｻ,5352,1.7,5357,1.8,5659,1.6,2594,1.2,2132,0.8,6364,2.1,6730,1.9
2,6,9,4,3,譛郁ｬ晞｡
