年代１（年）,年代２（年）,年代３（月）,噴火記事
1912～1914,明治45～大正3,,１９１２年２月２３日、噴火孔底に溶岩噴出を開始、６月１０日まで噴火、新溶岩は噴火孔底を満たし約９０ｍの高さのスコリア丘を溶岩原上につくる。火山微動を伴う。噴火中断後噴火孔底は徐々に沈降、噴出口があらわれる。１９１２年７月２７日噴火再開、７月２９日まで溶岩片を噴出、同様の活動を１９１２年９月１６日より翌年１月２５日の間にも繰り返す。それらの活動よりさらに爆発的な活動が、１９１４年５月１５日に始まり１０日間続く。この活動によって溶岩は噴出口を満たし噴火孔底にあふれる。いくつかのスコリア丘ができる。村落近くまで降灰があった。５月２９日には噴火孔底の中央部が階段状に沈降していた。
1915,大正4,,１０月１０日頃から活動開始、約２０日間続く。爆発音、降灰。
1919,大正8,,５～６月にかけて三原山火口内にスコリア丘が形成される。新スコリア丘の南半分は中央火孔出現によって崩壊。この崩壊による爆発活動は１１月末に発生。
1922～1923,大正11～12,,１９２２年１２月より１９２３年１月にかけて溶岩噴出活動、三原火口内にスコリア丘形成、同じ頃溶岩三原火孔底を満たす。スコリア丘は基底よりの高さ４２ｍに成長。
1933,昭和8,,１０月初めより小活動開始、溶岩片が三原山火口中央の噴火孔底に噴出
1934,昭和9,,４月１５日、全島に微かな地響きを生じた後、三原山火口で爆発が起こり、黒煙が噴出された。この日音響が間欠的に聞こえる。
1935,昭和10,,約１年間の静穏の後、４月２６日活動開始、溶けた溶岩片を三原山火口中央噴火孔底に噴出した。
1938,昭和13,,８月１０日夜半から１１日にかけてよく発泡したスコリアを中央噴火孔より噴出、噴火孔の南側の火口原の一部にスコリア落下、火口毛の報告あり。
1939,昭和14,,１月から２月にかけて小噴火、７月には噴煙量増加、火口付近に降灰。９月１日、中央火孔底に溶岩プール出現、９月３日まで溶岩片、灰を噴出、その後プール表面は固化した溶岩皮殻に覆われる。９月１６日、溶岩プール再び出現、噴出したスコリア噴火孔縁に達する。
1940,昭和15,,８月１９日、スコリア、火山弾を中央噴火孔より噴出、三原火口底に最大２ｍ積もる。小スコリア、灰は東方２ｋｍ以上に達する。
1950～1951,昭和25～26,,１９５０年７月１６日、三原中央噴火孔の南側壁面より静かに溶岩が流失、その後ストロンボリ式噴火を開始する。噴出した火山弾、スコリア、灰は噴石丘をつくる。その間に噴火孔底に溶岩が出現、孔底を埋める。８月１４日、溶岩は中央噴火孔より流れだし三原火口原内にひろがる。９月の半ば頃、溶岩は三原火口を満たした後、西及び北側の火口縁を越えて細い流れをつくり三原山中腹に流下する。約７０日間の活動後、９月２３日にいたって噴火はやむ。三原火口を満たした溶岩の中央部は静穏期間内に徐々に沈降する。１９５１年２月４日再び噴火、火口内に噴石丘をつくる。３月にはいってパホエホエ状及びアア状の溶岩が火口縁を越えて西及び北方に流下、カルデラ原にひろがる。４月初めより溶岩の流出はやむが噴火は爆発的になる。時折は黒煙柱を噴き上げ６月末まで活動が続く。噴火が終わると中央火孔が元の位置に生成される。そのため噴石丘の北半分はその中に崩壊する。噴火孔の深さは数日で５０ｍに達する。１９５０～１９５１年の活動によって噴出した噴出物の総量はおよそ２６００万ｍ２程度である。
1951,昭和26,6,２７日午後爆発的噴火、１８時３０分頃最盛、大爆発音が聞こえ、元村に著しい降灰。この爆発は１９５０年～１９５１年の爆発活動中最大、火口周辺放出物で覆われる。厚さ２ｍ、西縁。２８日以後２・３日のうちに火口中央部の陥没は５０ｍに達す。旧来の中央堅杭状火孔再現、噴石丘北半分は崩壊。
1952,昭和27,,１２月群発地震
1953,昭和28,1,群発地震
1953,昭和28,9,群発地震
1953,昭和28,10,４日１９時頃より大島測候所ウィヘルト地震計に火山性微動記録。５日、８時３２分噴火始まる。７日頃もっとも強く、１２日１９時３０分頃急におさまる。９より１３日にかけて噴火、１２日の夕刻には溶岩流（長さ７２ｍ、幅８ｍ）が認められる。１日より１８日まで１０・１１月の活動と同位置の噴出孔から噴煙、スコリアを打ち上げる。１４日０６時５０分より０９時３０分の間大島測候所において１７ｇｒ／ｍ２の降灰、１６日２２時より１７日６時の間３２ｇｒ／ｍ２の降灰。２８日１８時頃より噴火開始、元村でも音が聞こえる。
1953,昭和28,11,
1953,昭和28,12,
1954,昭和29,1,この噴火は１６日まで続く。１月１３～１４日には大島の東北東及び５０ｋｍの富崎で爆発音が聞かれた。１５日、溶岩噴泉１３時３０分より溶岩が噴出孔より流出、５ｍの幅で竪穴状火口に流下する。１７時３０分頃には竪穴状火口底の床の大部分を覆う。２８～３１日噴火弱まりつつ継続。１日より８日噴火、８日以降噴火弱まる。この活動の期間中火口の北西及び１．５ｋｍにある観測所(外輪山縁)で火山性微動が連続的に記録される。８日大きな微動(脈動)微動弱まる傾向１９５３～５４年の噴孔地帯徐々に沈降、火孔壁の崩壊続き火孔底浅くなる。噴煙多い。
1954,昭和29,2,
1954,昭和29,4,
1954,昭和29,7,
1954,昭和29,8,
1954,昭和29,11,
1955,昭和30,,９月７～８日群発地震、１２月噴煙活動
1956,昭和31,,１月小爆発、火口付近に降灰、２月弱い噴煙活動、４、５月群発地震、８月小爆発１０月爆発的活動が激しくなる。１３日１９５６年噴出孔の北東に接して新噴出孔を生じた。この爆発的噴火により５４名遭難（死者１名、負傷者５３名）。１２月小爆発
1957,昭和32,,１月群発地震、５～７月火山性微動、９月小爆発１０月爆発的活動が激しくなる。１３日１９５６年噴出孔の北東に接して新噴出孔を生じた。この爆発的噴火により５４名遭難（死者１名、負傷者５３名）。１２月小爆発
1958,昭和33,,小爆発
1959,昭和34,,小爆発。８、１０月群発地震。
1960,昭和35,,群発地震。小爆発多数。
1961,昭和36,,噴煙。５、６、１１月山麓に降灰。
1962,昭和37,,噴煙。小爆発。８、９月小噴火。
1963,昭和38,,噴煙。小爆発。７～９月小噴火。
1964,昭和39,,小噴火。１２月爆発活発
1965,昭和40,,小噴火。時々火映
1966,昭和41,,時々小爆発
1967,昭和42,,小噴火。連続微動。
1968,昭和43,,時々火映
1969,昭和44,,小爆発
1970,昭和45,,１月弱噴火、火山毛噴出、火映
1971,昭和46,,火映、連続微動。
1972,昭和47,,火映、連続微動。
1973,昭和48,,１１月１８回の有感地震群発。１２月噴煙活動
1974,昭和49,,２月２８日～３月１日、小爆発、噴石、降灰、火山毛、空振、火映、噴出物３０００トン
1975,昭和50,,静穏
1976,昭和51,,静穏
1977,昭和52,,１０月９日、３１日及び１１月４日、１６日を中心に群発地震
1978,昭和53,,１月１４日、１９７８年伊豆大島近海地震、Ｍ＝７．０、この地震によって火孔壁崩れる。
1979,昭和54,,静穏
1980,昭和55,,６月２９日伊豆半島東方沖地震、Ｍ＝６．７
1981,昭和56,,静穏
1982,昭和57,,８月１２日伊豆大島近海地震、Ｍ＝５．７
1983,昭和58,,１、１２月群発地震
1984,昭和59,,８月３０日～９月１０日伊豆半島東方沖で地震群発、Ｍ＝４．５
1985,昭和60,,１０月から伊豆半島東方沖で群発地震、Ｍ＝４．８
1986,昭和61,7,下旬より間欠的火山性微動発現、以後発生続く。１１～１３日、２６～２７日地震群発(含有感)、２２日の観測で火孔底温度分布に変化認められる。火孔縁でガス臭強い。間欠的火山性微動続く。２４日、火山性微動連続となる。１２日三原山火口内南側火孔壁の噴気が増大。１５日１７時２５分頃火口内南壁より噴火開始。１９日新噴出溶岩三原山火口内を埋め火口縁低部よりカルデラ床に流下を始める。２０日朝より噴火は間隔があくとともに爆発的になり光環現象が見られるようになる。２１日１４時３０分頃よりカルデラ北部で地震群発次第に激しさを増す１４時４０分頃火口の噴火一時停止する。１６時１５分カルデラ床より割れ目噴火開始１６時４５分頃火口噴火再開１７時４６分頃外輪山外側で割れ目噴火再開２１日２０時４５分頃火口群活動を停止２２日０２時頃カルデラ床の割れ目噴火衰える〃０２～０３時の間にＡ火口活動停止噴出物量、８０００万トン１２日、山頂Ａ火口で噴火開始、約２時間続く
1986,昭和61,8,
1986,昭和61,9,
1986,昭和61,10,
1986,昭和61,11,
1986,昭和61,12,
1987,昭和62,1～4,火山性微動伊豆半島東方沖で群発地震、Ｍ＝５．１、２３日頃より山頂火口下の微小地震発生増加する。微小地震活動１６日１０時４７分中央火孔陥没に伴って噴火、爆発音を伴う。噴出物推定量１０．０００トン以下。１８日０３時２０分頃山頂火口中央火孔内に１９８６年溶岩崩壊する。深さおよそ１５０ｍの火孔出現、火山性微動火口下の微小地震発生止む。
1987,昭和62,5,
1987,昭和62,6～10,
1987,昭和62,11,
