区分,主食東京都備蓄分（クラッカー・アルファ化米・即席麺）都有倉庫（食数）,主食東京都備蓄分（クラッカー・アルファ化米・即席麺）寄託倉庫（食数）,主食東京都備蓄分（クラッカー・アルファ化米・即席麺）ランニングストック（食数）,主食東京都備蓄分（クラッカー・アルファ化米・即席麺）計（単位：食数）,区市町村備蓄分乾パン（食数）,区市町村備蓄分インスタント（食数）,区市町村備蓄分米（食数）,区市町村備蓄分缶詰主食（食数）,区市町村備蓄分缶詰副食（食数）,区市町村備蓄分その他内容（食数）,区市町村備蓄分その他食数（食数）,区市町村備蓄分計（食数）,区市町村備蓄分水（？）,区分
千代田,-,20500,-,20500,36214,-,67550,-,58524,-,-,162288,8400,千
中央,-,25000,-,25000,-,-,5100,10000,51000,-,-,66100,12300,中
港,-,51000,-,51000,50850,-,11255,18248,-,-,-,80353,9000,港
新宿,30749,31200,-,61949,-,79000,178000,16000,198,離乳食,5600,278798,5700,新
文京,-,23000,-,23000,-,-,5040,-,-,クラッカー,187560,192600,2376,文
台東,-,-,-,0,39970,-,-,200000,100000,-,-,339970,28272,台
墨田,39000,37430,-,76430,-,-,13005,30810,4504,ビスケット、クラッカー,164612,212931,36360,墨
江東,-,-,-,0,199000,-,16700,-,-,-,-,215700,10800,江
品川,-,-,-,0,149200,-,27538,-,-,-,-,176738,3000,品
目黒,-,-,-,0,75200,-,13450,-,-,-,-,88650,30552,目
大田,304700,20000,-,324700,307580,-,15375,-,-,梅干し１２００ｋｇ食塩１５００ｋｇ,-,322955,26640,大
世田谷,1400,-,-,1400,-,-,17000,54000,-,ビスケット,345600,416600,6500,世
渋谷,-,11200,-,11200,-,-,50000,30000,-,クラッカー,100000,180000,14600,渋
中野,-,10000,-,10000,-,-,3845,24126,-,-,-,27971,-,野
杉並,-,-,-,0,228310,-,21085,10048,-,ビスケット,268000,527443,55344,杉
豊島,-,43820,-,43820,195884,-,12955,-,-,-,-,208839,29232,豊
北,-,51000,-,51000,-,-,32200,99600,-,-,-,131800,37200,北
荒川,3880,15000,-,18880,96700,-,9900,-,-,-,-,106600,2814,荒
板橋,-,-,-,0,764650,-,21350,-,-,-,-,786000,-,板
練馬,-,44310,-,44310,126026,-,8480,-,-,-,-,134506,1236,練
足立,-,48000,-,48000,-,-,41440,-,-,クラッカー,204540,245980,610404,足
葛飾,90000,14000,-,104000,281664,-,15370,1760,-,-,-,298794,40656,葛
江戸川,14000,-,-,14000,200375,-,-,6828,-,粉ミルク,20428,227631,-,戸
区計,483729,445460,0,929189,2751623,79000,586638,501420,214226,,1296340,5429247,971386,計
,第４節港湾施設等,,,13,46,623
第３部安全な交通ネットワーク及びライフライン等の確保,第３章エネルギーの確保,第２節下水道,停電や電力不足に対応する自己電源の増強,,8171,8202,9430
第３部安全な交通ネットワーク及びライフライン等の確保,第３章エネルギーの確保,第２節下水道,島しょ部における再生可能エネルギーの活用,,,0,10
第４部津波等対策,,,,,29148,40866,56742
第４部津波等対策,第１章関係施設の耐震・耐水性等の強化,,,,26952,39013,53540
第４部津波等対策,第１章関係施設の耐震・耐水性等の強化,第１節河川施設の整備・耐震補強,,,13267,16128,25182
第４部津波等対策,第１章関係施設の耐震・耐水性等の強化,第１節河川施設の整備・耐震補強,河川施設の耐震・耐水対策の強化,,4963,6805,13051
第４部津波等対策,第１章関係施設の耐震・耐水性等の強化,第１節河川施設の整備・耐震補強,河川高潮防御施設の整備,,2317,2874,2736
第４部津波等対策,第１章関係施設の耐震・耐水性等の強化,第１節河川施設の整備・耐震補強,スーパー堤防等の整備,,2376,2150,2556
第４部津波等対策,第１章関係施設の耐震・耐水性等の強化,第１節河川施設の整備・耐震補強,江東内部河川の整備,,2530,2738,2229
第４部津波等対策,第１章関係施設の耐震・耐水性等の強化,第１節河川施設の整備・耐震補強,下水道施設の地震・津波対策,,1081,1561,4610
第４部津波等対策,第１章関係施設の耐震・耐水性等の強化,第２節海岸保全施設・港湾施設の整備・耐震補強,,,13685,22885,28358
第４部津波等対策,第１章関係施設の耐震・耐水性等の強化,第２節海岸保全施設・港湾施設の整備・耐震補強,東京港の耐震強化岸壁の整備,,6459,14751,15963
第４部津波等対策,第１章関係施設の耐震・耐水性等の強化,第２節海岸保全施設・港湾施設の整備・耐震補強,東京港海岸保全施設整備の推進,,7226,8134,12373
第４部津波等対策,第１章関係施設の耐震・耐水性等の強化,第２節海岸保全施設・港湾施設の整備・耐震補強,安全・安心な海上公園,,,0,22
第４部津波等対策,第２章島しょ地域の地震・津波対策の推進,,,,2196,1853,3202
第４部津波等対策,第２章島しょ地域の地震・津波対策の推進,島しょ地域における海岸保全施設の整備,,,2187,1817,2832
第４部津波等対策,第２章島しょ地域の地震・津波対策の推進,島しょ地域における港湾・漁港・空港施設の防災力向上,,,9,36,319
第４部津波等対策,第２章島しょ地域の地震・津波対策の推進,島しょ地域における津波対策の支援,,,,0,51
第５部広域的な視点からの応急対応力の強化,,,,,11640,21517,16776
第５部広域的な視点からの応急対応力の強化,第１章初動対応体制の整備,,,,11501,21155,16254
第５部広域的な視点からの応急対応力の強化,第１章初動対応体制の整備,第１節東京都の初動態勢の整備,,,323,513,307
第５部広域的な視点からの応急対応力の強化,第１章初動対応体制の整備,第１節東京都の初動態勢の整備,初動態勢の強化,,216,349,44
第５部広域的な視点からの応急対応力の強化,第１章初動対応体制の整備,第１節東京都の初動態勢の整備,東京都総合防災訓練等の実施,,107,164,263
第５部広域的な視点からの応急対応力の強化,第１章初動対応体制の整備,第２節事業継続体制の確保,,,0,0,1
第５部広域的な視点からの応急対応力の強化,第１章初動対応体制の整備,第２節事業継続体制の確保,都政のＢＣＰの推進,,0,0,1
第５部広域的な視点からの応急対応力の強化,第１章初動対応体制の整備,第３節警察・消防の救助・救急体制,,,11178,20642,15946
第５部広域的な視点からの応急対応力の強化,第１章初動対応体制の整備,第３節警察・消防の救助・救急体制,（１）装備、施設の整備（警察）,,6064,12870,8946
第５部広域的な視点からの応急対応力の強化,第１章初動対応体制の整備,第３節警察・消防の救助・救急体制,（１）装備、施設の整備（警察）,警察署庁舎の整備,5079,12714,8755
第５部広域的な視点からの応急対応力の強化,第１章初動対応体制の整備,第３節警察・消防の救助・救急体制,（１）装備、施設の整備（警察）,警察車両・資器材の整備,985,
