事業所規模,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
100～499人,平成30,2018,11月,20.1,167.6,152.6,15,14.7,90.5,86.9,3.6
100～499人,平成30,2018,12月,18.8,156.6,142.4,14.2,14.3,89.3,85.1,4.2
500人以上,平成25,2013,年平均,19.1,159.2,143.4,15.8,14.2,90.3,85.6,4.7
500人以上,平成26,2014,年平均,19.2,159,143.2,15.8,13.9,87,82.8,4.2
500人以上,平成27,2015,年平均,19,159.4,142.5,16.9,13.5,89.1,85.3,3.8
500人以上,平成28,2016,年平均,19,159.1,142.8,16.3,13.5,87.1,83.8,3.3
500人以上,平成29,2017,年平均,19,159.3,143.8,15.5,13.4,85.9,82.9,3
500人以上,平成30,2018,年平均,19,159,144.3,14.7,14.6,101.3,96.5,4.8
500人以上,平成30,2018,1月,18,150.4,136.6,13.8,13.8,91.5,87.1,4.4
500人以上,平成30,2018,2月,17.9,150.4,136,14.4,13.8,93.8,89.4,4.4
500人以上,平成30,2018,3月,19.1,159.7,144.4,15.3,14.4,99,93.9,5.1
500人以上,平成30,2018,4月,19.4,162.6,147.2,15.4,14.7,104.1,98.9,5.2
500人以上,平成30,2018,5月,19.3,161.6,146.4,15.2,14.9,101.4,96.6,4.8
500人以上,平成30,2018,6月,19.6,163.5,148.7,14.8,15,104,98.9,5.1
500人以上,平成30,2018,7月,19.8,164.6,150,14.6,15.3,106.5,101.5,5
500人以上,平成30,2018,8月,19.6,163.5,149.2,14.3,14.8,104.1,99.3,4.8
500人以上,平成30,2018,9月,17.9,148.6,135.3,13.3,14.3,100.6,96,4.6
500人以上,平成30,2018,10月,19.3,160.8,146,14.8,15.1,105.5,100.8,4.7
500人以上,平成30,2018,11月,20,166.5,151.2,15.3,14.8,102.4,97.5,4.9
500人以上,平成30,2018,12月,18.6,155,140.5,14.5,14.6,101.7,96.8,4.9
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成30年年報,,,,,,,,,,,
第９表　規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間（調査産業計）,,,,,,,,,,,
