区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,2111,2108,3,0.1,1139,1144,-5,-0.4,972,964,8,0.8
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,2573,2474,99,4,1498,1444,54,3.7,1075,1030,45,4.4
〔完全失業率（年齢階級別）(%)〕／総数,2.9,3.2,-0.3,…,3,3.2,-0.2,…,2.7,3.3,-0.6,…
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,4.1,4.8,-0.7,…,4.3,5,-0.7,…,3.8,4.6,-0.8,…
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,3,3.7,-0.7,…,3.1,4,-0.9,…,2.9,3.3,-0.4,…
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,3.1,2.9,0.2,…,3.2,2.6,0.6,…,2.9,3.3,-0.4,…
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,2.4,3.1,-0.7,…,2.5,2.9,-0.4,…,2.2,3.2,-1,…
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,2.7,3.1,-0.4,…,2.9,3.1,-0.2,…,2.2,3.2,-1,…
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.2,2.4,-0.2,…,2.5,2.6,-0.1,…,1.9,2.1,-0.2,…
〔就業率（%）〕／総数,63.2,62.3,0.9,…,72.7,72.4,0.3,…,54,52.6,1.4,…
〔労働力人口比率(%)〕／総数,65,64.4,0.6,…,74.9,74.8,0.1,…,55.5,54.3,1.2,…
,,,,,,,,,,,,
東京の労働力統計データ（平成29年平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成29年平均,,,,,,,,,,,,
注)非農林業雇用者の従業者規模別内訳の総数には官公・従業者規模不詳を含んでいるため、内訳の合計とは一致しない。,,,,,,,,,,,,
