男女・年,西暦(年),15歳以上人口（千人）,15歳以上人口／労働力人口（千人）,15歳以上人口／労働力人口／就業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数／主に仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／通学のかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／家事などのかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／休業者数（千人）,15歳以上人口／労働力人口／就業者数／自営業主数（千人）,15歳以上人口／労働力人口／就業者数／家族従業者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち正規の職員・従業員（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち非正規の職員･従業員（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち非正規の職員･従業員／うちパート･アルバイト（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち常雇（再掲）（千人）,15歳以上人口／労働力人口／完全失業者数（千人）,15歳以上人口／非労働力人口（千人）,15歳以上人口／非労働力人口／通学（千人）,15歳以上人口／非労働力人口／家事（千人）,15歳以上人口／非労働力人口／その他（千人）,労働力人口比率（％、ポイント）,就業率（％、ポイント）,完全失業率（％、ポイント）
実数／男／平成21年平均,2009,5637,4197,4011,3931,3786,88,57,80,417,19,3555,-,-,-,3261,186,1436,454,49,934,74.5,71.2,4.4
実数／男／平成22年平均,2010,5635,4179,3941,3871,3713,97,61,70,399,21,3498,-,-,-,3192,238,1451,452,54,945,74.2,69.9,5.7
実数／男／平成23年平均,2011,5756,4336,4122,4050,3906,89,55,72,412,19,3672,-,-,-,3367,214,1418,433,64,920,75.3,71.6,4.9
実数／男／平成24年平均,2012,5768,4328,4130,4057,3899,93,65,72,409,20,3679,-,-,-,3360,198,1439,425,63,951,75,71.6,4.6
実数／男／平成25年平均,2013,5787,4315,4130,4060,3905,90,64,70,414,22,3674,2502,764,387,3462,185,1468,418,64,986,74.6,71.4,4.3
実数／男／平成26年平均,2014,5815,4353,4183,4112,3947,100,65,71,396,18,3745,2538,787,389,3551,170,1459,410,68,981,74.9,71.9,3.9
実数／男／平成27年平均,2015,5853,4401,4232,4155,3983,107,65,77,394,17,3792,2595,789,403,3591,169,1449,387,74,988,75.2,72.3,3.8
実数／男／平成28年平均,2016,5920,4429,4288,4226,4041,118,67,62,379,22,3859,2672,774,403,3677,142,1489,389,70,1030,74.8,72.4,3.2
実数／男／平成29年平均,2017,5962,4466,4332,4261,4074,118,70,71,384,17,3909,2720,770,412,3729,134,1494,399,72,1022,74.9,72.7,3
実数／女／平成19年平均,2007,5684,2853,2740,2669,1864,95,710,71,150,117,2451,-,-,-,1918,114,2826,355,1736,735,50.2,-,4
実数／女／平成20年平均,2008,5715,2884,2767,2701,1903,91,707,66,153,105,2494,-,-,-,1975,117,2829,353,1734,742,50.5,48.4,4.1
実数／女／平成21年平均,2009,5736,2917,2770,2680,1897,95,688,90,170,100,2481,-,-,-,1939,147,2816,344,1669,804,50.9,48.3,5
実数／女／平成22年平均,2010,5753,2938,2787,2694,1903,91,700,93,172,98,2497,-,-,-,1968,151,2811,342,1691,779,51.1,48.4,5.1
実数／女／平成23年平均,2011,5938,3084,2940,2849,2019,89,741,91,160,101,2658,-,-,-,2122,144,2853,365,1753,735,51.9,49.5,4.7
実数／女／平成24年平均,2012,5962,3078,2940,2848,2047,86,715,92,154,87,2680,-,-,-,2140,138,2883,351,1714,818,51.6,49.3,4.5
実数／女／平成25年平均,2013,5989,3160,3033,2932,2106,92,733,101,164,90,2757,1240,1400,1004,2461,127,2826,330,1618,877,52.8,50.6,4
実数／女／平成26年平均,2014,6026,3247,3129,3005,2163,102,740,124,174,84,2849,1282,1441,1015,2565,117,2776,328,1537,912,53.9,51.9,3.6
実数／女／平成27年平均,2015,6072,3274,3168,3048,2192,102,755,119,159,82,2909,1321,1461,1056,2630,106,2796,336,1526,934,53.9,52.2,3.2
実数／女／平成28年平均,2016,6144,3338,3229,3103,2234,119,750,126,155,72,2984,1386,1473,1078,2715,110,2804,345,1489,970,54.3,52.6,3.3
実数／女／平成29年平均,2017,6197,3442,3349,3206,2326,126,754,143,168,72,3088,1450,1511,1084,2799,92,2750,345,1449,957,55.5,54,2.7
対前年増減数／男女計／平成19年平均,2007,251,261,275,265,241,19,5,10,0,-14,286,-,-,-,260,-13,-12,-86,32,44,0.9,-,-0.4
対前年増減数／男女計／平成20年平均,2008,60,53,53,50,68,-9,-9,3,-10,-17,89,-,-,-,108,0,13,-3,-6,20,0.1,-,0
対前年増減数／男女計／平成21年平均,2009,36,-43,-104,-136,-108,-19,-9,32,20,-7,-120,-,-,-,-129,61,76,19,-67,125,-0.5,-1.1,0.9
対前年増減数／男女計／平成22年平均,2010,15,2,-53,-45,-67,5,17,-7,-16,0,-41,-,-,-,-40,55,11,-4,28,-13,-0.1,-0.5,0.8
対前年増減数／男女計／平成23年平均,2011,306,303,334,333,309,-11,35,-1,1,1,335,-,-,-,329,-31,7,4,72,-69,1,1.3,-0.7
対前年増減数／男女計／平成24年平均,2012,36,-14,8,6,21,3,-17,3,-9,-13,28,-,-,-,10,-22,51,-22,-40,114,-0.4,-0.1,-0.3
対前年増減数／男女計／平成25年平均,2013,46,69,93,87,65,2,18,7,15,4,74,-,-,-,424,-24,-27,-27,-95,94,0.4,0.5,-0.3
対前年増減数／男女計／平成26年平均,2014,64,124,149,125,99,20,7,23,-7,-9,162,78,64,13,194,-25,-58,-12,-77,30,0.7,1,-0.4
対前年増減数／男女計／平成27年平均,2015,85,76,88,86,65,7,15,1,-18,-3,107,96,22,55,104,-12,9,-14,-5,29,0.2,0.3,-0.2
対前年増減数／男女計／平成28年平均,2016,140,93,117,126,100,28,-3,-8,-19,-5,142,142,-2,22,170,-24,47,11,-42,78,0,0.2,-0.4
対前年増減数／男女計／平成29年平均,2017,93,140,165,138,125,7,7,26,18,-5,154,111,33,16,137,-25,-48,10,-37,-21,0.6,0.9,-0.3
対前年増減数／男／平成19年平均,2007,145,198,214,217,200,18,-1,-4,-2,-6,223,-,-,-,211,-16,-55,-51,9,-13,1.6,-,-0.6
対前年増減数／男／平成20年平均,2008,28,22,25,18,28,-5,-6,8,-13,-6,45,-,-,-,52,-3,9,-1,-4,14,0,-,-0.1
対前年増減数／男／平成21年平均,2009,15,-77,-107,-115,-101,-23,10,8,3,-2,-106,-,-,-,-93,30,90,28,-1,64,-1.5,-2,0.8
対前年増減数／男／平成22年平均,2010,-2,-18,-70,-60,-73,9,4,-10,-18,2,-57,-,-,-,-69,52,15,-2,5,11,-0.3,-1.3,1.3
対前年増減数／男／平成23年平均,2011,121,157,181,179,193,-8,-6,2,13,-2,174,-,-,-,175,-24,-33,-19,10,-25,1.1,1.7,-0.8
対前年増減数／男／平成24年平均,2012,12,-8,8,7,-7,4,10,0,-3,1,7,-,-,-,-7,-16,21,-8,-1,31,-0.3,0,-0.3
対前年増減数／男／平成25年平均,2013,19,-13,0,3,6,-3,-1,-2,5,2,-5,-,-,-,102,-13,29,-7,1,35,-0.4,-0.2,-0.3
対前年増減数／男／平成26年平均,2014,28,38,53,52,42,10,1,1,-18,-4,71,36,23,2,89,-15,-9,-8,4,-5,0.3,0.5,-0.4
対前年増減数／男／平成27年平均,2015,38,48,49,43,36,7,0,6,-2,-1,47,57,2,14,40,-1,-10,-23,6,7,0.3,0.4,-0.1
対前年増減数／男／平成28年平均,2016,67,28,56,71,58,11,2,-15,-15,5,67,77,-15,0,86,-27,40,2,-4,42,-0.4,0.1,-0.6
対前年増減数／男／平成29年平均,2017,42,37,44,35,33,0,3,9,5,-5,50,48,-4,9,52,-8,5,10,2,-8,0.1,0.3,-0.2
対前年増減数／女／平成19年平均,2007,107,63,62,48,40,1,6,14,2,-7,63,-,-,-,48,2,43,-35,23,55,0.2,-,0
対前年増減数／女／平成20年平均,2008,31,31,27,32,39,-4,-3,-5,3,-12,43,-,-,-,57,3,3,-2,-2,7,0.3,-,0.1
対前年増減数／女／平成21年平均,2009,21,33,3,-21,-6,4,-19,24,17,-5,-13,-,-,-,-36,30,-13,-9,-65,62,0.4,-0.1,0.9
対前年増減数／女／平成22年平均,2010,17,21,17,14,6,-4,12,3,2,-2,16,-,-,-,29,4,-5,-2,22,-25,0.2,0.1,0.1
対前年増減数／女／平成23年平均,2011,185,146,153,155,116,-2,41,-2,-12,3,161,-,-,-,154,-7,42,23,62,-44,0.8,1.1,-0.4
対前年増減数／女／平成24年平均,2012,24,-6,0,-1,28,-3,-26,1,-6,-14,22,-,-,-,18,-6,30,-14,-39,83,-0.3,-0.2,-0.2
対前年増減数／女／平成25年平均,2013,27,82,93,84,59,6,18,9,10,3,77,-,-,-,321,-11,-57,-21,-96,59,1.2,1.3,-0.5
対前年増減数／女／平成26年平均,2014,37,87,96,73,57,10,7,23,10,-6,92,42,41,11,104,-10,-50,-2,-81,35,1.1,1.3,-0.4
対前年増減数／女／平成27年平均,2015,46,27,39,43,29,0,15,-5,-15,-2,60,39,20,41,65,-11,20,8,-11,22,0,0.3,-0.4
対前年増減数／女／平成28年平均,2016,72,64,61,55,42,17,-5,7,-4,-10,75,65,12,22,85,4,8,9,-37,36,0.4,0.4,0.1
対前年増減数／女／平成29年平均,2017,53,104,120,103,92,7,4,17,13,0,104,64,38,6,84,-18,-54,0,-40,-13,1.2,1.4,-0.6
,,,,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（平成29年平均）,,,,,,,,,,,,,,,,,,,,,,,,
第２表　就業状態、活動状態別15歳以上人口,,,,,,,,,,,,,,,,,,,,,,,,
