区分・年,西暦(年),実数／総数（千人、％）,実数／15～24歳（千人、％）,実数／25～34歳（千人、％）,実数／35～44歳（千人、％）,実数／45～54歳（千人、％）,実数／55～64歳（千人、％）,実数／65歳以上（千人、％）,対前年増減数／総数（千人、ポイント）,対前年増減数／15～24歳（千人、ポイント）,対前年増減数／25～34歳（千人、ポイント）,対前年増減数／35～44歳（千人、ポイント）,対前年増減数／45～54歳（千人、ポイント）,対前年増減数／55～64歳（千人、ポイント）,対前年増減数／65歳以上（千人、ポイント）,対前年増減率／総数（％）,対前年増減率／15～24歳（％）,対前年増減率／25～34歳（％）,対前年増減率／35～44歳（％）,対前年増減率／45～54歳（％）,対前年増減率／55～64歳（％）,対前年増減率／65歳以上（％）
労働力人口／平成20年平均,2008,4274,321,980,1055,763,754,401,22,-16,-4,34,11,-7,4,0.5,-4.7,-0.4,3.3,1.5,-0.9,1
労働力人口／平成21年平均,2009,4197,272,946,1068,782,729,400,-77,-49,-34,13,19,-25,-1,-1.8,-15.3,-3.5,1.2,2.5,-3.3,-0.2
労働力人口／平成22年平均,2010,4179,247,918,1070,806,728,410,-18,-25,-28,2,24,-1,10,-0.4,-9.2,-3,0.2,3.1,-0.1,2.5
労働力人口／平成23年平均,2011,4336,270,958,1123,841,740,404,157,23,40,53,35,12,-6,3.8,9.3,4.4,5,4.3,1.6,-1.5
労働力人口／平成24年平均,2012,4328,258,942,1132,871,702,423,-8,-12,-16,9,30,-38,19,-0.2,-4.4,-1.7,0.8,3.6,-5.1,4.7
労働力人口／平成25年平均,2013,4315,262,917,1121,902,666,447,-13,4,-25,-11,31,-36,24,-0.3,1.6,-2.7,-1,3.6,-5.1,5.7
労働力人口／平成26年平均,2014,4353,265,924,1107,930,651,475,38,3,7,-14,28,-15,28,0.9,1.1,0.8,-1.2,3.1,-2.3,6.3
労働力人口／平成27年平均,2015,4401,277,921,1098,967,660,479,48,12,-3,-9,37,9,4,1.1,4.5,-0.3,-0.8,4,1.4,0.8
労働力人口／平成28年平均,2016,4429,320,909,1090,993,653,464,28,43,-12,-8,26,-7,-15,0.6,15.5,-1.3,-0.7,2.7,-1.1,-3.1
労働力人口／平成29年平均,2017,4466,323,901,1064,1030,661,485,37,3,-8,-26,37,8,21,0.8,0.9,-0.9,-2.4,3.7,1.2,4.5
就業者数／平成19年平均,2007,4093,318,936,987,731,734,387,214,62,-24,59,37,50,30,5.5,24.2,-2.5,6.4,5.3,7.3,8.4
就業者数／平成20年平均,2008,4118,301,933,1024,742,730,388,25,-17,-3,37,11,-4,1,0.6,-5.3,-0.3,3.7,1.5,-0.5,0.3
就業者数／平成21年平均,2009,4011,254,889,1029,756,699,385,-107,-47,-44,5,14,-31,-3,-2.6,-15.6,-4.7,0.5,1.9,-4.2,-0.8
就業者数／平成22年平均,2010,3941,215,854,1023,775,683,393,-70,-39,-35,-6,19,-16,8,-1.7,-15.4,-3.9,-0.6,2.5,-2.3,2.1
就業者数／平成23年平均,2011,4122,246,900,1073,814,696,393,181,31,46,50,39,13,0,4.6,14.4,5.4,4.9,5,1.9,0
就業者数／平成24年平均,2012,4130,239,895,1081,841,664,408,8,-7,-5,8,27,-32,15,0.2,-2.8,-0.6,0.7,3.3,-4.6,3.8
就業者数／平成25年平均,2013,4130,245,868,1078,870,636,432,0,6,-27,-3,29,-28,24,0,2.5,-3,-0.3,3.4,-4.2,5.9
就業者数／平成26年平均,2014,4183,251,876,1068,902,624,462,53,6,8,-10,32,-12,30,1.3,2.4,0.9,-0.9,3.7,-1.9,6.9
就業者数／平成27年平均,2015,4232,262,873,1064,934,634,465,49,11,-3,-4,32,10,3,1.2,4.4,-0.3,-0.4,3.5,1.6,0.6
就業者数／平成28年平均,2016,4288,304,873,1062,964,633,452,56,42,0,-2,30,-1,-13,1.3,16,0,-0.2,3.2,-0.2,-2.8
就業者数／平成29年平均,2017,4332,310,873,1030,1004,642,473,44,6,0,-32,40,9,21,1,2,0,-3,4.1,1.4,4.6
完全失業者数／平成19年平均,2007,159,19,48,33,20,27,11,-16,2,-11,1,-2,-7,1,-9.1,11.8,-18.6,3.1,-9.1,-20.6,10
完全失業者数／平成20年平均,2008,156,20,47,31,20,24,13,-3,1,-1,-2,0,-3,2,-1.9,5.3,-2.1,-6.1,0,-11.1,18.2
完全失業者数／平成21年平均,2009,186,18,57,39,27,30,15,30,-2,10,8,7,6,2,19.2,-10,21.3,25.8,35,25,15.4
完全失業者数／平成22年平均,2010,238,32,64,48,32,45,17,52,14,7,9,5,15,2,28,77.8,12.3,23.1,18.5,50,13.3
完全失業者数／平成23年平均,2011,214,23,59,50,27,44,12,-24,-9,-5,2,-5,-1,-5,-10.1,-28.1,-7.8,4.2,-15.6,-2.2,-29.4
完全失業者数／平成24年平均,2012,198,19,47,51,29,38,15,-16,-4,-12,1,2,-6,3,-7.5,-17.4,-20.3,2,7.4,-13.6,25
完全失業者数／平成25年平均,2013,185,16,49,43,31,30,15,-13,-3,2,-8,2,-8,0,-6.6,-15.8,4.3,-15.7,6.9,-21.1,0
完全失業者数／平成26年平均,2014,170,15,48,39,28,28,13,-15,-1,-1,-4,-3,-2,-2,-8.1,-6.3,-2,-9.3,-9.7,-6.7,-13.3
完全失業者数／平成27年平均,2015,169,15,47,34,33,26,13,-1,0,-1,-5,5,-2,0,-0.6,0,-2.1,-12.8,17.9,-7.1,0
完全失業者数／平成28年平均,2016,142,16,36,28,29,20,12,-27,1,-11,-6,-4,-6,-1,-16,6.7,-23.4,-17.6,-12.1,-23.1,-7.7
完全失業者数／平成29年平均,2017,134,14,28,34,26,19,12,-8,-2,-8,6,-3,-1,0,-5.6,-12.5,-22.2,21.4,-10.3,-5,0
非労働力人口／平成19年平均,2007,1337,415,68,34,27,110,683,-55,-55,2,0,-4,-17,18,-4,-11.7,3,0,-12.9,-13.4,2.7
非労働力人口／平成20年平均,2008,1346,413,48,30,28,106,721,9,-2,-20,-4,1,-4,38,0.7,-0.5,-29.4,-11.8,3.7,-3.6,5.6
非労働力人口／平成21年平均,2009,1436,436,57,35,29,115,764,90,23,9,5,1,9,43,6.7,5.6,18.8,16.7,3.6,8.5,6
非労働力人口／平成22年平均,2010,1451,429,60,39,31,112,780,15,-7,3,4,2,-3,16,1,-1.6,5.3,11.4,6.9,-2.6,2.1
非労働力人口／平成23年平均,2011,1418,412,68,44,32,111,750,-33,-17,8,5,1,-1,-30,-2.3,-4,13.3,12.8,3.2,-0.9,-3.8
非労働力人口／平成24年平均,2012,1439,412,65,36,32,122,773,21,0,-3,-8,0,11,23,1.5,0,-4.4,-18.2,0,9.9,3.1
非労働力人口／平成25年平均,2013,1468,399,76,37,36,122,798,29,-13,11,1,4,0,25,2,-3.2,16.9,2.8,12.5,0,3.2
非労働力人口／平成26年平均,2014,1459,387,63,41,41,111,815,-9,-12,-13,4,5,-11,17,-0.6,-3,-17.1,10.8,13.9,-9,2.1
非労働力人口／平成27年平均,2015,1449,372,62,40,37,88,850,-10,-15,-1,-1,-4,-23,35,-0.7,-3.9,-1.6,-2.4,-9.8,-20.7,4.3
非労働力人口／平成28年平均,2016,1489,381,49,38,49,91,881,40,9,-13,-2,12,3,31,2.8,2.4,-21,-5,32.4,3.4,3.6
非労働力人口／平成29年平均,2017,1494,388,53,44,44,86,879,5,7,4,6,-5,-5,-2,0.3,1.8,8.2,15.8,-10.2,-5.5,-0.2
労働力人口比率／平成19年平均,2007,76,44.7,93.5,96.7,96.5,87.4,36.7,1.6,8,-0.3,0.1,0.6,2.5,1.1,…,…,…,…,…,…,…
労働力人口比率／平成20年平均,2008,76,43.7,95.2,97.1,96.3,87.7,35.7,0,-1,1.7,0.4,-0.2,0.3,-1,…,…,…,…,…,…,…
労働力人口比率／平成21年平均,2009,74.5,38.3,94.3,96.7,96.4,86.5,34.4,-1.5,-5.4,-0.9,-0.4,0.1,-1.2,-1.3,…,…,…,…,…,…,…
労働力人口比率／平成22年平均,2010,74.2,36.4,93.8,96.4,96.2,86.7,34.5,-0.3,-1.9,-0.5,-0.3,-0.2,0.2,0.1,…,…,…,…,…,…,…
労働力人口比率／平成23年平均,2011,75.3,39.6,93.4,96.1,96.3,86.9,35,1.1,3.2,-0.4,-0.3,0.1,0.2,0.5,…,…,…,…,…,…,…
労働力人口比率／平成24年平均,2012,75,38.5,93.5,97,96.5,85.2,35.4,-0.3,-1.1,0.1,0.9,0.2,-1.7,0.4,…,…,…,…,…,…,…
労働力人口比率／平成25年平均,2013,74.6,39.6,92.2,96.6,96.2,84.4,35.9,-0.4,1.1,-1.3,-0.4,-0.3,-0.8,0.5,…,…,…,…,…,…,…
労働力人口比率／平成26年平均,2014,74.9,40.5,93.6,96.3,95.8,85.3,36.8,0.3,0.9,1.4,-0.3,-0.4,0.9,0.9,…,…,…,…,…,…,…
労働力人口比率／平成27年平均,2015,75.2,42.6,93.7,96.4,96.2,88.2,36,0.3,2.1,0.1,0.1,0.4,2.9,-0.8,…,…,…,…,…,…,…
労働力人口比率／平成28年平均,2016,74.8,45.7,94.8,96.5,95.2,87.8,34.5,-0.4,3.1,1.1,0.1,-1,-0.4,-1.5,…,…,…,…,…,…,…
労働力人口比率／平成29年平均,2017,74.9,45.4,94.3,95.9,95.9,88.4,35.5,0.1,-0.3,-0.5,-0.6,0.7,0.6,1,…,…,…,…,…,…,…
就業率／平成20年平均,2008,73.2,41,90.7,94.3,93.7,84.9,34.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
就業率／平成21年平均,2009,71.2,35.7,88.6,93.1,93.2,82.9,33.1,-2,-5.3,-2.1,-1.2,-0.5,-2,-1.5,…,…,…,…,…,…,…
就業率／平成22年平均,2010,69.9,31.7,87.2,92.2,92.5,81.3,33,-1.3,-4,-1.4,-0.9,-0.7,-1.6,-0.1,…,…,…,…,…,…,…
就業率／平成23年平均,2011,71.6,36.1,87.7,91.9,93.2,81.7,34,1.7,4.4,0.5,-0.3,0.7,0.4,1,…,…,…,…,…,…,…
就業率／平成24年平均,2012,71.6,35.7,88.8,92.6,93.1,80.6,34.1,0,-0.4,1.1,0.7,-0.1,-1.1,0.1,…,…,…,…,…,…,…
就業率／平成25年平均,2013,71.4,37.1,87.2,92.9,92.8,80.6,34.7,-0.2,1.4,-1.6,0.3,-0.3,0,0.6,…,…,…,…,…,…,…
就業率／平成26年平均,2014,71.9,38.4,88.8,92.9,92.9,81.8,35.8,0.5,1.3,1.6,0,0.1,1.2,1.1,…,…,…,…,…,…,…
就業率／平成27年平均,2015,72.3,40.3,88.8,93.4,92.9,84.8,35,0.4,1.9,0,0.5,0,3,-0.8,…,…,…,…,…,…,…
就業率／平成28年平均,2016,72.4,43.4,91,94.1,92.4,85.1,33.6,0.1,3.1,2.2,0.7,-0.5,0.3,-1.4,…,…,…,…,…,…,…
就業率／平成29年平均,2017,72.7,43.6,91.4,92.9,93.5,85.8,34.7,0.3,0.2,0.4,-1.2,1.1,0.7,1.1,…,…,…,…,…,…,…
完全失業率／平成19年平均,2007,3.7,5.6,4.9,3.2,2.7,3.5,2.8,-0.6,-0.6,-0.9,-0.1,-0.4,-1.2,0.1,…,…,…,…,…,…,…
完全失業率／平成20年平均,2008,3.6,6.2,4.8,2.9,2.6,3.2,3.2,-0.1,0.6,-0.1,-0.3,-0.1,-0.3,0.4,…,…,…,…,…,…,…
完全失業率／平成21年平均,2009,4.4,6.6,6,3.7,3.5,4.1,3.8,0.8,0.4,1.2,0.8,0.9,0.9,0.6,…,…,…,…,…,…,…
完全失業率／平成22年平均,2010,5.7,13,7,4.5,4,6.2,4.1,1.3,6.4,1,0.8,0.5,2.1,0.3,…,…,…,…,…,…,…
完全失業率／平成23年平均,2011,4.9,8.5,6.2,4.5,3.2,5.9,3,-0.8,-4.5,-0.8,0,-0.8,-0.3,-1.1,…,…,…,…,…,…,…
完全失業率／平成24年平均,2012,4.6,7.4,5,4.5,3.3,5.4,3.5,-0.3,-1.1,-1.2,0,0.1,-0.5,0.5,…,…,…,…,…,…,…
完全失業率／平成25年平均,2013,4.3,6.1,5.3,3.8,3.4,4.5,3.4,-0.3,-1.3,0.3,-0.7,0.1,-0.9,-0.1,…,…,…,…,…,…,…
完全失業率／平成26年平均,2014,3.9,5.7,5.2,3.5,3,4.3,2.7,-0.4,-0.4,-0.1,-0.3,-0.4,-0.2,-0.7,…,…,…,…,…,…,…
完全失業率／平成27年平均,2015,3.8,5.4,5.1,3.1,3.4,3.9,2.7,-0.1,-0.3,-0.1,-0.4,0.4,-0.4,0,…,…,…,…,…,…,…
完全失業率／平成28年平均,2016,3.2,5,4,2.6,2.9,3.1,2.6,-0.6,-0.4,-1.1,-0.5,-0.5,-0.8,-0.1,…,…,…,…,…,…,…
完全失業率／平成29年平均,2017,3,4.3,3.1,3.2,2.5,2.9,2.5,-0.2,-0.7,-0.9,0.6,-0.4,-0.2,-0.1,…,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（平成29年平均）,,,,,,,,,,,,,,,,,,,,,,
第３表　年齢階級別就業状態（男）,,,,,,,,,,,,,,,,,,,,,,
注)　就業率については、平成20年平均から集計している。,,,,,,,,,,,,,,,,,,,,,,
