年月,西暦（年）,月,消費者物価指数/全国,消費者物価指数/東京都 区部,企業物価指数/総平均/全国, 注1) 消費動向指数/世帯消費動向指数（総世帯実質）/全国,生計分析調査（勤労者世帯）/実収入（円）/東京都,生計分析調査（勤労者世帯）/消費支出（円）/東京都,生計分析調査（勤労者世帯）/ 注3)平均消費性向（％）/東京都,生計分析調査（勤労者世帯）/ 注4)公共的料金負担率（％）/東京都, 注2) 実質賃金指数/調査産業計/東京都
令和4年2月,2022,2,100.7,100.7,110.4,91.2,562563,295256,63.9,30.1,82.3
令和4年3月,2022,3,101.1,101.1,111.5,106,593413,347836,71.7,28.3,92.1
令和4年4月,2022,4,101.5,101.5,113.5,102.9,544463,380297,84.8,33.5,88.4
令和4年5月,2022,5,101.8,101.9,113.5,99.6,556464,326985,74.8,30.6,85.4
令和4年6月,2022,6,101.8,101.8,114.5,96.7,1024322,303272,38.3,28.7,164.3
令和4年7月,2022,7,102.3,102.3,115.4,97.8,705659,342428,60.8,24.7,113.1
令和4年8月,2022,8,102.7,102.7,115.9,98.3,609379,364941,73.7,25.7,81.6
令和4年9月,2022,9,103.1,102.9,117,97.1,578467,356323,77,29.6,83.6
令和4年10月,2022,10,103.7,103.5,118.2,101.1,618349,367059,73.3,30.7,81.8
令和4年11月,2022,11,103.9,103.8,119.2,97.5,577708,363251,77.9,26,83.4
令和4年12月,2022,12,104.1,104,119.9,112.8,1307926,404181,37.8,24.6,186.2
令和5年1月,2023,1,104.7,104.7,119.9,100.1,588129,374777,78.4,26.7,82
令和5年2月,2023,2,104,104.1,119.6,93.8,642938,317159,60.2,32.1,80.3
令和5年3月,2023,3,104.4,104.4,119.7,107.1,593190,379798,78.8,28.9,92.1
令和5年4月,2023,4,105.1,105.1,120.1,102.8,628462,397252,77.1,36.2,87.8
令和5年5月,2023,5,105.1,105.1,119.3,96.7,614895,353060,73,30.3,85.2
令和5年6月,2023,6,105.2,105.1,119.2,93,984465,338748,45.3,27.2,165.3
令和5年7月,2023,7,105.7,105.5,119.5,97.6,779580,346650,56.3,26.7,108.6
令和5年8月,2023,8,105.9,105.6,119.8,97,618509,364297,72.4,23.1,80.6
令和5年9月,2023,9,106.2,105.8,119.6,93.4,592539,345646,72.7,26.9,83.1
令和5年10月,2023,10,107.1,106.8,119.5,98.6,681263,412250,75.6,30.1,80.6
令和5年11月,2023,11,106.9,106.5,119.8,96.2,627176,333485,67.4,22.2,83.8
令和5年12月,2023,12,106.8,106.5,120.1,108.8,1295862,395563,37.8,25.2,184.1
令和6年1月,2024,1,106.9,106.6,120.1,- ,- ,- ,- ,- ,- 
,,,,,,,,,,,
東京の物価／令和6年2月分,,,,,,,,,,,
参考表３  主　 要 　指 　標,,,,,,,,,,,
消費者物価指数・消費動向指数・実質賃金指数・企業物価指数　2020年=100(令和２年=100）,,,,,,,,,,,
注1)消費動向指数は、家計調査の結果を補完し、消費全般の動向を捉える分析用のデータとして総務省統計局が開発中の参考指標です。平成30年1月から公表が始まりました。,,,,,,,,,,,
2)実質賃金指数(現金給与総額）（事業所規模30人以上）=名目賃金指数（現金給与総額）÷東京都区部消費者物価指数（持ち家の帰属家賃を除く総合）×100,,,,,,,,,,,
3)平均消費性向＝（消費支出÷可処分所得）×100（可処分所得＝実収入－租税公課等）,,,,,,,,,,,
4)公共的料金負担率＝（公共的料金÷消費支出）×100,,,,,,,,,,,
資料　 総務省統計局(1)／日本銀行(2)／東京都統計部(3),,,,,,,,,,,
