産業分類階層,大分類,中分類,小分類,分類名,総数／事業所数（事業所）,総数／従業者数／総数（人）,総数／従業者数／男（人）,総数／従業者数／女（人）,総数／従業者数／うち常用雇用者／総数（人）,総数／従業者数／うち常用雇用者／男（人）,総数／従業者数／うち常用雇用者／女（人）,経営組織／個人／事業所数（事業所）,経営組織／個人／従業者数／総数（人）,経営組織／個人／従業者数／男（人）,経営組織／個人／従業者数／女（人）,経営組織／個人／従業者数／うち常用雇用者数／総数（人）,経営組織／個人／従業者数／うち常用雇用者数／男（人）,経営組織／個人／従業者数／うち常用雇用者数／女（人）,経営組織／法人／事業所数（事業所）,経営組織／法人／従業者数／総数（人）,経営組織／法人／従業者数／男（人）,経営組織／法人／従業者数／女（人）,経営組織／法人／従業者数／うち常用雇用者数／総数（人）,経営組織／法人／従業者数／うち常用雇用者数／男（人）,経営組織／法人／従業者数／うち常用雇用者数／女（人）,経営組織／法人／会社／事業所数（事業所）,経営組織／法人／会社／従業者数／総数（人）,経営組織／法人／会社／従業者数／男（人）,経営組織／法人／会社／従業者数／女（人）,経営組織／法人／会社／従業者数／うち常用雇用者数／総数（人）,経営組織／法人／会社／従業者数／うち常用雇用者数／男（人）,経営組織／法人／会社／従業者数／うち常用雇用者数／女（人）,経営組織／法人／会社／株式・有限・相互会社／事業所数（事業所）,経営組織／法人／会社／株式・有限・相互会社／従業者数／総数（人）,経営組織／法人／会社／株式・有限・相互会社／従業者数／男（人）,経営組織／法人／会社／株式・有限・相互会社／従業者数／女（人）,経営組織／法人／会社／株式・有限・相互会社／従業者数／うち常用雇用者数／総数（人）,経営組織／法人／会社／株式・有限・相互会社／従業者数／うち常用雇用者数／男（人）,経営組織／法人／会社／株式・有限・相互会社／従業者数／うち常用雇用者数／女（人）,経営組織／法人／会社／合名・合資会社／事業所数（事業所）,経営組織／法人／会社／合名・合資会社／従業者数／総数（人）,経営組織／法人／会社／合名・合資会社／従業者数／男（人）,経営組織／法人／会社／合名・合資会社／従業者数／女（人）,経営組織／法人／会社／合名・合資会社／従業者数／うち常用雇用者数／総数（人）,経営組織／法人／会社／合名・合資会社／従業者数／うち常用雇用者数／男（人）,経営組織／法人／会社／合名・合資会社／従業者数／うち常用雇用者数／女（人）,経営組織／法人／会社／合同会社／事業所数（事業所）,経営組織／法人／会社／合同会社／従業者数／総数（人）,経営組織／法人／会社／合同会社／従業者数／男（人）,経営組織／法人／会社／合同会社／従業者数／女（人）,経営組織／法人／会社／合同会社／従業者数／うち常用雇用者数／総数（人）,経営組織／法人／会社／合同会社／従業者数／うち常用雇用者数／男（人）,経営組織／法人／会社／合同会社／従業者数／うち常用雇用者数／女（人）,経営組織／法人／会社／外国の会社／事業所数（事業所）,経営組織／法人／会社／外国の会社／従業者数／総数（人）,経営組織／法人／会社／外国の会社／従業者数／男（人）,経営組織／法人／会社／外国の会社／従業者数／女（人）,経営組織／法人／会社／外国の会社／従業者数／うち常用雇用者数／総数（人）,経営組織／法人／会社／外国の会社／従業者数／うち常用雇用者数／男（人）,経営組織／法人／会社／外国の会社／従業者数／うち常用雇用者数／女（人）,経営組織／法人／会社以外の法人／事業所数（事業所）,経営組織／法人／会社以外の法人／従業者数／総数（人）,経営組織／法人／会社以外の法人／従業者数／男（人）,経営組織／法人／会社以外の法人／従業者数／女（人）,経営組織／法人／会社以外の法人／従業者数／うち常用雇用者数／総数（人）,経営組織／法人／会社以外の法人／従業者数／うち常用雇用者数／男（人）,経営組織／法人／会社以外の法人／従業者数／うち常用雇用者数／女（人）,経営組織／法人でない団体／事業所数（事業所）,経営組織／法人でない団体／従業者数／総数（人）,経営組織／法人でない団体／従業者数／男（人）,経営組織／法人でない団体／従業者数／女（人）,経営組織／法人でない団体／従業者数／うち常用雇用者数／総数（人）,経営組織／法人でない団体／従業者数／うち常用雇用者数／男（人）,経営組織／法人でない団体／従業者数／うち常用雇用者数／女（人）
3,A,02,022,素材生産業,2,12,10,2,5,4,1,-,-,-,-,-,-,-,2,12,10,2,5,4,1,2,12,10,2,5,4,1,2,12,10,2,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,02,023,特用林産物生産業（きのこ類の栽培を除く）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,02,024,林業サービス業,18,174,140,34,149,121,28,-,-,-,-,-,-,-,18,174,140,34,149,121,28,10,90,70,20,73,56,17,9,82,63,19,66,50,16,-,-,-,-,-,-,-,1,8,7,1,7,6,1,-,-,-,-,-,-,-,8,84,70,14,76,65,11,-,-,-,-,-,-,-
3,A,02,029,その他の林業,1,2,2,-,1,1,-,-,-,-,-,-,-,-,1,2,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,-,1,1,-,-,-,-,-,-,-,-
1,B,00,000,漁業,10,80,66,14,70,60,10,-,-,-,-,-,-,-,10,80,66,14,70,60,10,8,67,55,12,57,49,8,8,67,55,12,57,49,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,13,11,2,13,11,2,-,-,-,-,-,-,-
2,B,03,000,漁業（水産養殖業を除く）,6,59,50,9,54,46,8,-,-,-,-,-,-,-,6,59,50,9,54,46,8,6,59,50,9,54,46,8,6,59,50,9,54,46,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,B,03,030,管理，補助的経済活動を行う事業所,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,B,03,031,海面漁業,6,59,50,9,54,46,8,-,-,-,-,-,-,-,6,59,50,9,54,46,8,6,59,50,9,54,46,8,6,59,50,9,54,46,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,B,03,032,内水面漁業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,B,04,000,水産養殖業,4,21,16,5,16,14,2,-,-,-,-,-,-,-,4,21,16,5,16,14,2,2,8,5,3,3,3,-,2,8,5,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,13,11,2,13,11,2,-,-,-,-,-,-,-
3,B,04,040,管理，補助的経済活動を行う事業所,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,B,04,041,海面養殖業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,B,04,042,内水面養殖業,4,21,16,5,16,14,2,-,-,-,-,-,-,-,4,21,16,5,16,14,2,2,8,5,3,3,3,-,2,8,5,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,13,11,2,13,11,2,-,-,-,-,-,-,-
1,C,00,000,鉱業，採石業，砂利採取業,78,1846,1466,378,1682,1310,370,-,-,-,-,-,-,-,78,1846,1466,378,1682,1310,370,78,1846,1466,378,1682,1310,370,77,1841,1461,378,1680,1308,370,1,5,5,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,C,05,000,鉱業，採石業，砂利採取業,78,1846,1466,378,1682,1310,370,-,-,-,-,-,-,-,78,1846,1466,378,1682,1310,370,78,1846,1466,378,1682,1310,370,77,1841,1461,378,1680,1308,370,1,5,5,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,050,管理，補助的経済活動を行う事業所,61,1596,1250,346,1463,1118,345,-,-,-,-,-,-,-,61,1596,1250,346,1463,1118,345,61,1596,1250,346,1463,1118,345,60,1591,1245,346,1461,1116,345,1,5,5,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,051,金属鉱業,1,2,-,-,2,-,-,-,-,-,-,-,-,-,1,2,-,-,2,-,-,1,2,-,-,2,-,-,1,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,052,石炭・亜炭鉱業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,053,原油・天然ガス鉱業,3,82,74,8,78,70,8,-,-,-,-,-,-,-,3,82,74,8,78,70,8,3,82,74,8,78,70,8,3,82,74,8,78,70,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,054,採石業，砂・砂利・玉石採取業,9,121,104,17,103,89,14,-,-,-,-,-,-,-,9,121,104,17,103,89,14,9,121,104,17,103,89,14,9,121,104,17,103,89,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,055,窯業原料用鉱物鉱業（耐火物・陶磁器・ガラス・セメント原料用に限る）,3,38,33,5,31,29,2,-,-,-,-,-,-,-,3,38,33,5,31,29,2,3,38,33,5,31,29,2,3,38,33,5,31,29,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,059,その他の鉱業,1,7,5,2,5,4,1,-,-,-,-,-,-,-,1,7,5,2,5,4,1,1,7,5,2,5,4,1,1,7,5,2,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,D,00,000,建設業,40014,456848,377770,77255,381115,316558,62750,5859,13171,10394,2741,4687,3195,1471,34147,443619,367329,74503,376373,313318,61269,34100,442816,366659,74372,375621,312694,61143,34033,442553,366477,74309,375435,312578,61091,36,128,89,39,84,53,31,28,116,80,18,85,52,15,3,19,13,6,17,11,6,47,803,670,131,752,624,126,8,58,47,11,55,45,10
2,D,06,000,総合工事業,14256,190490,156039,33989,163939,134703,28777,1773,4011,3151,854,1455,989,462,12479,186430,152848,33126,162435,133674,28306,12458,186269,152730,33085,162295,133576,28266,12448,186216,152693,33078,162250,133547,28259,4,19,13,6,15,9,6,5,30,21,-,26,17,-,1,4,3,1,4,3,1,21,161,118,41,140,98,40,4,49,40,9,49,40,9
3,D,06,060,管理，補助的経済活動を行う事業所,78,3082,2502,580,2902,2333,569,-,-,-,-,-,-,-,78,3082,2502,580,2902,2333,569,78,3082,2502,580,2902,2333,569,78,3082,2502,580,2902,2333,569,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,D,06,061,一般土木建築工事業,449,32997,28625,4359,31824,27540,4271,6,23,19,4,11,9,2,443,32974,28606,4355,31813,27531,4269,442,32970,28603,4354,31810,27529,4268,442,32970,28603,4354,31810,27529,4268,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,3,1,3,2,1,-,-,-,-,-,-,-
3,D,06,062,土木工事業（舗装工事業を除く）,2893,38239,32802,5292,31739,27551,4044,232,725,592,128,372,290,78,2657,37465,32170,5155,31318,27221,3957,2650,37373,32090,5143,31236,27150,3946,2646,37349,32076,5142,31214,27138,3945,1,6,5,1,6,5,1,3,18,9,-,16,7,-,-,-,-,-,-,-,-,7,92,80,12,82,71,11,4,49,40,9,49,40,9
3,D,06,063,舗装工事業,469,7921,7033,874,7058,6336,708,7,23,16,7,12,6,6,462,7898,7017,867,7046,6330,702,461,7894,7013,867,7043,6327,702,460,7890,7009,867,7041,6325,702,1,4,4,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,4,-,3,3,-,-,-,-,-,-,-,-
3,D,06,064,建築工事業（木造建築工事業を除く）,4459,73081,59615,13311,64901,52971,11776,410,948,743,204,352,234,118,4049,72133,58872,13107,64549,52737,11658,4043,72092,58854,13084,64514,52725,11635,4038,72067,58835,13078,64493,52710,11629,2,9,4,5,7,2,5,2,12,12,-,10,10,-,1,4,3,1,4,3,1,6,41,18,23,35,12,23,-,-,-,-,-,-,-
3,D,06,065,木造建築工事業,2331,12216,8814,3386,8256,5735,2505,679,1424,1116,308,479,314,165,1652,10792,7698,3078,7777,5421,2340,1650,10784,7692,3076,7770,5416,2338,1650,10784,7692,3076,7770,5416,2338,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,8,6,2,7,5,2,-,-,-,-,-,-,-
3,D,06,066,建築リフォーム工事業,3577,22954,16648,6187,17259,12237,4904,439,868,665,203,229,136,93,3138,22086,15983,5984,17030,12101,4811,3134,22074,15976,5981,17020,12096,4808,3134,22074,15976,5981,17020,12096,4808,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,12,7,3,10,5,3,-,-,-,-,-,-,-
2,D,07,000,職別工事業（設備工事業を除く）,14138,104103,84261,19259,76639,62064,14001,2963,6724,5392,1308,2376,1669,692,11172,97374,78865,17950,74260,60393,13308,11160,97294,78796,17939,74191,60333,13299,11124,97163,78704,17907,74103,60279,13272,22,63,46,17,37,24,13,12,53,36,10,38,22,9,2,15,10,5,13,8,5,12,80,69,11,69,60,9,3,5,4,1,3,2,1
3,D,07,070,管理，補助的経済活動を行う事業所,36,872,655,217,786,608,178,-,-,-,-,-,-,-,36,872,655,217,786,608,178,36,872,655,217,786,608,178,36,872,655,217,786,608,178,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,D,07,071,大工工事業,1273,5807,4694,1106,3625,2972,646,376,681,557,124,173,117,56,897,5126,4137,982,3452,2855,590,894,5075,4090,978,3401,2808,586,892,5068,4085,976,3397,2805,585,1,4,3,1,2,2,-,1,3,2,1,2,1,1,-,-,-,-,-,-,-,3,51,47,4,51,47,4,-,-,-,-,-,-,-
3,D,07,072,とび・土工・コンクリート工事業,1656,20242,17527,2588,16154,14111,1917,256,766,641,124,313,249,64,1400,19476,16886,2464,15841,13862,1853,1395,19459,16874,2459,15831,13855,1850,1394,19458,16873,2459,15830,13854,1850,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1,1,-,5,17,12,5,10,7,3,-,-,-,-,-,-,-
3,D,07,073,鉄骨・鉄筋工事業,514,6109,5093,952,5026,4195,768,48,171,139,20,82,57,14,466,5938,4954,932,4944,4138,754,466,5938,4954,932,4944,4138,754,465,5937,4953,932,4944,4138,754,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,D,07,074,石工・れんが・タイル・ブロック工事業,815,4003,3105,865,2445,1860,552,216,510,413,97,171,123,48,599,3493,2692,768,2274,1737,504,599,3493,2692,768,2274,1737,504,594,3477,2680,764,2263,1730,500,5,16,12,4,11,7,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,D,07,075,左官工事業,681,3890,3316,574,2580,2230,350,228,504,420,84,181,139,42,453,3386,2896,490,2399,2091,308,453,3386,2896,490,2399,2091,308,453,3386,2896,490,2399,2091,308,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,D,07,076,板金・金物工事業,695,2975,2381,594,1812,1465,347,323,659,524,135,220,149,71,372,2316,1857,459,1592,1316,276,372,2316,1857,459,1592,1316,276,371,2314,1856,458,1592,1316,276,-,-,-,-,-,-,-,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,D,07,077,塗装工事業,1994,11701,9274,2369,7802,6099,1649,540,1316,1077,233,519,390,127,1454,10385,8197,2136,7283,5709,1522,1454,10385,8197,2136,7283,5709,1522,1449,10365,8183,2130,7271,5702,1517,3,10,7,3,6,4,2,2,10,7,3,6,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,D,07,078,床・内装工事業,3697,26064,20006,5959,19248,14574,4577,613,1262,937,322,410,222,187,3083,24799,19066,5637,18836,14350,4390,3082,24793,19061,5636,18832,14347,4389,3070,24739,19022,5623,18792,14322,4376,6,16,12,4,9,5,4,5,24,18,4,19,13,4,1,14,9,5,12,7,5,1,6,5,1,4,3,1,1,3,3,-,2,2,-
3,D,07,079,その他の職別工事業,2777,22440,18210,4035,17161,13950,3017,363,855,684,169,307,223,83,2412,21583,17525,3865,16853,13727,2933,2409,21577,17520,3864,16849,13724,2932,2400,21547,17501,3858,16829,13713,2928,6,16,11,5,9,6,3,3,14,8,1,11,5,1,-,-,-,-,-,-,-,3,6,5,1,4,3,1,2,2,1,1,1,-,1
2,D,08,000,設備工事業,11607,162127,137363,23986,140434,119708,19952,1121,2431,1848,577,854,537,315,10485,159692,135512,23408,139577,119168,19637,10472,159134,135032,23330,139038,118705,19561,10451,159055,134979,23306,138985,118672,19543,10,46,30,16,32,20,12,11,33,23,8,21,13,6,-,-,-,-,-,-,-,13,558,480,78,539,463,76,1,4,3,1,3,3,-
3,D,08,080,管理，補助的経済活動を行う事業所,60,3196,2768,428,3075,2652,423,1,1,1,-,1,1,-,59,3195,2767,428,3074,2651,423,59,3195,2767,428,3074,2651,423,59,3195,2767,428,3074,2651,423,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,D,08,081,電気工事業,4562,50326,42389,7669,41990,35671,6051,659,1333,999,334,420,243,177,3902,48989,41387,7334,41567,35425,5874,3896,48483,40946,7269,41063,34986,5809,3884,48439,40914,7259,41033,34966,5801,6,25,17,8,18,11,7,6,19,15,2,12,9,1,-,-,-,-,-,-,-,6,506,441,65,504,439,65,1,4,3,1,3,3,-
3,D,08,082,電気通信・信号装置工事業,1262,35872,31134,4368,33448,29066,4014,21,41,28,10,12,7,4,1241,35831,31106,4358,33436,29059,4010,1240,35831,31106,4358,33436,29059,4010,1239,35829,31105,4357,33435,29059,4009,-,-,-,-,-,-,-,1,2,1,1,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
3,D,08,083,管工事業（さく井工事業を除く）,4361,49178,40964,8118,41255,34645,6516,403,987,765,219,403,272,130,3958,48191,40199,7899,40852,34373,6386,3952,48139,40160,7886,40817,34349,6375,3945,48109,40143,7873,40798,34339,6366,4,21,13,8,14,9,5,3,9,4,5,5,1,4,-,-,-,-,-,-,-,6,52,39,13,35,24,11,-,-,-,-,-,-,-
