産業分類階層,大分類,中分類,小分類,分類名,会社企業／総数／企業数（企業）,会社企業／総数／従業者数（人）,会社企業／単一事業所企業／企業数（企業）,会社企業／単一事業所企業／企業従業者数（人）,会社企業／複数事業所企業／企業数（企業）,会社企業／複数事業所企業／企業従業者数（人）,資本金階級／300万円未満／総数／企業数（企業）,資本金階級／300万円未満／総数／企業従業者数（人）,資本金階級／300万円未満／単一事業所企業／企業数（企業）,資本金階級／300万円未満／単一事業所企業／企業従業者数（人）,資本金階級／300万円未満／複数事業所企業／企業数（企業）,資本金階級／300万円未満／複数事業所企業／企業従業者数（人）,資本金階級／300万～500万円未満／総数／企業数（企業）,資本金階級／300万～500万円未満／総数／企業従業者数（人）,資本金階級／300万～500万円未満／単一事業所企業／企業数（企業）,資本金階級／300万～500万円未満／単一事業所企業／企業従業者数（人）,資本金階級／300万～500万円未満／複数事業所企業／企業数（企業）,資本金階級／300万～500万円未満／複数事業所企業／企業従業者数（人）,資本金階級／500万～1000万円未満／総数／企業数（企業）,資本金階級／500万～1000万円未満／総数／企業従業者数（人）,資本金階級／500万～1000万円未満／単一事業所企業／企業数（企業）,資本金階級／500万～1000万円未満／単一事業所企業／企業従業者数（人）,資本金階級／500万～1000万円未満／複数事業所企業／企業数（企業）,資本金階級／500万～1000万円未満／複数事業所企業／企業従業者数（人）,資本金階級／1000万～3000万円未満／総数／企業数（企業）,資本金階級／1000万～3000万円未満／総数／企業従業者数（人）,資本金階級／1000万～3000万円未満／単一事業所企業／企業数（企業）,資本金階級／1000万～3000万円未満／単一事業所企業／企業従業者数（人）,資本金階級／1000万～3000万円未満／複数事業所企業／企業数（企業）,資本金階級／1000万～3000万円未満／複数事業所企業／企業従業者数（人）,資本金階級／3000万～5000万円未満／総数／企業数（企業）,資本金階級／3000万～5000万円未満／総数／企業従業者数（人）,資本金階級／3000万～5000万円未満／単一事業所企業／企業数（企業）,資本金階級／3000万～5000万円未満／単一事業所企業／企業従業者数（人）,資本金階級／3000万～5000万円未満／複数事業所企業／企業数（企業）,資本金階級／3000万～5000万円未満／複数事業所企業／企業従業者数（人）,資本金階級／5000万～1億円未満／総数／企業数（企業）,資本金階級／5000万～1億円未満／総数／企業従業者数（人）,資本金階級／5000万～1億円未満／単一事業所企業／企業数（企業）,資本金階級／5000万～1億円未満／単一事業所企業／企業従業者数（人）,資本金階級／5000万～1億円未満／複数事業所企業／企業数（企業）,資本金階級／5000万～1億円未満／複数事業所企業／企業従業者数（人）,資本金階級／1億～3億円未満／総数／企業数（企業）,資本金階級／1億～3億円未満／総数／企業従業者数（人）,資本金階級／1億～3億円未満／単一事業所企業／企業数（企業）,資本金階級／1億～3億円未満／単一事業所企業／企業従業者数（人）,資本金階級／1億～3億円未満／複数事業所企業／企業数（企業）,資本金階級／1億～3億円未満／複数事業所企業／企業従業者数（人）,資本金階級／3億～10億円未満／総数／企業数（企業）,資本金階級／3億～10億円未満／総数／企業従業者数（人）,資本金階級／3億～10億円未満／単一事業所企業／企業数（企業）,資本金階級／3億～10億円未満／単一事業所企業／企業従業者数（人）,資本金階級／3億～10億円未満／複数事業所企業／企業数（企業）,資本金階級／3億～10億円未満／複数事業所企業／企業従業者数（人）,資本金階級／10億～50億円未満／総数／企業数（企業）,資本金階級／10億～50億円未満／総数／企業従業者数（人）,資本金階級／10億～50億円未満／単一事業所企業／企業数（企業）,資本金階級／10億～50億円未満／単一事業所企業／企業従業者数（人）,資本金階級／10億～50億円未満／複数事業所企業／企業数（企業）,資本金階級／10億～50億円未満／複数事業所企業／企業従業者数（人）,資本金階級／50億円以上／総数／企業数（企業）,資本金階級／50億円以上／総数／企業従業者数（人）,資本金階級／50億円以上／単一事業所企業／企業数（企業）,資本金階級／50億円以上／単一事業所企業／企業従業者数（人）,資本金階級／50億円以上／複数事業所企業／企業数（企業）,資本金階級／50億円以上／複数事業所企業／企業従業者数（人）
3,A,02,029,その他の林業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,B,00,000,漁業,7,64,7,64,-,-,-,-,-,-,-,-,2,15,2,15,-,-,-,-,-,-,-,-,4,45,4,45,-,-,-,-,-,-,-,-,1,4,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,B,03,000,漁業（水産養殖業を除く）,5,56,5,56,-,-,-,-,-,-,-,-,2,15,2,15,-,-,-,-,-,-,-,-,3,41,3,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,B,03,031,海面漁業,5,56,5,56,-,-,-,-,-,-,-,-,2,15,2,15,-,-,-,-,-,-,-,-,3,41,3,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,B,03,032,内水面漁業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,B,04,000,水産養殖業,2,8,2,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,4,-,-,-,-,-,-,-,-,1,4,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,B,04,041,海面養殖業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,B,04,042,内水面養殖業,2,8,2,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,4,-,-,-,-,-,-,-,-,1,4,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,C,00,000,鉱業，採石業，砂利採取業,79,4319,8,100,71,4219,-,-,-,-,-,-,1,4,1,4,-,-,1,37,-,-,1,37,24,127,5,34,19,93,2,39,-,-,2,39,1,85,-,-,1,85,7,208,-,-,7,208,6,103,1,60,5,43,13,25,-,-,13,25,22,3645,-,-,22,3645
2,C,05,000,鉱業，採石業，砂利採取業,79,4319,8,100,71,4219,-,-,-,-,-,-,1,4,1,4,-,-,1,37,-,-,1,37,24,127,5,34,19,93,2,39,-,-,2,39,1,85,-,-,1,85,7,208,-,-,7,208,6,103,1,60,5,43,13,25,-,-,13,25,22,3645,-,-,22,3645
3,C,05,051,金属鉱業,4,16,1,2,3,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,13,-,-,2,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,052,石炭・亜炭鉱業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,053,原油・天然ガス鉱業,53,3918,2,61,51,3857,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,9,1,1,10,8,-,-,-,-,-,-,-,-,-,-,-,-,3,138,-,-,3,138,5,102,1,60,4,42,12,24,-,-,12,24,22,3645,-,-,22,3645
3,C,05,054,採石業，砂・砂利・玉石採取業,14,202,5,37,9,165,-,-,-,-,-,-,1,4,1,4,-,-,1,37,-,-,1,37,8,71,4,33,4,38,2,39,-,-,2,39,-,-,-,-,-,-,1,50,-,-,1,50,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-,-,-,-
3,C,05,055,窯業原料用鉱物鉱業（耐火物・陶磁器・ガラス・セメント原料用に限る）,4,160,-,-,4,160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,31,-,-,2,31,-,-,-,-,-,-,1,85,-,-,1,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,059,その他の鉱業,2,19,-,-,2,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,12,-,-,1,12,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,D,00,000,建設業,28425,600530,25462,174169,2963,426361,976,4834,938,4409,38,425,9583,44040,9330,41597,253,2443,3143,17509,3014,16036,129,1473,11178,111431,10075,83256,1103,28175,1406,33957,979,14271,427,19686,932,67665,436,9243,496,58422,310,51015,60,1458,250,49557,116,42440,6,231,110,42209,72,59372,1,49,71,59323,56,163645,-,-,56,163645
2,D,06,000,総合工事業,9852,281757,8790,59523,1062,222234,296,1560,284,1370,12,190,2766,12180,2702,11574,64,606,1080,5729,1046,5394,34,335,4119,35687,3781,28634,338,7053,693,12875,534,6984,159,5891,429,20357,234,3723,195,16634,154,25923,35,681,119,25242,54,17707,3,131,51,17576,34,28605,-,-,34,28605,43,119620,-,-,43,119620
3,D,06,061,一般土木建築工事業,169,72576,104,1055,65,71521,3,32,1,3,2,29,23,152,20,89,3,63,12,61,9,39,3,22,47,544,40,368,7,176,23,446,19,320,4,126,20,1021,9,178,11,843,12,2353,1,38,11,2315,1,340,-,-,1,340,5,5305,-,-,5,5305,17,62298,-,-,17,62298
3,D,06,062,土木工事業（舗装工事業を除く）,2161,58048,1831,19478,330,38570,48,338,46,320,2,18,509,3508,496,3304,13,204,241,1900,236,1818,5,82,872,12258,766,9258,106,3000,274,6326,198,3206,76,3120,113,6386,53,1075,60,5311,36,5982,4,145,32,5837,15,5262,1,12,14,5250,5,1573,-,-,5,1573,10,13767,-,-,10,13767
3,D,06,063,舗装工事業,291,23333,230,2474,61,20859,11,85,11,85,-,-,57,625,54,590,3,35,25,236,24,213,1,23,122,1623,101,1060,21,563,39,889,28,406,11,483,11,302,6,86,5,216,5,760,-,-,5,760,2,263,-,-,2,263,6,5077,-,-,6,5077,6,13429,-,-,6,13429
3,D,06,064,建築工事業（木造建築工事業を除く）,3100,86440,2748,18961,352,67479,87,576,82,469,5,107,745,3012,727,2827,18,185,309,1605,302,1534,7,71,1351,11270,1254,9529,97,1741,216,3084,176,2036,40,1048,211,7673,124,1878,87,5795,60,10266,16,229,44,10037,28,8604,2,119,26,8485,17,15401,-,-,17,15401,7,24549,-,-,7,24549
3,D,06,065,木造建築工事業,1462,16989,1376,6530,86,10459,19,72,19,72,-,-,498,1728,492,1708,6,20,179,688,174,646,5,42,650,3867,613,3399,37,468,56,967,44,377,12,590,22,1809,13,117,9,1692,18,1121,8,176,10,945,4,1915,-,-,4,1915,1,1249,-,-,1,1249,2,3538,-,-,2,3538
3,D,06,066,建築リフォーム工事業,2669,24371,2501,11025,168,13346,128,457,125,421,3,36,934,3155,913,3056,21,99,314,1239,301,1144,13,95,1077,6125,1007,5020,70,1105,85,1163,69,639,16,524,52,3166,29,389,23,2777,23,5441,6,93,17,5348,4,1323,-,-,4,1323,-,-,-,-,-,-,1,2039,-,-,1,2039
2,D,07,000,職別工事業（設備工事業を除く）,9952,100427,9054,60675,898,39752,400,2001,388,1913,12,88,3956,19011,3841,17910,115,1101,1226,7225,1159,6384,67,841,3409,34832,3033,25959,376,8873,342,9300,207,3277,135,6023,224,12262,108,2941,116,9321,59,6329,14,517,45,5812,13,3159,1,28,12,3131,8,4083,-,-,8,4083,-,-,-,-,-,-
3,D,07,071,大工工事業,851,5923,801,4147,50,1776,26,141,25,130,1,11,362,1404,356,1289,6,115,126,554,125,540,1,14,300,2383,268,1836,32,547,10,261,5,135,5,126,13,1117,8,154,5,963,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,D,07,072,とび・土工・コンクリート工事業,1208,21693,1039,10745,169,10948,35,310,33,283,2,27,390,2759,380,2645,10,114,166,1279,159,1232,7,47,454,6887,383,4813,71,2074,63,2751,29,697,34,2054,45,3006,20,717,25,2289,14,2340,3,102,11,2238,6,1000,1,28,5,972,3,1119,-,-,3,1119,-,-,-,-,-,-
3,D,07,073,鉄骨・鉄筋工事業,402,6313,325,2883,77,3430,11,71,11,71,-,-,151,1027,140,939,11,88,43,449,36,324,7,125,151,2157,110,1101,41,1056,12,457,5,43,7,414,8,712,2,153,6,559,5,197,3,88,2,109,1,195,-,-,1,195,2,884,-,-,2,884,-,-,-,-,-,-
3,D,07,074,石工・れんが・タイル・ブロック工事業,566,4007,537,2844,29,1163,25,103,25,103,-,-,247,964,244,925,3,39,77,345,75,333,2,12,178,1603,164,1201,14,402,15,238,11,176,4,62,9,692,3,44,6,648,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,D,07,075,左官工事業,443,3284,434,3184,9,100,9,44,9,44,-,-,232,1131,226,1055,6,76,56,380,55,379,1,1,127,1493,125,1470,2,23,5,89,5,89,-,-,3,112,3,112,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,D,07,076,板金・金物工事業,342,2504,323,1610,19,894,10,33,10,33,-,-,149,613,146,590,3,23,58,257,56,235,2,22,102,771,92,606,10,165,9,191,7,102,2,89,2,16,2,16,-,-,1,88,-,-,1,88,-,-,-,-,-,-,1,507,-,-,1,507,-,-,-,-,-,-
3,D,07,077,塗装工事業,1316,10537,1217,6720,99,3817,60,277,60,277,-,-,602,2563,595,2475,7,88,134,779,130,735,4,44,383,2985,347,2411,36,574,55,1202,34,386,21,816,37,1598,16,240,21,1358,10,937,-,-,10,937,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,D,07,078,床・内装工事業,2760,26417,2504,15257,256,11160,115,454,111,431,4,23,1043,4438,1002,4105,41,333,317,1500,292,1260,25,240,1034,9872,923,7011,111,2861,86,2077,57,819,29,1258,59,3134,32,950,27,2184,15,2021,4,254,11,1767,3,758,-,-,3,758,2,1573,-,-,2,1573,-,-,-,-,-,-
3,D,07,079,その他の職別工事業,2064,19749,1874,13285,190,6464,109,568,104,541,5,27,780,4112,752,3887,28,225,249,1682,231,1346,18,336,680,6681,621,5510,59,1171,87,2034,54,830,33,1204,48,1875,22,555,26,1320,14,746,4,73,10,673,3,1206,-,-,3,1206,-,-,-,-,-,-,-,-,-,-,-,-
2,D,08,000,設備工事業,8611,218304,7611,53940,1000,164364,280,1273,266,1126,14,147,2858,12838,2784,12102,74,736,837,4555,809,4258,28,297,3643,40881,3257,28643,386,12238,371,11782,238,4010,133,7772,279,35046,94,2579,185,32467,97,18763,11,260,86,18503,49,21574,2,72,47,21502,30,26684,1,49,29,26635,13,44025,-,-,13,44025
3,D,08,081,電気工事業,3379,76617,3050,19619,329,56998,96,417,93,395,3,22,1193,4855,1169,4717,24,138,346,1663,338,1573,8,90,1392,13655,1263,10215,129,3440,154,4183,104,1525,50,2658,93,9597,29,790,64,8807,22,3677,1,14,21,3663,16,4192,1,33,15,4159,9,8685,1,49,8,8636,4,25365,-,-,4,25365
3,D,08,082,電気通信・信号装置工事業,871,44566,691,7835,180,36731,43,262,37,212,6,50,195,1138,189,988,6,150,48,380,45,324,3,56,456,9168,368,4868,88,4300,46,3139,23,662,23,2477,45,15373,13,674,32,14699,14,3468,-,-,14,3468,2,1265,-,-,2,1265,4,2831,-,-,4,2831,2,7435,-,-,2,7435
3,D,08,083,管工事業（さく井工事業を除く）,3314,62384,3006,19602,308,42782,110,445,107,424,3,21,1160,5240,1124,4907,36,333,337,1832,326,1757,11,75,1352,12498,1240,9782,112,2716,127,2765,92,1439,35,1326,93,4275,44,875,49,3400,36,5853,6,133,30,5720,15,10135,-,-,15,10135,10,9454,-,-,10,9454,6,9588,-,-,6,9588
3,D,08,084,機械器具設置工事業,575,25777,439,3899,136,21878,19,93,18,58,1,35,162,967,154,852,8,115,63,395,59,372,4,23,220,3358,178,1949,42,1409,30,1180,12,203,18,977,33,4424,6,217,27,4207,22,5365,4,113,18,5252,14,5410,1,39,13,5371,5,4489,-,-,5,4489,-,-,-,-,-,-
3,D,08,089,その他の設備工事業,472,8960,425,2985,47,5975,12,56,11,37,1,19,148,638,148,638,-,-,43,285,41,232,2,53,223,2202,208,1829,15,373,14,515,7,181,7,334,15,1377,2,23,13,1354,3,400,-,-,3,400,2,572,-,-,2,572,2,1225,-,-,2,1225,1,1637,-,-,1,1637
1,E,00,000,製造業,31942,2255769,23956,180900,7986,2074869,949,6271,871,4017,78,2254,9733,44450,9194,38070,539,6380,2773,16083,2527,12829,246,3254,12866,205482,9699,90155,3167,115327,1635,79729,688,14879,947,64850,1498,141343,374,10986,1124,130357,749,144816,119,4674,630,140142,454,161699,31,1016,423,160683,388,224729,8,510,380,224219,369,1224331,3,1185,366,1223146
2,E,09,000,食料品製造業,1533,244283,964,13068,569,231215,61,952,57,414,4,538,346,2967,319,2295,27,672,114,1391,95,856,19,535,594,21777,400,6344,194,15433,101,10057,35,1359,66,8698,121,15934,22,773,99,15161,52,17445,7,643,45,16802,31,12582,1,9,30,12573,40,37192,1,183,39,37009,34,122785,-,-,34,122785
3,E,09,091,畜産食料品製造業,117,37699,64,955,53,36744,3,18,3,18,-,-,14,145,14,145,-,-,9,117,7,39,2,78,42,3901,31,523,11,3378,12,1109,5,164,7,945,12,1316,3,56,9,1260,9,2450,-,-,9,2450,4,1999,-,-,4,1999,4,2779,-,-,4,2779,6,23802,-,-,6,23802
3,E,09,092,水産食料品製造業,166,17372,104,1129,62,16243,5,23,5,23,-,-,38,267,35,223,3,44,11,196,8,124,3,72,73,1467,48,560,25,907,10,371,4,101,6,270,14,1582,1,83,13,1499,3,785,-,-,3,785,3,550,-,-,3,550,4,4218,-,-,4,4218,2,7898,-,-,2,7898
3,E,09,093,野菜缶詰・果実缶詰・農産保存食料品製造業,63,2684,41,489,22,2195,1,5,1,5,-,-,8,41,7,32,1,9,5,81,4,64,1,17,27,701,22,327,5,374,7,679,1,22,6,657,6,559,1,10,5,549,2,54,1,10,1,44,2,463,1,9,1,454,-,-,-,-,-,-,-,-,-,-,-,-
3,E,09,094,調味料製造業,73,18288,32,431,41,17857,3,7,3,7,-,-,6,67,6,67,-,-,2,18,2,18,-,-,29,788,18,221,11,567,6,441,2,44,4,397,11,1415,1,74,10,1341,4,1339,-,-,4,1339,4,1580,-,-,4,1580,4,2460,-,-,4,2460,4,10173,-,-,4,10173
3,E,09,095,糖類製造業,20,2732,8,59,12,2673,-,-,-,-,-,-,2,10,2,10,-,-,-,-,-,-,-,-,6,74,5,41,1,33,-,-,-,-,-,-,1,66,-,-,1,66,1,8,1,8,-,-,2,178,-,-,2,178,5,1166,-,-,5,1166,3,1230,-,-,3,1230
3,E,09,096,精穀・製粉業,36,3986,17,195,19,3791,1,14,1,14,-,-,2,14,2,14,-,-,-,-,-,-,-,-,18,291,11,125,7,166,3,49,1,12,2,37,3,134,1,28,2,106,2,368,-,-,2,368,2,70,-,-,2,70,2,857,-,-,2,857,2,2187,-,-,2,2187
3,E,09,097,パン・菓子製造業,322,79865,182,2759,140,77106,15,190,14,179,1,11,76,836,63,469,13,367,21,361,16,160,5,201,133,7173,76,1213,57,5960,26,4788,5,143,21,4645,19,3656,2,152,17,3504,6,3776,1,412,5,3364,3,1428,-,-,3,1428,9,6325,-,-,9,6325,5,51226,-,-,5,51226
3,E,09,098,動植物油脂製造業,39,5881,20,231,19,5650,-,-,-,-,-,-,8,79,6,55,2,24,2,20,1,9,1,11,18,234,11,113,7,121,2,54,2,54,-,-,2,313,-,-,2,313,2,235,-,-,2,235,1,593,-,-,1,593,1,337,-,-,1,337,3,4016,-,-,3,4016
