産業分類階層,大分類,中分類,小分類,分類名,東京都／事業所数（事業所）,東京都／従業者数（人）,区部／事業所数（事業所）,区部／従業者数（人）,千代田区／事業所数（事業所）,千代田区／従業者数（人）,中央区／事業所数（事業所）,中央区／従業者数（人）,港区／事業所数（事業所）,港区／従業者数（人）,新宿区／事業所数（事業所）,新宿区／従業者数（人）,文京区／事業所数（事業所）,文京区／従業者数（人）,台東区／事業所数（事業所）,台東区／従業者数（人）,墨田区／事業所数（事業所）,墨田区／従業者数（人）,江東区／事業所数（事業所）,江東区／従業者数（人）,品川区／事業所数（事業所）,品川区／従業者数（人）,目黒区／事業所数（事業所）,目黒区／従業者数（人）,大田区／事業所数（事業所）,大田区／従業者数（人）,世田谷区／事業所数（事業所）,世田谷区／従業者数（人）,渋谷区／事業所数（事業所）,渋谷区／従業者数（人）,中野区／事業所数（事業所）,中野区／従業者数（人）,杉並区／事業所数（事業所）,杉並区／従業者数（人）,豊島区／事業所数（事業所）,豊島区／従業者数（人）,北区／事業所数（事業所）,北区／従業者数（人）,荒川区／事業所数（事業所）,荒川区／従業者数（人）,板橋区／事業所数（事業所）,板橋区／従業者数（人）,練馬区／事業所数（事業所）,練馬区／従業者数（人）,足立区／事業所数（事業所）,足立区／従業者数（人）,葛飾区／事業所数（事業所）,葛飾区／従業者数（人）,江戸川区／事業所数（事業所）,江戸川区／従業者数（人）,境界未定地域／事業所数（事業所）,境界未定地域／従業者数（人）,市部／事業所数（事業所）,市部／従業者数（人）,八王子市／事業所数（事業所）,八王子市／従業者数（人）,立川市／事業所数（事業所）,立川市／従業者数（人）,武蔵野市／事業所数（事業所）,武蔵野市／従業者数（人）,三鷹市／事業所数（事業所）,三鷹市／従業者数（人）,青梅市／事業所数（事業所）,青梅市／従業者数（人）,府中市／事業所数（事業所）,府中市／従業者数（人）,昭島市／事業所数（事業所）,昭島市／従業者数（人）,調布市／事業所数（事業所）,調布市／従業者数（人）,町田市／事業所数（事業所）,町田市／従業者数（人）,小金井市／事業所数（事業所）,小金井市／従業者数（人）,小平市／事業所数（事業所）,小平市／従業者数（人）,日野市／事業所数（事業所）,日野市／従業者数（人）,東村山市／事業所数（事業所）,東村山市／従業者数（人）,国分寺市／事業所数（事業所）,国分寺市／従業者数（人）,国立市／事業所数（事業所）,国立市／従業者数（人）,福生市／事業所数（事業所）,福生市／従業者数（人）,狛江市／事業所数（事業所）,狛江市／従業者数（人）,東大和市／事業所数（事業所）,東大和市／従業者数（人）,清瀬市／事業所数（事業所）,清瀬市／従業者数（人）,東久留米市／事業所数（事業所）,東久留米市／従業者数（人）,武蔵村山市／事業所数（事業所）,武蔵村山市／従業者数（人）,多摩市／事業所数（事業所）,多摩市／従業者数（人）,稲城市／事業所数（事業所）,稲城市／従業者数（人）,羽村市／事業所数（事業所）,羽村市／従業者数（人）,あきる野市／事業所数（事業所）,あきる野市／従業者数（人）,西東京市／事業所数（事業所）,西東京市／従業者数（人）,町村部／事業所数（事業所）,町村部／従業者数（人）,西多摩郡／事業所数（事業所）,西多摩郡／従業者数（人）,瑞穂町／事業所数（事業所）,瑞穂町／従業者数（人）,日の出町／事業所数（事業所）,日の出町／従業者数（人）,檜原村／事業所数（事業所）,檜原村／従業者数（人）,奥多摩町／事業所数（事業所）,奥多摩町／従業者数（人）,島部／事業所数（事業所）,島部／従業者数（人）,大島支庁／事業所数（事業所）,大島支庁／従業者数（人）,大島町／事業所数（事業所）,大島町／従業者数（人）,利島村／事業所数（事業所）,利島村／従業者数（人）,新島村／事業所数（事業所）,新島村／従業者数（人）,神津島村／事業所数（事業所）,神津島村／従業者数（人）,三宅支庁／事業所数（事業所）,三宅支庁／従業者数（人）,三宅村／事業所数（事業所）,三宅村／従業者数（人）,御蔵島村／事業所数（事業所）,御蔵島村／従業者数（人）,八丈支庁／事業所数（事業所）,八丈支庁／従業者数（人）,八丈町／事業所数（事業所）,八丈町／従業者数（人）,青ヶ島村／事業所数（事業所）,青ヶ島村／従業者数（人）,小笠原支庁／事業所数（事業所）,小笠原支庁／従業者数（人）,小笠原村／事業所数（事業所）,小笠原村／従業者数（人）
3,A,02,021,育林業,10,59,5,15,2,3,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,37,-,-,-,-,-,-,1,5,3,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,1,7,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,02,022,素材生産業,2,12,2,12,-,-,1,6,-,-,-,-,-,-,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,02,023,特用林産物生産業（きのこ類の栽培を除く）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,02,024,林業サービス業,18,174,3,27,-,-,1,17,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,29,1,8,-,-,-,-,-,-,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,1,4,10,118,8,107,-,-,3,59,2,20,3,28,2,11,1,10,-,-,1,10,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
3,A,02,029,その他の林業,1,2,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,B,00,000,漁業,10,80,7,63,-,-,5,38,-,-,-,-,-,-,-,-,-,-,-,-,1,21,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,13,2,13,-,-,-,-,-,-,2,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,B,03,000,漁業（水産養殖業を除く）,6,59,6,59,-,-,5,38,-,-,-,-,-,-,-,-,-,-,-,-,1,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,B,03,030,管理，補助的経済活動を行う事業所,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,B,03,031,海面漁業,6,59,6,59,-,-,5,38,-,-,-,-,-,-,-,-,-,-,-,-,1,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,B,03,032,内水面漁業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,B,04,000,水産養殖業,4,21,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,13,2,13,-,-,-,-,-,-,2,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,B,04,040,管理，補助的経済活動を行う事業所,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,B,04,041,海面養殖業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,B,04,042,内水面養殖業,4,21,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,13,2,13,-,-,-,-,-,-,2,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,C,00,000,鉱業，採石業，砂利採取業,78,1846,65,1689,13,469,3,16,39,1125,4,30,-,-,1,5,-,-,-,-,-,-,1,4,-,-,1,28,-,-,-,-,-,-,1,3,-,-,1,6,-,-,-,-,-,-,1,3,-,-,-,-,9,69,-,-,3,10,-,-,-,-,2,27,1,21,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,1,2,-,-,-,-,4,88,3,87,-,-,1,3,-,-,2,84,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,C,05,000,鉱業，採石業，砂利採取業,78,1846,65,1689,13,469,3,16,39,1125,4,30,-,-,1,5,-,-,-,-,-,-,1,4,-,-,1,28,-,-,-,-,-,-,1,3,-,-,1,6,-,-,-,-,-,-,1,3,-,-,-,-,9,69,-,-,3,10,-,-,-,-,2,27,1,21,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,1,2,-,-,-,-,4,88,3,87,-,-,1,3,-,-,2,84,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,050,管理，補助的経済活動を行う事業所,61,1596,57,1583,12,409,2,14,38,1118,1,2,-,-,1,5,-,-,-,-,-,-,1,4,-,-,1,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,4,13,-,-,2,6,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,051,金属鉱業,1,2,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,052,石炭・亜炭鉱業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,053,原油・天然ガス鉱業,3,82,3,82,1,60,-,-,-,-,2,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,054,採石業，砂・砂利・玉石採取業,9,121,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,5,56,-,-,1,4,-,-,-,-,2,27,1,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,3,59,2,58,-,-,1,3,-,-,1,55,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
