規模,産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
100～499人,学術研究，専門・技術サービス業,707761,33.2,89.6,89.9,1.74,0.12
100～499人,宿泊業，飲食サービス業,177249,-26,80.2,80.9,0.6,-0.18
100～499人,生活関連サービス業，娯楽業,243617,-30.7,94.5,97.2,0.74,-0.39
100～499人,教育，学習支援業,730899,11.2,92.9,96.9,1.85,-0.07
100～499人,医療，福祉,398737,4.2,84.2,72.3,1.2,-0.02
100～499人,複合サービス事業,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
100～499人,サービス業（他に分類されないもの）,301505,37.5,83.2,82.1,1.06,0.15
500人以上,調査産業計,972719,0.5,92.7,93.5,2.23,0.02
500人以上,"鉱業,採石業,砂利採取業",－,－,－,－,－,－
500人以上,建設業,969927,32.6,100,100,2.16,0.54
500人以上,製造業,1195252,8.6,93.2,94.8,2.99,0.34
500人以上,電気・ガス・熱供給・水道業,862547,-1.6,57.1,82.2,2.44,0.26
500人以上,情報通信業,888636,-0.9,100,100,2.23,0.14
500人以上,運輸業，郵便業,895298,5.5,92.1,95.4,1.93,-0.06
500人以上,卸売業，小売業,1259250,-0.6,91.4,87.9,2.17,-0.22
500人以上,"金融業,保険業",1242446,0.9,94.6,92.4,2.34,-0.44
500人以上,不動産業，物品賃貸業,1015024,-4.1,96.3,96.4,2.47,0.27
500人以上,学術研究，専門・技術サービス業,1179431,5.7,82.1,76.3,2.25,-0.14
500人以上,宿泊業，飲食サービス業,317026,-19.6,78.3,76.8,1.26,-0.25
500人以上,生活関連サービス業，娯楽業,－,－,－,－,－,－
500人以上,教育，学習支援業,662601,7.4,100,100,1.81,0
500人以上,医療，福祉,508781,-7.6,100,100,1.48,-0.18
500人以上,複合サービス事業,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
500人以上,サービス業（他に分類されないもの）,456634,-24.4,74.4,75.7,1.77,-0.05
,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年夏季,,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,,
注１）「１人平均支給額」は、賞与を支給した事業所における常用労働者１人当たりの平均賞与支給額です。,,,,,,,
　２）「支給事業所数割合」は、賞与を支給した事業所数を全事業所数で除した値です。,,,,,,,
　３）「支給労働者数割合」は、賞与を支給した事業所の全常用労働者数を全事業所の全常用労働者数で除した値です。,,,,,,,
　４）「平均支給月数」は、賞与を支給した各事業所における賞与の所定内給与に対する割合を単純平均したものです。,,,,,,,
　５）「前年比」は、平成27年１月の抽出替えに伴うギャップ修正により、実数で計算したものとは必ずしも一致しません。,,,,,,,
