事業所規模,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,平成25,2013,年平均,19.1,159.2,143.4,15.8,14.2,90.3,85.6,4.7
500人以上,平成26,2014,年平均,19.2,159,143.2,15.8,13.9,87,82.8,4.2
500人以上,平成27,2015,年平均,19,159.4,142.5,16.9,13.5,89.1,85.3,3.8
500人以上,平成27,2015,1月,18,151.7,135.3,16.4,12.7,85.5,81.5,4
500人以上,平成27,2015,2月,18.1,153.6,136.4,17.2,12.7,84.5,80.9,3.6
500人以上,平成27,2015,3月,19.4,163.8,145.8,18,14.1,95.8,91.6,4.2
500人以上,平成27,2015,4月,20.1,169.1,150.9,18.2,14,92.6,88.8,3.8
500人以上,平成27,2015,5月,18.2,152.5,135.8,16.7,13.3,87.5,83.9,3.6
500人以上,平成27,2015,6月,19.8,165.7,148.5,17.2,14.3,90.7,87.4,3.3
500人以上,平成27,2015,7月,20.5,170.9,153.9,17,14.2,93,89.5,3.5
500人以上,平成27,2015,8月,18.8,157.4,141.7,15.7,13.3,88.7,84.9,3.8
500人以上,平成27,2015,9月,18.1,151.7,136,15.7,13.2,87.2,83.3,3.9
500人以上,平成27,2015,10月,19.1,160.4,143.5,16.9,13.7,89.9,86,3.9
500人以上,平成27,2015,11月,18.9,159.5,142.1,17.4,13.2,86.5,82.5,4
500人以上,平成27,2015,12月,18.5,156.2,139.7,16.5,13.3,87.4,83,4.4
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成27年年報,,,,,,,,,,,
第９表　規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間（調査産業計）,,,,,,,,,,,
