"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","戦争当時の写真や実物資料の展示[人]","戦争体験者との交流会[人]","平和を祈念したコンサート等のイベントの開催","区内の平和関連史跡を活用した取組[人]","高校生世代の長崎への派遣研修[人]","平和啓発物品の配布・パネル等の貸出し[人]","その他[人]","無回答[人]"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","職業別","会社員・団体職員・公務員","280","82","41","41","32","39","3","21","21"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","職業別","アルバイト・パートタイマー","58","20","11","9","7","3","0","3","5"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","職業別","家事専業","94","31","14","11","17","12","1","1","7"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","職業別","学生","20","3","3","1","2","6","1","1","3"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","職業別","無職","83","20","13","8","11","5","6","4","16"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","職業別","その他","26","8","3","4","2","6","0","1","2"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","職業別","無回答","5","2","1","1","0","0","0","0","1"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","居住地区別","芝地区","107","33","20","10","15","12","4","3","10"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","居住地区別","麻布地区","140","42","20","14","15","16","6","11","16"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","居住地区別","赤坂地区","88","27","17","11","6","10","1","4","12"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","居住地区別","高輪地区","155","41","17","15","25","26","2","10","19"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","居住地区別","芝浦港南地区","164","43","30","34","21","19","1","4","12"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","居住地区別","無回答","4","1","1","0","0","0","0","1","1"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","住居形態別","持家（一戸建）","95","29","9","15","8","14","2","6","12"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","住居形態別","持家（マンション）","302","87","50","35","44","38","6","15","27"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","住居形態別","借家（一戸建）","7","1","2","0","1","1","1","0","1"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","住居形態別","民間の賃貸マンション・アパート","171","47","26","25","19","25","2","6","21"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","住居形態別","都営住宅・区営住宅・区立住宅","28","10","4","3","3","1","1","1","5"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","18","4","6","2","2","2","0","1","1"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","住居形態別","社宅・公務員宿舎","20","7","3","1","4","1","0","3","1"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","住居形態別","寮・寄宿舎・住み込み・間借り","6","0","2","1","1","1","0","1","0"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","住居形態別","その他","5","1","2","1","0","0","1","0","0"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","住居形態別","無回答","6","1","1","1","0","0","1","0","2"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","定住意向別","ずっと住み続けていたい","366","112","58","41","44","46","8","17","40"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","定住意向別","当分は住んでいたい","224","53","36","36","33","29","6","12","19"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","42","14","5","6","3","4","0","2","8"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","2","1","0","0","0","0","0","0","1"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","定住意向別","近いうちに区外に転居する予定である","9","2","3","1","1","1","0","0","1"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","定住意向別","わからない","14","5","2","0","1","3","0","2","1"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","定住意向別","無回答","1","0","1","0","0","0","0","0","0"

"第32回港区民世論調査クロス集計表・平和Q28","Ver202003",,,,,,,,,,,,
