経営,事業所名,郵便番号,所在地,経度,緯度,座標系,電話番号
医療法人,錦糸町就労支援センター,130-0013,墨田区錦糸３－１１－３　錦糸町北口第２ビル,139.813638,35.699197,JGD2011,03-5809-7301
営利法人,ＬＩＴＡＬＩＣＯワークス錦糸町,130-0013,墨田区錦糸１－１－５　Ａビル４階,139.809022,35.696972,JGD2011,03-5819-0182
区市町村,すみだ障害者就労支援総合センター,130-0021,墨田区緑４－２５－４,139.807678,35.695542,JGD2011,03-5600-2004
営利法人,ウェルビー錦糸町センター,130-0022,墨田区江東橋２－７－１０　ＨＯ－ＥＩビル２階,139.812258,35.694231,JGD2011,03-5625-5751
営利法人,ウィズ　ヴィレッジ,130-0024,墨田区菊川３－１７－２　アドン菊川ビル３階,139.806498,35.689312,JGD2011,03-5638-8645
営利法人,就労移行支援事業所　シャイニー,130-0026,墨田区両国４－３０－８　両国ＹＡビル５階Ｂ,139.797118,35.694331,JGD2011,03-6659-6201
他の法人,就労移行支援施設すずかぜ・墨田,131-0041,墨田区八広４－４８－３　コイケ酸商ビル５階,139.830126,35.720702,JGD2011,03-6657-5244
社福法人,ピアワーク・オアシス,135-0001,江東区毛利１－７－３　田中ビル,139.812608,35.690634,JGD2011,03-5638-1775
営利法人,ティオ森下,135-0004,江東区森下２－１８－２　センテナリー森下２階,139.798436,35.688326,JGD2011,03-6659-5782
営利法人,ティービーエスオペレーション東陽町就労支援センター,135-0016,江東区東陽２－４－４６　ＡＳＫビル５階,139.819312,35.66914,JGD2011,03-3615-3500
社福法人,ワークセンターつばさ,135-0031,江東区佐賀２－７－４,139.791593,35.679774,JGD2011,03-5621-4503
営利法人,フロンティアリンク　東京木場キャリアセンター,135-0042,江東区木場６－１０－６　ＴＫＹビル４階,139.805822,35.668345,JGD2011,03-6666-8251
営利法人,ライフアーク木場,135-0042,江東区木場６－１０－６　ＴＫＹビル３階,139.805822,35.668345,JGD2011,03-6666-6240
営利法人,就労移行支援事業所かがやく学び舎,136-0071,江東区亀戸６－５８－１５　ダンディリオン亀戸駅前ビル２階,139.827,35.69687,JGD2011,03-5609-7360
社福法人,のびのび作業所デリバリー,136-0072,江東区大島６－１－４－１０９、１１０、１１１,139.832233,35.691207,JGD2011,03-5628-6617
社福法人,のびのび作業所エコ,136-0073,江東区北砂３－２２－２０,139.831103,35.680983,JGD2011,03-5665-8180
営利法人,ジョブサ品川区,141-0031,品川区西五反田１－１３－７　マルキビル３階,139.724153,35.623979,JGD2011,03-6417-0280
営利法人,ＬＩＴＡＬＩＣＯワークス五反田,141-0031,品川区西五反田３－６－２０　いちご西五反田ビル４Ｆ,139.719167,35.627917,JGD2011,03-5719-6560
他の法人,就労移行支援事業所　サンライト,141-0031,品川区西五反田２－３１－９　シーバード五反田４０２,139.719358,35.624948,JGD2011,03-6303-9608
社福法人,げんき品川,141-0032,品川区大崎４－１１－１２,139.721403,35.618579,JGD2011,03-5496-2536
社福法人,ブレス（学芸大学）,152-0001,目黒区中央町２－３２－５　スマイルプラザ中央町,139.688775,35.631511,JGD2011,03-5721-6516
他の法人,ＳＵＮ,152-0001,目黒区中央町２－３２－５　スマイルプラザ中央町４Ｆ,139.688775,35.631511,JGD2011,03-3712-0653
他の法人,フードコミュニティ目黒,152-0001,目黒区中央町２－３２－５　スマイルプラザ中央町,139.688775,35.631511,JGD2011,03-5768-0707
社福法人,しいの実社　学芸大学スマイルプラザ,152-0001,目黒区中央町２－３２－５,139.688775,35.631511,JGD2011,03-5794-9055
営利法人,Melk　目黒駅前Office,153-0064,目黒区下目黒１－２－２１　泰山堂ビル４F,139.713628,35.634136,JGD2011,03-6452-8669
社福法人,社会福祉法人東京コロニー　東京都大田福祉工場,143-0015,大田区大森西２－２２－２６,139.728104,35.575279,JGD2011,03-3762-7611
営利法人,アクセルトライ　おおた,143-0016,大田区大森北２－２－１０　AMT大森ビル５階,139.731606,35.585767,JGD2011,03-6404-9991
他の法人,Spirit大森センター,143-0023,大田区山王３－２７－６　大森ラルタビル５階,139.724012,35.584111,JGD2011,03-6429-2336
区市町村,大田区立障がい者総合サポートセンター,143-0024,大田区中央４－３０－１１,139.718238,35.579492,JGD2011,03-5728-9435
営利法人,レインボーワークス,144-0035,大田区南蒲田１－１－２３　夫婦橋ビル５階,139.724611,35.560703,JGD2011,03-6715-8163
営利法人,ＳＡＫＵＲＡ蒲田センター,144-0035,大田区南蒲田１－１－２２　サテライトＥビル２階,139.724502,35.560653,JGD2011,03-5714-0392
社福法人,スワン工舎羽田,144-0042,大田区羽田旭町１１－１,139.751338,35.55232,JGD2011,03-6756-7360
社福法人,さわやかワークセンター,144-0051,大田区西蒲田３－１９－１,139.707859,35.568085,JGD2011,03-5747-5670
社福法人,ＥＮＴＡＳ,144-0051,大田区西蒲田４－４－１－２階,139.716764,35.56971,JGD2011,03-3751-7650
営利法人,ＪＥＳＤ蒲田,144-0052,大田区蒲田５－２８－２　ＭＣＭビル４階,139.720314,35.562017,JGD2011,03-5703-8333
営利法人,LITALICOワークス蒲田,144-0052,大田区蒲田５－４４－５　ユニゾ蒲田五丁目ビル２階,139.71722,35.560167,JGD2011,03-5714-0512
他の法人,でらいとわーく,144-0052,大田区蒲田５－３０－１５　第２０下川ビル４階,139.719622,35.561878,JGD2011,03-6428-6744
営利法人,ワークイズ,144-0052,大田区蒲田５－１８－５　第２４下川ビル５０１,139.718428,35.562647,JGD2011,03-6715-9161
営利法人,ウェルビー蒲田センター,144-0052,大田区蒲田５－４９－１２　蒲田Ｍ＆Ｍ１ビル５階－２,139.717436,35.559448,JGD2011,03-6715-8153
区市町村,世田谷区立世田谷福祉作業所,154-0002,世田谷区下馬二丁目３１番３４－１０１号,139.678709,35.642948,JGD2011,03-3414-0141
社福法人,Ｎａｖｉｏけやき,154-0011,世田谷区上馬３－７－８　トーヨーＢＬＤＧ,139.663594,35.634421,JGD2011,03-3421-8701
営利法人,就労移行支援事業所　グディ,154-0012,世田谷区駒沢２－１１－１　集花園ビル４階Ｂ,139.659211,35.632399,JGD2011,03-5787-5777
区市町村,世田谷区立障害者就労支援センターすきっぷ,156-0055,世田谷区船橋５－３３－１,139.62539,35.657428,JGD2011,03-3302-7911
社福法人,Commelina,157-0062,世田谷区南烏山６－３３－３６　松村ビル３階,139.600328,35.670004,JGD2011,03-3305-8793
他の法人,さら就労塾@ぽれぽれ,157-0071,世田谷区千歳台３－１７－１６,139.615344,35.652095,JGD2011,03-6424-5455
社福法人,世田谷更生館,157-0073,世田谷区砧３－９－１１,139.613559,35.63575,JGD2011,03-3416-7131
区市町村,世田谷区立砧工房,157-0073,世田谷区砧４－３２－１４,139.614531,35.643493,JGD2011,03-3417-4604
社福法人,泉の家,157-0076,世田谷区岡本２－３３－２３,139.616909,35.623694,JGD2011,03-3417-3451
区市町村,世田谷区立岡本福祉作業ホーム,157-0076,世田谷区岡本２－３３－２４,139.617132,35.623635,JGD2011,03-3415-3366
社福法人,社会就労センターパイ焼き窯,158-0082,世田谷区等々力２－３６－１３,139.647035,35.605635,JGD2011,03-3702-0459
他の法人,One-Self（ワン－セルフ）,158-0083,世田谷区奥沢８－１－３　奥沢レックス１Ｆ,139.659925,35.602041,JGD2011,03-6809-7735
区市町村,世田谷区立玉川福祉作業所,158-0094,世田谷区玉川１－７－２,139.628015,35.610121,JGD2011,03-3707-0498
他の法人,Ｄｏ－ｗｉｌｌ,158-0097,世田谷区用賀３－１１－１５　Ｃ・Ｉビル２階,139.636307,35.62871,JGD2011,03-6432-7878
他の法人,特定非営利活動法人Ｔ＆Ｅ企画,158-0098,世田谷区上用賀５－５－１０　万葉ビル４階,139.626528,35.628099,JGD2011,03-3709-0802
社福法人,就労支援施設ゆに（ＵＮＩ）,158-0098,世田谷区上用賀５－１４－１－１　２階,139.626089,35.630337,JGD2011,03-5797-3560
営利法人,就労移行支援事業所　マナビト,150-0002,渋谷区渋谷３－１９－１　オミビル７階,139.702712,35.657663,JGD2011,03-6861-2985
営利法人,ＧＦＴＤ　ＷＯＲＫＳ,150-0002,渋谷区渋谷３丁目２７－１５－６Ｆ,139.70462,35.65608,JGD2011,050-3187-6831
営利法人,ＳＡＫＵＲＡ渋谷センター,150-0002,渋谷区渋谷３－６－２　エクラート渋谷ビル３階,139.704975,35.657925,JGD2011,03-5778-9953
公益法人,東京聴覚障害者自立支援センターＲＯＮＡスクール,150-0011,渋谷区東１－２３－３　東京聴覚障害者自立支援センター２階・３階,139.707675,35.655308,JGD2011,03-5464-6058
他の法人,ＪＳＮ東京,150-0011,渋谷区東２－２２－１０　メディアパーク八島ビル２Ｆ,139.708153,35.654108,JGD2011,03-5778-4134
営利法人,ウェルビー渋谷センター,150-0031,渋谷区桜丘町４－２４　桜ヶ丘平井ビル１階,139.70332,35.65545,JGD2011,03-6416-9680
営利法人,就労移行支援事業所　ボランド,151-0051,渋谷区千駄ヶ谷５－２１－６　プラザＦ１ビル６０２,139.704294,35.682775,JGD2011,03-5361-6076
営利法人,ジョイワークセンター,151-0053,渋谷区代々木３－３１－１２－２０５,139.693559,35.683055,JGD2011,03-6321-3439
営利法人,Ｋａｉｅｎ代々木,151-0053,渋谷区代々木１－４－１　ユニゾ代々木一丁目ビル１階,139.700541,35.680636,JGD2011,050-2018-3443
営利法人,ＬＩＴＡＬＩＣＯワークス新宿南口,151-0053,渋谷区代々木２－１３－８　エスト新宿ビル７Ｆ,139.696553,35.687135,JGD2011,03-5333-0653
他の法人,ワークささはた,151-0073,渋谷区笹塚３－４８－１－１号棟,139.668161,35.679877,JGD2011,03-3372-4590
社福法人,コロニーもみじやま支援センター,164-0001,中野区中野５－３－３２,139.672271,35.708118,JGD2011,03-5318-9952
社福法人,メイプルガーデン,164-0001,中野区中野５－２６－１８,139.668879,35.708729,JGD2011,03-3387-0082
営利法人,就労支援センター　ひゅーまにあ中野,164-0001,中野区中野４－７－１　野口ビル３階,139.66348,35.709726,JGD2011,03-5942-8931
社福法人,中野区仲町就労支援事業所,164-0011,中野区中央３－１９－１,139.674176,35.7004,JGD2011,03-3360-1571
他の法人,ワークセンター翔和,164-0011,中野区中央１－３２－６　フォーチュンハウス,139.684231,35.697956,JGD2011,03-5386-0474
営利法人,ワークステーションJade中野,164-0011,中野区中央３丁目１３－１０　ジョイ林４０１号室,139.673576,35.702055,JGD2011,03-5937-0483
営利法人,にじ中野坂上,164-0012,中野区本町２－４５－１３　山手ビル６階,139.682392,35.695861,JGD2011,03-6276-8663
社福法人,中野区立弥生福祉作業所,164-0013,中野区弥生町４－３６－１５,139.67091,35.689801,JGD2011,03-3384-2939
社福法人,コロニー中野,165-0023,中野区江原町２－６－７,139.668348,35.72911,JGD2011,03-3953-3541
他の法人,ワーカライズ　ニコ,165-0026,中野区新井２－８－１３,139.664832,35.712234,JGD2011,03-3388-2941
営利法人,ＳＡＫＵＲＡ杉並センター,166-0002,杉並区高円寺北２－１－２４　Ｃｏｒｅ高円寺ビル３階,139.654261,35.705718,JGD2011,03-5327-8223
他の法人,ゆい企画（就労移行）,166-0015,杉並区成田東５－１５－２１　成宗マンション１階,139.628827,35.702087,JGD2011,03-3220-7880
社福法人,あけぼの作業所,167-0023,杉並区上井草４－３－１１,139.597071,35.718106,JGD2011,03-3395-1441
他の法人,障害者就労支援センター　どんまい福祉工房,167-0031,杉並区本天沼１－２４－９,139.632099,35.713897,JGD2011,03-3396-2881
社福法人,杉並育成園すだちの里すぎなみ,167-0035,杉並区今川２－１４－１２,139.609034,35.718062,JGD2011,03-5310-3361
営利法人,ウェルビー荻窪駅前センター,167-0043,杉並区上荻１－５－７　ハザマビル７階,139.621767,35.705042,JGD2011,03-6915-1421
公益法人,杉並区障害者雇用支援センター,168-0072,杉並区高井戸東４－１０－２６,139.617795,35.689721,JGD2011,03-5346-3250
営利法人,ＳＩＮ医療福祉サービス,170-0002,豊島区巣鴨１－１９－１２　八木下ビル６階,139.74015,35.731714,JGD2011,03-6912-0954
区市町村,豊島区立駒込福祉作業所,170-0003,豊島区駒込４－７－１,139.742364,35.734978,JGD2011,03-3910-2301
営利法人,ニューロワークス　大塚センター,170-0004,豊島区北大塚２－１７－４　キャリアビル５階,139.727804,35.733608,JGD2011,03-5980-9023
社福法人,豊芯会ジョブトレーニング事業所,170-0004,豊島区北大塚３－３４－７,139.726684,35.735203,JGD2011,03-3915-9051
営利法人,就労移行支援事業所　プレンティとしまく,170-0005,豊島区南大塚２－２６－１２　鈴音ビル２０１,139.729773,35.727784,JGD2011,03-5981-9555
営利法人,ＬＩＴＡＬＩＣＯワークス大塚,170-0013,豊島区東池袋２－１３－１４　マルヤス機械ビル４Ｆ－Ｂ,139.725235,35.731056,JGD2011,03-5956-5116
営利法人,Ｌｉｎｋキャリアサポートセンター,170-0013,豊島区東池袋１－２５－１７　ウエストビル７階,139.716233,35.728078,JGD2011,03-6912-8298
営利法人,Kaien池袋,170-0013,豊島区東池袋１－２５－１４　アルファビルディング２階,139.716066,35.728728,JGD2011,050-2018-0076
社福法人,いけぶくろ茜の里,171-0014,豊島区池袋４－１５－１０,139.707719,35.739802,JGD2011,03-5960-5231
他の法人,さら就労塾＠ぽれぽれ／池袋,171-0014,豊島区池袋４－２７－５　和田ビル５Ｆ,139.710561,35.737955,JGD2011,03-5944-9123
営利法人,ウェルビー池袋センター,171-0014,豊島区池袋２－４０－１３　ＶＯＲＴ池袋Ⅰ７階,139.70898,35.733341,JGD2011,03-5956-2011
営利法人,ＳＡＫＵＲＡ池袋センター,171-0022,豊島区南池袋１－２５－１　ＥＱＵＩＮＩＡ南池袋８階,139.713083,35.728464,JGD2011,03-3971-0133
他の法人,たいよう,114-0003,北区豊島５－３－３５,139.749889,35.765083,JGD2011,03-3927-0348
営利法人,アルファ王子,114-0021,北区岸町１－２－１１　東亜ビル２階,139.736219,35.753726,JGD2011,03-5948-4270
社福法人,フロムヴイ,114-0023,北区滝野川７－７－７　サークル伊藤ビル１階、３階,139.720457,35.744882,JGD2011,03-6903-6790
他の法人,ファーストゲート,114-0023,北区滝野川二丁目２番２号　Ｔ・ＷＡＶＥビル１階,139.736561,35.750573,JGD2011,03-5980-8747
営利法人,Astage王子センター,114-0024,北区西ケ原３－３３－１９－１階,139.739161,35.744863,JGD2011,03-5980-7866
他の法人,リボーンプロジェクト　,114-0032,北区中十条１－２－１８　障害者福祉センター４階,139.729536,35.757603,JGD2011,03-5963-6888
社福法人,工房ヴイ,114-0034,北区上十条２－１－１２,139.722164,35.757492,JGD2011,03-3906-7767
社福法人,トイトイトイ,115-0042,北区志茂２－１７－２　１階,139.72823,35.777709,JGD2011,03-5963-6090
営利法人,Melk　赤羽Office,115-0045,北区赤羽２－２１－２　ＳＤ．Ｂｕｉｌｄｉｎｇ３階,139.723816,35.780325,JGD2011,03-5939-6734
営利法人,ＬＩＴＡＬＩＣＯワークス赤羽,115-0055,北区赤羽西１－７－８　パルロード３＿８階,139.718497,35.777358,JGD2011,03-5963-6960
社福法人,りんりんりん,115-0055,北区赤羽西２－３－２０,139.721611,35.773245,JGD2011,03-5948-9181
区市町村,荒川区立荒川福祉作業所,116-0002,荒川区荒川１－５３－９,139.785108,35.732925,JGD2011,03-3807-3442
他の法人,小台橋あさがお,116-0002,荒川区荒川４－１９－１,139.780828,35.737052,JGD2011,03-5604-9262
営利法人,アルファ西日暮里,116-0013,荒川区西日暮里６－４７－９　ＫＳ小宮ビル３階,139.768553,35.735946,JGD2011,03-6807-8752
営利法人,ルーチェ・チアラ,116-0013,荒川区西日暮里１－３７－１２　にっぽりひなたメゾン１階,139.773909,35.736849,JGD2011,03-3805-8533
営利法人,ヒューマングロー板橋,173-0004,板橋区板橋４－６－１,139.718312,35.749406,JGD2011,03-6905-7177
他の法人,マック・チャレンジサポート,173-0004,板橋区板橋４－４－３　白鳩マンション２０１,139.719159,35.749184,JGD2011,03-6912-4853
営利法人,チャレンジド板橋区役所前,173-0004,板橋区板橋２－６１－１０　藤畑第１ビル３０１,139.709779,35.751031,JGD2011,03-6905-7047
社福法人,社会就労センタープロデュース道,173-0024,板橋区大山金井町３９－１　ダイヤパレス１０１,139.704072,35.746667,JGD2011,03-5926-8803
他の法人,就労者育成会,173-0032,板橋区大谷口上町２１－６,139.692456,35.749408,JGD2011,03-3955-8145
社福法人,東京聴覚障害者支援センター,174-0056,板橋区志村２－１９－５,139.687852,35.775286,JGD2011,03-3967-0051
社福法人,まえの福祉作業所,174-0063,板橋区前野町３－１７－１２,139.69135,35.768503,JGD2011,03-3965-1031
社福法人,東京都板橋福祉工場　就労移行支援事業所,175-0082,板橋区高島平９－４２－７,139.66929,35.791577,JGD2011,03-3935-2601
営利法人,ＦＴＬビジネススクール　成増校,175-0094,板橋区成増２－２３－１　太郎第二ビル,139.630574,35.778698,JGD2011,03-6904-1095
他の法人,ワークショップ・ブルーベリー,176-0001,練馬区練馬１－２８－６,139.655754,35.739717,JGD2011,03-3557-8601
他の法人,にじ練馬,176-0012,練馬区豊玉北５－２－１　鈴木ビル１階,139.656404,35.73682,JGD2011,03-6914-8780
区市町村,練馬区立貫井福祉工房,176-0021,練馬区貫井２－１６－１２,139.631098,35.738622,JGD2011,03-5987-0401
社福法人,チャレンジワークやまびこ,177-0041,練馬区石神井町７－１７－４,139.596015,35.741754,JGD2011,03-5923-9864
社福法人,やすらぎラウンジ,177-0045,練馬区石神井台８－２２－６,139.579891,35.737648,JGD2011,03-5947-4503
社福法人,大泉障害者支援ホーム,178-0061,練馬区大泉学園町９－４－２,139.594589,35.775805,JGD2011,03-3978-5581
区市町村,練馬区立かたくり福祉作業所,178-0062,練馬区大泉町３－２７－１０,139.59825,35.767067,JGD2011,03-5387-4610
区市町村,練馬区立大泉福祉作業所,178-0063,練馬区東大泉２－１１－２２,139.59612,35.751636,JGD2011,03-3922-6193
他の法人,青オニの家,178-0065,練馬区西大泉３－１－１　ウエストビルズ１階西側,139.584071,35.754258,JGD2011,03-3922-7366
社福法人,あかねの会　就労支援室,179-0074,練馬区春日町１－１８－３６,139.647588,35.748918,JGD2011,03-3577-7330
社福法人,ねりま高松事業所,179-0075,練馬区高松４－３１－１０,139.623426,35.751587,JGD2011,03-5848-8311
社福法人,やすらぎ夢工房,179-0076,練馬区土支田３－２９－２５,139.60906,35.762452,JGD2011,03-5933-2023
区市町村,練馬区立北町福祉作業所,179-0081,練馬区北町８－２－１２,139.651026,35.76425,JGD2011,03-3559-0361
営利法人,ウェルビー北千住駅前センター,120-0034,足立区千住３－１　藤田ビル２階,139.80048,35.751161,JGD2011,03-5284-6331
営利法人,Melk　北千住Office,120-0034,足立区千住１－３－６　ＴＯＣビル３階,139.799945,35.746809,JGD2011,03-5284-8927
営利法人,就労支援センターひゅーまにあ北千住,120-0034,足立区千住１－１１－２　カーニープレイス千住６階,139.799475,35.748615,JGD2011,03-3870-3723
営利法人,Job庵北千住,120-0036,足立区千住仲町１６－１,139.799159,35.746198,JGD2011,050-3481-5931
社福法人,神明福祉作業所,121-0057,足立区谷中五丁目１３番８号,139.836476,35.783755,JGD2011,03-3605-7637
営利法人,就労移行支援事業所　あすた足立,121-0813,足立区竹の塚３－１０－１　竹の塚ビル３階Ｂ,139.802275,35.791882,JGD2011,03-5856-4862
社福法人,希望の苑,121-0813,足立区竹の塚７－１９－９,139.795945,35.800822,JGD2011,03-5831-1801
