"経営","施設名","郵便番号","所在地","経度","緯度","座標系","電話番号"
"他の法人","あかしろきいろ発達支援るーむⅡ","146-0082","大田区池上４－３０－９－２０１","139.705203","35.573232","JGD2011","03-6410-6701"
"営利法人","こどもプラスほしのこジュニア","146-0082","大田区池上３－３９－１２　常盤ビル２階","139.701459","35.572937","JGD2011","03-6410-6172"
"区市町村","大田区立こども発達センターわかばの家　児童発達支援事業所","146-0083","大田区千鳥３－７－５","139.690366","35.573002","JGD2011","03-3757-7761"
"営利法人","発達支援教室スマイル久が原プラス","146-0084","大田区南久が原２－１２－１４　三立ビル１階","139.685866","35.578215","JGD2011","03-6715-0405"
"営利法人","みなそら　蒲田園","146-0094","大田区東矢口１－１１－１","139.707143","35.565614","JGD2011","03-5713-2080"
"社福法人","発達支援つむぎ　池尻ルーム","154-0001","世田谷区池尻４－２３－１６","139.6809","35.652414","JGD2011","03-6453-2848"
"営利法人","LITALICOジュニア駒沢教室","154-0003","世田谷区野沢２－３４－２　サンワイズ野沢２階","139.665279","35.635348","JGD2011","03-5779-6236"
"区市町村","子育てステーション桜新町　発達相談室","154-0015","世田谷区桜新町２－８－１　世田谷目黒農協本店ビル内１階","139.645112","35.631965","JGD2011","03-5426-3521"
"営利法人","プレミア・ケア・ジュニア世田谷店","154-0016","世田谷区弦巻１－４６－１５","139.648692","35.639795","JGD2011","03-6804-4981"
"営利法人","アプリ児童デイサービス若林","154-0023","世田谷区若林四丁目２番５号","139.659405","35.646514","JGD2011","03-6453-2992"
"営利法人","スタジオそら北沢","155-0031","世田谷区北沢３－１－３　ＳＦビル２階","139.673203","35.665981","JGD2011","03-5790-9347"
"他の法人","幼児グループわんぱく","155-0033","世田谷区代田１－２２－１０","139.66106","35.652852","JGD2011","03-6805-2996"
"区市町村","世田谷区立総合福祉センター児童発達支援事業所","156-0043","世田谷区松原６－４１－７","139.649747","35.656426","JGD2011","03-5376-3413"
"他の法人","ＡＢＡスクール　ペッピーパッチ","156-0044","世田谷区赤堤２－４６－６","139.644825","35.659426","JGD2011","03-6338-5434"
"他の法人","障害児保育園へレン経堂","156-0051","世田谷区宮坂３－１５－１５","139.637306","35.653971","JGD2011","03-6413-5606"
"営利法人","アプリ児童デイサービス桜丘","156-0054","世田谷区桜丘二丁目２１番３号","139.623752","35.64606","JGD2011","03-6432-6812"
"社福法人","プレイ＆リズム希望丘","156-0055","世田谷区船橋７－８－３","139.619799","35.658378","JGD2011","03-3789-6161"
"社福法人","児童デイサービスここから","157-0061","世田谷区北烏山３丁目１１番５号","139.60245","35.673914","JGD2011","03-5315-7881"
"区市町村","子育てステーション烏山発達相談室","157-0062","世田谷区南烏山５－１７－５","139.601297","35.666924","JGD2011","03-5384-7811"
"営利法人","プレミア・ケア・ジュニア芦花公園店","157-0062","世田谷区南烏山１－１６－１９－１階","139.612491","35.668207","JGD2011","03-5357-8757"
"他の法人","幼児グループにじのこ","157-0064","世田谷区給田２－７－２","139.594634","35.665571","JGD2011","03-5314-9590"
"他の法人","愛育学園すみれ","157-0066","世田谷区成城２－１５－８","139.599049","35.637463","JGD2011","03-3416-9778"
"営利法人","LITALICOジュニア成城教室","157-0066","世田谷区成城６－１３－２１　フェニックス成城２０１","139.60004","35.641343","JGD2011","03-5490-7635"
"営利法人","スタジオそら喜多見","157-0067","世田谷区喜多見八丁目１５番２５号　キタミフォーラム１階","139.588472","35.635858","JGD2011","03-6751-3699"
"他の法人","こどもデイうぃず","157-0067","世田谷区喜多見７－２５－１７","139.592027","35.634097","JGD2011","03-6805-8910"
"営利法人","アプリ児童デイサービス千歳台","157-0071","世田谷区千歳台３－３１－２０","139.612419","35.653731","JGD2011","03-6277-9973"
"営利法人","児童デイサービス　プラス砧","157-0073","世田谷区砧４－１０－１７－１階","139.613234","35.640408","JGD2011","03-6805-8137"
"営利法人","ＴＡＫＵＭＩ　祖師ヶ谷大蔵","157-0073","世田谷区砧２－１７－７　Ｅ・スペース２階","139.615581","35.644565","JGD2011","03-5429-6500"
"区市町村","世田谷区発達障害相談・療育センター","157-0074","世田谷区大蔵２－１０－１８","139.612803","35.634633","JGD2011","03-5727-2235"
"社福法人","発達支援つむぎ　駒沢ルーム","158-0081","世田谷区深沢２－１９－１４","139.660041","35.623047","JGD2011","03-6432-2071"
"営利法人","LITALICOジュニア自由が丘教室","158-0083","世田谷区奥沢４－９－９　第二小幡ビル３階","139.671547","35.600983","JGD2011","03-5754-6008"
"営利法人","発達支援ルーム　琉りゅう","158-0093","世田谷区上野毛２－２２－１４　Ａ－２階","139.635089","35.609468","JGD2011","03-6411-6684"
"社福法人","ほわわ世田谷","158-0095","世田谷区瀬田２－６－８","139.632722","35.617033","JGD2011","03-6805-6470"
"営利法人","運動療育スパークスタジオ世田谷","158-0095","世田谷区瀬田４－２７－９　ＡＭビル２階","139.630011","35.621691","JGD2011","03-5797-9782"
"営利法人","スタジオそら用賀","158-0097","世田谷区用賀２－３６－１７　林ビル２階","139.635735","35.627263","JGD2011","03-6447-9938"
"区市町村","渋谷区障害者福祉センターはぁとぴあ原宿","150-0001","渋谷区神宮前３－１８－３７","139.709527","35.671407","JGD2011","03-3463-1922"
"営利法人","スタジオそら原宿","151-0051","渋谷区千駄ヶ谷３－５１－６　原宿ＭＯＡ１階","139.706133","35.675037","JGD2011","03-6432-9887"
"他の法人","障害児保育園ヘレン初台","151-0053","渋谷区代々木４－３７－１５　おやこ基地シブヤ１階","139.689181","35.680816","JGD2011","03-6304-2036"
"区市町村","渋谷区障害者福祉センター代々木の杜","151-0053","渋谷区代々木２－３５－１","139.697725","35.684158","JGD2011","03-5371-1550"
"他の法人","スパーク初台センター","151-0053","渋谷区代々木４－３６－４","139.689492","35.681302","JGD2011","03-6300-5250"
"営利法人","スタジオそら代々木公園","151-0063","渋谷区富ヶ谷一丁目２番１号","139.690043","35.670367","JGD2011","03-6407-8477"
"営利法人","児童発達支援・放課後等デイサービス　マリリン　スポーツ塾　初台","151-0071","渋谷区本町２－５－１１　三山ビル１階","139.683515","35.684004","JGD2011","03-6276-5851"
"営利法人","LITALICOジュニア笹塚教室","151-0073","渋谷区笹塚２－２７－５　Ｂ’ｓ笹塚ビル５F","139.661984","35.673164","JGD2011","03-5302-1790"
"営利法人","スタジオそら東中野","164-0003","中野区東中野４－２７－３３　エムエス東中野ビル１階","139.689136","35.710963","JGD2011","03-5989-1915"
"営利法人","発達支援センタージョイナス東中野教室","164-0003","中野区東中野１－５０－２　オクト森ビル１階","139.686381","35.705694","JGD2011","03-6908-8181"
"営利法人","ハッピーテラスキッズ　中野ルーム","164-0012","中野区本町６－１４－２　和田ビル１階","139.666819","35.695897","JGD2011","03-5328-1810"
"他の法人","おでんくらぶ","164-0012","中野区本町６－３６－５　シーアイマンション新中野１０２号","139.662286","35.697261","JGD2011","03-6454-1230"
"社福法人","中野区療育センターゆめなりあ","164-0013","中野区弥生町５－５－２","139.666333","35.686165","JGD2011","03-6382-4781"
"他の法人","スパーク中野センター","164-0013","中野区弥生町４－２５－１","139.669297","35.686345","JGD2011","03-6454-1340"
"社福法人","中野区子ども発達センター　たんぽぽ","165-0021","中野区丸山一丁目１７番２号","139.657714","35.725588","JGD2011","03-5343-7883"
"社福法人","中野区立療育センターアポロ園","165-0022","中野区江古田４－４３－２５","139.65944","35.725296","JGD2011","03-3389-3700"
"営利法人","アプリ児童デイサービス沼袋","165-0025","中野区沼袋２－２８－３４","139.665684","35.722075","JGD2011","03-5942-9451"
"他の法人","指定児童発達支援事業所　ぽるか","166-0001","杉並区阿佐谷北１－２６－１８","139.636388","35.707392","JGD2011","03-5327-8232"
"他の法人","発達支援ルーム　にこっと","166-0002","杉並区高円寺北３－４０－１３　ＢＩＧ　ＶＡＬＬＥＹ２階","139.64657","35.710514","JGD2011","03-6265-5777"
"営利法人","LITALICOジュニア高円寺教室","166-0003","杉並区高円寺南２－７－１　拓都ビル３Ｆ","139.651506","35.698157","JGD2011","03-5305-3913"
"公益法人","心理・発達相談室　こぐま","166-0003","杉並区高円寺南３－３１－１８","139.645629","35.701885","JGD2011","03-3314-0421"
"営利法人","プレミア･ケア･ジュニア阿佐ヶ谷店","166-0004","杉並区阿佐谷南２－３２－９－１階","139.644173","35.704443","JGD2011","03-5929-7371"
"営利法人","バンブーワァオ阿佐ヶ谷校","166-0004","杉並区阿佐谷南１－１５－１８　伊藤ビル２０１－Ｂ号室","139.636905","35.699937","JGD2011","03-6383-1860"
"社福法人","発達支援つむぎ　阿佐ヶ谷ルーム","166-0015","杉並区成田東４－３６－１５　","139.637732","35.698432","JGD2011","03-6383-1304"
"他の法人","ハービー＆マックローリン・陽だまり介護センター杉並事業所","167-0031","杉並区本天沼３－３４－３８－２０５","139.623002","35.715699","JGD2011","03-5311-2086"
"社福法人","ドルフィンキッズ","167-0032","杉並区天沼２－４－１　井上ビル２０３","139.623386","35.705323","JGD2011","03-5335-7690"
"他の法人","障害児保育園ヘレン","167-0032","杉並区天沼三丁目１２番１２号","139.616631","35.708361","JGD2011","03-6383-5721"
"区市町村","杉並区立重症心身障害児通所施設わかば","167-0032","杉並区天沼３－１５－２０","139.618222","35.708428","JGD2011","03-5347-0550"
"他の法人","児童発達支援　ＯＫプラネット","167-0034","杉並区桃井２－１－６　シャトレオギ１－Ｃ号","139.610631","35.710622","JGD2011","03-6913-8607"
"営利法人","アンダンテ・プリモ","167-0034","杉並区桃井４－４－４　スターテングビル１階","139.601282","35.712671","JGD2011","03-6913-9101"
"営利法人","プレミア・ケア・ジュニア西荻窪店","167-0043","杉並区上荻３－５－４　１階","139.607918","35.706864","JGD2011","03-6913-9461"
"社福法人","第２ドルフィンキッズ","167-0043","杉並区上荻１－４－５　村上ビル５階","139.62225","35.705056","JGD2011","03-6279-9408"
"社福法人","発達支援つむぎ　荻窪ルーム","167-0051","杉並区荻窪５－２７－６　中島第一ビル６階","139.620017","35.704111","JGD2011","03-6383-6060"
"他の法人","ADDS　Kids　1st荻窪","167-0051","杉並区荻窪５－１６－１４　カパラビル５階","139.617889","35.704045","JGD2011","03-6915-1545"
"公益法人","子どもの家エラン","167-0052","杉並区南荻窪１－３４－２１","139.613845","35.697101","JGD2011","03-3332-5115"
"営利法人","LITALICOジュニア南荻窪教室","167-0052","杉並区南荻窪１－２１－２　都コーポ１階","139.617581","35.696162","JGD2011","03-5336-7837"
"営利法人","プレミア・ケア・ジュニア代田橋店","168-0063","杉並区和泉１－１９－１３","139.65859","35.674624","JGD2011","03-6379-3681"
"区市町村","杉並区立こども発達センター","168-0072","杉並区高井戸東１－１８－５","139.619729","35.682622","JGD2011","03-5317-5661"
"他の法人","障害児保育園ヘレンすがも","170-0002","豊島区巣鴨５－２３－８　ソシエ巣鴨１階","139.732095","35.741474","JGD2011","03-5972-1401"
"他の法人","手話でいきる子どもの児童発達支援・放課後等デイサービス　あ～とん塾","170-0002","豊島区巣鴨３－６－１２　藤ビル２階","139.734409","35.734014","JGD2011","03-5980-7140"
"営利法人","ハッピーキッズスペースみんと大塚","170-0004","豊島区北大塚３－１０－４　岩田ビル１階","139.722004","35.734308","JGD2011","03-5961-1022"
"営利法人","LITALICOジュニア池袋西口教室","171-0014","豊島区池袋２－４６－３　ＣＩＭＡ１００　２Ｆ","139.710436","35.733719","JGD2011","03-5928-2646"
"営利法人","イルカ児童園","171-0014","豊島区池袋２－３５－５","139.706586","35.733447","JGD2011","03-6844-4563"
"社福法人","発達支援つむぎ　目白ルーム","171-0031","豊島区目白４－３１－２２　ＹＵＩ－ＥＮＮ目白１階","139.699534","35.726195","JGD2011","03-6908-2102"
"営利法人","エントランス池袋教室","171-0043","豊島区要町２－９－１２　要町ホワイトビル２階Ｅ号","139.692765","35.735316","JGD2011","03-5964-5083"
"営利法人","ファーストステップ池袋教室","171-0043","豊島区要町２－９－１２","139.692765","35.735316","JGD2011","03-3955-0808"
"区市町村","豊島区立西部子ども家庭支援センター","171-0044","豊島区千早４－６－１４","139.682466","35.737684","JGD2011","03-5966-3131"
"営利法人","運動発達支援スタジオＵＮＩＭＯ南長崎","171-0052","豊島区南長崎４－１－１　ＢＡＪビル１階","139.685841","35.723014","JGD2011","03-6914-4008"
"社福法人","キッズタウンあとりえ","114-0001","北区東十条３－１８－４０","139.7284","35.76363","JGD2011","03-5902-7057"
"区市町村","東京都北区立子ども発達支援センターさくらんぼ園","114-0003","北区豊島４－１６－３８","139.749223","35.761006","JGD2011","03-3913-8841"
"営利法人","こどもプラス１","114-0012","北区田端新町３－３４－１","139.764337","35.742334","JGD2011","03-3800-7774"
"社福法人","つみき第２","114-0022","北区王子本町１－１９－１","139.733005","35.753856","JGD2011","03-6454-3998"
"区市町村","荒川区立心身障害者福祉センター","116-0002","荒川区荒川１－５３－２０","139.784492","35.733042","JGD2011","03-3891-6824"
"営利法人","アトリエ　Ｌｏｐ","116-0002","荒川区荒川４－８－１－１０１　アルビオン宮地","139.77772","35.737035","JGD2011","03-6458-3270"
"営利法人","るんるんキッズ　ハート","116-0011","荒川区西尾久８－４２－２","139.751065","35.751949","JGD2011","03-6807-7700"
"他の法人","療養通所それいゆ","116-0012","荒川区東尾久３－１９－６","139.771147","35.747125","JGD2011","03-6458-2890"
"営利法人","コペルプラス　西日暮里教室","116-0013","荒川区西日暮里５－３３－１　西川ビル２階","139.767762","35.733549","JGD2011","03-5604-5641"
"営利法人","こぱんはうす　さくら","116-0013","荒川区西日暮里６－２３－５　光ビル１階","139.770115","35.736071","JGD2011","03-3810-2112"
"営利法人","LITALICOジュニア西日暮里教室","116-0013","荒川区西日暮里５－２－１９　リレント第２西日暮里６階","139.770798","35.733952","JGD2011","03-5615-5317"
"営利法人","スマイルスイッチＯＮ","116-0014","荒川区東日暮里６－４５－３","139.775542","35.728811","JGD2011","03-6806-8028"
"営利法人","LITALICOジュニア板橋教室","173-0004","板橋区板橋１－４９－１　板橋センタービル３階","139.719057","35.747476","JGD2011","03-5943-8345"
"社福法人","心身障害児総合医療療育センター","173-0037","板橋区小茂根１－１－１０","139.682715","35.747517","JGD2011","03-3974-2146"
"営利法人","アプリ児童デイサービス高島平２号館","175-0082","板橋区高島平７丁目１８番１８号　高島平セントラルコート","139.656538","35.790916","JGD2011","03-6915-6293"
"社福法人","あゆみ","175-0094","板橋区成増５－１５－１　セブンヒルズ土山１階","139.633235","35.785358","JGD2011","03-6915-6317"
"他の法人","ＮＰＯ法人ふれあい学童　空","176-0012","練馬区豊玉北２－１６－３　セントローズ江古田１階","139.664853","35.734612","JGD2011","03-6915-8782"
"社福法人","発達支援室あかねっこ　練馬教室","176-0012","練馬区豊玉北４－２７－２　練馬民団ビル１階","139.657093","35.736917","JGD2011","03-6914-7515"
"営利法人","運動発達支援スタジオＵＮＩＭＯ中村橋","176-0021","練馬区貫井１－２－１　中村橋サンパレス１１１","139.637711","35.73713","JGD2011","03-5848-5444"
"営利法人","発達支援センタージョイナス　向山教室","176-0022","練馬区向山一丁目１５番２号　上野ビル３階","139.639158","35.737122","JGD2011","03-5848-4843"
