経営,施設名,郵便番号,所在地,経度,緯度,座標系,電話番号
他の法人,発達支援ルーム　ぽけっと,112-0002,文京区小石川５－３８－２　クレストヒルズ小石川２階,139.742953,35.718166,JGD2011,03-5615-8475
社福法人,放課後等デイサービス　びおら,112-0006,文京区小日向２丁目１６－１５,139.734582,35.710581,JGD2011,03-5940-2822
営利法人,運動発達支援スタジオＵＮＩＭＯ文京千石,112-0011,文京区千石１－２９－１２　千石片岡ビル１０１,139.74518,35.727271,JGD2011,03-6304-1165
営利法人,放課後等デイサービス　あんプラス江戸川橋,112-0014,文京区関口１－４８－６　日火江戸川橋ビル第２　２０１,139.730463,35.709486,JGD2011,03-6280-7083
営利法人,エデュクエスト,113-0001,文京区白山１－１８－７　石川ビル２０２号室,139.752236,35.717747,JGD2011,03-6801-8516
公益法人,放課後等デイサービス　カリタス翼,113-0021,文京区本駒込５－４－４,139.750074,35.732379,JGD2011,03-3943-1727
区市町村,文京区放課後等デイサービスＪＯＹ,113-0021,文京区本駒込四丁目３５番１５号　文京区勤労福祉会館２階,139.75514,35.733468,JGD2011,03-3823-8091
営利法人,ハッピーテラス千駄木教室,113-0031,文京区根津２－３７－８,139.76241,35.72118,JGD2011,03-5832-9931
区市町村,文京区児童発達支援センター,113-0034,文京区湯島４－７－１０,139.765768,35.708848,JGD2011,03-5800-2632
営利法人,スマートキッズプラス南千住,110-0012,台東区竜泉３－４０－６　ハイツエスポワール１階,139.792232,35.72668,JGD2011,03-5808-7955
営利法人,ユニゾン上野,110-0014,台東区北上野１－８－５　ビリーフ上野１階,139.782166,35.717258,JGD2011,03-5830-9430
営利法人,オアゾ子供クラブ,110-0014,台東区北上野２－２５－８,139.785217,35.718465,JGD2011,03-6802-8178
社福法人,結ふる美谷東京,110-0015,台東区東上野１丁目２５番８号　萬屋ビル３階,139.780323,35.708615,JGD2011,03-6803-2987
社福法人,つばさ放課後クラブ,111-0031,台東区千束３－２８－１３　千束保健福祉センター６階,139.793627,35.723086,JGD2011,03-5603-0093
営利法人,ＳＴＥＰ浅草,111-0032,台東区浅草４－３８－４　ヤチヨハイム１階,139.795521,35.719104,JGD2011,03-5808-1275
区市町村,台東区松が谷福祉会館,111-0036,台東区松が谷１－４－１２,139.785425,35.711304,JGD2011,03-3842-2671
営利法人,コラゾン台東,111-0053,台東区浅草橋５－２－３　柳北ビル２階,139.781546,35.699216,JGD2011,03-5820-8140
営利法人,コラゾン浅草橋,111-0053,台東区浅草橋１－２－８　マルイチビル７階,139.784235,35.696525,JGD2011,03-5835-0535
営利法人,スマートキッズジュニア元浅草,111-0054,台東区鳥越1－２２－５　平岡ビル２階,139.781437,35.703505,JGD2011,03-5246-4712
営利法人,コラゾン吾妻橋浅草,130-0001,墨田区吾妻橋１－４－４　両野ビル２階,139.800955,35.708057,JGD2011,03-3626-4188
営利法人,放課後等デイサービス　あんず,130-0002,墨田区業平４－６－３　プレジール１０１,139.81502,35.707008,JGD2011,03-6284-1748
営利法人,放課後等デイサービス　ジョイ・キッズ,130-0003,墨田区横川５－１０－１　プリメール柳島１１８,139.81642,35.705555,JGD2011,03-5809-7291
営利法人,キッズデイあすみ,130-0011,墨田区石原４－１２－５－１０１,139.807666,35.699794,JGD2011,03-5637-9781
営利法人,スマートキッズプラス錦糸町,130-0012,墨田区太平４－２４－１０　ナノトミックビル１F,139.818604,35.702913,JGD2011,03-6658-5406
営利法人,スマートキッズプラス両国,130-0014,墨田区亀沢１－２４－１　アーバンコーポ両国２階２０２号室,139.797507,35.698428,JGD2011,03-6284-1820
営利法人,コラゾン両国,130-0014,墨田区亀沢１－１９－１　田中ビル４階,139.79934,35.69785,JGD2011,03-3622-8177
営利法人,ゆうゆうらいふアカデミー両国,130-0014,墨田区亀沢１－２０－２,139.799329,35.698208,JGD2011,03-5809-7587
営利法人,コラゾン錦糸町,130-0022,墨田区江東橋１－４－１２　メゾンドール錦糸町ツイン１０１,139.8099,35.693367,JGD2011,03-3635-7739
他の法人,キッズサポートりま,130-0023,墨田区立川１－１６－２０　Ｙ２ビルディング１階・２階,139.799435,35.691598,JGD2011,03-6659-6804
営利法人,アルファキッズ菊川駅前,130-0024,墨田区菊川三丁目７番４号　大こく屋第２ビル３階,139.806281,35.688237,JGD2011,03-6659-4641
営利法人,キッズデイあすみ菊川,130-0024,墨田区菊川３－２１－１１－２０５・２０６号,139.808106,35.690032,JGD2011,03-5625-0181
営利法人,アプリ児童デイサービス東向島,131-0032,墨田区東向島五丁目３１番３号　エビハラビル１階,139.822269,35.728593,JGD2011,03-6657-3401
営利法人,あったかいデイ　東向島,131-0032,墨田区東向島５－７－１２　若草ビル１２店舗１階,139.820239,35.725577,JGD2011,03-5655-1157
社福法人,すみだ福祉保健センター　みつばち園,131-0033,墨田区向島３－３６－７　すみだ福祉保健センター内,139.810759,35.713374,JGD2011,03-5608-3715
社福法人,すみだ晴山苑　キララ,131-0041,墨田区八広５－１８－３０,139.826514,35.72484,JGD2011,03-6657-3417
他の法人,墨田こどもの家,131-0041,墨田区八広４－１３－３－１０１,139.826963,35.723058,JGD2011,03-3617-3178
他の法人,墨田あゆみの家,131-0041,墨田区八広２－５６－３－１０１,139.828285,35.715255,JGD2011,03-6314-4664
営利法人,児童デイサービス　スマイル八広,131-0041,墨田区八広六丁目８番２号　リエス八広１階,139.826083,35.728166,JGD2011,03-6657-4387
営利法人,スマートキッズプラス平井北,131-0041,墨田区八広４－４８－５　エコーピア２階４号室,139.830251,35.720774,JGD2011,03-6657-5320
営利法人,運動・学習による子供自立支援教室　あんしんキッズ,131-0043,墨田区立花１－２３－５－１１４,139.831241,35.70665,JGD2011,03-6657-4425
社福法人,すみだステップハウスおおぞら　にじの子,131-0044,墨田区文花１－３２－７,139.82378,35.708166,JGD2011,03-6657-2619
他の法人,第２乳幼児親子教室,135-0002,江東区住吉１－８－１８　住吉ビル１階,139.811108,35.687379,JGD2011,03-3632-8932
営利法人,スマートキッズプラス住吉,135-0002,江東区住吉２－７－１４　國谷ビル２０１,139.815574,35.688176,JGD2011,03-5669-0501
他の法人,まつぼっくり子ども教室,135-0003,江東区猿江２－９－５　２・３階,139.815269,35.687421,JGD2011,03-3635-6301
他の法人,乳幼児親子教室,135-0003,江東区猿江１－１８－９－２０４,139.811683,35.687024,JGD2011,03-3635-4626
営利法人,児童デイサービス　スマイル江東,135-0007,江東区新大橋２－１５－３　飯田ビル１階,139.793355,35.689573,JGD2011,03-6659-4671
他の法人,さくらんぼ子ども教室,135-0011,江東区扇橋３－３－７　宮内ビル１・２階,139.818732,35.68266,JGD2011,03-5683-0871
営利法人,放課後等デイサービス　ＧＲＩＰ　キッズ　扇橋校,135-0011,江東区扇橋２－３－５　１階,139.815191,35.682841,JGD2011,03-6666-7271
他の法人,第３親子教室　うみべ,135-0012,江東区海辺４－１２　第二ユーエスビル１０１,139.818626,35.679753,JGD2011,03-6666-1098
他の法人,第２まつぼっくり子ども教室,135-0012,江東区海辺３－７　シャリオビル１階,139.818818,35.680441,JGD2011,03-6666-3766
営利法人,ごえん舎江東,135-0013,江東区千田８－７　高田ビル２階,139.815035,35.680769,JGD2011,03-6666-5699
営利法人,コラゾン江東住吉,135-0013,江東区千田７－１７　大塚ビル１階,139.815441,35.680836,JGD2011,03-5633-8122
他の法人,たんぽぽクラブ,135-0014,江東区石島５－７　深川ビル１階、２０１号室,139.811966,35.680375,JGD2011,03-5690-4300
営利法人,みらいキッズ東陽町,135-0014,江東区石島９－１４　シャンテ石島１階,139.81373,35.680014,JGD2011,03-6660-2155
営利法人,コラゾン東陽町,135-0016,江東区東陽３－２６－７　東陽大経ビル２階,139.813585,35.670634,JGD2011,03-6666-4330
営利法人,コラゾン清澄白河,135-0021,江東区白河２－８－５　三栄ビル４階,139.802543,35.682094,JGD2011,03-3643-3320
営利法人,スマートキッズプラス木場公園,135-0023,江東区平野四丁目１２番２号　坂戸ビル１階,139.81033,35.678405,JGD2011,03-5875-9412
営利法人,スマートキッズジュニア門前仲町,135-0031,江東区佐賀１丁目９－７　原田ビル・佐賀２階,139.790621,35.676808,JGD2011,03-6240-3942
営利法人,スマートキッズプラス門前仲町,135-0034,江東区永代２－２３－１　内山ビル２Ｆ,139.791629,35.672378,JGD2011,03-5875-9918
営利法人,みらいキッズ,135-0034,江東区永代２－３４－１１　セレナハイム門前仲町１階,139.792985,35.674467,JGD2011,03-5646-8363
他の法人,こぴあクラブ,135-0041,江東区冬木６－２０,139.801603,35.673386,JGD2011,03-3630-1363
営利法人,ごえん舎越中島,135-0044,江東区越中島２－１３－１０　北沢ビル２階,139.794862,35.666579,JGD2011,03-5809-8199
営利法人,スマートキッズプラス豊洲,135-0051,江東区枝川２－１５－２　大岩ビル１Ｆ,139.807205,35.657716,JGD2011,03-6666-4517
他の法人,第３こぴあクラブ,135-0051,江東区枝川１－１１－１６,139.805092,35.656294,JGD2011,03-6659-7432
他の法人,放課後等デイサービス　大夢,135-0053,江東区辰巳１－２－９,139.808297,35.650056,JGD2011,03-5534-6540
営利法人,スマートキッズプラス東雲,135-0062,江東区東雲一丁目６番２３号,139.800867,35.64577,JGD2011,03-5534-9658
営利法人,スマートキッズジュニア亀戸,136-0071,江東区亀戸１－３１－７　亀戸センタービル４階,139.825678,35.694709,JGD2011,03-5858-8032
営利法人,このこのリーフ亀戸,136-0071,江東区亀戸７－３－７　伊藤ビル１階,139.83376,35.695143,JGD2011,03-6802-9188
営利法人,こぱんはうすさくら　亀戸教室,136-0071,江東区亀戸９－１９－７　日商岩井亀戸マンションＡ２棟１階,139.844268,35.697959,JGD2011,03-5609-7396
営利法人,このこのリーフ亀戸第２,136-0071,江東区亀戸４－１１－９　ＡＨＡＶＡビル２階,139.830563,35.701492,JGD2011,03-5875-4297
他の法人,第２こぴあクラブ,136-0071,江東区亀戸６－４８－５,139.832063,35.69416,JGD2011,03-5969-8660
営利法人,スマートキッズプラス西大島,136-0072,江東区大島１－３０－４　Ｌ－ＴＯＷＥＲ３階,139.825509,35.68919,JGD2011,03-5858-8434
営利法人,スマートキッズプラス大島,136-0072,江東区大島５－４５－９　,139.836535,35.689735,JGD2011,03-5875-3669
営利法人,らいおんハート遊びリテーション児童デイ北砂,136-0073,江東区北砂五丁目２０番７号棟第１０１号室,139.834177,35.68368,JGD2011,03-6666-6531
他の法人,南砂ぞうさんクラブ,136-0076,江東区南砂２－２８－３　ＬＡＺＦＩＴＨ　ＴＯＹＯＣＨＯ２０１号,139.821768,35.675581,JGD2011,03-3648-7052
営利法人,てんとうむし,140-0001,品川区北品川４－１－１　松風ビル２階,139.734843,35.62294,JGD2011,03-6277-2672
営利法人,アプリ児童デイサービス北品川,140-0001,品川区北品川２－１８－２,139.741437,35.618158,JGD2011,03-6712-3977
社福法人,ちびっこタイム品川,140-0011,品川区東大井５－２３－１６－１１０号,139.737158,35.604407,JGD2011,03-3450-7447
営利法人,めるへんキッズ大森園,140-0013,品川区南大井６－１６－１　サンハイツ大森１０１号室,139.730539,35.591441,JGD2011,03-3765-5616
営利法人,スキップランド　西大井,140-0015,品川区西大井６－１４－１５,139.717037,35.599776,JGD2011,03-6417-1852
営利法人,アプリ児童デイサービス不動前,141-0031,品川区西五反田三丁目１３番１４号　ロイヤルコート,139.714056,35.628086,JGD2011,03-6417-9496
区市町村,品川区立品川児童学園分室,142-0041,品川区戸越６－１６－１４,139.715378,35.607372,JGD2011,03-3785-0660
営利法人,療育スタジオ・ピコ　戸越公園教室,142-0042,品川区豊町３－１－１　ひかりオークス１階,139.719884,35.609,JGD2011,03-6426-7945
営利法人,キッズアイランドワイキキ,142-0043,品川区二葉４－４－１９,139.715223,35.602334,JGD2011,03-6426-8135
営利法人,スタジオそら品川戸越,142-0052,品川区東中延１－３－１１,139.714126,35.611277,JGD2011,03-6426-1627
営利法人,このこのリーフ　中延,142-0053,品川区中延３－１３－１９　芙蓉ハイツ１０１号,139.71134,35.606489,JGD2011,03-6421-5484
他の法人,みんなの家　ゆめっこ,142-0053,品川区中延６－３－１６,139.71256,35.602767,JGD2011,03-6426-8003
他の法人,びりぃぶ,152-0001,目黒区中央町二丁目３２番５号　スマイルプラザ中央町３階,139.688775,35.631511,JGD2011,03-5721-6198
営利法人,アトリエほんちょう,152-0002,目黒区目黒本町６－９－２０,139.696277,35.620137,JGD2011,03-6452-2946
営利法人,スタジオそら学芸大学,152-0004,目黒区鷹番二丁目１７番１１号　イムーブル鷹番Ａ－１号,139.686914,35.627192,JGD2011,03-5724-3809
営利法人,桐塾　学芸大学駅前第二教室,152-0004,目黒区鷹番２－１５－１８　パル学芸大学２０２,139.687094,35.629747,JGD2011,03-6412-7273
他の法人,もうひとつのおうち,152-0023,目黒区八雲５－１－５,139.668971,35.624741,JGD2011,03-6670-0570
他の法人,めぐろアフタースクール,153-0051,目黒区上目黒５丁目３０－７　サンライズ浅見Ｔ１,139.685739,35.640982,JGD2011,03-6712-2455
営利法人,桐塾　祐天寺教室,153-0052,目黒区祐天寺２－３－１１　第６エスペランス３階,139.692488,35.637241,JGD2011,03-6452-4178
営利法人,ハミングツリー,153-0061,目黒区中目黒５－２７－１２　ライフイン祐天寺１０１,139.694883,35.635344,JGD2011,03-6712-2533
営利法人,さくら,153-0064,目黒区下目黒３－４－４　グランメゾン清和２０２,139.708779,35.630422,JGD2011,03-6303-4756
営利法人,アインクラブ大森,143-0011,大田区大森本町２－２６－１５　松尾ビル２階,139.736426,35.577854,JGD2011,03-6404-9898
営利法人,児童デイパーチェ,143-0012,大田区大森東１－３５　コーシャハイム大森東４－１０８,139.740517,35.57646,JGD2011,03-6404-8391
営利法人,こどもプラスほしのこ,143-0013,大田区大森南３－２４－２,139.742532,35.56479,JGD2011,03-6423-9612
他の法人,くれよんくらぶ,143-0016,大田区大森北１－１１－３　サカエビル５階A号室,139.728637,35.587122,JGD2011,03-6410-8940
営利法人,このこのリーフ大森山王,143-0023,大田区山王１－３１－２　石ビル２階,139.725109,35.591619,JGD2011,03-5728-9037
他の法人,ファミリールーム　りぼん,143-0024,大田区中央８－４－１３　ＫＴＹ中央１０１,139.712205,35.574584,JGD2011,03-6410-3286
営利法人,放課後デイ　レインボースター,144-0035,大田区南蒲田１－１－２３,139.724611,35.560703,JGD2011,03-6424-8758
営利法人,スキップランド南六郷,144-0045,大田区南六郷２－２７－３,139.718723,35.5472,JGD2011,03-6753-7555
営利法人,はるはうすｋｉｄｓ,144-0046,大田区東六郷２－９－１６　阿部ビル１階,139.71719,35.549866,JGD2011,03-6715-7366
営利法人,テラコヤキッズ　蒲田教室,144-0051,大田区西蒲田７－１－３　ステラビル７階,139.716272,35.563766,JGD2011,03-3351-9556
他の法人,あかしろきいろ発達支援るーむ,144-0051,大田区西蒲田２－７－１－１０１,139.70634,35.569846,JGD2011,03-6410-3531
営利法人,テラス児童デイサービス西蒲田,144-0051,大田区西蒲田８－７－１４　中野ビル１階,139.710601,35.560836,JGD2011,03-6428-7371
営利法人,Ｋｉｄ’ｓ　Ｔｅｃｈ　蒲田,144-0051,大田区西蒲田７－１８－６　ロータスフラットⅡ２階１号室,139.709012,35.563961,JGD2011,03-6428-7839
営利法人,テラコヤキッズゆめ気球教室,144-0052,大田区蒲田一丁目２５番７号　グレードワン・ヒラタ１階,139.7186,35.564936,JGD2011,03-5480-6676
他の法人,でらいとわーくジュニア　かまたアフタースクール,144-0052,大田区蒲田５－３０－１５　第２０下川ビル２階,139.719622,35.561878,JGD2011,03-6428-6030
営利法人,スキップランド新蒲田,144-0054,大田区新蒲田１－１３－７,139.710376,35.55942,JGD2011,03-6479-9952
他の法人,放課後等デイサービス　ポジティブ,144-0055,大田区仲六郷２－３９－７　鈴木ビル１階,139.71291,35.549177,JGD2011,03-6424-9501
営利法人,リトル　コールケア,145-0066,大田区南雪谷４－７－１４　２階,139.681994,35.588957,JGD2011,03-3728-8656
営利法人,みなそら多摩川園,145-0071,大田区田園調布１－６－３　早川ビル２階,139.674556,35.58781,JGD2011,03-5755-5816
営利法人,発達支援教室スマイル久が原,145-0085,大田区久が原三丁目３７番１号　ＮＹビル２階,139.687088,35.580295,JGD2011,03-5700-7225
営利法人,アインクラブ,146-0082,大田区池上５－２８－１,139.711917,35.573496,JGD2011,03-6410-4661
他の法人,かたつむりクラブ,146-0082,大田区池上三丁目３１番１４号　ファミールクボタ１階,139.703054,35.57384,JGD2011,03-3751-1661
他の法人,ゆめクラブ,146-0082,大田区池上六丁目１３番１１号　不二美ビル１階,139.703954,35.570724,JGD2011,03-3751-5335
営利法人,このこのリーフ池上,146-0082,大田区池上３－２５－５　グリーンパレス１階,139.700923,35.574851,JGD2011,03-6410-4491
他の法人,あかしろきいろ発達支援るーむⅡ,146-0082,大田区池上４－３０－９－２０１,139.705203,35.573232,JGD2011,03-6410-6701
営利法人,こどもプラスほしのこジュニア,146-0082,大田区池上３－３９－１２　常盤ビル２階,139.701459,35.572937,JGD2011,03-6410-6172
営利法人,発達支援教室にじいろＬａｂｏ池上,146-0082,大田区池上５－１４－４　小宮ビル１階,139.70677,35.572285,JGD2011,03-6410-2911
営利法人,このこのリーフ千鳥町駅前,146-0083,大田区千鳥１－１９－５　フラット千鳥１階,139.692702,35.572677,JGD2011,03-6410-6307
営利法人,発達支援教室スマイル千鳥,146-0083,大田区千鳥１－３－１９,139.691952,35.572954,JGD2011,03-6421-8851
営利法人,テラス児童デイサービス千鳥,146-0083,大田区千鳥一丁目１７番６号　千鳥コラージュ１階,139.694272,35.572196,JGD2011,03-3752-1928
営利法人,ハーティーパーチ久が原,146-0084,大田区南久が原二丁目１９番２９号　植松ビル２階,139.68367,35.577556,JGD2011,03-6459-8068
営利法人,発達支援教室スマイル久が原プラス,146-0084,大田区南久が原２－１２－１４　三立ビル１階,139.685866,35.578215,JGD2011,03-6715-0405
他の法人,ゆめクラブ２,146-0092,大田区下丸子１－１９－２３　ＣＳソレイユ１階,139.689103,35.566017,JGD2011,03-6715-0508
営利法人,みなそら矢口園,146-0094,大田区東矢口３－３０－１２　祥明ビル２Ｆ,139.707382,35.560575,JGD2011,03-6428-7058
営利法人,LITALICOジュニア駒沢教室,154-0003,世田谷区野沢２－３４－２　サンワイズ野沢２階,139.665279,35.635348,JGD2011,03-5432-7133
他の法人,わんぱくクラブ三軒茶屋,154-0004,世田谷区太子堂２－１７－１　太子堂複合施設４階,139.671098,35.644778,JGD2011,03-3414-0302
社福法人,あおぞら縁,154-0005,世田谷区三宿二丁目３８番地７号　加納屋ビル２０１,139.672475,35.653377,JGD2011,03-6805-5901
他の法人,わんぱくクラブ三宿,154-0005,世田谷区三宿１－３－２０　１階,139.677442,35.648856,JGD2011,03-6450-7116
営利法人,ハッピーテラス駒沢公園教室,154-0011,世田谷区上馬４－４１－１　米勢ビル１階,139.661038,35.63972,JGD2011,03-6450-9031
営利法人,アプリ児童デイサービス駒沢,154-0012,世田谷区駒沢三丁目１４番３号　フィル・パーク駒沢大学,139.6549,35.630863,JGD2011,03-6453-4221
他の法人,わんぱくクラブ駒沢,154-0014,世田谷区新町１－３－３２,139.652759,35.626751,JGD2011,03-3420-8248
区市町村,子育てステーション桜新町　発達相談室,154-0015,世田谷区桜新町２－８－１　世田谷目黒農協本店ビル内１階,139.645112,35.631965,JGD2011,03-5426-3521
営利法人,プレミア・ケア・ジュニア世田谷店,154-0016,世田谷区弦巻１－４６－１５,139.648692,35.639795,JGD2011,03-6804-4981
営利法人,そらのいろ梅丘,154-0022,世田谷区梅丘一丁目２２番４号　グローリア初穂梅ヶ丘１０１,139.653194,35.655421,JGD2011,03-6413-1610
営利法人,アプリ児童デイサービス若林,154-0023,世田谷区若林四丁目２番５号,139.659405,35.646514,JGD2011,03-6453-2992
他の法人,ウイングせたがや代田,154-0023,世田谷区若林５－４１－１５　アーヴェイン世田谷２０１,139.659724,35.651049,JGD2011,03-5787-6426
営利法人,スタジオそら北沢,155-0031,世田谷区北沢３－１－３　ＳＦビル２階,139.673203,35.665981,JGD2011,03-5790-9347
営利法人,放課後等デイサービス　らしさ,156-0043,世田谷区松原５－１６－８,139.648238,35.660881,JGD2011,03-6379-5035
他の法人,デイサービスにじのこ赤堤,156-0044,世田谷区赤堤１－８－１９　第１居成ビル２F,139.643756,35.656959,JGD2011,03-6379-5266
営利法人,アプリ児童デイサービス桜丘,156-0054,世田谷区桜丘二丁目２１番３号,139.623752,35.64606,JGD2011,03-6432-6812
社福法人,プレイ＆リズム希望丘,156-0055,世田谷区船橋７－８－３,139.619799,35.658378,JGD2011,03-3789-6161
営利法人,テラス児童デイサービス烏山,157-0061,世田谷区北烏山九丁目３番４号　ピアサン烏山１階１Ａ号室,139.595437,35.670012,JGD2011,03-6754-4815
社福法人,児童デイサービスここから,157-0061,世田谷区北烏山３丁目１１番５号,139.60245,35.673914,JGD2011,03-5315-7881
営利法人,アプリ児童デイサービス北烏山,157-0061,世田谷区北烏山４－３４－１８,139.597895,35.680397,JGD2011,03-6279-6396
区市町村,子育てステーション烏山発達相談室,157-0062,世田谷区南烏山５－１７－５,139.601297,35.666924,JGD2011,03-5384-7811
営利法人,プレミア・ケア・ジュニア芦花公園店,157-0062,世田谷区南烏山１－１６－１９－１階,139.612491,35.668207,JGD2011,03-5357-8757
営利法人,はぴねす,157-0062,世田谷区南烏山６－３３－３３　ウィスタリアハウス２－１階,139.600017,35.670268,JGD2011,03-5315-5047
他の法人,凸凹Ｋｉｄｓすぺいす,157-0063,世田谷区粕谷四丁目１３番１６号,139.604225,35.663671,JGD2011,03-5314-9876
他の法人,デイサービスにじのこ給田,157-0064,世田谷区給田３－１４－７　給田地区会館内,139.590679,35.664896,JGD2011,03-3308-5482
営利法人,スタジオそら喜多見,157-0067,世田谷区喜多見八丁目１５番２５号　キタミフォーラム１階,139.588472,35.635858,JGD2011,03-6751-3699
他の法人,こどもデイうぃず,157-0067,世田谷区喜多見７－２５－１７,139.592027,35.634097,JGD2011,03-6805-8910
営利法人,アプリ児童デイサービス千歳台,157-0071,世田谷区千歳台３－３１－２０,139.612419,35.653731,JGD2011,03-6277-9973
営利法人,児童デイサービス　プラス砧,157-0073,世田谷区砧４－１０－１７－１階,139.613234,35.640408,JGD2011,03-6805-8137
