経営,事業所名,郵便番号,所在地,経度,緯度,座標系,電話番号
他の法人,ワクわーく,165-0035,中野区白鷺一丁目３０番６号　深澤ビル４階,139.63737,35.721496,JGD2011,03-5356-7371
社福法人,パン工房　プクプク,167-0052,杉並区南荻窪４－１－１５　春日屋ビル,139.617162,35.698929,JGD2011,03-6795-5695
他の法人,ローランズプラス,170-0003,豊島区駒込１－１９－１５　直江ビル１階、２階,139.752024,35.735476,JGD2011,03-5319-2424
社福法人,豊芯会フードサービス事業部,170-0004,豊島区北大塚３－３４－７,139.726684,35.735203,JGD2011,03-3915-9051
他の法人,自立支援センターまめの樹,171-0021,豊島区西池袋５－２６－１６　ＣＨＩＢＡビル５階,139.699906,35.732677,JGD2011,03-3973-8711
他の法人,ダイニング　街なか,114-0034,北区上十条２－２８－６,139.722098,35.759986,JGD2011,03-6454-3870
他の法人,わくわく配食サービス,115-0044,北区赤羽南２－６－６　スカイブリッジビル１階、地下１階,139.722733,35.772245,JGD2011,03-3598-0089
社福法人,うきま幸朋苑ブレッド＆バター,115-0051,北区浮間５－１３－１,139.692446,35.78474,JGD2011,03-5914-1331
他の法人,カフェフレンド,116-0003,荒川区南千住７－２６－２,139.799137,35.735633,JGD2011,03-5615-2101
他の法人,オフィスサプライ東京,116-0011,荒川区西尾久５－２０－１８,139.758487,35.747905,JGD2011,03-6240-8944
社福法人,作業所スカイ,116-0013,荒川区西日暮里５－２－２０　サンリバー西日暮里１０２,139.770951,35.733974,JGD2011,03-3891-7060
他の法人,ウィズミー,173-0004,板橋区板橋４－３８－４,139.719565,35.751123,JGD2011,03-5943-5595
営利法人,ポプラＡプラス療育センター店,173-0037,板橋区小茂根１－１－１０,139.682715,35.747517,JGD2011,03-3974-2146
社福法人,東京都板橋福祉工場　就労継続支援Ａ型事業所,175-0082,板橋区高島平９－４２－７,139.66929,35.791577,JGD2011,03-3935-2601
社福法人,かすたねっと,176-0001,練馬区練馬２－１－９,139.65604,35.741336,JGD2011,03-3948-1640
他の法人,銀杏,176-0001,練馬区練馬１－２６－６,139.655212,35.739061,JGD2011,03-5999-8314
他の法人,すくらむ事業所,176-0012,練馬区豊玉北４－１１－７　ＢＳ第２ビル,139.659309,35.735251,JGD2011,03-5946-4901
営利法人,ワークスタジオ　Ｗｅｌ,176-0021,練馬区貫井一丁目１３番１３号,139.634828,35.739222,JGD2011,03-5848-2641
他の法人,赤オニの家,178-0065,練馬区西大泉３－１－３　コーポ豊島１階　店舗,139.583804,35.754266,JGD2011,03-3922-7366
社福法人,あかねっこ弁当,179-0074,練馬区春日町３－１３－１,139.641613,35.749054,JGD2011,03-5848-6139
他の法人,こぶし事業所,179-0081,練馬区北町７－２０－３６,139.650492,35.763189,JGD2011,03-3559-1667
社福法人,綾瀬ひまわり園,120-0005,足立区綾瀬７－２－７,139.824238,35.774837,JGD2011,03-3629-3231
他の法人,ラトリエ　ソサイエティ,121-0011,足立区中央本町４－４－１２,139.805965,35.775853,JGD2011,03-5888-5908
営利法人,のんの,121-0064,足立区保木間１－１－３　東潤ビル１階,139.802992,35.789201,JGD2011,03-5831-1015
営利法人,クリスタルサービス足立,121-0064,足立区保木間一丁目１０番１８号　淵江プラザビル２階,139.806056,35.78969,JGD2011,03-5831-5924
社福法人,竹の塚ひまわり園クリーンチーム,121-0813,足立区竹の塚７－１９－７,139.795551,35.8007,JGD2011,03-5831-1721
他の法人,大滝チャレンジド,121-0816,足立区梅島３－２４－４,139.793129,35.776877,JGD2011,03-3886-6331
営利法人,アイリス,121-0816,足立区梅島１－１６－６　ジュネス小野田１階,139.799401,35.773328,JGD2011,03-3886-0303
営利法人,フリージア,121-0816,足立区梅島１－１９－１０　ホワイトテラス梅島,139.800768,35.772786,JGD2011,03-5845-5050
営利法人,クリーニングフランセ,123-0842,足立区栗原３－２５－１２,139.783736,35.78121,JGD2011,03-3856-1521
社福法人,谷在家福祉作業所,123-0863,足立区谷在家３－１３－１,139.765734,35.788325,JGD2011,03-3853-0632
他の法人,きせん事業所,125-0041,葛飾区東金町１－３５－１０,139.871632,35.772776,JGD2011,03-3826-5123
営利法人,アップドラフト,125-0041,葛飾区東金町１－４２－１０　金町ビル３階,139.871282,35.770421,JGD2011,03-5876-5948
社福法人,社会福祉法人東京コロニー　東京都葛飾福祉工場,125-0042,葛飾区金町２－８－２０,139.869124,35.764547,JGD2011,03-3600-4001
営利法人,ファーストプランニング,125-0052,葛飾区柴又６－１２－１８　２階,139.87711,35.756028,JGD2011,03-6458-0420
他の法人,ぽむの樹,125-0062,葛飾区青戸５－２－９　青戸ハイツ１０１、２０５,139.853828,35.74769,JGD2011,03-3604-5658
他の法人,東京ソテリアエンプロイメント,132-0031,江戸川区松島２－９－２,139.859091,35.708966,JGD2011,03-5879-4970
営利法人,ラピス,132-0033,江戸川区東小松川２－１０－５,139.866818,35.69884,JGD2011,03-6231-4706
他の法人,イーストフライト,132-0034,江戸川区小松川３－２－１　テクノタウン３０６,139.847592,35.696756,JGD2011,03-5875-5941
他の法人,ワークワーク東京,134-0084,江戸川区東葛西３－１７－４１,139.885895,35.665968,JGD2011,03-6808-2070
他の法人,タオ江戸川,134-0084,江戸川区東葛西１－４５－１１,139.882115,35.670486,JGD2011,03-6663-9680
社福法人,ぽぷら八王子,192-0001,八王子市戸吹町２１０４　株式会社エフピコ八王子ＰＷ工場内,139.291511,35.711111,JGD2011,042-696-5090
営利法人,ハートエース,192-0904,八王子市子安町１－１５－１　テクノビル２階,139.342389,35.653785,JGD2011,042-649-2432
営利法人,アース,192-0914,八王子市片倉町７０６－６,139.340593,35.640301,JGD2011,042-683-1206
営利法人,リーフ,193-0835,八王子市千人町２－３－１６　プラザ西八王子２Ｆ,139.313467,35.658256,JGD2011,042-629-9602
営利法人,シエル,193-0845,八王子市初沢町１２３１－１７　高尾力栄ビル２０２,139.285245,35.641549,JGD2011,042-629-9665
営利法人,立川おりおん,190-0012,立川市曙町２－９－１　菊屋ビルディング５０２,139.415601,35.701026,JGD2011,042-595-7484
営利法人,はちす,190-0033,立川市一番町１－４１－１１,139.38295,35.725048,JGD2011,042-507-4470
営利法人,マジェルカ,180-0004,武蔵野市吉祥寺本町３－３－１１　中田ビル,139.573529,35.704894,JGD2011,0422-27-1623
社福法人,ワークセンターけやき,180-0013,武蔵野市西久保２－２７－６,139.554842,35.708604,JGD2011,0422-54-5096
社福法人,三鷹ひまわり第一共同作業所,181-0013,三鷹市下連雀４－８－２０,139.562692,35.692895,JGD2011,0422-76-0388
社福法人,ワークショップハーモニー,181-0015,三鷹市大沢１－１－４３,139.541005,35.678579,JGD2011,0422-26-8620
他の法人,自立支援塾ぱん工房,198-0042,青梅市東青梅２－１８－５　セトル東青梅１０６・１０７,139.27486,35.790259,JGD2011,0428-84-2421
営利法人,アルホープ,198-0042,青梅市東青梅５－３－４　アルトポンテ２階,139.282326,35.785646,JGD2011,0428-24-3612
社福法人,西府いこいプラザ,183-0031,府中市西府町３－２９－１７,139.456862,35.678877,JGD2011,042-354-6760
他の法人,らぷらんど調布,182-0026,調布市小島町３－３３－１　１０２及び２０２,139.53643,35.645981,JGD2011,042-452-8955
他の法人,スワンカフェ＆ベーカリー町田１号店,194-0021,町田市中町３－７－１７,139.448087,35.552136,JGD2011,042-785-4533
他の法人,スワンカフェ＆ベーカリー町田２号店,194-0037,町田市木曽西２－１７－２１　ショッピングセンター３０５内,139.415311,35.569489,JGD2011,042-794-9301
社福法人,みくま,187-0001,小平市大沼町２－１－１２,139.492193,35.738182,JGD2011,042-312-3739
他の法人,ディーセント・ワーク平山台,191-0043,日野市平山２－１－１,139.387136,35.640974,JGD2011,042-506-9020
社福法人,コロニー東村山,189-0001,東村山市秋津町２－２２－９,139.487895,35.768765,JGD2011,042-394-1111
他の法人,ともにー,186-0012,国立市泉１－１６－４,139.437836,35.672633,JGD2011,042-576-9088
他の法人,ステップアップともにー,186-0012,国立市泉１－１２－３,139.439133,35.673072,JGD2011,042-575-1977
他の法人,スマイルアーク,204-0022,清瀬市松山１－１２－１５,139.517862,35.77191,JGD2011,042-497-1735
他の法人,就労支援事業所　コイノニア,203-0033,東久留米市滝山５－１－１６　さはら文具ビル,139.503261,35.746209,JGD2011,042-470-9009
営利法人,きぼう工房東くるめ,203-0043,東久留米市下里２－１６－２１,139.505733,35.752181,JGD2011,042-420-1764
他の法人,草むらde夢（畑deきっちん）,206-0033,多摩市落合１－４６－１　ココリア多摩センター６階６０４,139.424852,35.622376,JGD2011,042-400-0915
他の法人,Ｅ’ｓ　Ｃａｆｅ,206-0033,多摩市落合１－４７　ニューシティ多摩センタービル８階,139.423737,35.621786,JGD2011,042-311-2022
営利法人,ベネッセソシアス稲城センター,206-0811,稲城市押立１０３３－１,139.513337,35.647164,JGD2011,042-379-2001
社福法人,プロシード,197-0831,あきる野市下代継９４－６,139.281845,35.727103,JGD2011,042-550-5804
