"年月[西暦]","施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"202211","美容鍼灸サロン　ｒｉｔｔｅ","東京都港区西麻布一丁目11番6号","ホテル&レジデンス六本木701",,"2022/11/7","あん摩、はり、きゅう","35.660346","139.724609"
"202211","ＯＦＦＩＣＥ　ＴＯＳＨＩＫＩ　ＮＡＳＵ","東京都港区西新橋三丁目15番6号","ASONE愛宕202号室",,"2022/11/15","はり、きゅう","35.664773","139.750175"
"202211","ｓａｌｏｎ　ｄｅ　ｍｏｅ　‐ａｚａｂｕ‐","東京都港区東麻布一丁目15番2号","Branshe東麻布102","03-6885-0672","2022/11/8","きゅう、はり","35.656715","139.743250"
"202211","一会堂鍼灸院１Ｆ","東京都港区三田二丁目14番7号","ローレル三田406",,"2022/11/27","はり、きゅう","35.648594","139.744385"
"202212","ＣＡＲＮＡ鍼灸院","東京都港区東新橋二丁目5番4号","菅家ビル1階","03-6381-5044","2022/12/1","はり、きゅう","35.662653","139.757681"
"202212","ポポ東洋医学鍼灸治療院","東京都港区南青山五丁目7番17号","小原流会館地下1階","03-5962-7718","2022/12/12","はり、きゅう","35.662333","139.712707"
"202212","中澤鍼灸マッサージ温熱道","東京都港区六本木七丁目12番12号","ふぁみーゆ六本木203号室","03-6878-0349","2022/12/15","あん摩、はり、きゅう","35.664076","139.729728"
"202301","鍼灸サロンｂｅｆｅｅｌ麻布十番","東京都港区麻布十番一丁目2番8号","麻布髙野ビル6F","03-3568-8672","2023/1/4","はり、きゅう、あん摩","35.656592","139.736566"
"202301","ｉＣｕｒｅ鍼灸院　田町駅前","東京都港区芝五丁目31番5号","MEFULL田町3階","03-5442-1939","2023/1/1","はり、きゅう","35.646742","139.746183"
"202301","アール治療院・青山外苑前","東京都港区南青山三丁目1番36号","青山丸竹ビル5階","03-3584-6178","2023/1/6","あん摩、はり、きゅう","35.668681","139.715943"
"202302","Ｂｏｎｈｅｕｒ　ｆａｃｔｏｒ（鍼灸）","東京都港区麻布十番三丁目7番5号","decimo AZABU701","03-6883-6129","2023/1/1","はり、きゅう","35.653524","139.735006"
"202302","女性のための鍼灸サロンＨＡＬＩＤＡ","東京都港区高輪三丁目6番11号","K高輪ビル601 oh the shore内",,"2023/2/3","はり、きゅう","35.633482","139.732421"
"202302","あすも鍼灸院","東京都港区高輪四丁目21番1号","202","03-3445-1831","2023/2/6","はり、きゅう","35.626672","139.735329"
"202302","Ｃｒｏｓｓｃｌｕｅ鍼院","東京都港区西麻布四丁目2番9号","シーズンズ西麻布203",,"2023/2/3","はり","35.658106","139.723273"
"202303","マイカイ鍼灸サロン","東京都港区赤坂五丁目1番36号",,"03-6824-4044","2023/3/7","はり、きゅう","35.673974","139.736153"
"202303","Ｒｅ－ｐｌｕｓ","東京都港区赤坂六丁目4番18号","プリンストン赤坂902",,"2023/3/5","あん摩、はり、きゅう","35.670473","139.734607"
"202303","respirer（レスピレ鍼灸院）","東京都港区麻布十番三丁目5番13‐701号",,"03-6809-5133","2023/3/1","あん摩、はり、きゅう","35.653139","139.735138"
"202303","さくら鍼灸院","東京都港区港南四丁目6番7号","ワールドシティータワーズC1 906",,"2023/3/7","はり、きゅう","35.627474","139.75059"
"202303","大門パフォーマンススタジオ鍼灸院","東京都港区芝大門二丁目1番2号","山口ビル5階",,"2023/3/10","はり、きゅう","35.656770","139.753209"
"202303","ハリのち晴れ　鍼灸治療院","東京都港区芝大門二丁目1番13号","4F","03-3432-5355","2023/3/18","はり、きゅう","35.655898","139.75298"
"202303","ｅｐｉｑ鍼灸サロン","東京都港区白金一丁目6番11号","CONTEL SHIROGANE102",,"2023/3/16","はり、きゅう","35.646472","139.731738"
"202303","ヤブザキ鍼灸治療院","東京都港区白金一丁目28番18号","1階","03-3441-4438","2023/3/3","はり、きゅう","35.643758","139.732976"
"202303","ＩＱＶＩＡサービシーズマッサージサービス","東京都港区高輪四丁目10番18号","京急第1ビル5階","03-6859-9500","2023/3/24","あん摩","35.628707","139.736861"
"202303","ＩＱＶＩＡソリューションズジャパン株式会社","東京都港区高輪四丁目10番18号","京急第1ビル5階","03-6771-9001","2023/3/20","はり、あん摩","35.628707","139.736861"
"202303","株式会社商船三井医務室","東京都港区虎ノ門二丁目1番1号","(商船三井ビル15階)","03-3587-7655","2009/4/1","あん摩、はり、きゅう","35.669722","139.747018"
"202303","キュアトリートメントレミュー青山鍼院","東京都港区南青山二丁目12番15号","ユニマット外苑ビル7階","03-5413-6408","2023/3/30","はり","35.671194","139.720516"
"202303","Ｒｅ：ｔｒｅａｔ　ＨＡＲｉ","東京都港区南青山二丁目29番8号","フロンティアビルディング南青山5階",,"2023/3/1","あん摩、はり、きゅう","35.667939","139.717859"
"202303","ｓｕｐｅｒｂ有栖川","東京都港区南麻布五丁目12番16号","アリスガワハウス102","03-6277-4364","2023/3/7","はり、きゅう","35.652658","139.723552"
"202303","株式会社Ｓｐｅｅｅ　マッサージルーム","東京都港区六本木三丁目2番1号","住友不動産六本木グランドタワー35階","03-5114-1943","2023/3/22","あん摩","35.664718","139.737760"
"202303","六本木ミッドタウン前鍼灸院","東京都港区六本木四丁目9番5号","ISO六本木ビル2F","03-6721-0066","2023/3/31","はり、きゅう","35.663614","139.732531"
"202303","フランシラ治療院","東京都港区六本木六丁目16番50号","トリプレックス1F","03-5843-0960","2023/3/1","あん摩、はり、きゅう","35.658357","139.728765"

"施術所（あはき）開設一覧(令和5年3月31日現在)","Ver202303",,,,,,,
