区分,項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
2,1,耐久財,1109,0.4,-1.6,145,0.1,257,0.2,707,0.4,835,0.3,1373,0.5,1860,0.5,2591,0.4
2,2,半耐久財,465,0.2,-14,103,0.1,177,0.1,218,0.1,447,0.2,268,0.1,570,0.2,1476,0.2
2,3,非耐久財,6285,2.1,16.8,2664,2.7,4237,2.7,5317,2.7,6327,2.6,7384,2.5,8991,2.4,9089,1.3
2,4,サービス,9961,3.3,2.4,2026,2,4007,2.5,5149,2.6,6570,2.7,8593,2.9,12563,3.3,31029,4.4
2,0,交通・通信,34253,11.5,-6.7,6877,6.9,14645,9.3,19184,9.7,25270,10.5,34422,11.6,43522,11.5,95930,13.5
2,1,耐久財,5995,2,34.3,114,0.1,331,0.2,496,0.2,551,0.2,2083,0.7,2374,0.6,35952,5.1
2,2,半耐久財,1385,0.5,-5.8,72,0.1,237,0.2,219,0.1,733,0.3,1517,0.5,1728,0.5,5212,0.7
2,3,非耐久財,1651,0.6,-23.5,540,0.5,940,0.6,1343,0.7,1585,0.7,2018,0.7,2388,0.6,2763,0.4
2,4,サービス,25222,8.5,-11.8,6150,6.1,13137,8.3,17126,8.6,22402,9.3,28805,9.7,37032,9.8,52003,7.3
2,0,教育,19169,6.4,-0.6,296,0.3,1428,0.9,3172,1.6,4426,1.8,9368,3.2,17547,4.6,98103,13.8
2,3,非耐久財,282,0.1,30,27,0,57,0,199,0.1,160,0.1,254,0.1,422,0.1,841,0.1
2,4,サービス,18887,6.4,-1,269,0.3,1371,0.9,2973,1.5,4266,1.8,9115,3.1,17125,4.5,97262,13.7
2,0,教養娯楽,32286,10.9,-17.1,7745,7.7,14299,9.1,18203,9.2,24919,10.3,31374,10.6,45370,12,84403,11.9
2,1,耐久財,3489,1.2,39.2,200,0.2,438,0.3,717,0.4,1281,0.5,2096,0.7,6377,1.7,13298,1.9
2,2,半耐久財,4080,1.4,1.1,923,0.9,1666,1.1,2264,1.1,3462,1.4,4604,1.6,6342,1.7,9331,1.3
2,3,非耐久財,6396,2.2,-1.6,3012,3,4741,3,5277,2.7,6017,2.5,6307,2.1,7887,2.1,11524,1.6
2,4,サービス,18320,6.2,-29.2,3610,3.6,7455,4.7,9945,5,14159,5.9,18367,6.2,24764,6.6,50250,7.1
2,0,諸雑費,25033,8.4,-4.2,6147,6.1,11649,7.4,15717,7.9,22535,9.3,26273,8.9,34692,9.2,58409,8.2
2,1,耐久財,475,0.2,-47.5,108,0.1,207,0.1,247,0.1,461,0.2,313,0.1,796,0.2,1194,0.2
2,2,半耐久財,2264,0.8,-13.9,284,0.3,706,0.4,1061,0.5,1379,0.6,2104,0.7,3025,0.8,7336,1
2,3,非耐久財,6064,2,5.6,2237,2.2,3353,2.1,4410,2.2,5923,2.5,7229,2.4,8615,2.3,10722,1.5
2,4,サービス,16230,5.5,-3.7,3519,3.5,7384,4.7,9999,5,14771,6.1,16627,5.6,22257,5.9,39157,5.5
,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　令和 2年,,,,,,,,,,,,,,,,,,,
第１３表　生計支出７分位階層別１世帯当たり年平均１か月間の財・サービス別支出　―　全　世　帯　―,,,,,,,,,,,,,,,,,,,
注１）　財・サービス別結果は、品目別分類を基に、再分類して集計した。,,,,,,,,,,,,,,,,,,,
注２）　消費支出には、「こづかい」、「贈与金」、「他の交際費」及び「仕送り金」は含まれていない。,,,,,,,,,,,,,,,,,,,
項目（0：世帯数等、消費支出等　1：耐久財　2：半耐久財　3：非耐久財　4：サービス）,,,,,,,,,,,,,,,,,,,
