項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
1,1,携帯電話通信料,9937,3.1,7.1,3609,3.5,6659,4,8888,4.2,10751,4.1,11995,3.8,13189,3.2,14501,1.9
1,1,ＮＨＫ放送受信料,1236,0.4,4.5,434,0.4,1119,0.7,1211,0.6,1444,0.6,1363,0.4,1396,0.3,1691,0.2
1,1,ケーブルテレビ放送受信料,1162,0.4,0.7,692,0.7,1048,0.6,1072,0.5,1352,0.5,1324,0.4,1379,0.3,1269,0.2
1,1,他の放送受信料,218,0.1,17.2,61,0.1,142,0.1,141,0.1,271,0.1,212,0.1,350,0.1,348,0
1,1,国公立小学校,250,0.1,-1.2,22,0,99,0.1,147,0.1,204,0.1,405,0.1,464,0.1,404,0.1
1,1,国公立中学校,237,0.1,-14.1,-,-,35,0,137,0.1,179,0.1,273,0.1,657,0.2,378,0
1,1,国公立高校,376,0.1,4.7,-,-,87,0.1,43,0,189,0.1,381,0.1,638,0.2,1296,0.2
1,1,国公立大学,354,0.1,-31.9,-,-,-,-,-,-,-,-,32,0,209,0.1,2277,0.3
1,1,たばこ,1061,0.3,36.4,619,0.6,658,0.4,797,0.4,1117,0.4,1221,0.4,1236,0.3,1780,0.2
2,0,準公共料金等,30430,9.5,8.5,4765,4.6,8756,5.3,15692,7.4,21095,8.1,24714,7.7,33874,8.3,104211,13.5
2,1,牛乳,1469,0.5,8.9,994,1,1345,0.8,1284,0.6,1372,0.5,1709,0.5,1686,0.4,1882,0.2
2,1,灯油,242,0.1,-4,206,0.2,312,0.2,247,0.1,316,0.1,243,0.1,231,0.1,142,0
2,1,プロパンガス,395,0.1,21.9,288,0.3,427,0.3,436,0.2,425,0.2,549,0.2,398,0.1,240,0
2,1,理髪料,444,0.1,-1.1,153,0.1,333,0.2,391,0.2,427,0.2,386,0.1,672,0.2,743,0.1
2,1,パーマネント代,251,0.1,9.6,101,0.1,182,0.1,236,0.1,336,0.1,270,0.1,300,0.1,337,0
2,1,洗濯代,672,0.2,-8.4,87,0.1,284,0.2,449,0.2,567,0.2,689,0.2,1013,0.2,1598,0.2
2,1,新聞,2469,0.8,-5.1,1672,1.6,2613,1.6,2545,1.2,2366,0.9,2336,0.7,2745,0.7,2998,0.4
2,1,私立小学校,227,0.1,-32.6,-,-,-,-,-,-,-,-,63,0,374,0.1,1164,0.2
2,1,私立中学校,1153,0.4,-17.4,-,-,-,-,97,0,169,0.1,330,0.1,1323,0.3,6132,0.8
2,1,私立高校,2816,0.9,9.1,4,0,183,0.1,147,0.1,781,0.3,1505,0.5,3469,0.9,13619,1.8
2,1,私立大学,6842,2.1,12,-,-,1,0,6,0,62,0,182,0.1,646,0.2,47067,6.1
2,1,幼児教育費用,1049,0.3,-47.3,119,0.1,446,0.3,1174,0.6,1037,0.4,1672,0.5,1194,0.3,1725,0.2
2,1,民営家賃,11729,3.7,33.8,621,0.6,2162,1.3,8279,3.9,12543,4.8,14385,4.5,18709,4.6,25422,3.3
2,1,地代,674,0.2,-26.6,519,0.5,468,0.3,402,0.2,696,0.3,395,0.1,1113,0.3,1141,0.1
,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　令和 2年,,,,,,,,,,,,,,,,,,,
第１２表　生計支出７分位階層別１世帯当たり年平均１か月間の公共的料金支出　―　全　世　帯　―,,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：公共料金等　2：準公共料金等）,,,,,,,,,,,,,,,,,,,
