項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,管理職／実数（円）,管理職／構成比（％）,専門職／実数（円）,専門職／構成比（％）,事務職／実数（円）,事務職／構成比（％）,技術職／実数（円）,技術職／構成比（％）,技能・労務職／実数（円）,技能・労務職／構成比（％）
2,6,1,10,2,コーヒー・ココア,1213,0.4,1164,0.3,1514,0.4,1204,0.3,1247,0.4,1015,0.4
2,6,1,10,3,他の飲料,3260,0.9,3312,0.7,3371,0.8,3372,0.9,3289,1,2848,1.1
2,5,1,11,0,酒類,4470,1.3,7528,1.6,4757,1.2,4402,1.2,3783,1.1,4624,1.7
2,5,1,12,0,外食,17495,5.1,32665,7.1,18956,4.7,19013,5.4,17230,5.1,10633,4
2,6,1,12,1,一般外食,16458,4.8,31850,6.9,17952,4.4,17913,5,15983,4.8,9893,3.7
2,6,1,12,2,学校給食,1037,0.3,815,0.2,1004,0.2,1100,0.3,1246,0.4,740,0.3
2,4,2,0,0,住居,29225,8.5,10979,2.4,54079,13.3,24261,6.8,30350,9,30540,11.5
2,5,2,1,0,家賃地代,22131,6.4,8844,1.9,51259,12.6,17072,4.8,21279,6.3,21851,8.2
2,5,2,2,0,設備修繕・維持,7094,2.1,2135,0.5,2820,0.7,7188,2,9072,2.7,8690,3.3
2,6,2,2,1,設備材料,2631,0.8,1227,0.3,753,0.2,2662,0.7,4716,1.4,2175,0.8
2,6,2,2,2,工事その他のサービス,4464,1.3,909,0.2,2067,0.5,4526,1.3,4357,1.3,6515,2.5
2,4,3,0,0,光熱・水道,20717,6,23089,5,22666,5.6,21431,6,19818,5.9,18142,6.8
2,5,3,1,0,電気代,9458,2.8,11193,2.4,10165,2.5,9786,2.8,9147,2.7,8163,3.1
2,5,3,2,0,ガス代,5687,1.7,6433,1.4,6499,1.6,5830,1.6,5384,1.6,5019,1.9
2,5,3,3,0,他の光熱,177,0.1,110,0,116,0,169,0,110,0,314,0.1
2,5,3,4,0,上下水道料,5394,1.6,5353,1.2,5887,1.4,5645,1.6,5178,1.5,4646,1.8
2,4,4,0,0,家具・家事用品,14511,4.2,21628,4.7,14669,3.6,15268,4.3,16003,4.8,9918,3.7
2,5,4,1,0,家庭用耐久財,4921,1.4,6075,1.3,3397,0.8,5480,1.5,5806,1.7,3086,1.2
2,6,4,1,1,家事用耐久財,2669,0.8,3167,0.7,2059,0.5,2781,0.8,3169,0.9,2032,0.8
2,6,4,1,2,冷暖房用器具,1353,0.4,2306,0.5,999,0.2,1675,0.5,1262,0.4,607,0.2
2,6,4,1,3,一般家具,899,0.3,603,0.1,340,0.1,1024,0.3,1375,0.4,447,0.2
2,5,4,2,0,室内装備・装飾品,810,0.2,4950,1.1,810,0.2,722,0.2,881,0.3,589,0.2
2,5,4,3,0,寝具類,1016,0.3,607,0.1,1010,0.2,1238,0.3,947,0.3,540,0.2
2,5,4,4,0,家事雑貨,3143,0.9,4684,1,4570,1.1,3109,0.9,3426,1,1947,0.7
2,5,4,5,0,家事用消耗品,3923,1.1,3818,0.8,3992,1,3992,1.1,4353,1.3,3286,1.2
2,5,4,6,0,家事サービス,697,0.2,1493,0.3,889,0.2,728,0.2,591,0.2,470,0.2
2,4,5,0,0,被服及び履物,13219,3.8,17373,3.8,17079,4.2,14405,4.1,13012,3.9,7279,2.7
2,5,5,1,0,和服,171,0,82,0,405,0.1,230,0.1,35,0,-,-
2,5,5,2,0,洋服,5535,1.6,5865,1.3,7442,1.8,5886,1.7,5585,1.7,3267,1.2
2,6,5,2,1,男子用洋服,1449,0.4,2162,0.5,2181,0.5,1463,0.4,1432,0.4,860,0.3
2,6,5,2,2,婦人用洋服,3240,0.9,3652,0.8,4226,1,3530,1,3171,0.9,1868,0.7
2,6,5,2,3,子供用洋服,847,0.2,51,0,1035,0.3,893,0.3,982,0.3,539,0.2
2,5,5,3,0,シャツ・セーター類,2338,0.7,3906,0.8,2916,0.7,2499,0.7,2448,0.7,1289,0.5
2,6,5,3,1,男子用シャツ・セーター類,714,0.2,2467,0.5,900,0.2,695,0.2,724,0.2,443,0.2
2,6,5,3,2,婦人用シャツ・セーター類,1361,0.4,1372,0.3,1787,0.4,1474,0.4,1431,0.4,747,0.3
2,6,5,3,3,子供用シャツ・セーター類,263,0.1,67,0,229,0.1,331,0.1,294,0.1,98,0
2,5,5,4,0,下着類,1037,0.3,1965,0.4,1308,0.3,1022,0.3,1220,0.4,600,0.2
2,6,5,4,1,男子用下着類,271,0.1,409,0.1,331,0.1,273,0.1,280,0.1,205,0.1
2,6,5,4,2,婦人用下着類,582,0.2,1496,0.3,804,0.2,547,0.2,681,0.2,311,0.1
2,6,5,4,3,子供用下着類,183,0.1,60,0,173,0,202,0.1,259,0.1,84,0
2,5,5,5,0,生地・糸類,164,0,106,0,155,0,177,0,248,0.1,63,0
2,5,5,6,0,他の被服,933,0.3,1287,0.3,1009,0.2,992,0.3,1037,0.3,580,0.2
2,5,5,7,0,履物類,1822,0.5,2227,0.5,2066,0.5,1982,0.6,1894,0.6,1148,0.4
2,5,5,8,0,被服関連サービス,1220,0.4,1936,0.4,1777,0.4,1618,0.5,546,0.2,333,0.1
2,4,6,0,0,保健医療,16441,4.8,19501,4.2,16953,4.2,16783,4.7,18832,5.6,13031,4.9
2,5,6,1,0,医薬品,2536,0.7,4236,0.9,2619,0.6,2711,0.8,2138,0.6,2122,0.8
2,5,6,2,0,健康保持用摂取品,1183,0.3,1491,0.3,1123,0.3,1193,0.3,1082,0.3,1213,0.5
2,5,6,3,0,保健医療用品・器具,3909,1.1,3813,0.8,4370,1.1,3993,1.1,3735,1.1,3648,1.4
2,5,6,4,0,保健医療サービス,8814,2.6,9961,2.2,8842,2.2,8886,2.5,11877,3.5,6048,2.3
2,4,7,0,0,交通・通信,39244,11.4,69211,15,37280,9.2,40943,11.5,37480,11.2,32958,12.4
2,5,7,1,0,交通,8252,2.4,16217,3.5,10669,2.6,8606,2.4,8463,2.5,4287,1.6
2,5,7,2,0,自動車等関係費,16199,4.7,31741,6.9,11952,2.9,17259,4.9,16433,4.9,13243,5
2,6,7,2,1,自動車等購入,4267,1.2,13641,3,-,-,4565,1.3,4706,1.4,3847,1.5
2,6,7,2,2,自転車購入,706,0.2,1034,0.2,215,0.1,805,0.2,1108,0.3,389,0.1
2,6,7,2,3,自動車等維持,11227,3.3,17066,3.7,11737,2.9,11889,3.3,10619,3.2,9006,3.4
2,5,7,3,0,通信,14793,4.3,21253,4.6,14660,3.6,15078,4.2,12584,3.8,15429,5.8
2,4,8,0,0,教育,28602,8.3,35886,7.8,29899,7.4,34115,9.6,26290,7.8,13551,5.1
2,5,8,1,0,授業料等,21277,6.2,26971,5.8,21944,5.4,25036,7.1,19274,5.7,11473,4.3
2,5,8,2,0,教科書・学習参考教材,410,0.1,480,0.1,295,0.1,449,0.1,610,0.2,172,0.1
2,5,8,3,0,補習教育,6915,2,8435,1.8,7660,1.9,8630,2.4,6406,1.9,1906,0.7
2,4,9,0,0,教養娯楽,34598,10.1,55700,12.1,45934,11.3,35542,10,34936,10.4,21541,8.1
2,5,9,1,0,教養娯楽用耐久財,4025,1.2,5291,1.1,5169,1.3,4098,1.2,5492,1.6,1635,0.6
2,5,9,2,0,教養娯楽用品,8333,2.4,12227,2.6,11420,2.8,8044,2.3,8399,2.5,6540,2.5
2,5,9,3,0,書籍・他の印刷物,3618,1.1,5524,1.2,5286,1.3,3870,1.1,2938,0.9,2255,0.9
2,5,9,4,0,教養娯楽サービス,18621,5.4,32658,7.1,24059,5.9,19531,5.5,18107,5.4,11111,4.2
2,6,9,4,1,宿泊料,1927,0.6,3951,0.9,1763,0.4,2086,0.6,2481,0.7,789,0.3
2,6,9,4,2,パック旅行費,1638,0.5,3439,0.7,3014,0.7,1411,0.4,1912,0.6,817,0.3
2,6,9,4,3,月謝類,4968,1.4,5378,1.2,6286,1.5,5840,1.6,4459,1.3,2217,0.8
2,6,9,4,4,他の教養娯楽サービス,10089,2.9,19890,4.3,12995,3.2,10194,2.9,9255,2.8,7288,2.7
2,4,10,0,0,その他の消費支出,53428,15.6,84689,18.4,66216,16.3,54525,15.4,46997,14,43276,16.3
2,5,10,1,0,諸雑費,27245,7.9,47702,10.3,34753,8.6,26601,7.5,25376,7.6,22718,8.6
2,6,10,1,1,理美容サービス,3846,1.1,6442,1.4,4305,1.1,4069,1.1,4100,1.2,2452,0.9
2,6,10,1,2,理美容用品,6258,1.8,7487,1.6,6447,1.6,6689,1.9,6366,1.9,4590,1.7
2,6,10,1,3,身の回り用品,2551,0.7,2531,0.5,2903,0.7,3242,0.9,2286,0.7,814,0.3
2,6,10,1,4,たばこ,1297,0.4,1872,0.4,1189,0.3,1008,0.3,1532,0.5,1727,0.7
2,6,10,1,5,他の諸雑費,13293,3.9,29372,6.4,19910,4.9,11594,3.3,11092,3.3,13136,5
2,5,10,2,0,こづかい,9456,2.8,9808,2.1,10286,2.5,10780,3,5788,1.7,8945,3.4
2,5,10,3,0,交際費,13725,4,27171,5.9,15342,3.8,14239,4,12234,3.6,10196,3.8
2,6,10,3,0,食料,2997,0.9,8199,1.8,4206,1,2972,0.8,2366,0.7,2043,0.8
2,6,10,3,0,家具・家事用品,241,0.1,1554,0.3,475,0.1,175,0,188,0.1,151,0.1
2,6,10,3,0,被服及び履物,369,0.1,1105,0.2,399,0.1,361,0.1,285,0.1,366,0.1
2,6,10,3,0,教養娯楽,505,0.1,597,0.1,308,0.1,644,0.2,326,0.1,377,0.1
2,6,10,3,0,他の物品サービス,430,0.1,135,0,475,0.1,531,0.1,273,0.1,299,0.1
2,6,10,3,6,贈与金,3838,1.1,7430,1.6,3939,1,3747,1.1,3232,1,3830,1.4
2,6,10,3,7,他の交際費,5346,1.6,8152,1.8,5542,1.4,5808,1.6,5565,1.7,3130,1.2
2,5,10,4,0,仕送り金,3003,0.9,7,0,5834,1.4,2905,0.8,3599,1.1,1416,0.5
2,3,0,0,0,土地家屋購入,21831,-,-,-,2651,-,27675,-,41798,-,-,-
2,3,0,0,0,（再掲）教育関係費,32873,9.6,38370,8.3,35414,8.7,38265,10.8,32469,9.7,15764,5.9
2,3,0,0,0,（再掲）教養娯楽関係費,37183,10.8,62585,13.6,49257,12.1,37783,10.6,38151,11.4,23368,8.8
2,3,0,0,0,（再掲）移転支出（贈与金＋仕送り金）,6841,2,7436,1.6,9773,2.4,6652,1.9,6831,2,5246,2
2,3,0,0,0,（再掲）経常消費支出,248850,72.5,312317,67.7,302275,74.4,252505,71.1,239869,71.5,207119,78.1
2,3,0,0,0,（再掲）情報通信関係費,18267,5.3,24040,5.2,18623,4.6,18710,5.3,15098,4.5,19143,7.2
2,3,0,0,0,（再掲）消費支出（除く住居等）　１）,303119,88.3,429417,93.1,342171,84.3,319487,90,293493,87.5,225606,85.1
2,2,0,0,0,その他の実支出,139918,-,207718,-,202585,-,142316,-,149976,-,73579,-
2,3,0,0,0,直接税,67230,-,100759,-,115142,-,68072,-,70203,-,26854,-
2,4,0,0,0,勤労所得税,33077,-,45164,-,67531,-,32755,-,34027,-,9323,-
2,4,0,0,0,個人住民税,27546,-,46609,-,40186,-,28336,-,29829,-,12395,-
2,4,0,0,0,他の税,6606,-,8986,-,7425,-,6981,-,6348,-,5137,-
2,3,0,0,0,社会保険料,72633,-,106893,-,87413,-,74187,-,79718,-,46674,-
2,4,0,0,0,公的年金保険料,43916,-,63141,-,52741,-,45444,-,48615,-,26490,-
2,4,0,0,0,健康保険料,23495,-,35307,-,28962,-,23452,-,25521,-,16355,-
2,4,0,0,0,介護保険料,3779,-,6625,-,3774,-,3852,-,3985,-,2892,-
2,4,0,0,0,他の社会保険料,1444,-,1819,-,1936,-,1439,-,1596,-,936,-
2,3,0,0,0,その他,56,-,66,-,30,-,58,-,55,-,51,-
2,1,0,0,0,実支出以外の支払(繰越金を除く),772860,-,1076495,-,934943,-,793141,-,823216,-,512837,-
2,2,0,0,0,預貯金,574766,-,729312,-,699501,-,594863,-,583990,-,403280,-
2,2,0,0,0,保険料,24686,-,54200,-,26381,-,24187,-,26387,-,18327,-
2,3,0,0,0,個人・企業年金保険料,6443,-,21651,-,7494,-,6329,-,6168,-,3892,-
2,3,0,0,0,他の保険料,18244,-,32549,-,18887,-,17858,-,20218,-,14434,-
2,2,0,0,0,有価証券購入,8034,-,91124,-,5936,-,8112,-,5025,-,800,-
2,2,0,0,0,土地家屋借金返済,49588,-,53764,-,49842,-,47712,-,69422,-,30779,-
2,2,0,0,0,他の借金返済,1320,-,342,-,392,-,1665,-,532,-,1867,-
2,2,0,0,0,クレジット購入借入金返済,113575,-,147073,-,151622,-,115555,-,136983,-,57520,-
2,2,0,0,0,実支出以外の支払のその他,892,-,679,-,1269,-,1048,-,878,-,265,-
2,1,0,0,0,繰越金,134038,-,384470,-,202270,-,116798,-,154098,-,83471,-
3,0,0,0,0,可処分所得,561620,-,727726,-,702943,-,569491,-,595208,-,391466,-
3,0,0,0,0,黒字,218168,-,266252,-,296920,-,214527,-,259827,-,126226,-
3,1,0,0,0,金融資産純増,191234,-,277347,-,287360,-,203361,-,164343,-,109997,-
3,3,0,0,0,貯蓄純増,183447,-,186222,-,281516,-,195658,-,159538,-,109197,-
3,4,0,0,0,預貯金純増,164190,-,151744,-,256216,-,178149,-,135925,-,95182,-
3,4,0,0,0,保険純増,19257,-,34478,-,25299,-,17509,-,23613,-,14015,-
3,3,0,0,0,有価証券純購入,7787,-,91124,-,5845,-,7702,-,4805,-,800,-
3,1,0,0,0,土地家屋借金純減,41749,-,53764,-,49842,-,32975,-,69422,-,30779,-
3,1,0,0,0,他の借金純減,498,-,342,-,392,-,-13,-,516,-,1697,-
3,1,0,0,0,クレジット購入借入金純減,-9455,-,-32164,-,-18533,-,-13128,-,3044,-,-2159,-
3,1,0,0,0,土地家屋純増,15145,-,-,-,2651,-,14387,-,41798,-,-,-
3,1,0,0,0,その他の純増,-9,-,486,-,760,-,-350,-,407,-,-45,-
3,1,0,0,0,繰越純増,-20995,-,-33523,-,-25552,-,-22704,-,-19704,-,-14043,-
,,,,,,,,,,,,,,,,,
東京都生計分析調査　令和 2年,,,,,,,,,,,,,,,,,
第２３表　職能形態別１世帯当たり年平均１か月間の収入と用途別生計支出　―　勤労者世帯　―,,,,,,,,,,,,,,,,,
注）　１）は、「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いたもの。,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）,,,,,,,,,,,,,,,,,
