項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,ローン返済世帯／実数（円）,ローン返済世帯／構成比（％）,ローン返済世帯／40歳未満／実数（円）,ローン返済世帯／40歳未満／構成比（％）,ローン返済世帯／40～49歳／実数（円）,ローン返済世帯／40～49歳／構成比（％）,ローン返済世帯／50歳以上／実数（円）,ローン返済世帯／50歳以上／構成比（％）,ローン返済のない世帯／実数（円）,ローン返済のない世帯／構成比（％）,ローン返済のない世帯／40歳未満／実数（円）,ローン返済のない世帯／40歳未満／構成比（％）,ローン返済のない世帯／40～49歳／実数（円）,ローン返済のない世帯／40～49歳／構成比（％）,ローン返済のない世帯／50歳以上／実数（円）,ローン返済のない世帯／50歳以上／構成比（％）
1,2,0,0,0,土地家屋借入金,7839,-,25677,-,-,-,64684,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,他の借入金,821,-,1401,-,-,-,3193,-,187,-,440,-,-,-,900,-,369,-
1,2,0,0,0,クレジット購入借入金,123030,-,148658,-,136444,-,148589,-,155577,-,107887,-,103306,-,126971,-,102672,-
1,2,0,0,0,土地家屋売却,6686,-,-,-,-,-,-,-,-,-,10825,-,-,-,-,-,18349,-
1,2,0,0,0,実収入以外の受取のその他,901,-,291,-,255,-,62,-,597,-,1262,-,556,-,81,-,1944,-
1,1,0,0,0,繰入金,155032,-,153212,-,103752,-,174273,-,150476,-,155801,-,144981,-,202125,-,140240,-
2,0,0,0,0,支払,1412099,-,1735214,-,1383083,-,1809103,-,1844723,-,1225602,-,1214276,-,1368482,-,1178432,-
2,1,0,0,0,実支出,505201,-,581481,-,429385,-,616545,-,629822,-,463687,-,450231,-,511837,-,453790,-
2,2,0,0,0,生計支出,365283,-,402949,-,301847,-,440372,-,420512,-,347111,-,343063,-,374267,-,341313,-
2,3,0,0,0,消費支出,343451,100,370296,100,292121,100,362333,100,420512,100,327734,100,282779,100,334597,100,341313,100
2,4,1,0,0,食料,93467,27.2,101422,27.4,89440,30.6,102434,28.3,106648,25.4,88637,27,71827,25.4,92969,27.8,92873,27.2
2,5,1,1,0,穀類,7385,2.2,8075,2.2,7200,2.5,8537,2.4,8013,1.9,6969,2.1,5312,1.9,7483,2.2,7352,2.2
2,6,1,1,1,米類,1953,0.6,2165,0.6,1883,0.6,2370,0.7,2068,0.5,1823,0.6,1240,0.4,2064,0.6,1932,0.6
2,6,1,1,2,パン,3033,0.9,3232,0.9,2847,1,3422,0.9,3236,0.8,2920,0.9,2259,0.8,2922,0.9,3152,0.9
2,6,1,1,3,麺類,1790,0.5,1953,0.5,1751,0.6,2008,0.6,2000,0.5,1691,0.5,1311,0.5,1893,0.6,1746,0.5
2,6,1,1,4,他の穀類,608,0.2,724,0.2,720,0.2,738,0.2,708,0.2,535,0.2,502,0.2,604,0.2,523,0.2
2,5,1,2,0,魚介類,5954,1.7,5889,1.6,4155,1.4,5625,1.6,7059,1.7,5991,1.8,3735,1.3,5886,1.8,6838,2
2,6,1,2,1,生鮮魚介,3586,1,3547,1,2574,0.9,3327,0.9,4293,1,3607,1.1,2334,0.8,3616,1.1,4065,1.2
2,6,1,2,2,塩干魚介,998,0.3,1017,0.3,740,0.3,958,0.3,1218,0.3,988,0.3,691,0.2,949,0.3,1108,0.3
2,6,1,2,3,魚肉練製品,526,0.2,497,0.1,297,0.1,515,0.1,577,0.1,544,0.2,254,0.1,452,0.1,678,0.2
2,6,1,2,4,他の魚介加工品,844,0.2,828,0.2,545,0.2,826,0.2,970,0.2,852,0.3,456,0.2,869,0.3,988,0.3
2,5,1,3,0,肉類,9625,2.8,10669,2.9,8852,3,10683,2.9,11561,2.7,8980,2.7,6334,2.2,10217,3.1,9465,2.8
2,6,1,3,1,生鮮肉,7936,2.3,8788,2.4,7154,2.4,8711,2.4,9687,2.3,7409,2.3,5221,1.8,8444,2.5,7802,2.3
2,6,1,3,2,加工肉,1689,0.5,1881,0.5,1698,0.6,1972,0.5,1874,0.4,1572,0.5,1114,0.4,1773,0.5,1662,0.5
2,5,1,4,0,乳卵類,4750,1.4,5214,1.4,5182,1.8,5695,1.6,4643,1.1,4477,1.4,4106,1.5,4743,1.4,4505,1.3
2,6,1,4,1,牛乳,1425,0.4,1639,0.4,1631,0.6,1860,0.5,1382,0.3,1296,0.4,1138,0.4,1229,0.4,1377,0.4
2,6,1,4,2,乳製品,2443,0.7,2582,0.7,2649,0.9,2781,0.8,2304,0.5,2365,0.7,2295,0.8,2619,0.8,2294,0.7
2,6,1,4,3,卵,882,0.3,992,0.3,903,0.3,1055,0.3,958,0.2,816,0.2,672,0.2,896,0.3,835,0.2
2,5,1,5,0,野菜・海藻,10478,3.1,10881,2.9,8855,3,10196,2.8,12656,3,10230,3.1,7135,2.5,9775,2.9,11490,3.4
2,6,1,5,1,生鮮野菜,7478,2.2,7794,2.1,6437,2.2,7293,2,9026,2.1,7285,2.2,5243,1.9,6970,2.1,8124,2.4
2,6,1,5,2,乾物・海藻,797,0.2,854,0.2,697,0.2,822,0.2,973,0.2,763,0.2,506,0.2,804,0.2,835,0.2
2,6,1,5,3,大豆加工品,1137,0.3,1177,0.3,941,0.3,1127,0.3,1347,0.3,1112,0.3,780,0.3,1032,0.3,1258,0.4
2,6,1,5,4,他の野菜・海藻加工品,1066,0.3,1057,0.3,780,0.3,954,0.3,1310,0.3,1070,0.3,607,0.2,969,0.3,1273,0.4
2,5,1,6,0,果物,3012,0.9,2887,0.8,2193,0.8,2789,0.8,3348,0.8,3093,0.9,2136,0.8,3116,0.9,3426,1
2,6,1,6,1,生鮮果物,2643,0.8,2540,0.7,1952,0.7,2495,0.7,2882,0.7,2709,0.8,1887,0.7,2793,0.8,2967,0.9
2,6,1,6,2,果物加工品,370,0.1,347,0.1,241,0.1,295,0.1,465,0.1,384,0.1,249,0.1,323,0.1,459,0.1
2,5,1,7,0,油脂・調味料,4410,1.3,4871,1.3,4336,1.5,4643,1.3,5406,1.3,4134,1.3,3249,1.1,4170,1.2,4437,1.3
2,6,1,7,1,油脂,462,0.1,521,0.1,398,0.1,462,0.1,648,0.2,426,0.1,329,0.1,429,0.1,458,0.1
2,6,1,7,2,調味料,3948,1.1,4350,1.2,3938,1.3,4181,1.2,4758,1.1,3708,1.1,2920,1,3741,1.1,3979,1.2
2,5,1,8,0,菓子類,7524,2.2,8138,2.2,7698,2.6,8865,2.4,7576,1.8,7159,2.2,6154,2.2,8443,2.5,7024,2.1
2,5,1,9,0,調理食品,12695,3.7,12917,3.5,11138,3.8,13196,3.6,13646,3.2,12556,3.8,9859,3.5,11988,3.6,13701,4
2,6,1,9,1,主食的調理食品,5611,1.6,5682,1.5,4885,1.7,5706,1.6,6093,1.4,5564,1.7,4658,1.6,5010,1.5,6076,1.8
2,6,1,9,2,他の調理食品,7084,2.1,7235,2,6253,2.1,7490,2.1,7554,1.8,6992,2.1,5201,1.8,6977,2.1,7625,2.2
2,5,1,10,0,飲料,5670,1.7,6171,1.7,5557,1.9,6658,1.8,5989,1.4,5364,1.6,4339,1.5,5440,1.6,5678,1.7
2,6,1,10,1,茶類,1197,0.3,1231,0.3,1017,0.3,1232,0.3,1362,0.3,1180,0.4,829,0.3,1072,0.3,1345,0.4
2,6,1,10,2,コーヒー・ココア,1213,0.4,1301,0.4,1072,0.4,1402,0.4,1295,0.3,1158,0.4,889,0.3,1180,0.4,1240,0.4
2,6,1,10,3,他の飲料,3260,0.9,3640,1,3467,1.2,4023,1.1,3332,0.8,3026,0.9,2621,0.9,3188,1,3094,0.9
2,5,1,11,0,酒類,4470,1.3,4933,1.3,3535,1.2,4511,1.2,6123,1.5,4184,1.3,2267,0.8,4035,1.2,4887,1.4
2,5,1,12,0,外食,17495,5.1,20778,5.6,20739,7.1,21034,5.8,20628,4.9,15500,4.7,17200,6.1,17674,5.3,14069,4.1
2,6,1,12,1,一般外食,16458,4.8,19019,5.1,18675,6.4,18402,5.1,20016,4.8,14897,4.5,16614,5.9,16034,4.8,13876,4.1
2,6,1,12,2,学校給食,1037,0.3,1759,0.5,2065,0.7,2632,0.7,613,0.1,604,0.2,586,0.2,1641,0.5,193,0.1
2,4,2,0,0,住居,29225,8.5,8471,2.3,4620,1.6,3969,1.1,15454,3.7,41824,12.8,54441,19.3,49695,14.9,34312,10.1
2,5,2,1,0,家賃地代,22131,6.4,1864,0.5,923,0.3,401,0.1,3918,0.9,34341,10.5,52894,18.7,45686,13.7,23559,6.9
2,5,2,2,0,設備修繕・維持,7094,2.1,6608,1.8,3697,1.3,3568,1,11537,2.7,7482,2.3,1547,0.5,4009,1.2,10753,3.2
2,6,2,2,1,設備材料,2631,0.8,1760,0.5,418,0.1,1708,0.5,2462,0.6,3169,1,247,0.1,3196,1,4043,1.2
2,6,2,2,2,工事その他のサービス,4464,1.3,4848,1.3,3278,1.1,1860,0.5,9075,2.2,4313,1.3,1300,0.5,813,0.2,6710,2
2,4,3,0,0,光熱・水道,20717,6,23148,6.3,21029,7.2,23134,6.4,24228,5.8,19279,5.9,15871,5.6,18502,5.5,20813,6.1
2,5,3,1,0,電気代,9458,2.8,10828,2.9,9275,3.2,10867,3,11590,2.8,8653,2.6,7288,2.6,7691,2.3,9515,2.8
2,5,3,2,0,ガス代,5687,1.7,6202,1.7,6113,2.1,6150,1.7,6253,1.5,5390,1.6,4444,1.6,5472,1.6,5705,1.7
2,5,3,3,0,他の光熱,177,0.1,147,0,119,0,157,0,152,0,192,0.1,88,0,116,0,258,0.1
2,5,3,4,0,上下水道料,5394,1.6,5971,1.6,5522,1.9,5959,1.6,6232,1.5,5044,1.5,4052,1.4,5223,1.6,5335,1.6
2,4,4,0,0,家具・家事用品,14511,4.2,16863,4.6,18070,6.2,17058,4.7,15945,3.8,13205,4,11880,4.2,15282,4.6,12919,3.8
2,5,4,1,0,家庭用耐久財,4921,1.4,5870,1.6,7129,2.4,6884,1.9,3876,0.9,4450,1.4,3258,1.2,5196,1.6,4575,1.3
2,6,4,1,1,家事用耐久財,2669,0.8,2856,0.8,3843,1.3,2957,0.8,2149,0.5,2600,0.8,1764,0.6,4142,1.2,2321,0.7
2,6,4,1,2,冷暖房用器具,1353,0.4,1619,0.4,1680,0.6,2288,0.6,688,0.2,1237,0.4,293,0.1,449,0.1,1840,0.5
2,6,4,1,3,一般家具,899,0.3,1395,0.4,1606,0.5,1639,0.5,1039,0.2,614,0.2,1202,0.4,606,0.2,414,0.1
2,5,4,2,0,室内装備・装飾品,810,0.2,894,0.2,1258,0.4,493,0.1,1171,0.3,767,0.2,595,0.2,816,0.2,820,0.2
2,5,4,3,0,寝具類,1016,0.3,1380,0.4,605,0.2,973,0.3,2273,0.5,794,0.2,466,0.2,1550,0.5,647,0.2
2,5,4,4,0,家事雑貨,3143,0.9,3490,0.9,4543,1.6,3243,0.9,3284,0.8,2929,0.9,3487,1.2,3531,1.1,2527,0.7
2,5,4,5,0,家事用消耗品,3923,1.1,4425,1.2,4135,1.4,4563,1.3,4454,1.1,3635,1.1,3394,1.2,3583,1.1,3746,1.1
2,5,4,6,0,家事サービス,697,0.2,804,0.2,400,0.1,903,0.2,887,0.2,629,0.2,680,0.2,606,0.2,605,0.2
2,4,5,0,0,被服及び履物,13219,3.8,14472,3.9,12616,4.3,14033,3.9,16229,3.9,12443,3.8,13222,4.7,13732,4.1,11842,3.5
2,5,5,1,0,和服,171,0,30,0,14,0,49,0,24,0,259,0.1,77,0,282,0.1,329,0.1
2,5,5,2,0,洋服,5535,1.6,6127,1.7,5365,1.8,5902,1.6,6909,1.6,5174,1.6,6645,2.3,6103,1.8,4433,1.3
2,6,5,2,1,男子用洋服,1449,0.4,1512,0.4,1128,0.4,1367,0.4,1917,0.5,1406,0.4,1571,0.6,1939,0.6,1186,0.3
2,6,5,2,2,婦人用洋服,3240,0.9,3474,0.9,2278,0.8,3119,0.9,4547,1.1,3107,0.9,3535,1.3,2981,0.9,3072,0.9
2,6,5,2,3,子供用洋服,847,0.2,1141,0.3,1959,0.7,1416,0.4,445,0.1,661,0.2,1539,0.5,1184,0.4,176,0.1
2,5,5,3,0,シャツ・セーター類,2338,0.7,2429,0.7,1842,0.6,2586,0.7,2591,0.6,2275,0.7,1988,0.7,2387,0.7,2335,0.7
2,6,5,3,1,男子用シャツ・セーター類,714,0.2,772,0.2,680,0.2,764,0.2,850,0.2,672,0.2,547,0.2,708,0.2,695,0.2
2,6,5,3,2,婦人用シャツ・セーター類,1361,0.4,1312,0.4,688,0.2,1332,0.4,1634,0.4,1393,0.4,1034,0.4,1300,0.4,1563,0.5
2,6,5,3,3,子供用シャツ・セーター類,263,0.1,345,0.1,474,0.2,490,0.1,107,0,210,0.1,407,0.1,380,0.1,78,0
2,5,5,4,0,下着類,1037,0.3,1170,0.3,1245,0.4,1081,0.3,1241,0.3,961,0.3,1021,0.4,1058,0.3,913,0.3
2,6,5,4,1,男子用下着類,271,0.1,283,0.1,223,0.1,218,0.1,385,0.1,266,0.1,212,0.1,268,0.1,289,0.1
2,6,5,4,2,婦人用下着類,582,0.2,619,0.2,537,0.2,522,0.1,782,0.2,565,0.2,553,0.2,507,0.2,599,0.2
2,6,5,4,3,子供用下着類,183,0.1,267,0.1,484,0.2,342,0.1,74,0,131,0,257,0.1,282,0.1,24,0
2,5,5,5,0,生地・糸類,164,0,164,0,139,0,170,0,169,0,167,0.1,124,0,153,0,187,0.1
2,5,5,6,0,他の被服,933,0.3,1031,0.3,1186,0.4,1007,0.3,980,0.2,878,0.3,979,0.3,916,0.3,827,0.2
2,5,5,7,0,履物類,1822,0.5,2037,0.6,2041,0.7,2400,0.7,1645,0.4,1685,0.5,1620,0.6,2106,0.6,1555,0.5
2,5,5,8,0,被服関連サービス,1220,0.4,1485,0.4,785,0.3,838,0.2,2669,0.6,1045,0.3,767,0.3,727,0.2,1264,0.4
2,4,6,0,0,保健医療,16441,4.8,16651,4.5,13127,4.5,15837,4.4,19207,4.6,16251,5,14889,5.3,13336,4,17844,5.2
2,5,6,1,0,医薬品,2536,0.7,2488,0.7,1517,0.5,2432,0.7,3057,0.7,2558,0.8,1514,0.5,1876,0.6,3197,0.9
2,5,6,2,0,健康保持用摂取品,1183,0.3,807,0.2,424,0.1,665,0.2,1177,0.3,1386,0.4,578,0.2,647,0.2,1939,0.6
2,5,6,3,0,保健医療用品・器具,3909,1.1,4312,1.2,4691,1.6,4542,1.3,3870,0.9,3647,1.1,4117,1.5,3635,1.1,3499,1
2,5,6,4,0,保健医療サービス,8814,2.6,9044,2.4,6496,2.2,8199,2.3,11103,2.6,8661,2.6,8679,3.1,7178,2.1,9211,2.7
2,4,7,0,0,交通・通信,39244,11.4,45593,12.3,31336,10.7,46003,12.7,52333,12.4,35660,10.9,27858,9.9,32191,9.6,39635,11.6
2,5,7,1,0,交通,8252,2.4,8970,2.4,5053,1.7,8127,2.2,12029,2.9,7782,2.4,5734,2,8667,2.6,8141,2.4
2,5,7,2,0,自動車等関係費,16199,4.7,18871,5.1,11932,4.1,20141,5.6,20786,4.9,14837,4.5,10875,3.8,9866,2.9,17973,5.3
2,6,7,2,1,自動車等購入,4267,1.2,5016,1.4,-,-,6771,1.9,5495,1.3,4055,1.2,3043,1.1,428,0.1,5800,1.7
2,6,7,2,2,自転車購入,706,0.2,954,0.3,801,0.3,1294,0.4,635,0.2,555,0.2,616,0.2,1030,0.3,334,0.1
2,6,7,2,3,自動車等維持,11227,3.3,12901,3.5,11131,3.8,12077,3.3,14655,3.5,10226,3.1,7215,2.6,8409,2.5,11839,3.5
2,5,7,3,0,通信,14793,4.3,17752,4.8,14351,4.9,17735,4.9,19518,4.6,13041,4,11250,4,13657,4.1,13521,4
2,4,8,0,0,教育,28602,8.3,38662,10.4,13512,4.6,37017,10.2,53296,12.7,22569,6.9,6535,2.3,26917,8,26740,7.8
2,5,8,1,0,授業料等,21277,6.2,29745,8,8842,3,23236,6.4,47792,11.4,16168,4.9,4964,1.8,17566,5.2,19796,5.8
2,5,8,2,0,教科書・学習参考教材,410,0.1,700,0.2,384,0.1,993,0.3,528,0.1,233,0.1,143,0.1,269,0.1,252,0.1
2,5,8,3,0,補習教育,6915,2,8217,2.2,4287,1.5,12788,3.5,4976,1.2,6168,1.9,1428,0.5,9082,2.7,6693,2
2,4,9,0,0,教養娯楽,34598,10.1,44225,11.9,41304,14.1,45152,12.5,45517,10.8,28716,8.8,26962,9.5,31545,9.4,28427,8.3
2,5,9,1,0,教養娯楽用耐久財,4025,1.2,4920,1.3,5752,2,4172,1.2,5532,1.3,3453,1.1,4532,1.6,4144,1.2,2930,0.9
2,5,9,2,0,教養娯楽用品,8333,2.4,11367,3.1,9805,3.4,11284,3.1,12330,2.9,6519,2,5488,1.9,6781,2,6737,2
2,5,9,3,0,書籍・他の印刷物,3618,1.1,3871,1,2681,0.9,3633,1,4758,1.1,3468,1.1,2608,0.9,3227,1,3848,1.1
2,5,9,4,0,教養娯楽サービス,18621,5.4,24068,6.5,23065,7.9,26063,7.2,22896,5.4,15276,4.7,14333,5.1,17393,5.2,14912,4.4
2,6,9,4,1,宿泊料,1927,0.6,2376,0.6,2518,0.9,2871,0.8,1852,0.4,1639,0.5,1475,0.5,2781,0.8,1302,0.4
2,6,9,4,2,パック旅行費,1638,0.5,1541,0.4,1982,0.7,1940,0.5,964,0.2,1683,0.5,1183,0.4,1282,0.4,2000,0.6
2,6,9,4,3,月謝類,4968,1.4,7295,2,6952,2.4,9213,2.5,5542,1.3,3546,1.1,3243,1.1,5723,1.7,2858,0.8
2,6,9,4,4,他の教養娯楽サービス,10089,2.9,12856,3.5,11612,4,12039,3.3,14538,3.5,8409,2.6,8433,3,7606,2.3,8752,2.6
2,4,10,0,0,その他の消費支出,53428,15.6,60789,16.4,47067,16.1,57698,15.9,71657,17,49150,15,39293,13.9,40429,12.1,55908,16.4
2,5,10,1,0,諸雑費,27245,7.9,30996,8.4,31865,10.9,29725,8.2,32395,7.7,25062,7.6,24342,8.6,24836,7.4,25454,7.5
2,6,10,1,1,理美容サービス,3846,1.1,4080,1.1,3157,1.1,3735,1,4941,1.2,3693,1.1,3229,1.1,3537,1.1,3909,1.1
2,6,10,1,2,理美容用品,6258,1.8,6667,1.8,5639,1.9,6244,1.7,7685,1.8,6032,1.8,6381,2.3,5581,1.7,6089,1.8
2,6,10,1,3,身の回り用品,2551,0.7,2860,0.8,2591,0.9,2568,0.7,3314,0.8,2379,0.7,3021,1.1,2173,0.6,2214,0.6
2,6,10,1,4,たばこ,1297,0.4,1091,0.3,728,0.2,1130,0.3,1219,0.3,1435,0.4,1008,0.4,1193,0.4,1667,0.5
2,6,10,1,5,他の諸雑費,13293,3.9,16298,4.4,19749,6.8,16048,4.4,15236,3.6,11524,3.5,10702,3.8,12353,3.7,11575,3.4
2,5,10,2,0,こづかい,9456,2.8,12106,3.3,5785,2,12141,3.4,15208,3.6,7887,2.4,4161,1.5,6492,1.9,9710,2.8
2,5,10,3,0,交際費,13725,4,15195,4.1,9299,3.2,13521,3.7,20167,4.8,12872,3.9,9443,3.3,8700,2.6,15731,4.6
2,6,10,3,0,食料,2997,0.9,3013,0.8,1404,0.5,2234,0.6,4750,1.1,2983,0.9,2136,0.8,1822,0.5,3753,1.1
2,6,10,3,0,家具・家事用品,241,0.1,187,0.1,190,0.1,148,0,222,0.1,270,0.1,273,0.1,46,0,355,0.1
2,6,10,3,0,被服及び履物,369,0.1,270,0.1,354,0.1,226,0.1,266,0.1,423,0.1,264,0.1,290,0.1,546,0.2
2,6,10,3,0,教養娯楽,505,0.1,375,0.1,284,0.1,325,0.1,478,0.1,587,0.2,472,0.2,314,0.1,730,0.2
2,6,10,3,0,他の物品サービス,430,0.1,504,0.1,244,0.1,318,0.1,885,0.2,387,0.1,204,0.1,148,0,542,0.2
2,6,10,3,6,贈与金,3838,1.1,3198,0.9,1737,0.6,2279,0.6,5005,1.2,4237,1.3,2852,1,2606,0.8,5348,1.6
2,6,10,3,7,他の交際費,5346,1.6,7648,2.1,5088,1.7,7993,2.2,8561,2,3987,1.2,3242,1.1,3475,1,4456,1.3
2,5,10,4,0,仕送り金,3003,0.9,2493,0.7,118,0,2311,0.6,3886,0.9,3328,1,1348,0.5,400,0.1,5013,1.5
2,3,0,0,0,土地家屋購入,21831,-,32652,-,9726,-,78039,-,-,-,19377,-,60284,-,39671,-,-,-
2,3,0,0,0,（再掲）教育関係費,32873,9.6,44120,11.9,17999,6.2,43533,12,58185,13.8,26148,8,7990,2.8,30690,9.2,30910,9.1
2,3,0,0,0,（再掲）教養娯楽関係費,37183,10.8,46177,12.5,42037,14.4,46426,12.8,48715,11.6,31674,9.7,29350,10.4,35295,10.5,31303,9.2
2,3,0,0,0,（再掲）移転支出（贈与金＋仕送り金）,6841,2,5691,1.5,1855,0.6,4590,1.3,8891,2.1,7565,2.3,4200,1.5,3006,0.9,10360,3
2,3,0,0,0,（再掲）経常消費支出,248850,72.5,258550,69.8,224427,76.8,255369,70.5,279878,66.6,243109,74.2,227670,80.5,252160,75.4,245235,71.9
2,3,0,0,0,（再掲）情報通信関係費,18267,5.3,22163,6,18377,6.3,21517,5.9,24851,5.9,15931,4.9,13760,4.9,14541,4.3,17271,5.1
2,3,0,0,0,（再掲）消費支出（除く住居等）　１）,303119,88.3,351119,94.8,285646,97.8,347004,95.8,390672,92.9,274290,83.7,221095,78.2,281468,84.1,290841,85.2
2,2,0,0,0,その他の実支出,139918,-,178533,-,127538,-,176173,-,209310,-,116576,-,107168,-,137570,-,112477,-
2,3,0,0,0,直接税,67230,-,87470,-,60432,-,82815,-,108013,-,54975,-,47244,-,66979,-,53621,-
2,4,0,0,0,勤労所得税,33077,-,44564,-,32567,-,39795,-,56987,-,26103,-,25154,-,37267,-,22646,-
2,4,0,0,0,個人住民税,27546,-,33910,-,22145,-,34324,-,39925,-,23739,-,21346,-,27474,-,23260,-
2,4,0,0,0,他の税,6606,-,8996,-,5720,-,8697,-,11102,-,5133,-,744,-,2237,-,7715,-
