項目名,全世帯／実数（円）,全世帯／対前年増加率／名目（％）,全世帯／対前年増加率／実質（％）,勤労者世帯／実数（円）,勤労者世帯／対前年増加率／名目（％）,勤労者世帯／対前年増加率／実質（％）
上下水道料,5255,4.2,3.3,5420,3.7,2.8
家具・家事用品,12538,9.2,6.7,13364,10.6,8.1
家庭用耐久財,4344,9.4,7.7,4587,13.3,11.5
家事用耐久財,2259,9.4,8.1,2464,20.1,18.7
冷暖房用器具,1451,6.7,4.8,1467,11.1,9.1
一般家具,634,16.5,14.1,656,-3.2,-5.2
室内装備・装飾品,640,0,-2.9,663,5.4,2.3
寝具類,870,7.8,5.4,857,-3.7,-5.9
家事雑貨,2311,5.4,2.4,2664,7.6,4.6
家事用消耗品,3485,15.2,12.2,3800,16.2,13.1
家事サービス,888,4.1,2,793,3.8,1.7
被服及び履物,8799,-18.4,-19.3,10654,-17.6,-18.5
和服,111,-19.6,-20.9,130,10.2,8.5
洋服,3472,-19.9,-20.8,4392,-20.3,-21.2
男子用洋服,1087,-22.9,-24.5,1371,-24.7,-26.2
婦人用洋服,1968,-20.4,-21.4,2335,-21.4,-22.4
子供用洋服,418,-6.7,-3.7,686,-5.2,-2.2
シャツ・セーター類,1700,-20.8,-21.1,2005,-18.7,-19
男子用シャツ・セーター類,539,-21.4,-21.3,638,-20.6,-20.5
婦人用シャツ・セーター類,1017,-21.8,-22.2,1131,-19.2,-19.6
子供用シャツ・セーター類,144,-10,-11.3,236,-9.9,-11.2
下着類,917,-8.7,-9.8,985,-10.2,-11.3
男子用下着類,279,-10.3,-10.8,256,-11.7,-12.2
婦人用下着類,530,-9.1,-10.4,549,-12,-13.2
子供用下着類,108,-2.7,-4.9,181,-1.1,-3.3
生地・糸類,139,18.8,-,129,26.5,-
他の被服,708,-17.2,-17.6,835,-18.3,-18.7
履物類,1196,-20.3,-21.6,1496,-18.7,-20
被服関連サービス,556,-19.1,-21.3,682,-12.3,-14.7
保健医療,14211,2,1.7,13068,3.2,2.9
医薬品,2643,2.6,1.7,2234,2.6,1.7
健康保持用摂取品,1197,8.2,-,851,4.3,-
保健医療用品・器具,2963,20.1,19.1,3415,29.3,28.3
保健医療サービス,7408,-4.8,-4.7,6568,-6.5,-6.4
交通・通信,39910,-8.5,-8.3,49469,-10,-9.8
交通,3103,-48,-49,4259,-44.6,-45.6
自動車等関係費,23328,-3.1,-2.1,29272,-5.7,-4.7
自動車等購入,7378,7.5,6.1,10169,-0.8,-2.1
自転車購入,317,-6.2,-5.9,436,-7.2,-6.9
自動車等維持,15633,-7.4,-5.8,18668,-8.2,-6.6
通信,13479,-0.8,-1,15938,-1.7,-1.9
教育,10290,-10.5,-2.9,16548,-10.7,-3.1
授業料等,7380,-14.4,-2.3,11819,-14.6,-2.5
教科書・学習参考教材,214,-3.2,-4.4,348,-5.2,-6.4
補習教育,2696,1.8,0.1,4381,1.2,-0.5
教養娯楽,24285,-17.2,-16.7,26824,-16,-15.5
教養娯楽用耐久財,2380,17.4,15.2,2820,14.5,12.4
教養娯楽用品,6665,0.3,-2.1,7629,1.4,-1
書籍・他の印刷物,3258,-2,-3.6,2944,-2.4,-4
教養娯楽サービス,11983,-30.9,-29.2,13431,-29.1,-27.4
宿泊料,907,-51.8,-42.1,1053,-52,-42.4
パック旅行費,1002,-71.8,-,932,-69.2,-
月謝類,2364,-21.8,-23.7,3194,-22.5,-24.4
他の教養娯楽サービス,7709,-13.3,-14.7,8253,-14.1,-15.5
その他の消費支出,52251,-10.5,-10.5,55868,-10.2,-10.2
諸雑費,23630,-1,1,25233,1,3.1
理美容サービス,2829,-8.9,-10.4,2912,-8.7,-10.2
理美容用品,4639,-1,-2.2,5287,0.6,-0.6
身の回り用品,1563,-13.9,-16.2,2036,-10.5,-12.9
たばこ,1104,11.7,7.7,1319,19.2,14.9
他の諸雑費,13494,1.6,12.4,13679,3.9,14.9
こづかい(使途不明) ,8109,-12.9,-12.9,9887,-16.9,-16.9
交際費,15295,-22.5,-22.5,13620,-21.7,-21.7
食料,3758,-27.8,-,2910,-27.7,-
家具・家事用品,170,-26.4,-,179,-35.4,-
被服及び履物,375,-29,-,359,-32.3,-
教養娯楽,702,-47.5,-,624,-45.8,-
他の物品サービス,347,-35.5,-,355,-24.5,-
贈与金,6483,-23.7,-,4437,-30.3,-
他の交際費,3461,1.7,-,4756,3.7,-
仕送り金,5218,-5,-5,7128,-9.8,-9.8
非消費支出,-,-,-,110896,1.3,-
勤労所得税,-,-,-,18487,-1,-
個人住民税,-,-,-,20239,2,-
他の税,-,-,-,7429,6.4,-
社会保険料,-,-,-,64672,1.2,-
実支出以外の支払(繰越金を除く),-,-,-,655349,6.6,-
預貯金,-,-,-,500656,3.7,-
可処分所得,-,-,-,498639,4.6,4.6
黒字,-,-,-,192828,26.2,-
金融資産純増,-,-,-,178194,18.2,-
貯蓄純増,-,-,-,175525,17.2,-
預貯金純増,-,-,-,157186,19.1,-
保険純増,-,-,-,18339,3.2,-
有価証券純購入,-,-,-,2669,161.7,-
土地家屋借金純減,-,-,-,33780,2.9,-
クレジット購入借入金純減,-,-,-,-11273,-,-
平均消費性向（％）,-,-,-,61.3,-,-
貯蓄純増(平均貯蓄率) （％）　　　　,-,-,-,35.2,-,-
エンゲル係数（％）,27.5,-,-,26,-,-
,,,,,,
東京都生計分析調査　令和２年,,,,,,
参考表１　１世帯当たり年平均１か月間の収入と支出－全国,,,,,,
注1） 内訳は主要項目を掲げたため、内訳を足し上げても必ずしも合計とは一致しない。,,,,,,
注2） 「その他の消費支出」、「こづかい（使途不明）」、「交際費」及び「仕送り金」は、消費者物価指数（持家の帰属家賃を除く総合）を用いて実質化している。,,,,,,
注3） 令和２年平均,,,,,,
資料）総務省統計局 「家計調査」,,,,,,
