産業分類階層,産業コード,産業細分類,事業所数,従業者数（送出者を除く）／総数（人）,従業者数（送出者を除く）／うち男（人）,常用労働者／総数（人）,常用労働者／うち男（人）,個人業主及び無給家族従業者（人）,現金給与総額（万円）,原材料使用額等（万円）,製造品出荷額等／総額（万円）,製造品出荷額等／製造品出荷額（万円）,製造品出荷額等／加工賃収入額（万円）,製造品出荷額等／修理料収入額（万円）,製造品出荷額等／くず・廃物出荷額（万円）,製造品出荷額等／その他の収入額（万円）,付加価値額（29人以下は粗付加価値額）（万円）,粗付加価値額（万円）,有形固定資産額（30人以上）／年初現在高（万円）,有形固定資産額（30人以上）／取得額（万円）,有形固定資産額（30人以上）／除却額（万円）,有形固定資産額（30人以上）／減価償却額（万円）
2,1160,外衣・シャツ製造業（和式を除く）,163,1676,594,1665,583,19,479014,1424935,2510524,1719112,594876,138,-,196398,1002896,1005707,84746,2185,-,3337
3,1161,織物製成人男子・少年服製造業（不織布製及びレース製を含む）,12,102,64,102,64,-,32822,96537,150526,83536,59070,-,-,7920,49998,49998,-,-,-,-
3,1162,織物製成人女子・少女服製造業（不織布製及びレース製を含む）,60,667,159,660,150,13,160374,236994,547520,245637,291469,138,-,10276,286569,287660,23453,94,-,1694
3,1163,織物製乳幼児服製造業（不織布製及びレース製を含む）,1,22,5,22,5,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,1164,織物製シャツ製造業（不織布製及びレース製を含み、下着を除く）,6,44,19,44,19,-,11881,20430,31005,15736,15269,-,-,-,9792,9792,-,-,-,-
3,1165,織物製事務用・作業用・衛生用・スポーツ用衣服・学校服製造業（不織布製及びレース製を含む）,10,95,49,95,49,-,38191,77267,134689,86534,2244,-,-,45911,53169,53169,-,-,-,-
3,1166,ニット製外衣製造業（アウターシャツ類、セーター類などを除く）,5,57,22,56,21,1,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,1167,ニット製アウターシャツ類製造業,52,532,198,529,197,5,165338,788837,1295479,1058666,105396,-,-,131417,467760,469480,61293,2091,-,1643
3,1168,セーター類製造業,10,91,42,91,42,-,20009,61464,102205,95189,7016,-,-,-,37724,37724,-,-,-,-
3,1169,その他の外衣・シャツ製造業,7,66,36,66,36,-,23754,33112,88665,66247,21544,-,-,874,51438,51438,-,-,-,-
2,1170,下着類製造業,3,20,4,20,4,-,3952,7093,12428,10308,2120,-,-,-,4940,4940,-,-,-,-
3,1171,織物製下着製造業,1,7,2,7,2,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,1172,ニット製下着製造業,2,13,2,13,2,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
2,1180,和装製品・その他の衣服・繊維製身の回り品製造業,68,672,243,666,238,6,170838,319386,668748,392457,262329,239,-,13723,325709,327382,45240,46680,-,2453
3,1181,和装製品製造業（足袋を含む）,25,296,106,295,105,1,77664,153021,331795,138171,184737,-,-,8887,167588,169261,45240,46680,-,2453
3,1182,ネクタイ製造業,7,73,27,73,27,-,16952,31310,63949,42063,21520,-,-,366,30221,30221,-,-,-,-
3,1183,スカーフ・マフラー・ハンカチーフ製造業,3,25,4,25,4,-,4192,2900,9750,1800,7950,-,-,-,6343,6343,-,-,-,-
3,1184,靴下製造業,3,15,6,15,6,-,2558,7075,10731,9931,800,-,-,-,3386,3386,-,-,-,-
3,1186,帽子製造業（帽体を含む）,16,135,63,134,62,1,40983,95703,180105,161970,13665,-,-,4470,78320,78320,-,-,-,-
3,1189,他に分類されない衣服・繊維製身の回り品製造業,14,128,37,124,34,4,28489,29377,72418,38522,33657,239,-,-,39851,39851,-,-,-,-
2,1190,その他の繊維製品製造業,121,1583,589,1572,581,11,439311,654864,1438263,938577,434157,944,-,64585,724884,725968,382497,8816,428,12076
3,1191,寝具製造業,6,116,33,116,33,-,27036,27654,48759,39604,4126,-,-,5029,19436,19756,60672,2888,57,320
3,1193,じゅうたん・その他の繊維製床敷物製造業,1,6,4,6,4,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,1194,帆布製品製造業,20,130,82,127,80,3,42522,49599,118103,108899,6408,46,-,2750,63430,63430,-,-,-,-
3,1195,繊維製袋製造業,5,54,12,53,11,1,9349,15199,54560,25308,8499,-,-,20753,36447,36447,-,-,-,-
3,1196,刺しゅう業,35,289,105,287,103,2,77126,119723,285248,98389,179991,208,-,6660,153283,153283,-,-,-,-
3,1197,タオル製造業,1,161,45,161,45,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
3,1198,繊維製衛生材料製造業,4,186,78,186,78,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
3,1199,他に分類されない繊維製品製造業,49,641,230,636,227,5,182817,232951,638403,373187,235133,690,-,29393,374142,375423,32368,26,-,1746
1,1200,木材・木製品製造業（家具を除く）,59,588,452,587,451,1,217553,410782,848691,774000,46633,x,x,x,403739,405461,x,-,-,x
2,1210,製材業、木製品製造業,22,188,147,187,146,1,64246,131101,265799,235282,21857,-,-,8660,124719,124719,-,-,-,-
3,1211,一般製材業,19,162,128,161,127,1,57573,103608,227329,x,x,-,-,8660,114555,114555,-,-,-,-
3,1212,単板（ベニヤ）製造業,1,5,3,5,3,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,1213,木材チップ製造業,1,8,7,8,7,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,1219,その他の特殊製材業,1,13,9,13,9,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
2,1220,造作材・合板・建築用組立材料製造業,13,164,136,164,136,-,73156,140228,268364,237095,18996,-,x,x,116913,118635,x,-,-,x
3,1221,造作材製造業（建具を除く）,9,145,123,145,123,-,67866,127441,240791,212949,15569,-,-,12273,103222,104944,14929,-,-,1722
3,1222,合板製造業,2,9,6,9,6,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,1223,集成材製造業,1,5,4,5,4,-,x,x,x,x,x,-,x,x,x,x,x,-,-,x
3,1227,銘木製造業,1,5,3,5,3,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
2,1230,木製容器製造業（竹、とうを含む）,9,100,65,100,65,-,28592,80539,162441,156253,1080,x,-,x,75835,75835,-,-,-,-
3,1232,木箱製造業,9,100,65,100,65,-,28592,80539,162441,156253,1080,x,-,x,75835,75835,-,-,-,-
2,1290,その他の木製品製造業(竹、とうを含む),15,136,104,136,104,-,51559,58914,152087,145370,4700,-,-,2017,86272,86272,-,-,-,-
3,1299,他に分類されない木製品製造業(竹、とうを含む),15,136,104,136,104,-,51559,58914,152087,145370,4700,-,-,2017,86272,86272,-,-,-,-
1,1300,家具・装備品製造業,235,3439,2550,3505,2598,21,1604109,7009332,10951367,9938043,307063,155064,27,551170,4320056,4066799,2207494,245771,73422,184078
2,1310,家具製造業,135,2469,1881,2539,1932,17,1229444,6158672,9142063,8251549,239752,150627,27,500108,3435899,3178915,2041709,242155,71638,179351
3,1311,木製家具製造業（漆塗りを除く）,107,994,766,977,754,17,378907,874662,1681008,1310881,85032,7462,18,277615,736338,746774,217161,1339,3361,7070
3,1312,金属製家具製造業,27,1405,1059,1492,1122,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x
3,1313,マットレス・組スプリング製造業,1,70,56,70,56,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,1320,宗教用具製造業,9,53,35,52,34,1,18083,27906,58176,49226,5164,-,-,3786,28027,28027,-,-,-,-
3,1321,宗教用具製造業,9,53,35,52,34,1,18083,27906,58176,49226,5164,-,-,3786,28027,28027,-,-,-,-
2,1330,建具製造業,31,197,139,197,139,-,62899,162981,305046,275670,26697,330,-,2349,131544,131544,-,-,-,-
3,1331,建具製造業,31,197,139,197,139,-,62899,162981,305046,275670,26697,330,-,2349,131544,131544,-,-,-,-
2,1390,その他の家具・装備品製造業,60,720,495,717,493,3,293683,659773,1446082,1361598,35450,4107,-,44927,724586,728313,165785,3616,1784,4727
3,1391,事務所用・店舗用装備品製造業,38,517,371,514,369,3,224842,542608,1151542,1113925,8136,155,-,29326,560348,564075,165785,3616,1784,4727
3,1392,窓用・扉用日よけ、日本びょうぶ等製造業,4,33,10,33,10,-,7826,7092,19488,17788,1700,-,-,-,11479,11479,-,-,-,-
3,1393,鏡縁・額縁製造業,11,83,50,83,50,-,29853,43969,100483,67361,14734,3952,-,14436,52328,52328,-,-,-,-
3,1399,他に分類されない家具・装備品製造業,7,87,64,87,64,-,31162,66104,174569,162524,10880,-,-,1165,100431,100431,-,-,-,-
1,1400,パルプ・紙・紙加工品製造業,428,6231,4096,6234,4107,28,2384880,8436802,13520532,10113218,1050048,15228,6838,2335200,4501937,4746654,x,x,24861,x
2,1410,パルプ製造業,2,31,14,31,14,-,x,x,x,x,x,-,-,x,x,x,-,-,-,-
3,1411,パルプ製造業,2,31,14,31,14,-,x,x,x,x,x,-,-,x,x,x,-,-,-,-
2,1420,紙製造業,5,192,147,209,162,-,105673,860681,1372220,1120583,x,-,-,x,389081,478829,x,x,5324,x
3,1421,洋紙・機械すき和紙製造業,1,66,46,66,46,-,x,x,x,x,x,-,-,x,x,x,x,x,-,x
3,1422,板紙製造業,4,126,101,143,116,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
2,1430,加工紙製造業,10,340,276,340,276,-,185079,578157,1004302,922407,26650,-,106,55139,374669,396055,65177,51921,725,18437
3,1431,塗工紙製造業（印刷用紙を除く）,8,305,261,305,261,-,x,x,x,x,x,-,x,x,x,x,x,x,x,x
3,1432,段ボール製造業,2,35,15,35,15,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
2,1440,紙製品製造業,111,1779,1111,1775,1107,4,686156,1911570,3324522,2482232,297554,15228,604,528904,1266392,1316220,898498,133325,3404,47822
3,1441,事務用・学用紙製品製造業,51,1037,682,1035,680,2,416273,1460760,2340812,1650163,187617,-,407,502625,782565,820925,620076,116846,175,35751
3,1442,日用紙製品製造業,12,134,52,134,52,-,38650,41247,106365,102854,3501,-,-,10,60293,60293,-,-,-,-
3,1449,その他の紙製品製造業,48,608,377,606,375,2,231233,409563,877345,729215,106436,15228,197,26269,423534,435002,278422,16479,3229,12071
2,1450,紙製容器製造業,235,3101,2018,3088,2011,17,1101692,4310862,6470207,4702066,379427,-,287,1388427,1937997,2008898,796898,123470,15225,65408
3,1451,重包装紙袋製造業,1,42,17,42,17,-,x,x,x,x,-,-,x,x,x,x,x,x,-,x
3,1452,角底紙袋製造業,7,91,65,91,65,-,x,x,x,x,x,-,x,x,x,x,x,x,-,x
3,1453,段ボール箱製造業,84,1280,950,1281,951,1,512972,2490870,3383648,2297365,43542,-,147,1042594,794242,831763,409597,73133,12184,36882
3,1454,紙器製造業,143,1688,986,1674,978,16,544434,1672747,2843062,2198101,318010,-,75,326876,1056685,1087979,374249,49869,3041,26862
2,1490,その他のパルプ・紙・紙加工品製造業,65,788,530,791,537,7,x,x,x,x,x,-,5841,175272,x,x,384640,18880,183,13412
3,1499,その他のパルプ・紙・紙加工品製造業,65,788,530,791,537,7,x,x,x,x,x,-,x,x,x,x,x,x,x,x
1,1500,印刷・同関連業,1890,42450,30725,42872,31080,34,19936483,35067760,77385977,61227019,14791140,546,37051,1330221,37130970,39329121,27514825,2289986,896754,1907105
2,1510,印刷業,1296,29995,21749,30370,22073,14,14098344,29715177,62277556,53246705,7797269,486,20771,1212325,28370752,30261773,23042144,1778762,742747,1601372
3,1511,オフセット印刷業（紙に対するもの）,1023,24322,18105,24704,18436,7,11424710,26120622,53457493,45739036,6868060,486,20684,829227,23885180,25392866,14254614,1391704,729111,1182720
3,1512,オフセット印刷以外の印刷業（紙に対するもの）,111,3175,2317,3173,2315,2,1723682,1805740,5125506,4741250,231562,-,-,152694,2817181,3096988,7747095,288991,10384,359960
3,1513,紙以外の印刷業,162,2498,1327,2493,1322,5,949952,1788815,3694557,2766419,697647,-,87,230404,1668391,1771919,1040435,98067,3252,58692
2,1520,製版業,165,6288,4847,6349,4889,-,3381259,3184402,8616177,7951006,565496,-,4773,94902,4843520,5054585,1464932,392167,87693,195416
3,1521,製版業,165,6288,4847,6349,4889,-,3381259,3184402,8616177,7951006,565496,-,4773,94902,4843520,5054585,1464932,392167,87693,195416
2,1530,製本業、印刷物加工業,406,4963,3476,4950,3466,19,1800773,1677307,4994497,23147,4943417,x,x,16555,3014283,3078910,1360773,97828,332,72804
3,1531,製本業,239,3426,2468,3417,2462,13,1262604,1140095,3464595,6890,3441829,x,x,6397,2096335,2159536,1252531,97272,332,71559
3,1532,印刷物加工業,167,1537,1008,1533,1004,6,538169,537212,1529902,16257,1501588,-,1899,10158,917948,919374,108242,556,-,1245
2,1590,印刷関連サービス業,23,1204,653,1203,652,1,656107,490874,1497747,6161,1484958,x,x,6439,902415,933853,1646976,21229,65982,37513
3,1591,印刷関連サービス業,23,1204,653,1203,652,1,656107,490874,1497747,6161,1484958,x,x,6439,902415,933853,1646976,21229,65982,37513
1,1600,化学工業,200,10696,6522,10871,6679,2,5909617,18435919,37571432,33778176,510933,21363,2,3260958,16834769,17961396,13852497,1152013,180714,1049927
2,1610,化学肥料製造業,1,4,3,4,3,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,1612,複合肥料製造業,1,4,3,4,3,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
2,1620,無機化学工業製品製造業,25,427,332,430,335,-,x,x,x,x,x,21363,-,68649,x,x,144926,26487,190,22867
3,1621,ソーダ工業,1,61,45,61,45,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
3,1622,無機顔料製造業,3,34,28,34,28,-,19741,42722,79280,72805,1427,-,-,5048,33850,33850,x,x,x,x
3,1623,圧縮ガス・液化ガス製造業,6,79,68,79,68,-,38018,99631,222511,172786,-,21363,-,28362,114018,114018,-,-,-,-
3,1624,塩製造業,5,51,23,51,23,-,11964,31032,48672,30113,-,-,-,18559,16386,16386,-,-,-,-
3,1629,その他の無機化学工業製品製造業,10,202,168,205,171,-,116220,1784289,2206300,2175971,13649,-,-,16680,375703,396329,92757,21808,29,14526
2,1630,有機化学工業製品製造業,11,339,270,338,269,1,203343,579678,946704,762826,134109,-,-,49769,326050,340265,48327,3992,244,10167
3,1634,環式中間物・合成染料・有機顔料製造業,7,168,136,168,136,-,85409,176298,339943,233598,82523,-,-,23822,151524,151524,-,-,-,-
3,1635,プラスチック製造業,2,29,26,28,25,1,x,x,x,x,x,-,-,x,x,x,x,x,x,x
3,1639,その他の有機化学工業製品製造業,2,142,108,142,108,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
2,1640,油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,42,1562,1113,1684,1230,-,761573,2105850,3713332,3465411,19643,-,2,228276,1422380,1501833,848070,63221,5356,75989
3,1641,脂肪酸・硬化油・グリセリン製造業,1,8,8,8,8,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
3,1642,石けん・合成洗剤製造業,8,224,100,224,100,-,90244,168788,334336,322887,8029,-,-,3420,140881,154093,167309,5367,774,11674
3,1644,塗料製造業,13,545,452,648,551,-,338751,940963,1874559,1680899,-,-,2,193658,837718,874068,441680,24023,1064,33027
3,1645,印刷インキ製造業,7,555,414,574,432,-,258838,785462,1150157,1143460,3281,-,-,3416,314736,340527,146083,32635,437,29299
