産業分類階層,産業コード,産業小分類,事業所数,生産額（万円）,在庫額／製造品／年初（万円）,在庫額／製造品／年末（万円）,在庫額／半製品及び仕掛品／年初（万円）,在庫額／半製品及び仕掛品／年末（万円）,在庫額／原材料及び燃料／年初（万円）,在庫額／原材料及び燃料／年末（万円）,有形固定資産額／年初現在高／土地（万円）,有形固定資産額／年初現在高／土地以外（万円）,有形固定資産額／取得額／土地（万円）,有形固定資産額／取得額／土地以外／計（万円）,有形固定資産額／取得額／土地以外／建物等（万円）,有形固定資産額／取得額／土地以外／機械等（万円）,有形固定資産額／取得額／土地以外／備品等（万円）,有形固定資産額／除却額／土地（万円）,有形固定資産額／除却額／土地以外（万円）,有形固定資産額／減価償却額（万円）,有形固定資産額／建設仮勘定／増（万円）,有形固定資産額／建設仮勘定／減（万円）,有形固定資産額／建設仮勘定／差引増減（万円）,有形固定資産額／投資総額（万円）
2,103,茶・コーヒー製造業（清涼飲料を除く）,1,x,x,x,-,-,x,x,x,x,-,x,x,x,-,x,-,x,x,x,x,x
1,110,繊維工業,16,1072205,59439,63411,31957,37450,73820,73332,359680,193872,5145,69866,57873,4611,7382,210,218,22464,20773,26600,-5827,69184
2,114,染色整理業,1,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,115,綱・網・レース・繊維粗製品製造業,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,-,x,x,x,x,x
2,116,外衣・シャツ製造業（和式を除く）,4,349933,9630,9916,3463,3703,12098,13568,52879,31867,2005,180,-,180,-,-,-,3337,-,-,-,2185
2,118,和装製品・その他の衣服・繊維製身の回り品製造業,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-,-,x,x,x,x,x
2,119,その他の繊維製品製造業,7,504777,20946,26594,26578,31922,46503,45441,254299,128198,-,8816,3799,1779,3238,210,218,12076,-,-,-,8816
1,120,木材・木製品製造業（家具を除く）,1,x,-,-,-,-,x,x,x,x,-,-,-,-,-,-,-,x,-,-,-,-
2,122,造作材・合板・建築用組立材料製造業,1,x,-,-,-,-,x,x,x,x,-,-,-,-,-,-,-,x,-,-,-,-
1,130,家具・装備品製造業,15,8261947,110639,91913,1519187,1975248,1315886,1336205,848957,1358537,-,245771,58197,81662,105912,-,73422,184078,32655,44225,-11570,234201
2,131,家具製造業,11,7800114,110601,91846,1508296,1963386,1311073,1331662,719707,1322002,-,242155,56797,79767,105591,-,71638,179351,32655,44225,-11570,230585
2,139,その他の家具・装備品製造業,4,461833,38,67,10891,11862,4813,4543,129250,36535,-,3616,1400,1895,321,-,1784,4727,-,-,-,3616
1,140,パルプ・紙・紙加工品製造業,34,5835617,292642,277028,70324,69458,178765,179518,886235,1924107,9744,398359,128931,252950,16478,332,24529,228237,x,x,x,x
2,142,紙製造業,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,143,加工紙製造業,3,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,144,紙製品製造業,11,1524915,34822,32462,9863,10217,49455,50129,280830,617668,9744,123581,92610,23377,7594,-,3404,47822,35777,63037,-27260,106065
2,145,紙製容器製造業,12,1943901,81849,80891,35457,30922,31821,30657,276867,520031,-,123470,3041,117341,3088,332,14893,65408,52970,64788,-11818,111652
2,149,その他のパルプ・紙・紙加工品製造業,6,423792,8274,8258,922,1496,21731,27014,235191,149449,-,18880,5591,11591,1698,-,183,13412,-,-,-,18880
1,150,印刷・同関連業,276,52403037,543557,495331,1346381,1103561,367642,341309,14653917,12860908,321054,1968932,549396,1222263,197273,589704,307050,1907105,576313,644194,-67881,2222105
2,151,印刷業,206,42598414,489035,449354,1216606,966638,323658,297953,12239304,10802840,314545,1464217,442111,867458,154648,459933,282814,1601372,421647,408100,13547,1792309
2,152,製版業,39,6729217,54275,45977,81733,74382,29468,30761,573259,891673,6509,385658,81746,274316,29596,82056,5637,195416,154127,235322,-81195,310972
2,153,製本業、印刷物加工業,27,1800000,44,-,15702,23923,14263,12310,714334,646439,-,97828,19150,72752,5926,-,332,72804,442,501,-59,97769
2,159,印刷関連サービス業,4,1275406,203,-,32340,38618,253,285,1127020,519956,-,21229,6389,7737,7103,47715,18267,37513,97,271,-174,21055
1,160,化学工業,59,28728547,1145439,1122070,1359423,1306092,1448351,1400982,4442186,9410311,16077,1135936,417623,451639,266674,1429,179285,1049927,694046,639985,54061,1206074
2,162,無機化学工業製品製造業,3,606671,17931,18459,51829,45761,127855,88357,64056,80870,-,26487,3599,17812,5076,-,190,22867,-,-,-,26487
2,163,有機化学工業製品製造業,3,583453,36526,33671,3815,2622,20647,21547,9433,38894,-,3992,220,518,3254,-,244,10167,993,264,729,4721
2,164,油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,10,2383006,73650,70035,57146,57297,91179,81230,237426,610644,-,63221,18444,25384,19393,-,5356,75989,53047,57832,-4785,58436
2,165,医薬品製造業,19,8486024,495008,422033,1018925,980750,675225,694121,825787,5452281,9763,432693,167372,164147,101174,645,77934,447120,245746,286325,-40579,401877
2,166,化粧品・歯磨・その他の化粧用調整品製造業,14,11825822,149171,162258,89231,85152,248209,262848,425137,1119784,-,186071,38451,74197,73423,784,11699,197222,199485,102486,96999,283070
2,169,その他の化学工業,10,4843571,373153,415614,138477,134510,285236,252879,2880347,2107838,6314,423472,189537,169581,64354,-,83862,296562,194775,193078,1697,431483
1,170,石油製品・石炭製品製造業,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
2,172,潤滑油・グリース製造業（石油精製業によらないもの）,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
1,180,プラスチック製品製造業（別掲を除く）,39,3164404,138855,141625,73790,83581,65727,63745,638626,707510,-,125458,40534,54393,30531,120,49158,105487,21325,23221,-1896,123562
2,181,プラスチック板・棒・管・継手・異形押出製品製造業,5,487576,66323,64281,9897,15023,14553,15580,76400,137713,-,11644,878,7943,2823,120,28447,19152,6810,747,6063,17707
2,182,プラスチックフィルム・シート・床材・合成皮革製造業,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
2,183,工業用プラスチック製品製造業,12,833190,17146,17258,14088,10832,21526,19064,174668,153250,-,40506,13011,13909,13586,-,2376,27783,8081,8368,-287,40219
2,184,発泡・強化プラスチック製品製造業,3,244425,9520,9382,30847,39245,6174,4627,2586,55518,-,5745,1001,2808,1936,-,10504,9810,6,-,6,5751
2,185,プラスチック成形材料製造業（廃プラスチックを含む）,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
2,189,その他のプラスチック製品製造業,15,1137845,25523,31452,15706,16132,13791,13213,276206,297269,-,65090,24799,28314,11977,-,7810,39499,6428,14106,-7678,57412
1,190,ゴム製品製造業,11,1647223,63465,142097,51638,38595,46484,24490,575524,967868,40619,143849,11807,117395,14647,4496,8687,142721,x,x,x,x
2,191,タイヤ・チューブ製造業,1,x,-,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,192,ゴム製・プラスチック製履物・同附属品製造業,1,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,x,-,-,-,-
2,193,ゴムベルト・ゴムホース・工業用ゴム製品製造業,7,745436,27603,25182,9115,10476,13389,15049,462176,271202,40619,41639,6293,30322,5024,4496,6217,42445,-,-,-,82258
2,199,その他のゴム製品製造業,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
1,200,なめし革・同製品・毛皮製造業,21,2379982,183284,184447,78802,74522,108504,109961,298637,197124,17696,103700,91782,6097,5821,1317,5054,42319,52842,-,52842,174238
2,204,革製履物製造業,11,1137108,101530,92288,47124,44881,66761,60356,165145,103821,14301,99159,90976,5051,3132,1317,4624,31644,-,-,-,113460
2,206,かばん製造業,3,661877,63559,69264,13526,14173,19868,24401,39987,51362,-,1723,200,-,1523,-,-,5187,432,-,432,2155
2,207,袋物製造業,4,412200,13728,15211,16832,13929,9291,11726,84300,14970,3395,1137,195,48,894,-,322,1645,52410,-,52410,56942
2,209,その他のなめし革製品製造業,3,168797,4467,7684,1320,1539,12584,13478,9205,26971,-,1681,411,998,272,-,108,3843,-,-,-,1681
1,210,窯業・土石製品製造業,23,5950270,472251,485852,110024,104571,195255,190003,1555852,1968880,22315,320686,35751,220329,64606,3397,25240,188037,223106,237915,-14809,328192
2,211,ガラス・同製品製造業,10,3407025,282431,280233,109080,103220,71462,65115,485704,1439407,21263,236678,27842,177151,31685,3316,24967,113676,207552,219492,-11940,246001
2,212,セメント・同製品製造業,9,1872810,60469,74536,-,-,14574,15326,634563,176691,32,26313,1278,4307,20728,-,58,47789,755,-,755,27100
2,217,研磨材・同製品製造業,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,-,x,x,x,-,x
2,219,その他の窯業・土石製品製造業,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
1,220,鉄鋼業,16,9565949,453448,401541,609315,573423,228096,216673,1700027,2585171,-,377677,47800,251174,78703,5716,86293,438365,x,x,x,x
2,222,製鋼・製鋼圧延業,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,223,製鋼を行わない鋼材製造業（表面処理鋼材を除く）,6,6235715,329189,313361,522601,497264,147596,145197,1312953,1915747,-,253750,42240,193467,18043,5716,75670,286661,202929,196289,6640,260390
2,225,鉄素形材製造業,4,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
2,229,その他の鉄鋼業,5,1420360,50730,37026,25803,20641,48847,35535,48275,47256,-,11126,90,10134,902,-,-,8942,-,-,-,11126
1,230,非鉄金属製造業,17,4521213,322836,285677,285819,334417,193985,201505,685716,514702,6834,136751,42989,79743,14019,-,14753,86741,26983,18409,8574,152159
2,232,非鉄金属第２次製錬・精製業（非鉄金属合金製造業を含む）,4,2130949,244840,203856,198579,180246,77822,111125,339615,95592,-,4474,546,620,3308,-,2312,16340,-,-,-,4474
2,233,非鉄金属・同合金圧延業（抽伸、押出しを含む）,4,1261472,31139,33444,36311,109952,18059,18700,235944,273335,-,91112,28335,55849,6928,-,4860,41456,10049,18409,-8360,82752
2,234,電線・ケーブル製造業,4,394737,18030,14185,9199,12713,14009,12530,37773,38531,-,3093,1019,1015,1059,-,-,4001,-,-,-,3093
2,235,非鉄金属素形材製造業,5,734055,28827,34192,41730,31506,84095,59150,72384,107244,6834,38072,13089,22259,2724,-,7581,24944,16934,-,16934,61840
1,240,金属製品製造業,85,9191588,446961,452199,316863,350291,303193,342872,2109444,2036004,89875,321179,87008,194412,39759,23550,12515,311035,122870,68734,54136,465190
2,241,ブリキ缶・その他のめっき板等製品製造業,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,x,x,x
2,242,洋食器・刃物・手道具・金物類製造業,8,967569,102583,108297,68165,67969,22622,18983,300358,414761,-,11659,422,10410,827,-,6312,31693,-,-,-,11659
2,243,暖房・調理等装置、配管工事用附属品製造業,5,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,244,建設用・建築用金属製品製造業（製缶板金業を含む),8,819219,59424,45289,22764,26778,56371,58251,255550,73894,-,4656,1944,1209,1503,-,368,7475,216,-,216,4872
2,245,金属素形材製品製造業,10,1284589,102998,90087,51984,61938,12771,13290,270662,200763,8286,40219,7030,21314,11875,-,679,52249,-,-,-,48505
2,246,金属被覆・彫刻業、熱処理業（ほうろう鉄器を除く）,41,3691621,75331,67369,59687,88176,97635,134522,1027036,1008389,77717,197251,44367,132426,20458,23472,1769,173142,27485,29369,-1884,273084
2,248,ボルト・ナット・リベット・小ねじ・木ねじ等製造業,6,841484,44894,59157,23466,25687,16482,19323,105240,98649,2396,20708,10308,10202,198,-,377,9355,52489,-,52489,75593
2,249,その他の金属製品製造業,5,764494,20986,23603,54961,50718,42754,40481,87895,120312,1476,28476,20627,4997,2852,78,2327,18923,37150,28947,8203,38155
1,250,はん用機械器具製造業,48,10834436,220477,258504,930542,995962,425243,561345,1496878,2169501,34846,488492,172378,272503,43611,12969,32170,279394,165671,170485,-4814,518524
2,252,ポンプ・圧縮機器製造業,13,3675767,102757,152287,43228,140955,97077,226487,160142,592853,459,170648,51374,100981,18293,12933,8868,66603,3515,1296,2219,173326
2,253,一般産業用機械・装置製造業,11,3562412,72832,53364,470670,464925,90880,103699,852275,742813,34350,106776,44043,54501,8232,-,17052,70606,61339,28921,32418,173544
2,259,その他のはん用機械・同部分品製造業,24,3596257,44888,52853,416644,390082,237286,231159,484461,833835,37,211068,76961,117021,17086,36,6250,142185,100817,140268,-39451,171654
1,260,生産用機械器具製造業,103,20886512,740205,616021,2063744,2262319,1016897,1023137,3741422,4531440,373579,4532803,2427928,1609351,495524,202044,109478,786607,436062,539924,-103862,4802520
2,261,農業用機械製造業（農業用器具を除く）,1,x,x,x,x,x,x,x,x,x,-,x,-,x,x,-,x,x,x,-,x,x
2,262,建設機械・鉱山機械製造業,10,1121747,84135,57635,90190,51326,35839,32038,216840,197813,-,33241,3476,26401,3364,7867,10099,29156,-,-,-,33241
2,263,繊維機械製造業,1,x,-,-,x,x,x,x,x,x,-,-,-,-,-,-,-,x,-,-,-,-
2,264,生活関連産業用機械製造業,11,1620428,68315,66943,99735,137937,71260,77448,298049,282396,500,142968,111924,27671,3373,28045,5250,20909,13770,15187,-1417,142051
2,265,基礎素材産業用機械製造業,8,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x,x,x,x,x,x
2,266,金属加工機械製造業,22,2915834,153609,136746,371028,442525,105084,98460,746485,865882,59795,461800,161139,172884,127777,21880,4197,230588,-,1028,-1028,520567
2,267,半導体・フラットパネルディスプレイ製造装置製造業,22,9028132,254453,193827,1143885,1188560,322870,330979,1137526,1431678,277068,1298235,762192,228195,307848,8276,62445,214214,411183,512966,-101783,1473520
2,269,その他の生産用機械・同部分品製造業,28,4443855,152455,142594,242643,323491,400169,403240,1008772,1431927,36216,2550749,1386886,1119584,44279,103436,24518,249256,1141,1722,-581,2586384
1,270,業務用機械器具製造業,90,21055373,1836579,2301486,1820199,1976342,2474802,2146431,2858213,3568678,14120,634283,127035,173537,333711,-,342165,430909,68954,75199,-6245,642158
2,271,事務用機械器具製造業,6,2335190,254182,263089,10737,11199,437201,389668,73658,157115,-,73444,576,1572,71296,-,802,11091,-,-,-,73444
2,272,サービス用・娯楽用機械器具製造業,7,2161129,22088,840327,28760,28895,780457,631385,638282,823751,-,148570,22226,11189,115155,-,1825,72675,16721,31492,-14771,133799
2,273,計量器・測定器・分析機器・試験機・測量機械器具・理化学機械器具製造業,53,12625343,1459001,1134740,1212993,1310657,1080272,951483,1580579,2085887,14120,328675,78986,122219,127470,-,333830,298354,43301,34417,8884,351679
2,274,医療用機械器具・医療用品製造業,17,2519535,54987,16813,450318,497748,98051,101457,498610,445110,-,35295,21851,5556,7888,-,4212,29086,-,-,-,35295
2,275,光学機械器具・レンズ製造業,6,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,276,武器製造業,1,x,-,x,x,x,-,-,-,x,-,x,x,x,-,-,x,x,x,x,-,x
1,280,電子部品・デバイス・電子回路製造業,57,27256630,831922,838448,1373573,1337744,1002805,1111439,1319823,6399042,105641,3665312,645285,2298173,721854,937,74080,2214118,3381787,3404663,-22876,3748077
2,281,電子デバイス製造業,3,623457,18826,20451,33760,41094,60242,67589,64953,104818,-,207359,7904,198541,914,-,79,12755,240186,198431,41755,249114
2,282,電子部品製造業,13,14980409,330855,259880,385291,453478,191018,252530,233991,3006536,18388,1945587,138479,1204006,603102,752,46230,1325093,1752118,1843420,-91302,1872673
2,284,電子回路製造業,21,3182110,107755,104894,389450,317429,199263,197141,276506,362730,-,100882,53004,35258,12620,185,10954,73476,44,1869,-1825,99057
2,285,ユニット部品製造業,3,264736,42414,40501,8702,14650,31055,32723,157373,28070,-,1350,-,799,551,-,50,4242,-,-,-,1350
2,289,その他の電子部品・デバイス・電子回路製造業,17,8205918,332072,412722,556370,511093,521227,561456,587000,2896888,87253,1410134,445898,859569,104667,-,16767,798552,1389439,1360943,28496,1525883
1,290,電気機械器具製造業,118,58702047,3559096,2686993,12047829,10824882,3330119,3504590,3339327,8970448,8590,2015542,956392,305564,753586,101396,559713,1286985,737673,1355833,-618160,1405972
2,291,発電用・送電用・配電用電気機械器具製造業,49,23205012,1366335,1059481,5182737,4289943,729842,866325,1046532,3116301,8590,400293,176035,68937,155321,77496,16817,585934,300918,359971,-59053,349830
2,292,産業用電気機械器具製造業,15,6618105,11280,10290,1627232,1549124,985001,1169281,173623,252119,-,79775,10403,58899,10473,-,1400,61455,78162,63806,14356,94131
2,293,民生用電気機械器具製造業,3,417443,28475,38885,163,129,3903,4001,81510,60771,-,2493,-,2195,298,-,-,6822,150,-,150,2643
2,294,電球・電気照明器具製造業,6,1137650,81931,55134,24120,23075,79751,75008,144390,217378,-,24294,1808,16271,6215,23900,10324,44826,13877,14685,-808,23486
2,296,電子応用装置製造業,23,20292830,1488528,953758,4378651,4200051,680376,541310,1321502,3634839,-,605753,91622,76964,437167,-,523530,357890,224140,176767,47373,653126
2,297,電気計測器製造業,22,7031007,582547,569445,834926,762560,851246,848665,571770,1689040,-,902934,676524,82298,144112,-,7642,230058,120426,740604,-620178,282756
1,300,情報通信機械器具製造業,31,50447201,715498,632096,3736085,6327769,851327,822642,671964,4735076,x,735419,247018,40406,447995,40085,145843,937142,1227143,686939,540204,x
2,301,通信機械器具・同関連機械器具製造業,15,48029804,581867,525004,3673671,6268718,714562,680506,294721,4342002,28547,700796,237364,37875,425557,40085,142884,885524,1227143,686939,540204,1269547
2,302,映像・音響機械器具製造業,11,2007143,133241,106584,58206,56548,128459,137999,338928,375356,x,33646,9654,2094,21898,-,2924,48236,-,-,-,x
2,303,電子計算機・同附属装置製造業,5,410254,390,508,4208,2503,8306,4137,38315,17718,-,977,-,437,540,-,35,3382,-,-,-,977
1,310,輸送用機械器具製造業,59,176056115,3932522,4630781,15423917,16316181,5199332,4997344,2919612,11483999,1382475,2047299,694798,705165,647336,29082,54180,2082537,1542404,1359087,183317,3613091
2,311,自動車・同附属品製造業,37,121781772,135545,129599,1685594,1496050,461336,507596,783006,6603631,40540,1550932,463681,521439,565812,23845,41747,1503145,1264909,1134868,130041,1721513
2,312,鉄道車両・同部分品製造業,7,742473,3357,3321,12653,16761,22008,19974,100966,190619,-,14678,9496,3565,1617,-,857,12692,3670,3601,69,14747
2,313,船舶製造・修理業、舶用機関製造業,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
2,314,航空機・同附属品製造業,11,52985768,3786160,4489886,13551689,14676052,4679445,4437743,1911256,4574658,1341935,476751,221415,176206,79130,5237,8636,557322,273825,220618,53207,1871893
2,315,産業用運搬車両・同部分品・附属品製造業,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
1,320,その他の製造業,46,9805490,662041,621669,471854,462379,575975,541302,1173826,1739451,1336,278618,115525,84527,78566,42226,35866,236062,45762,39176,6586,286540
2,321,貴金属・宝石製品製造業,4,996259,94339,77139,126380,138199,192570,151965,30971,38214,-,21438,5044,12974,3420,-,204,4693,-,-,-,21438
2,322,装身具・装飾品・ボタン・同関連品製造業（貴金属・宝石製を除く）,3,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
2,323,時計・同部分品製造業,3,413458,23636,20936,59501,54795,36272,35402,32599,59585,309,41491,25712,9620,6159,18,2572,13416,5049,12938,-7889,33911
2,324,楽器製造業,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,-,x,-,-,-,x
2,325,がん具・運動用具製造業,5,3092201,345765,353467,177383,175364,71171,77579,78866,583500,-,105889,26235,27808,51846,-,25403,88731,34332,24142,10190,116079
2,326,ペン・鉛筆・絵画用品・その他の事務用品製造業,3,288510,10287,10634,1304,1558,4589,4153,82576,120503,-,2048,592,876,580,-,2173,4471,-,-,-,2048
2,328,畳等生活雑貨製品製造業,4,367268,37589,27865,12986,1364,5992,5287,32309,34081,-,1955,299,-,1656,-,-,6726,-,-,-,1955
2,329,他に分類されない製造業,22,4284327,106164,87546,76765,79710,127037,130563,739470,783409,1027,102090,57474,31268,13348,42208,5506,112220,6381,2096,4285,107402
,,,,,,,,,,,,,,,,,,,,,,,,
2017東京の工業　平成29年工業統計調査報告（平成28年実績）,,,,,,,,,,,,,,,,,,,,,,,,
第2-1-b表　産業小分類別統計表（従業者30人以上の事業所）,,,,,,,,,,,,,,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類　2：産業小分類）,,,,,,,,,,,,,,,,,,,,,,,,
