産業分類階層,産業コード,産業小分類,事業所数,従業者数（送出者を除く）／総数（人）,従業者数（送出者を除く）／うち男（人）,常用労働者／総数（人）,常用労働者／うち男（人）,個人業主及び無給家族従業者（人）,現金給与総額（万円）,原材料使用額等／総額（万円）,原材料使用額等／うち原材料使用額（万円）,原材料使用額等／うち燃料使用額（万円）,原材料使用額等／うち電力使用額（万円）,原材料使用額等／うち委託生産費（万円）,製造品出荷額等／総額（万円）,製造品出荷額等／製造品出荷額（万円）,製造品出荷額等／加工賃収入額（万円）,製造品出荷額等／修理料収入額（万円）,製造品出荷額等／くず・廃物出荷額（万円）,製造品出荷額等／その他の収入額（万円）,付加価値額（万円）,粗付加価値額（万円）
1,110,繊維工業,16,948,325,948,325,-,275408,602611,376957,5900,9565,206138,1083506,855403,207337,x,x,x,437160,450159
2,114,染色整理業,1,30,19,30,19,-,x,x,x,x,x,-,x,-,x,x,x,x,x,x
2,115,綱・網・レース・繊維粗製品製造業,1,31,12,31,12,-,x,x,x,-,x,x,x,x,x,-,-,x,x,x
2,116,外衣・シャツ製造業（和式を除く）,4,211,45,211,45,-,61469,217063,117586,651,1114,97458,349545,318604,30803,-,-,138,120109,122920
2,118,和装製品・その他の衣服・繊維製身の回り品製造業,3,120,42,120,42,-,x,x,x,x,x,x,x,x,x,-,-,x,x,x
2,119,その他の繊維製品製造業,7,556,207,556,207,-,160210,271754,187941,3690,6975,72219,494612,421790,71995,-,-,827,205842,206926
1,120,木材・木製品製造業（家具を除く）,1,51,42,51,42,-,x,x,x,x,x,-,x,x,-,-,x,-,x,x
2,122,造作材・合板・建築用組立材料製造業,1,51,42,51,42,-,x,x,x,x,x,-,x,x,-,-,x,-,x,x
1,130,家具・装備品製造業,15,1687,1288,1774,1351,-,955215,5806681,1760286,5491,12246,3737964,8376805,7678795,145817,x,x,410042,3049493,2796236
2,131,家具製造業,11,1512,1157,1599,1220,-,882491,5618091,1706541,3493,9649,3610104,7915840,7217962,145817,x,x,409910,2800774,2543790
2,139,その他の家具・装備品製造業,4,175,131,175,131,-,72724,188590,53745,1998,2597,127860,460965,460833,-,-,-,132,248719,252446
1,140,パルプ・紙・紙加工品製造業,34,2154,1557,2174,1575,-,1040524,5533948,3267261,111090,137304,328049,7870882,5707495,144602,15228,5921,1997636,1957863,2202580
2,142,紙製造業,2,146,116,163,131,-,x,x,x,x,x,x,x,x,x,-,-,x,x,x
2,143,加工紙製造業,3,260,226,260,226,-,150290,455972,430553,11729,13641,-,821035,821035,-,-,-,-,318110,339496
2,144,紙製品製造業,11,739,502,739,502,-,337783,1278651,775739,834,13874,115171,2005237,1492423,34498,15228,-,463088,630690,680518
2,145,紙製容器製造業,12,760,528,762,530,-,353369,2553080,1363628,7579,25778,97507,3185068,1949394,-,-,212,1235462,523224,594125
2,149,その他のパルプ・紙・紙加工品製造業,6,249,185,250,186,-,x,x,x,x,x,x,x,x,x,-,x,x,x,x
1,150,印刷・同関連業,276,25903,19086,26326,19449,-,13503648,24292010,7905127,90786,731719,13589658,53674081,44185661,8508422,x,x,948672,25149955,27348106
2,151,印刷業,206,18661,13849,19025,14172,-,9612223,20646410,7318479,80209,622608,10870427,43802135,37718967,5169096,-,18475,895597,19658610,21549631
2,152,製版業,39,4789,3750,4848,3790,-,2758674,2566433,343665,4016,64036,1999118,6801570,6466694,278172,-,4759,51945,3735040,3946105
2,153,製本業、印刷物加工業,27,1450,1003,1450,1003,-,567580,640550,216051,6545,34852,369172,1801045,-,1791823,x,x,1130,1017001,1081628
2,159,印刷関連サービス業,4,1003,484,1003,484,-,565171,438617,26932,16,10223,350941,1269331,-,1269331,-,-,-,739304,770742
1,160,化学工業,59,8757,5295,8919,5439,-,5103273,14779738,11258588,47830,176466,817301,31595246,28399628,405619,-,2,2789997,14683267,15809894
2,162,無機化学工業製品製造業,3,136,110,136,110,-,83142,464831,406023,2905,6512,34436,624623,612211,-,-,-,12412,125466,153873
2,163,有機化学工業製品製造業,3,227,180,227,180,-,146203,356754,318404,1254,3649,8829,613448,455522,131979,-,-,25947,223890,238105
2,164,油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,10,1078,778,1200,895,-,559666,1376640,1193949,5125,21431,82218,2446780,2382539,3931,-,2,60308,924575,1004028
2,165,医薬品製造業,19,2658,1447,2674,1455,-,1576690,3290926,2549910,22686,83780,303272,9029170,8370251,226923,-,-,431996,4818853,5377123
2,166,化粧品・歯磨・その他の化粧用調整品製造業,14,3597,1983,3616,1998,-,2069425,5035305,4091361,2335,22886,282706,12602793,11797594,19220,-,-,785979,6890336,7078550
2,169,その他の化学工業,10,1061,797,1066,801,-,668147,4255282,2698941,13525,38208,105840,6278432,4781511,23566,-,-,1473355,1700147,1958215
1,170,石油製品・石炭製品製造業,2,98,86,98,86,-,x,x,x,x,x,-,x,x,x,-,x,x,x,x
2,172,潤滑油・グリース製造業（石油精製業によらないもの）,2,98,86,98,86,-,x,x,x,x,x,-,x,x,x,-,x,x,x,x
1,180,プラスチック製品製造業（別掲を除く）,39,1982,1262,1994,1273,-,835779,1806931,1044081,11371,63435,302140,3733977,3136843,15000,-,x,x,1707197,1800123
2,181,プラスチック板・棒・管・継手・異形押出製品製造業,5,308,202,311,205,-,133414,240668,179170,931,9861,6204,577043,484492,-,-,x,x,297894,313962
2,182,プラスチックフィルム・シート・床材・合成皮革製造業,2,92,37,92,37,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
2,183,工業用プラスチック製品製造業,12,645,439,654,447,-,281116,487874,232171,1232,20160,80240,1012964,821334,15000,-,-,176630,462612,493539
2,184,発泡・強化プラスチック製品製造業,3,185,130,185,130,-,97575,103496,60557,6472,6375,28779,325409,236165,-,-,-,89244,204236,205786
2,185,プラスチック成形材料製造業（廃プラスチックを含む）,2,81,64,81,64,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
2,189,その他のプラスチック製品製造業,15,671,390,671,390,-,246886,584134,348938,2412,22557,156777,1166601,1131490,-,-,1467,33644,510386,543530
1,190,ゴム製品製造業,11,742,579,742,579,-,471265,851792,658009,27054,39733,78733,1635927,1581634,-,-,-,54293,679961,757093
2,191,タイヤ・チューブ製造業,1,197,193,197,193,-,x,x,x,x,x,-,x,x,-,-,-,-,x,x
2,192,ゴム製・プラスチック製履物・同附属品製造業,1,34,18,34,18,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
2,193,ゴムベルト・ゴムホース・工業用ゴム製品製造業,7,403,297,403,297,-,181568,354359,276434,5318,10209,58996,746496,746496,-,-,-,-,322897,366402
2,199,その他のゴム製品製造業,2,108,71,108,71,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
1,200,なめし革・同製品・毛皮製造業,21,1111,683,1111,683,-,426714,1605553,875040,3169,8673,312377,2895484,2351290,31809,210,-,512175,1161553,1206989
2,204,革製履物製造業,11,556,391,556,391,-,187914,906873,467837,2114,6362,97146,1562581,1148593,-,210,-,413778,571785,614914
2,206,かばん製造業,3,177,112,177,112,-,78953,314426,193563,607,704,104756,655525,655525,-,-,-,-,317492,316327
2,207,袋物製造業,4,229,105,229,105,-,102854,306372,150357,300,624,97105,508909,413620,-,-,-,95289,188615,191680
2,209,その他のなめし革製品製造業,3,149,75,149,75,-,56993,77882,63283,148,983,13370,168469,133552,31809,-,-,3108,83661,84068
1,210,窯業・土石製品製造業,23,1623,1299,1629,1305,-,936131,3106408,1874426,230306,165963,134145,6591386,5820724,x,x,49,649215,3172057,3351946
2,211,ガラス・同製品製造業,10,1039,826,1039,826,-,592683,1554402,785128,116486,119106,113249,3883495,3303488,111595,-,-,468412,2152959,2274693
2,212,セメント・同製品製造業,9,359,302,365,308,-,216890,1101806,872219,27839,12019,20212,1933549,x,x,-,-,74806,738584,772306
2,217,研磨材・同製品製造業,1,34,24,34,24,-,x,x,x,x,x,x,x,x,-,x,-,x,x,x
2,219,その他の窯業・土石製品製造業,3,191,147,191,147,-,x,x,x,x,x,x,x,x,x,-,x,x,x,x
1,220,鉄鋼業,16,1627,1506,1627,1506,-,847219,7112486,5937077,204834,264630,419779,9739501,9134278,519470,-,-,85753,2017586,2543750
2,222,製鋼・製鋼圧延業,1,144,133,144,133,-,x,x,x,x,x,-,x,x,-,-,-,-,x,x
2,223,製鋼を行わない鋼材製造業（表面処理鋼材を除く）,6,932,864,932,864,-,x,x,x,x,x,300704,x,x,x,-,-,x,x,x
2,225,鉄素形材製造業,4,154,139,154,139,-,76579,304462,156971,14240,15570,101696,509530,490108,19422,-,-,-,171011,190031
2,229,その他の鉄鋼業,5,397,370,397,370,-,194738,941783,848899,7649,10514,17379,1501024,1045927,393299,-,-,61798,489845,517653
1,230,非鉄金属製造業,17,1416,1054,1418,1056,-,642200,3091136,2716266,32401,60148,172247,4685662,4447667,62107,-,-,175888,1425302,1500604
2,232,非鉄金属第２次製錬・精製業（非鉄金属合金製造業を含む）,4,532,430,532,430,-,279614,1831478,1720206,12083,11806,34633,2273564,2187953,2313,-,-,83298,345293,420950
2,233,非鉄金属・同合金圧延業（抽伸、押出しを含む）,4,300,229,301,230,-,149184,652738,554898,8627,30763,8230,1271136,1127882,57644,-,-,85610,617134,582644
2,234,電線・ケーブル製造業,4,255,96,255,96,-,70930,239650,194880,235,1447,41328,397218,392918,2150,-,-,2150,141715,146047
2,235,非鉄金属素形材製造業,5,329,299,330,300,-,142472,367270,246282,11456,16132,88056,743744,738914,-,-,-,4830,321160,350963
1,240,金属製品製造業,85,4993,3793,5022,3821,-,2265509,4498017,2643090,73789,159102,1259191,9489116,6294785,2858137,8600,1051,326543,4387802,4660171
2,241,ブリキ缶・その他のめっき板等製品製造業,2,68,60,68,60,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
2,242,洋食器・刃物・手道具・金物類製造業,8,450,317,450,317,-,180575,575568,434349,6399,11083,104889,977989,958169,3882,-,552,15386,347889,374064
2,243,暖房・調理等装置、配管工事用附属品製造業,5,287,229,287,229,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
2,244,建設用・建築用金属製品製造業（製缶板金業を含む),8,382,295,388,300,-,166413,419623,330337,2072,2299,72559,848073,829340,-,8600,-,10133,380201,397797
2,245,金属素形材製品製造業,10,572,421,580,429,-,232087,864562,311406,2748,14924,462012,1331282,1287533,13,-,499,43237,380118,435324
2,246,金属被覆・彫刻業、熱処理業（ほうろう鉄器を除く）,41,2540,1885,2551,1896,-,1191597,1197291,757108,52258,105455,238771,3710084,888140,2782954,-,-,38990,2192509,2345124
2,248,ボルト・ナット・リベット・小ねじ・木ねじ等製造業,6,339,293,339,293,-,142090,487676,306541,3915,10686,136591,859020,753712,71288,-,-,34020,361495,354366
2,249,その他の金属製品製造業,5,355,293,359,297,-,200748,371364,242348,5574,8458,112512,766120,766120,-,-,-,-,347515,368064
1,250,はん用機械器具製造業,48,4293,3536,4319,3560,-,2217397,6544882,4448733,26919,109199,1827869,11614167,10522050,208939,732536,596,150046,4585289,4761236
2,252,ポンプ・圧縮機器製造業,13,1224,945,1224,945,-,544489,1955191,1755713,8194,21187,156128,3540821,3479542,48968,428,142,11741,1573916,1493262
2,253,一般産業用機械・装置製造業,11,1164,967,1179,980,-,617262,2033052,1484927,3465,23865,501182,3656745,3528405,59220,69120,-,-,1423942,1519761
2,259,その他のはん用機械・同部分品製造業,24,1905,1624,1916,1635,-,1055646,2556639,1208093,15260,64147,1170559,4416601,3514103,100751,662988,454,138305,1587431,1748213
1,260,生産用機械器具製造業,103,7357,6083,7440,6164,-,3917666,13397546,9269585,17057,161916,2363350,22945722,20421400,390721,x,x,1874895,8987618,9699834
2,261,農業用機械製造業（農業用器具を除く）,1,63,54,63,54,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
2,262,建設機械・鉱山機械製造業,10,624,515,625,516,-,299078,581226,291721,1887,10158,252922,1208074,1129792,57319,7295,-,13668,498470,592990
2,263,繊維機械製造業,1,35,25,35,25,-,x,x,x,x,x,-,x,x,-,x,x,-,x,x
2,264,生活関連産業用機械製造業,11,584,494,586,496,-,335003,985725,517542,2376,5688,391751,1759522,1583598,-,25550,-,150374,750445,734524
2,265,基礎素材産業用機械製造業,8,547,449,549,451,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
2,266,金属加工機械製造業,22,1514,1216,1530,1231,-,793870,2139409,1323878,3226,35506,214628,3648482,2751531,109669,42339,19,744924,1307999,1483953
2,267,半導体・フラットパネルディスプレイ製造装置製造業,22,2038,1657,2079,1698,-,1166805,5544431,4583553,3933,64045,835137,9097506,8845817,198266,5643,-,47780,3512005,3742170
2,269,その他の生産用機械・同部分品製造業,28,1952,1673,1973,1693,-,987922,2874460,1640757,4351,34413,516676,5267003,4347401,25467,177860,-,716275,2314522,2492791
1,270,業務用機械器具製造業,90,8054,6169,8272,6361,-,4535288,13389217,10670557,9725,83394,1622946,22228987,20310979,123344,398337,-,1396327,8549999,8359858
2,271,事務用機械器具製造業,6,669,546,679,554,-,x,x,x,308,6112,x,x,x,x,x,-,x,x,x
2,272,サービス用・娯楽用機械器具製造業,7,522,399,522,399,-,x,x,1437525,1188,x,247758,x,x,x,x,-,x,x,x
2,273,計量器・測定器・分析機器・試験機・測量機械器具・理化学機械器具製造業,53,5202,4060,5407,4243,-,3115738,7357599,6059369,5643,47318,855002,13849576,12808784,43156,275923,-,721713,5595179,6120130
2,274,医療用機械器具・医療用品製造業,17,1113,770,1113,770,-,612213,1827947,1199294,2283,11959,123277,3111957,2510279,-,96902,-,504776,1186870,1206700
2,275,光学機械器具・レンズ製造業,6,511,363,512,364,-,259179,846068,650744,303,10479,182494,1343605,1316650,-,-,-,26955,495332,506356
2,276,武器製造業,1,37,31,39,31,-,x,x,x,-,x,x,x,x,x,-,-,x,x,x
1,280,電子部品・デバイス・電子回路製造業,57,7887,5744,8300,6107,-,4540513,21312943,15484105,40281,294768,2051548,30640937,26874448,411485,-,-,3355004,7507468,9750889
2,281,電子デバイス製造業,3,428,266,428,266,-,195120,379216,144113,6488,24140,165382,620036,600025,14473,-,-,5538,271355,275151
2,282,電子部品製造業,13,2671,2003,2925,2228,-,1502989,13480641,10346430,1116,51715,485482,17794350,14892821,90376,-,-,2811153,3458365,4786246
2,284,電子回路製造業,21,1443,1013,1478,1046,-,634775,2523683,1543464,2834,64804,532246,3465397,2988505,268487,-,-,208405,735540,883898
2,285,ユニット部品製造業,3,130,106,134,110,-,58946,112031,74165,119,1181,35970,260701,257244,3457,-,-,-,138192,138399
2,289,その他の電子部品・デバイス・電子回路製造業,17,3215,2356,3335,2457,-,2148683,4817372,3375933,29724,152928,832468,8500453,8135853,34692,-,-,329908,2904016,3667195
1,290,電気機械器具製造業,118,18930,15546,19426,16009,-,11665139,40452413,24772013,68858,345682,13199990,71594962,59601800,1195297,272586,113,10525166,26608195,29990230
2,291,発電用・送電用・配電用電気機械器具製造業,49,7174,6014,7262,6086,-,3836660,19634983,10599520,13350,169035,8662837,24628703,23916939,487721,-,108,223935,2977709,4763291
2,292,産業用電気機械器具製造業,15,1415,1122,1427,1134,-,775380,5243865,4513474,1832,24675,363680,6717506,6555415,141788,3778,-,16525,1404299,1544852
2,293,民生用電気機械器具製造業,3,222,109,222,109,-,91469,208108,138179,2243,8090,50417,407067,373204,33863,-,-,-,187979,184425
2,294,電球・電気照明器具製造業,6,263,160,340,235,-,140716,577023,469301,34122,8533,40741,1171649,1165492,-,-,-,6157,483303,555971
2,296,電子応用装置製造業,23,6310,5188,6538,5411,-,4816563,10423337,6102651,3943,80413,2959362,31221439,20651183,355017,94131,-,10121108,18945893,20017153
2,297,電気計測器製造業,22,3546,2953,3637,3034,-,2004351,4365097,2948888,13368,54936,1122953,7448598,6939567,176908,174677,5,157441,2609012,2924538
1,300,情報通信機械器具製造業,31,6999,5890,7041,5922,-,5063895,30651151,27784967,10570,123177,1845375,55654953,47265425,673494,18839,-,7697195,24951078,23379938
2,301,通信機械器具・同関連機械器具製造業,15,5662,4981,5683,4997,-,4455265,29224111,26709358,9442,111903,1721442,53092192,45175465,316155,11345,-,7589227,23946035,22293375
2,302,映像・音響機械器具製造業,11,1002,624,1023,640,-,457270,1267258,1048319,846,9774,100348,2143426,1923065,112393,-,-,107968,769101,845652
2,303,電子計算機・同附属装置製造業,5,335,285,335,285,-,151360,159782,27290,282,1500,23585,419335,166895,244946,7494,-,-,235942,240911
1,310,輸送用機械器具製造業,59,19482,17247,19973,17712,-,12006398,81395768,75359202,136919,395595,4428329,175638952,x,1448114,x,694,1169665,86958838,87450852
2,311,自動車・同附属品製造業,37,15122,13512,15525,13890,-,9516109,60480105,55568975,116086,310559,3660000,121983497,121382638,594624,3001,-,3234,55390539,57089174
2,312,鉄道車両・同部分品製造業,7,500,457,500,457,-,232445,346636,135299,833,3632,25743,796392,313733,424668,-,694,57297,408764,417384
2,313,船舶製造・修理業、舶用機関製造業,2,199,176,206,182,-,x,x,x,x,x,x,x,x,-,-,-,-,x,x
2,314,航空機・同附属品製造業,11,3548,3005,3629,3086,-,2040214,20228928,19430384,18488,77081,642444,52266813,50728857,428822,-,-,1109134,30981557,29710790
2,315,産業用運搬車両・同部分品・附属品製造業,2,113,97,113,97,-,x,x,x,x,x,x,x,x,-,x,-,-,x,x
1,320,その他の製造業,46,3948,2820,4017,2885,-,2011952,7244293,3099067,12217,54841,2489920,12322216,9818406,x,30466,x,2436413,4502645,4788554
2,321,貴金属・宝石製品製造業,4,315,172,317,174,-,143371,702828,607611,198,1898,91803,1001640,996957,4683,-,-,-,273571,283645
2,322,装身具・装飾品・ボタン・同関連品製造業（貴金属・宝石製を除く）,3,134,88,135,88,-,58357,135469,48272,199,865,38675,255108,174134,-,-,-,80974,100210,111151
2,323,時計・同部分品製造業,3,326,269,337,279,-,150129,365380,279585,1372,6342,59086,472697,417051,3813,28931,-,22902,81642,102464
2,324,楽器製造業,2,130,101,130,101,-,x,x,x,-,x,x,x,x,-,x,-,-,x,x
2,325,がん具・運動用具製造業,5,1129,852,1178,901,-,610422,2668564,506272,1922,15399,1112776,4663081,3086039,479,1,-,1576562,1821720,1904768
2,326,ペン・鉛筆・絵画用品・その他の事務用品製造業,3,171,97,171,97,-,x,x,x,63,x,x,x,x,x,x,x,x,x,x
2,328,畳等生活雑貨製品製造業,4,160,90,160,90,-,57834,413237,274414,606,980,8869,549101,388558,56,-,-,160487,97821,125893
2,329,他に分類されない製造業,22,1583,1151,1589,1155,-,865447,2682454,1181106,7857,26636,1118606,4881151,4293822,6178,-,-,581151,1916259,2044152
,,,,,,,,,,,,,,,,,,,,,,
2017東京の工業　平成29年工業統計調査報告（平成28年実績）,,,,,,,,,,,,,,,,,,,,,,
第2-1-a表　産業小分類別統計表（従業者30人以上の事業所）,,,,,,,,,,,,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類　2：産業小分類）,,,,,,,,,,,,,,,,,,,,,,
