産業分類階層,産業コード,産業中分類,従業者規模階層,従業者規模コード,従業者規模,事業所数,敷地面積（m2）,総用水量（m3／日）,淡水水源別用水量／公共水道／工業用水道（m3／日）,淡水水源別用水量／公共水道／上水道（m3／日）,淡水水源別用水量／井戸水（m3／日）,淡水水源別用水量／その他の淡水（m3／日）,海水用水量（m3／日）
1,15,印刷・同関連業,0,00,総数,276,844167,3996,799,3030,122,45,-
1,15,印刷・同関連業,1,01,30～49人,118,126978,851,9,827,2,13,-
1,15,印刷・同関連業,1,02,50～99人,105,308287,1096,217,871,3,5,-
1,15,印刷・同関連業,1,03,100～199人,38,123128,653,54,585,14,-,-
1,15,印刷・同関連業,1,04,200～299人,5,25563,118,-,118,-,-,-
1,15,印刷・同関連業,1,05,300～499人,4,78960,623,301,245,72,5,-
1,15,印刷・同関連業,1,06,500～999人,3,81167,228,59,147,-,22,-
1,15,印刷・同関連業,1,07,1000人以上,3,100084,427,159,237,31,-,-
1,16,化学工業,0,00,総数,59,521428,4742,1833,1933,973,3,-
1,16,化学工業,1,01,30～49人,18,84912,778,2,315,461,-,-
1,16,化学工業,1,02,50～99人,23,118435,1733,1161,419,150,3,-
1,16,化学工業,1,03,100～199人,10,91059,568,30,501,37,-,-
1,16,化学工業,1,04,200～299人,2,x,x,x,x,-,-,-
1,16,化学工業,1,05,300～499人,4,99168,647,81,241,325,-,-
1,16,化学工業,1,06,500～999人,1,x,x,x,x,-,-,-
1,16,化学工業,1,07,1000人以上,1,x,x,x,x,-,-,-
1,17,石油製品・石炭製品製造業,0,00,総数,2,x,x,-,x,-,-,-
1,17,石油製品・石炭製品製造業,1,01,30～49人,1,x,x,-,x,-,-,-
1,17,石油製品・石炭製品製造業,1,02,50～99人,1,x,x,-,x,-,-,-
1,18,プラスチック製品製造業（別掲を除く）,0,00,総数,39,125699,1172,56,1109,6,1,-
1,18,プラスチック製品製造業（別掲を除く）,1,01,30～49人,24,58405,784,55,728,-,1,-
1,18,プラスチック製品製造業（別掲を除く）,1,02,50～99人,13,x,x,x,x,x,-,-
1,18,プラスチック製品製造業（別掲を除く）,1,03,100～199人,2,x,x,x,x,-,-,-
1,19,ゴム製品製造業,0,00,総数,11,341793,731,67,187,477,-,-
1,19,ゴム製品製造業,1,01,30～49人,5,x,x,x,x,x,-,-
1,19,ゴム製品製造業,1,02,50～99人,5,21224,182,18,162,2,-,-
1,19,ゴム製品製造業,1,03,100～199人,1,x,x,-,-,x,-,-
1,20,なめし革・同製品・毛皮製造業,0,00,総数,21,18299,160,-,160,-,-,-
1,20,なめし革・同製品・毛皮製造業,1,01,30～49人,13,8272,36,-,36,-,-,-
1,20,なめし革・同製品・毛皮製造業,1,02,50～99人,6,x,x,-,x,-,-,-
1,20,なめし革・同製品・毛皮製造業,1,03,100～199人,2,x,x,-,x,-,-,-
1,21,窯業・土石製品製造業,0,00,総数,23,318023,2196,251,834,1092,19,-
1,21,窯業・土石製品製造業,1,01,30～49人,12,50572,435,14,351,51,19,-
1,21,窯業・土石製品製造業,1,02,50～99人,7,191905,939,125,318,496,-,-
1,21,窯業・土石製品製造業,1,03,100～199人,3,x,x,x,x,x,-,-
1,21,窯業・土石製品製造業,1,04,200～299人,1,x,x,x,x,x,-,-
1,22,鉄鋼業,0,00,総数,16,351906,3141,2712,401,27,1,-
1,22,鉄鋼業,1,01,30～49人,6,28786,68,-,67,-,1,-
1,22,鉄鋼業,1,02,50～99人,4,x,x,x,x,x,-,-
1,22,鉄鋼業,1,03,100～199人,4,170891,1517,1432,85,-,-,-
1,22,鉄鋼業,1,04,200～299人,1,x,x,-,x,x,-,-
1,22,鉄鋼業,1,05,300～499人,1,x,x,x,x,-,-,-
1,23,非鉄金属製造業,0,00,総数,17,137948,941,11,209,721,-,-
1,23,非鉄金属製造業,1,01,30～49人,7,41023,73,10,53,10,-,-
1,23,非鉄金属製造業,1,02,50～99人,6,59631,58,1,41,16,-,-
1,23,非鉄金属製造業,1,03,100～199人,3,x,x,-,x,x,-,-
1,23,非鉄金属製造業,1,05,300～499人,1,x,x,-,x,-,-,-
1,24,金属製品製造業,0,00,総数,85,271219,3271,200,2212,830,29,-
1,24,金属製品製造業,1,01,30～49人,49,101276,1248,103,956,161,28,-
1,24,金属製品製造業,1,02,50～99人,28,76328,1202,97,884,220,1,-
1,24,金属製品製造業,1,03,100～199人,7,x,x,-,x,x,-,-
1,24,金属製品製造業,1,05,300～499人,1,x,x,-,x,x,-,-
1,25,はん用機械器具製造業,0,00,総数,48,318039,837,352,337,147,1,-
1,25,はん用機械器具製造業,1,01,30～49人,23,33806,66,-,66,-,-,-
1,25,はん用機械器具製造業,1,02,50～99人,15,42690,130,-,117,12,1,-
1,25,はん用機械器具製造業,1,03,100～199人,6,57901,53,-,53,-,-,-
1,25,はん用機械器具製造業,1,04,200～299人,1,x,x,-,x,x,-,-
1,25,はん用機械器具製造業,1,05,300～499人,2,x,x,x,x,x,-,-
1,25,はん用機械器具製造業,1,06,500～999人,1,x,x,x,x,-,-,-
1,26,生産用機械器具製造業,0,00,総数,103,482467,1119,29,817,268,5,-
1,26,生産用機械器具製造業,1,01,30～49人,62,139348,282,15,266,-,1,-
1,26,生産用機械器具製造業,1,02,50～99人,25,70876,223,-,219,-,4,-
1,26,生産用機械器具製造業,1,03,100～199人,11,145423,226,-,226,-,-,-
1,26,生産用機械器具製造業,1,04,200～299人,3,x,x,x,x,x,-,-
1,26,生産用機械器具製造業,1,05,300～499人,1,x,x,-,x,-,-,-
1,26,生産用機械器具製造業,1,06,500～999人,1,x,x,-,x,x,-,-
1,27,業務用機械器具製造業,0,00,総数,90,241538,873,66,765,24,18,-
1,27,業務用機械器具製造業,1,01,30～49人,48,59589,236,-,231,-,5,-
1,27,業務用機械器具製造業,1,02,50～99人,25,32552,76,-,76,-,-,-
1,27,業務用機械器具製造業,1,03,100～199人,9,53242,86,-,74,12,-,-
1,27,業務用機械器具製造業,1,04,200～299人,4,28075,137,-,112,12,13,-
1,27,業務用機械器具製造業,1,05,300～499人,2,x,x,x,x,-,-,-
1,27,業務用機械器具製造業,1,06,500～999人,2,x,x,x,x,-,-,-
1,28,電子部品・デバイス・電子回路製造業,0,00,総数,57,487698,5808,1244,2115,2449,-,-
1,28,電子部品・デバイス・電子回路製造業,1,01,30～49人,29,33601,1005,40,940,25,-,-
1,28,電子部品・デバイス・電子回路製造業,1,02,50～99人,10,34889,600,-,441,159,-,-
1,28,電子部品・デバイス・電子回路製造業,1,03,100～199人,11,47586,454,-,231,223,-,-
1,28,電子部品・デバイス・電子回路製造業,1,04,200～299人,3,24346,307,-,18,289,-,-
1,28,電子部品・デバイス・電子回路製造業,1,05,300～499人,1,x,x,-,x,x,-,-
1,28,電子部品・デバイス・電子回路製造業,1,06,500～999人,1,x,x,x,x,-,-,-
1,28,電子部品・デバイス・電子回路製造業,1,07,1000人以上,2,x,x,x,x,x,-,-
1,29,電気機械器具製造業,0,00,総数,118,1356241,4313,141,945,3004,223,-
1,29,電気機械器具製造業,1,01,30～49人,51,157227,499,137,266,7,89,-
1,29,電気機械器具製造業,1,02,50～99人,39,143259,507,4,217,282,4,-
1,29,電気機械器具製造業,1,03,100～199人,15,104227,180,-,175,-,5,-
1,29,電気機械器具製造業,1,04,200～299人,4,54134,129,-,86,43,-,-
1,29,電気機械器具製造業,1,05,300～499人,1,x,x,-,-,x,-,-
1,29,電気機械器具製造業,1,06,500～999人,5,144214,1599,-,101,1373,125,-
1,29,電気機械器具製造業,1,07,1000人以上,3,x,x,-,x,x,-,-
1,30,情報通信機械器具製造業,0,00,総数,31,375077,2791,167,1231,1393,-,-
1,30,情報通信機械器具製造業,1,01,30～49人,11,17242,760,167,593,-,-,-
1,30,情報通信機械器具製造業,1,02,50～99人,9,14575,24,-,24,-,-,-
1,30,情報通信機械器具製造業,1,03,100～199人,8,58072,601,-,566,35,-,-
1,30,情報通信機械器具製造業,1,06,500～999人,1,x,x,-,x,x,-,-
1,30,情報通信機械器具製造業,1,07,1000人以上,2,x,x,-,x,x,-,-
1,31,輸送用機械器具製造業,0,00,総数,59,1987561,6649,903,549,5189,8,-
1,31,輸送用機械器具製造業,1,01,30～49人,22,101463,218,-,211,-,7,-
1,31,輸送用機械器具製造業,1,02,50～99人,17,192605,121,18,98,4,1,-
1,31,輸送用機械器具製造業,1,03,100～199人,14,163517,239,24,180,35,-,-
1,31,輸送用機械器具製造業,1,04,200～299人,2,x,x,x,x,x,-,-
1,31,輸送用機械器具製造業,1,05,300～499人,1,x,x,x,x,x,-,-
1,31,輸送用機械器具製造業,1,07,1000人以上,3,1402145,5268,850,21,4397,-,-
1,32,その他の製造業,0,00,総数,46,198150,792,52,462,254,24,-
1,32,その他の製造業,1,01,30～49人,25,33061,115,-,115,-,-,-
1,32,その他の製造業,1,02,50～99人,12,17705,276,52,172,28,24,-
1,32,その他の製造業,1,03,100～199人,6,121819,254,-,81,173,-,-
1,32,その他の製造業,1,04,200～299人,2,x,x,-,x,x,-,-
1,32,その他の製造業,1,06,500～999人,1,x,x,-,x,x,-,-
,,,,,,,,,,,,,
2017東京の工業　平成29年工業統計調査報告（平成28年実績）,,,,,,,,,,,,,
第8-1表　産業中分類，従業者規模別工業用地及び工業用水統計表（従業者30人以上の事業所）,,,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類）,,,,,,,,,,,,,
従業者規模階層（0：総数　1：従業者規模）,,,,,,,,,,,,,
