NO.,業種名,職人氏名,屋号・会社名,工房住所,工房電話番号,緯度,経度
27,東京三味線,堀込　泰成,菊岡三絃店,東京都台東区根岸3-12-12,03-3873-2087,35.723198,139.779968
28,東京三味線,竹内　康雄,竹うち三味線店,ー,ー,ー,ー
29,江戸表具,石井　弘芳,石井三太夫表具店,東京都台東区東上野5-4-5,03-3844-6224,35.712029,139.782181
30,東京打刃物,三浦　康亘,株式会社庄三郎,東京都台東区根岸5-1-2,03-3875-8338,35.725475,139.786026
31,江戸木彫刻,横谷　昭則,宗舟,東京都台東区寿4-12-2,03-3845-0458,35.708389,139.793777
32,江戸木彫刻,横谷　光明,宗舟,東京都台東区寿4-12-2,03-3845-0458,35.708389,139.793777
33,江戸切子,尾島　英治,切子工房　浅草おじま,東京都台東区浅草4-49-7,03-4285-9664,35.718773,139.799042
34,江戸簾,田中　耕太朗,田中製簾所,東京都台東区千束1-18-6,03-3873-4653,35.719597,139.79129
35,江戸指物,渡辺　彰,江戸指物　渡邊,東京都台東区竜泉3-25-4,03-3873-3050,35.725803,139.792725
36,江戸指物,茂上　豊,茂上工芸,東京都台東区蔵前4-37-10,03-3851-6540,35.706192,139.788498
37,江戸指物,木村　正,江戸指物　木村,東京都台東区下谷3-1-1,03-3874-7926,35.722736,139.785736
38,江戸刷毛・東京手植ブラシ,宮川　久美子,宮川刷毛ブラシ製作所,東京都台東区元浅草2-10-14,03-3844-5025,35.710808,139.784668
39,江戸刷毛,小林　誠,小林刷毛製造所,東京都台東区池之端2-7-6,03-3821-6296,35.716015,139.766266
40,江戸鼈甲,田中　淳功,江戸べっ甲田中,東京都台東区谷中3-22-8,03-3828-9870,35.730778,139.764343
41,江戸鼈甲,磯貝　克実,ベッ甲イソガイ,東京都台東区浅草1-21-3,03-3845-1211,35.711693,139.795074
42,江戸鼈甲,磯貝　實,ベッ甲イソガイ,東京都台東区浅草1-21-3,03-3845-1211,35.711693,139.795074
43,江戸鼈甲,赤塚　顕　,赤塚ベッ甲製作所,東京都台東区谷中7-6-7,03-3828-7957,35.724556,139.768906
44,江戸漆器,稲田　潤一,稲田漆工芸,ー,ー,ー,ー
45,東京組紐,羽田　眞治,桐生堂浅草店,東京都台東区浅草1-32-12,03-3847-2680,35.712132,139.797073
46,東京銀器,上川　善嗣,有限会社日伸貴金属,東京都台東区三筋1-3-13,03-5687-5585,35.703999,139.78714
47,東京銀器,上川　一男,有限会社日伸貴金属,東京都台東区三筋1-3-13,03-5687-5585,35.703999,139.78714
48,東京銀器,泉　健一郎,いづみけん,東京都台東区浅草2-26-5-201,03-3841-7361,35.716736,139.794098
