年,不当労働行為前年からの繰越件数（審査再開件数で内数）(a),不当労働行為前年からの繰越件数(a),不当労働行為新規係属件数（審査再開件数で内数）(b),不当労働行為新規係属件数(b),不当労働行為取扱件数（審査再開件数で内数）(a)+(b),不当労働行為取扱件数(a)+(b),不当労働行為終結件数（一部分離命令件数で外数）,不当労働行為終結件数（審問再開件数で内数）,不当労働行為終結件数,資格審査前年からの繰越件数(a),資格審査新規係属件数(b),資格審査取扱件数(a)+(b),資格審査終結件数
18,,370,,102,,472,1,,110,323,137,460,201
19,,362,,100,,462,,,193,259,154,413,208
20,,269,,92,,361,,,94,205,134,339,171
21,,267,,119,,386,,,85,168,178,346,136
22,,301,,125,,426,,,94,210,172,382,136
23,,332,,115,,447,1,,120,246,183,429,180
24,,327,,103,,430,,,121,249,161,410,182
25,,309,,118,,427,,,112,228,157,385,166
26,,315,,132,,447,1,,124,219,182,401,171
27,,323,,117,,440,,,139,230,155,385,194
28,,301,,97,,398,1,,104,191,127,318,136
29,,294,,105,,399,5,,90,182,145,327,129
30,,309,,97,,406,,,89,198,130,328,124
令和元,,317,,95,,412,,,99,204,132,336,143
2,,313,,116,,429,,,79,193,163,356,107
3,,350,,99,,449,2,,91,249,147,396,r130
4,,358,,83,,441,,,75,266,100,366,102
,,,1,7073,,,,1,6707,,"11,394",,"11,130"
