区分,名称,TKK参加,連絡先電話,ファックス,連絡先Eメール,備考
練馬区,ねりま高次脳機能障害家族会らぽーる　https://kazoku-rapport.hp.peraichi.com/nerima,,090-2239-4871＜保坂＞,,yxz0328bb@gmail.com,高次脳機能障害者を支える家族が想いを語り合い、ともに支え合う会です。毎月１回、土曜または日曜（14:00～16:00）、中村橋福祉ケアセンターで集まり、交流や情報交換を行っています。今後は当事者を交えての活動も検討。練馬区外の方の参加も歓迎
足立区,特定非営利活動法人足立さくら会　https://adachi-kyodo.genki365.net/G000086/,,03-5888-7669,,adatisakurakai@yahoo.co.jp,高次脳機能障害者・ご家族・関係機関職員の方たちが入会されています。毎月通信発行。交流会・勉強会あり。デイサービスの運営および働ける場（カフェ）の運営をしています。また、相談支援事業も行っています。
葛飾区,特定非営利活動法人高次しょうぶ(高次脳機能障害者家族会)　https://jhanaok.wixsite.com/website　　　　　　　　　　　　　　,★,03-3694-0234＜山嵜＞,03-3694-0299,kojishobu2021@gmail.com,高次脳機能障害者とその家族が、社会の中で孤立しないために、交流のための活動をしています。毎月第２土曜日に「ウェルピアかつしか」でミニデイサービスを行ってきました。相談会、バスハイクも行ってきました。緊急事態宣言のなかで活動を休止していましたが、再開に向けて準備しています。家族会の定例会は奇数月第３木曜日に「ウェルピアかつしか」で行っています。詳しい活動予定は高次しょうぶのホームページをご覧ください。
江戸川区,高次脳機能障害家族会江戸川「つつじの会」　http://tsutsuji-edogawa.jimdofree.com/,★,090-9291-5825,03-3655-5580,h.h.y.y.k-goseki@jcom.home.ne.jp,どうしたらよいか困ったとき、気になることがあったとき、そんなとき一人で悩まずお互いに語り合い情報交換する。障害のある人もない人も、自分らしさを出し合える活動を工夫しています。
八王子市,はちおうじ高次脳機能障害者家族会「はっちゃん」　http://blog.livedoor.jp/hacchan802/,,080-1254-7480＜八王子市高次脳機能障害者相談室はっぱ内担当：江村・西村＞,042-666-5881,hacchan.koujinou@gmail.com,八王子市で初めての高次脳機能障害者の当事者・家族会として、平成29年７月に立ち上がりました。高次脳機能障害者とその家族が、地域で安心して生活できるよう活動を進めてまいります。【活動内容】定例会、学習会、その他　定例会：２か月に１回、八王子市内にて開催。当事者・家族の交流や情報交換などを行います。
立川市,高次脳機能障害の会「スマイル立川」,,042-531-7739,042-531-7739,fukui-shigeru@tbz.t-com.ne.jp,２か月に１回（13:30～16:30）、立川市総合福祉センター２階で実施しています。当事者、家族、その他、関心のある方ならどなたでも自由参加です。悩みごとの相談・アドバイス・情報交換・ランチ会（時折り）。医療、行政、社協、包括等の方が参加してくださってご相談にのってくださいます。
青梅市,高次脳機能障がい者と家族の集い「なんてんの会」,★,,,oume_nanten_inoue@yahoo.co.jp,偶数月の第３金曜日の午後１時より、青梅市障がい者サポートセンターにて家族中心の定例会　年２～３回、当事者参加のレクリエーションを企画。青梅市・大久野病院と協働事業として、高次脳機能障害者グループ認知訓練を実施。平成25年度より、就労訓練サークル「アトリエなんてん」スタート
調布市,特定非営利活動法人高次脳機能障がい者活動センター調布ドリーム 家族会　http://www.chofudream.com/,★,042-444-3068,042-444-4015,info@chofudream.com,毎月第３日曜日（変更あり）の午後１時から３時に行っています。家族が互いに支え合う家族の心のリハビリの場所です。悩みは一人で抱えずに皆で知恵を出し合ったり、話し合うことで気持ちが軽くなるそんな家族会です。
調布市,いきいき高次脳機能障害者の会東京レインボー倶楽部,★,042-486-8765,,tokyorainbowclub@yahoo.co.jp,利用条件として、参加には、家族または理解のある方の同伴をお願いします。また、医療顧問の診察をお願いしています。主に当事者をメインに卓球を火曜日・金曜日に行っています。
調布市,杜のハーモニー ♪　http://morihamo.com/,★,042-486-4438,,mountone@jcom.home.ne.jp,「高次脳機能障害の理解を広げ」「障害のある方もない方も、共に暮らせる街づくり」をめざし活動しています。ヨガと卓球を各々月１回。手作り市「杜のマルシェ♪」と「杜の仲間たちコンサート」を各々年１回開催。企画イベントは、ホームページ内ブログをご覧ください。
町田市,レインボー町田,,042-726-5228,,rrainboemachida-2007@yahoo.co.jp,毎月第２、４水曜日の午後２～４時を基本に集まり、お互いに理解し助け合ってリハビリをすることで、日常生活をより良く、過ごしやすくするために活動しています。情報交換をすることが家族の支えにもなっています。本人と家族以外でも関心のある方の参加も大歓迎です。
小金井市,高次脳機能障害者小金井友の会いちごえ会　http://ichigoe.org/                     ,★,042-401-0051,042-401-1555,masusachi@kxf.biglobe.ne.jp　info@ichigoe.org,「高次脳機能障害者が生き甲斐を持って働き、生きる場所をつくる」が目的。会員は当会顧問上田敏先生による医療・リハビリ・生活相談を受けることができます。
日野市,高次脳機能障害者と家族の会かしのきひの,,080-8431-3400,,,定例会は毎月第２火曜日午後、情報交換、悩みの共有、グループリハビリとして料理教室を実施
国分寺市,高次脳機能障がい者の会メビウスのＷＡ,★,042-537-9865,,,毎月第３土曜日午後、国分寺市ひかりプラザにて定例会を開催。当事者のみの参加が多め。家族とやりたい行事も取り入れ交流会を工夫。情報交換及び悩み相談、講演会で学び、障害の啓発活動を行う。
武蔵村山市,高次脳機能障害者と家族の会茶歩,,042-560-8374,042-560-8374　,,定例会は毎月第２火曜日午前。当事者や家族・地域の医療関係者が集まり、自分達の経験したことを率直に出し合い、悩み相談・情報交換を行っています。
多摩市,高次脳機能障害友の会らーふ,,080-5377-8292,042-311-2737,tama-ikatu@inagi-masayume.com,多摩市周辺地域の家族会です。定例会を隔月で開催し、悩みごとや困りごとを話し合い、情報交換をしています。地域活動支援センターの方の協力を得て活動しています。
羽村市,はむら高次脳機能障害家族会,,042-554-7494,042-554-7494,masumama.1992-1122@ezweb.ne.jp,活動場所：羽村市福祉センター　定例会：奇数月の第３週の水曜日午後７時から　当事者・家族はもちろん、ご協力いただけるスタッフも募集しています。連絡ください。
あきる野市,あきる野「こーゆう」（高次脳機能障害者と家族の会）,★,090-1816-4892,042-518-7737,koyu-carenet@outlook.jp,奇数月に家族や本人の悩み相談、情報交換等の定例会を行っています。
北多摩北部5市,高次脳機能障がい者家族会絆,,042-446-7778＜リスタート方＞,042-446-7779＜リスタート方＞,kizuna5city@gmail.com,コロナのため、現在活動を休止しています。近いうちにSNSなどでの活動再開を企画中です。
,もやもや病の患者と家族の会関東ブロック（もやの会関東ブロック）　http://moyanokai.com,,相談＜吉川＞03-5484-4994　入会0727(61)8825（事務局担当 須戸）,相談＜吉川＞03-5484-4994　入会0727(61)8825（事務局担当 須戸）,yoshikawat@jnioshwork.com,もやもや病の患者と家族の会、関東ブロックです。患者と家族で約360人の仲間です。小児発症、大人発症、それぞれの世代の会員がいます。年１回の総会と医療講演会、年１-３回の交流会の場を持っています。正式な入会は大阪の本部にお願いします。入会されなくても、もやもや病に関する相談はいつでも受け付けていますので、お気軽にご連絡ください。電話不在時は、留守番電話にメッセージをお願いします。 
,高次脳機能障害若者の会「ハイリハ東京」　http://www.hirehatokyo.com/,★,03-3321-6478,,hirehatokyo@gmail.com,20代から40代の高次脳機能障害の当事者と家族の集い。情報交換・交流を中心に、就労・病気・交通事故の相談支援の活動。会員は全国。奇数月の第４土曜日に定例会あり。
,高次脳機能障害の子どもを持つ家族の会ハイリハキッズ　https://hirehakids.wixsite.com/homepage,★,03-3909-2788,,hireha.kids@gmail.com,地域を問わず、参加可能（首都圏在住者が多い）。２か月に1度定例会を開いています。定例会中、子どもは、別室にて専門職スタッフ、学生ボランティアによる保育が可能です。※要事前申請、おやつ代
,ハイリハジュニア中学生から大学生の高次脳機能障害当事者と家族の会　https://hirehajr.wixsite.com/homepage,★,090-7204-6115,,ais_wankororin_10240930@yahoo.co.jp,2020～2021年コロナ渦により外出活動や交流会ができなくなり、オンラインZOOMでの近状報告や話し合いを行っている状況です。
,脳損傷による遷延性意識障がい者と家族の会「わかば」　https://wakaba-senensei.com/,,090-9966-7206,03-3426-1081,hisa4580-wkb@chime.ocn.ne.jp,交通事故等の脳外傷、脳血管の病気、低酸素脳症等で遷延性意識障がい（植物状態）と言われた重度後遺障がい者とその家族の会です。定期的な学習会開催や会報の発行等を行い、会員同士の情報交換と知識の習得を行っています。
,高次脳機能障がい者の家族の集いりんく　http://link-2013.sakura.ne.jp/,★,090-1734-5114,,kurakata.rtk@gmail.com,当会は高次脳機能障がい者の家族同士が語り合い、困りごとの解決に向けて支えあう自助グループです。高次脳機能障がいとなった原因・年齢・当事者との間柄 ・お住まいの地域は問いません。大切な家族が病気や事故で脳を損傷したことで、様々な問題に直面して戸惑い、先行きが不安になります。介護に疲れてしまった時や、当事者への対応に悩んだことなど話題を共有する場として、毎月１回国立市周辺で集まっています。また、支援者との連携も大切と考え、専門職と交流する中で共に学びあう機会も大切にしています。
,高次脳機能障害者と家族の会　http://www.kouji-kazokukai.org/,★,03-3200-8970＜太田＞,,koujinou_kazokukai@yahoo.co.jp,原因を問わず、後遺症としての高次脳機能障害を考えているので、会員はいろいろな方がいます。1998年７月に発足以来、国や東京都、各自治体に働きかけたり、講演会で学び、交流会で情報交換をしています。
,脳損傷・高次脳機能障害サークルエコー　httpｓ://www.circle-echo.com/,★,042-350-3292,049-266-4855,tama_and_uzura@yahoo.co.jp,zoomを活用した家族会と支援者との意見交換を実施。その情報をもとに簡単なサポート集を作成します。
,特定非営利活動法人日本失語症協議会　http://www.japc.info/,,03-5335-9756,03-5335-9757,office@japc.info,失語症や構音障害の言語障害者の回復や社会復帰を図ったり、生きがいを見つけ、生活の向上と社会参加の促進を図る活動をしている。都内には、15友の会、全国には、98友の会が加盟している。
,軽度外傷性脳損傷友の会　http://mild-tbi.net/,,080-3482-1020＜斎藤＞,03-3683-9766,spkg3wa9@festa.ocn.ne.jp,外傷性脳損傷のうち（TBI）、受傷後の意識障害などが軽度である患者と家族の会です（MTBI）。脳の器質的障害による精神障害である高次脳機能障害や、身体性機能障害である運動障害・感覚障害・神経因性膀胱・脳神経麻痺などが生じます。
,特定非営利活動法人交通事故後遺障害者家族の会　https://koisyo.com/,,042-361-7386,,koisyo@mub.biglobe.ne.jp,本会は交通事故犯罪被害者重度障害者家族が助け合って人生を取り戻す活動をする日本でオンリーワンの会です。活動は多岐に渡りますが実績のある弁護士を活用して加害者側から民事裁判で真実を反映する賠償金を取り戻す活動団体です。福祉制度による重度障害者の救済は他の団体と協力して制度の改善を求める等活動しています。
,一般社団法人交通事故被害者家族ネットワーク　http://www.jiko-kazoku.com/,★,03-6661-1575,03-6661-1585,info@jiko-kazoku.com,交通事故により脳損傷を負った当事者やご家族が孤独にならないように、より良い解決に向けて生活支援をいたします。事故直後からの社会保険、社会福祉制度等の活用をサポートしています。交通事故において、様々な支援内容がありますが、自ら申請しないと活用できませんのでご遠慮なくご相談ください。無料で対応しております。
千葉県,ハイリハちば　http://hairihachiba.g2.xrea.com/,,090-1103-4738,0476-33-3081,kimottama_satomi_kaasan@yahoo.co.jp,偶数月の第３日曜日、午後１時より３時間程度、20歳代から40歳代の若者を中心に楽しい一時を過ごしています。千葉県リハビリテーションセンターが主な活動拠点ですが、香澄公園や青葉の森公園で活動する月もあります。
埼玉県三郷市　,特定非営利活動法人地域で共に生きるナノ　https://nanojp.jimdofree.com/,,048-951-1817,048-951-1817,nanochikatu@amail.plala.or.jp,三郷市より委託： 地域活動支援センターⅡ型、相談支援センター（輪・笑・和）、認知症カフェ　埼玉県より委託： ピアカウンセリング事業（年20回）
新宿区,特定非営利活動法人VIVID(ヴィヴィ）　http://www.vivid.or.jp/,★,03-5849-4831,03-6908-3664,hbd-vivid@vivid.or.jp,高次脳機能障がいに関する普及啓発活動などを行っています。当事者と家族が、もう一度人生のスタートラインに立つことができるように、事業を通して支援を行っています。事業は、指定特定相談支援事業と就労継続支援B型事業の２つです。相談業務は、高次脳機能障害相談支援VIVIDで受付けています。電話番号：03-6380-2015
