病院名,急性期,回復期,維持期,住所,電話,相談・対応窓口,備考
東京都リハビリテーション病院,,○,,墨田区堤通2-14-1,03-3616-8600(代),高次脳支援相談窓口03-3616-5963(直),要予約（初診の場合は、診療情報提供書をご持参ください。）
東京都立墨東病院,○,,,墨田区江東橋4-23-15,03-3633-6151(代),リハビリテーション科外来,
医療法人社団仁寿会中村病院,,,○,墨田区八広2-1-1,03-3612-7131(代),医療連携室03-3614-6199(直),要予約、紹介状、診療情報提供書
医療法人財団寿康会寿康会病院,○,○,○,江東区北砂2-1-22,03-3645-9151(代),医療連携室03-3645-9158(直)　　　　　　　,外来リハビリテーションをご希望の方はリハビリテーション科の診察を予約の上、お越しください。要予約、紹介状、診療情報提供書、脳画像があると助かります。
一般社団法人巨樹の会江東リハビリテーション病院,,○,,江東区北砂2-15-15,03-6880-1555(代),医療連携室 03-6880-1755(直)　　　　　　　,新規発症後の入院でのリハビリテーションを提供します。外来は当院を退院者のみ提供しています。要紹介状、診療情報提供書、脳画像
学校法人昭和大学病院,○,,,品川区旗ノ台1-5-8,03-3784-8000(代),総合サポートセンター03-3784-8775(直),要予約、診療情報提供書、脳画像
昭和大学病院附属東病院,,,○,品川区西中延2-14-19,03-3784-8000(代),総合相談センター,完全予約制（曜日限定、診療情報提供書が必要です。）要紹介状
医療法人社団東京巨樹の会東京品川病院,○,○,,品川区東大井6-3-22,03-3764-0511(代),患者支援センター,回復期リハビリテーション病棟あり。まずはお電話でご相談ください。要予約、紹介状、診療情報提供書、脳画像
NTT東日本関東病院,○,,,品川区東五反田5-9-22,03-3448-6111(代),医療連携室 総合相談室,初診でも対応可能ですが、紹介状をご持参ください（リハビリテーション科の専門入院病床はありません。）。 ※要予約(リハビリテーション科）、紹介状、診療情報提供書、脳画像
公益財団法人河野臨牀医学研究所附属品川リハビリテーション病院,,〇,〇,品川区北品川5-2-1,03-5793-3355(代),,回復期リハビリテーション病棟 130 床。入院のご相談など、まずは、お電話でご相談ください。外来は入院患者様のみ対応
公益財団法人河野臨牀医学研究所附属第三北品川病院,〇,,,品川区北品川3-3-7,03-3474-1831(代),特になし,急性期病棟 114 床 入院のご相談など、お電話でご相談ください。
独立行政法人国立病院機構東京医療センター,○,,,目黒区東が丘2-5-1,03-3411-0111(代),医療福祉相談室,リハビリテーションは入院患者様のみ　要予約、診療情報提供書、脳画像
学校法人東邦大学東邦大学医療センター大森病院,○,,,大田区大森西6-11-1,03-3762-4151(代),地域医療支援センターリハビリテーション科,当院入院患者様への対応のみ。リハ目的の入院は不可。診察は完全予約制 予約はリハビリテーション科受付にて対応
独立行政法人労働者健康安全機構東京労災病院,○,,,大田区大森南4-13-21,03-3742-7301(代),,完全予約制、要紹介状、診療情報提供書、脳画像
社会医療法人財団仁医会牧田総合病院,○,○,○,大田区西蒲田8-20-1,03-6428-7550(直),医療福祉相談課,高次脳機能外来（予約制）有。画像診断・神経心理学的検査等実施。リハビリは応相談。まずはお電話ください。診療情報提供書、脳画像があればご持参ください。
牧田リハビリテーション病院,,○,,大田区西蒲田4-22-1,03-5748-5020(代),医療福祉相談課,回復期リハビリテーション病棟99床。入院のご相談など、まずは、お電話でご相談ください。
公益財団法人東京都保健医療公社荏原病院,○,,,大田区東雪谷4-5-10,03-5734-8000(代),リハビリテーション科または患者支援センター医療相談係,紹介状持参。診察は予約
医療法人社団涓泉会山王リハビリ・クリニック,,,○,大田区東雪谷3-4-2,03-5754-2672(代),地域医療福祉連携室,まずは、連携室にご相談ください。外来リハビリ、訪問リハビリ、訪問看護、通所リハビリ、通所介護。要紹介状、診療情報提供書、脳画像
医療法人社団輝生会在宅総合ケアセンター成城成城リハケア病院,,○,○,世田谷区祖師谷3-8-7, 03-5429-2292(代）,入院：地域連携支援室 外来：外来マネジャー 通所：通所マネジャー 訪問：訪問マネジャー,入院は回復期リハ病棟となります。要予約、診療情報提供書、脳画像、その他外来の場合には、健康保険証をお持ちください。
公益財団法人日産厚生会玉川病院,○,○,,世田谷区瀬田4-8-1,03-3700-1151(代),患者サポートセンター・医療福祉相談室※直通 03-6432-7480 (受付:毎週 月・水・金 9:00～11:00),まずは患者サポートセンター・医療福祉相談室へお問い合わせください。要予約・診療情報提供書・脳画像
東京都立松沢病院,○,,,世田谷区上北沢2-1-1,03-3303-7211(代),社会復帰支援室,著しい精神症状に対する治療。精神科予約制。月～金。予約センター（℡3303-8379　月～金8:30～17:15　土8:30～12:45）要予約、紹介状、診療情報提供書、脳画像　　　
世田谷公園前クリニック,,,○,世田谷区下馬1-40-14　１階,03-5787-6110(代),,外来のみの相談で予約が必要です。世田谷区又は当院より近い方を中心に対応しています。予約必須、診療情報提供書、脳画像、高次脳機能障害の検査結果
医療法人社団佳仁会はしもとクリニック経堂,,,○,世田谷区宮坂1-27-6,03-6677-0539(直),,児童精神科、精神科、小児対応可能。要予約。紹介状、画像データ、診療情報提供書がありましたらご持参ください。
医療法人社団創福会ふくろうクリニック自由が丘,,○,○,世田谷区奥沢6-20-23フォーラム自由が丘１階-A　２階-A,03-3701-3351(代),外来窓口,高次脳機能障害外来（予約制）外来リハビリ、通所リハビリ、訪問リハビリ。要診療情報提供書
医療法人社団輝生会初台リハビリテーション病院,,○,,渋谷区本町3-53-3,03-5365-8500(代),入院・その他の相談全般：ソーシャルワーカー 外来：外来フロアーマネジャー 訪問リハ：訪問フロアーマネジャー,外来リハビリ：要予約。診療情報提供書　訪問リハビリ：訪問フロアーマネジャーへ電話で問い合わせを　入院リハビリ：発症から１か月以内に急性期病院からの入院申込が必要
田尻医院,,○,○,渋谷区代々木1-53-4田尻ビル６階,03-3370-3827(代),神経内科　,来院前にお電話でご相談ください。
医療法人社団メンタルブレイン表参道こころのクリニック,,○,○,渋谷区神宮前6-13-7グランドオム３階,03-5778-9960(直）,高次脳機能支援外来,急性期時点における、ご家族による相談も受け付けております。要予約、紹介状、診療情報提供書、脳画像。初診当日はすべて揃わなくてもOKです。保険証等はお忘れなく
JR東京総合病院,,○,,渋谷区代々木2-1-3,03-3320-2210(代),地域医療連携相談センター,回復期リハビリ病棟あり、急性期病院からの診療情報提供が必要。回復期リハビリ病棟退院後、外来フォローアップあり。要予約、紹介状、診療情報提供書
医療法人財団東京勤労者医療会代々木病院,,○,○,渋谷区千駄ヶ谷1-30-7,03-3404-7661(代),患者サポートセンター　,まずは、電話でご連絡ください。回復期リハビリ病棟でお受入れしています。当院退院後の外来リハビリと病院から２㎞圏内に居住の方は、訪問リハビリも行っています。要予約
医療法人財団健貢会総合東京病院,○,○,○,中野区江古田3-15-2, 0570-00-3387(代）,医療連携支援センター  地域連携室,まずはお電話でお問い合わせください。要予約、紹介状、診療情報提供書、脳画像
医療法人社団緑の森さくらクリニック,,,○,中野区本町2-2-2YSビル地下１階,03-5358-8321(代),医療相談員,在宅支援として訪問診療の対応、要予約
社会医療法人社団健友会中野共立病院,○,○,,中野区中野5-44-7,03-3386-3166(代),地域包括連携室または認知症看護認定看護師,要予約、紹介状、診療情報提供書、脳画像
社会医療法人河北医療財団河北リハビリテーション病院,,○,,杉並区堀ノ内1-9-27,03-5307-5151(代),ソーシャルワーク科,まずは、お電話にてお問い合わせください。
医療法人社団哺育会杉並リハビリテーション病院,,○,,杉並区西荻北2-5-5,03-3396-3181(代),地域連携相談室,予約前に、まずは、お電話でお問い合わせください。要予約、診療情報提供書、脳画像
社会医療法人社団大成会長汐病院,,○,,豊島区池袋1-5-8, 03-3984-6161(代）,地域医療連携室,①電話にて相談の上、下記の書類を事前にファックスにて送ってください。１）診療情報提供書 ２）高次脳機能障害の検査（前医での） ３) リハビリテーションサマリー４）脳画像 ②リハビリテーション外来を受診してください（※要予約）。維持期リハについては入院患者のみ。要脳画像
東京都立大塚病院,○,,,豊島区南大塚2-8-1,03-3941-3211(代),患者支援センター医療相談員,要予約、紹介状、診療情報提供書、脳画像
医療法人社団明善会新大塚榎本クリニック,,,〇,豊島区南大塚3-11-9,03-6907-8061(代),医療相談員,精神科デイナイトケアです。無料送迎車あり（地域は要相談）。事前に電話にて相談・予約をお願いします。初診時に紹介状・診療情報提供書を持参してください。 
医療法人社団ゆみのゆみのハートクリニック,,,○,豊島区高田3-14-29KDX高田馬場ビル１階,03-5956-8010(代),在宅療養支援室,在宅療養支援としての訪問診療の対応。同法人のゆみのハートクリニック渋谷(03-3461-8838)でも同様に対応いたします。要予約、紹介状、診療情報提供書
帝京大学医学部附属病院,○,,,板橋区加賀2-11-1,03-3964-1211(代),医療福祉相談室(リハビリテーション科),要予約、紹介状、診療情報提供書、脳画像
医療法人社団慈誠会慈誠会徳丸リハビリテーション病院,,○,,板橋区徳丸2-8-20, 03-3934-1661(代）,医療福祉相談室,要予約、紹介状、診療情報提供書、脳画像
地方独立行政法人東京都健康長寿医療センター,○,,,板橋区栄町35-2,03-3964-1141(代),,要予約、紹介状、診療情報提供書、脳画像
公益財団法人東京都保健医療公社豊島病院,○,,○,板橋区栄町33-1,03-5375-1234(代),地域医療連携室,要予約、診療情報提供書、脳画像
医療法人社団健育会竹川病院,,○,,板橋区桜川2-19-1,03-6413-1300(代),医療相談室03-5922-6144(直),入院・外来共に対応しております。詳しくは、お問い合わせください。要予約、紹介状、診療情報提供書、脳画像
医療法人社団明芳会イムス板橋リハビリテーション病院,,○,,板橋区小豆沢3-11-1,03-3967-1183(代),地域医療連携室03-5918-8511(直),高次脳機能障害の方の入院は積極的に行っております。外来リハビリは要相談。予約が必要です。要紹介状、診療情報提供書、脳画像
医療法人社団慈誠会慈誠会成増病院,,,○,板橋区成増3-39-5,03-3977-9901(代),医療相談室　直通FAX 03-3977-2020,要診療情報提供書
石神井公園ひろクリニック,,○,○,練馬区石神井町3-30-3岡本ビル１階,03-5923-7202(代),作業療法士 井上里美,お電話でご予約をお願いいたします。要予約、診療情報提供書、脳画像
医療法人財団健和会柳原リハビリテーション病院,,○,○,足立区柳原1-27-5,03-5813-2121(代),医療福祉相談室 　,初診（完全予約制）にて、診断及び外来リハの可否についてご相談させていただきます。要紹介状、診療情報提供書、脳画像
社会医療法人社団慈生会等潤病院,○,○,,足立区一ッ家4-3-4,03-3850-8711(代),患者サポートセンター,要予約、紹介状、診療情報提供書、脳画像、その他：検査データ等
一般財団法人博慈会博慈会記念総合病院,○,,,足立区鹿浜5-11-1,03-3899-1311(代),博慈会医療連携患者支援センター,受診についてのお問い合わせは医療連携患者支援センターにお願いします。要予約、紹介状、診療情報提供書、脳画像
社会医療法人社団医善会いずみ記念病院,○,○,,足立区本木1-3-7,03-5888-2111(代),地域連携室03-5888-2113(直),要予約、診療情報提供書、脳画像、血液検査結果など
医療法人社団成和会西新井病院,○,○,○,足立区西新井本町1-12-12,03-5647-1700(代),地域連携室,要予約、紹介状、診療情報提供書、脳画像
医療法人社団成和会西新井病院附属成和クリニック,○,,○,足立区西新井本町5-7-14E.M.Sビル１～３階,03-5888-6601(代),地域医療連携室      　　　　　　　03-5647-1700(代),脳神経外科の受診可能な時間・曜日は電話、ホームページでご確認ください。要紹介状、診療情報提供書、脳画像
社会医療法人社団正志会葛飾リハビリテーション病院,,○,,葛飾区亀有2-18-27,03-6231-2020(代),医療連携相談室03-6231-2053(直),要紹介状、診療情報提供書、脳画像
社会医療法人社団森山医会森山記念病院,○,,,江戸川区北葛西4-3-1,03-5679-1211(代),地域連携室　医療福祉相談室,要紹介状、診療情報提供書、脳画像
社会医療法人社団森山医会森山脳神経センター病院,,○,,江戸川区西葛西7-12-7,03-3675-1211(代),,要紹介状、診療情報提供書、脳画像
社会福祉法人仁生社江戸川病院,○,○,○,江戸川区東小岩2-24-18,03-3673-1221(代),医療福祉相談室,まずは、電話にてご相談ください。要予約、診療情報提供書、脳画像、リハビリサマリー
日本私立学校振興・共済事業団東京臨海病院,○,,,江戸川区臨海町1-4-2,03-5605-8811(代),医療福祉相談室,要予約、診療情報提供書、脳画像
医療法人社団昌医会葛西昌医会病院,○,○,,江戸川区東葛西6-30-3,03-5696-1611(代),,基本的に入院されていた方が優先となります。事前にお問い合わせください。要予約、紹介状、診療情報提供書、脳画像、その他状況により
医療法人社団永生会永生病院,,○,,八王子市椚田町583-15,042-661-4108(代),高次脳機能障害支援事業推進室（南多摩高次脳機能障害支援センター）042-666-5882(直),入院対応のみ  外来診療は併設の永生クリニックにて実施
医療法人社団永生会永生クリニック,,,○,八王子市椚田町588-17,042-661-7780(代),高次脳機能障害支援事業推進室（南多摩高次脳機能障害支援センター）042-666-5882(直),要予約。まずはリハ科受診（診療情報提供書・紹介状を持参）、入院対応不可
医療法人社団玉栄会東京天使病院,,○,○,八王子市上壱分方町50-1,042-651-5331(代),医療相談室,まずは、電話にてご相談ください。要予約、紹介状、診療情報提供書、脳画像
八王子保健生活協同組合城山病院,,○,○,八王子市元八王子町3-2872-1,042-665-2611(代),医療福祉科042-665-2666(直),まずは、お電話にてご相談ください。要予約、診療情報提供書、脳画像
医療法人社団ＫＮＩ北原国際病院,○,,○,八王子市大和田町1-7-23,042-645-1110(代),医療相談室,まずはご相談ください。要診療情報提供書
医療法人社団ＫＮＩ北原リハビリテーション病院,,○,○,八王子市左入町461,042-692-3332(代),相談室,事前にお電話にてご相談ください。要予約、診療情報提供書※新型コロナウイルス感染症終息まで外来診療は休止しております。
医療法人社団親和会野猿峠脳神経外科病院,○,,,八王子市下柚木1974-1,042-674-1515(代),地域医療連携,原則、入院患者様のみ対応 要紹介状、診療情報提供書
東海大学医学部付属八王子病院,○,,,八王子市石川町1838,042-639-1111(代),リハビリテーション科,要予約、紹介状を持参、入院対応不可
健生会ふれあい相互病院,,○,,立川市錦町1-16-15,042-512-8720(代),地域医療連携室,要予約、紹介状、診療情報提供書、脳画像
国家公務員共済組合連合会立川病院,○,,,立川市錦町4-2-22,042-523-3131(代),地域医療連携センター 042-524-2438(直),まずは、ご相談ください。要予約、紹介状、診療情報提供書、脳画像
独立行政法人国立病院機構災害医療センター,○,,,立川市緑町3256,042-526-5511(代),地域医療連携室042-526-5613(直),地域医療連携室で担当医師の予約をお取りします。要予約、診療情報提供書、脳画像
医療法人社団新緑会鈴木慶やすらぎクリニック,○,○,○,立川市若葉町3-3-3,042-538-7135(代),リハビリテーション科,要紹介状、診療情報提供書、脳画像
武蔵野赤十字病院,○,,,武蔵野市境南町1-26-1,0422-32-3111(代),医療連携センター,要予約、紹介状、診療情報提供書、脳画像
医療法人社団陽和会武蔵野陽和会病院,○,○,,武蔵野市緑町2-1-33,0422-52-3212(代),医療相談室,要予約、紹介状、診療情報提供書、脳画像
医療法人啓仁会吉祥寺南病院,○,○,,武蔵野市吉祥寺南町3-14-4,0422-45-2161(代),外来受診相談は外来看護師 入院相談やその他のことは地域医療連携室,当院では月曜日から土曜日までの午前中に脳神経外科常勤医師の診療を行っておりますので、初診の場合は午前中の受診をお願いいたします。要紹介状、診療情報提供書、脳画像、直近の検査データ
杏林大学医学部付属病院,○,,,三鷹市新川6-20-2,0422-47-5511(代),患者支援センター医療福祉相談,要予約。紹介状持参。原則として当院で入院加療を行ったケースに限る。リハビリ目的での入院は受けていません。要脳画像
医療法人社団倭林会武蔵野台病院,,,○,青梅市今井1-2586,0428-31-6632(代),医療相談室,まず電話にてお問い合わせください。初診の予約が必要です。診療の際には、紹介状、診療情報提供書をお持ちください。時間を要するため、初診のみでの診断は不可となります。
医療法人社団三秀会青梅三慶病院,,○,○,青梅市大柳町1412,0428-24-7501(代),医療相談室0428-20-0288(直)            ,事前にご連絡をいただくことで受診日を決定します。医療相談室宛てにお問い合わせください。要予約、紹介状、診療情報提供書、脳画像
青梅市立総合病院,○,,,青梅市東青梅4-16-5,0428-22-3191(代),地域医療連携室,当院で急性期対応をした方のみ、必要に応じてご相談をお受けします。要予約、紹介状、診療情報提供書、脳画像
社会福祉法人恩賜財団東京都同胞援護会昭島病院,○,○,,昭島市中神町1260,042-546-3111(代),総合支援センター,ご相談いただければ、内容により対応いたします。事前にご連絡ください。
医療法人社団大和会多摩川病院,,○,○,調布市国領町5-31-1,042-483-4114(代),地域連携室042-499-3256(直),事前に地域連携室にお問い合わせください。要予約、紹介状、診療情報提供書、脳画像、検査データ、リハビリテーションサマリー
医療法人社団幸隆会多摩丘陵病院,○,○,○,町田市下小山田町1491,042-797-1511(代),・回復期リハビリ入院窓口:医療福祉相談室(042-797-1214)・外来及び高次脳機能障害相談窓口:リハビリテーション技術部(042-797-1513 三沢・黒瀬),要予約、紹介状、診療情報提供書、脳画像　入院は、回復期リハ対象者
医療法人社団総合会武蔵野中央病院,,,○,小金井市東町1-44-26,0422-31-1231(代),精神科相談室,要予約。事前に相談室にお問い合わせください。
一般社団法人巨樹の会小金井リハビリテーション病院,,○,,小金井市前原町1-3-2,042-316-3561(代),,要予約、紹介状、診療情報提供書、その他 直近の採血結果、ADLの分かる書類
医療法人社団青葉会小平中央リハビリテーション病院,,○,○,小平市鈴木町1-146,042-345-5701(代),医療福祉科,入院でのリハビリをご希望の際は、現在かかっている医療機関からの診療情報提供書等の情報をもとにお受け入れ可否の判定をさせていただきます。
日野市立病院,○,,,日野市多摩平4-3-1,042-581-2677(代),地域医療連携室,要診療情報提供書、脳画像
公益財団法人東京都保健医療公社多摩北部医療センター,○,,,東村山市青葉町1-7-1,042-396-3811(代),地域医療連携室　リハビリテーション科,経過の分かる診療情報提供書を持参願います。必ず事前に診療予約をお願いします。要紹介状、脳画像、その他：可能であればリハビリサマリーもご持参ください。
社会福祉法人緑風会緑風荘病院,,○,○,東村山市萩山町3-31-1,042-392-1101(代),医療相談室,まずは電話にてご相談ください。
社会福祉法人白十字会東京白十字病院,,○,,東村山市諏訪町2-26-1,042-391-6111(代),,要予約、紹介状、診療情報提供書、脳画像
社会福祉法人浴光会国分寺病院,,○,,国分寺市東恋ケ窪4-2-2,042-323-7471(直),認知症疾患医療センター,要予約、紹介状、診療情報提供書、脳画像
公立福生病院,○,,,福生市加美平1-6-1,042-551-1111(代),患者支援センター地域医療連携室,外来は予約制です。事前に地域医療連携室に連絡していただき、予約をお願いします。要紹介状、診療情報提供書、脳画像
東京慈恵会医科大学附属第三病院,○,○,○,狛江市和泉本町4-11-1,03-3480-1151(代),ソーシャルワーカー室　またはリハビリテーション科,入院の場合は、感染症検査必須 要予約、紹介状、診療情報提供書、脳画像 その他：各種検査データ
社会医療法人財団大和会東大和病院,○,,,東大和市南街1-13-12,042-562-1411(代),医療福祉相談室,要紹介状、診療情報提供書
社会福祉法人信愛報恩会信愛病院,,○,○,清瀬市梅園2-5-9,042-491-3211(代),患者サポートセンター,要予約、診療情報提供書、その他まずは患者サポートセンターにご一報ください。
社会福祉法人上宮会清瀬リハビリテーション病院,,○,,清瀬市竹丘3-3-33,042-493-6111(代),相談室　　　　　　　　　　　,事前に医療相談室にお問い合わせください。要予約、紹介状、診療情報提供書
独立行政法人国立病院機構東京病院,,○,○,清瀬市竹丘3-1-1,042-491-2111(代),地域医療連携室,脳神経内科高次脳機能障害外来(第１・第３木曜日)、リハビリテーション科外来(月曜日、火曜日、金曜日)。他の曜日は、地域医療連携室へお問い合わせください。初診の方は予約センターで予約が必要です（042-491-2181）要予約、紹介状、診療情報提供書、脳画像
独立行政法人国立病院機構村山医療センター,,○,,武蔵村山市学園2-37-1,042-561-1221(代),医療福祉相談室,要予約、紹介状、診察情報提供書、脳画像
社会医療法人財団大和会武蔵村山病院,,○,,武蔵村山市榎1-1-5,042-566-3111(代),リハビリテーションセンター　　　　　　　　　　　　　　　　　　　　　　                            ,要予約、紹介状、診療情報提供書、脳画像
社会医療法人河北医療財団天本病院,,○,○,多摩市中沢2-5-1,042-310-0333(代),地域医療連携室,要予約、事前にお問い合わせください。
稲城市立病院,○,,,稲城市大丸1171,042-377-0931(代),医事課地域連携係,外来のみにさせていただきます。精神科対応はできません。要予約、紹介状、診療情報提供書、脳画像
医療法人社団三秀会羽村三慶病院,,○,○,羽村市羽4207,042-570-1130(代),医療相談室　　　   　　,予めお問い合わせください。要予約、紹介状、診療情報提供書、脳画像
公立阿伎留医療センター,○,○,,あきる野市引田78-1,042-558-0321(代),地域医療連携センター,事前相談をお願いします。要予約、紹介状、診療情報提供書、脳画像
医療法人財団暁あきる台病院,,○,○,あきる野市秋川6-5-1,042-559-5761(代),医療福祉相談室,要紹介状、診療情報提供書、脳画像
医療法人社団東光会西東京中央総合病院,○,,,西東京市芝久保町2-4-19,042-464-1511(代),医療福祉科 　,要予約、診療情報提供書、脳画像 事前にお問い合わせください。
医療法人社団時正会佐々総合病院,○,,,西東京市田無町4-24-15,042-461-1535(代),,要予約、紹介状、診療情報提供書、脳画像
医療法人財団緑秀会田無病院,,○,○,西東京市緑町3-6-1,042-461-2682(代),医療福祉連携部 042-461-7225(直),要診療情報提供書、脳画像
医療法人社団エキップみわ内科クリニック,,,○,西東京市下保谷4-12-2-101,042-438-7188(代),,要予約
医療法人社団崎陽会日の出ヶ丘病院,,,○,西多摩郡日の出町大久野310,042-597-0811(代),医療福祉相談室042-597-1313(直),外来リハビリは予約が必要になります。要予約、診療情報提供書、脳画像
医療法人財団利定会大久野病院,,○,○,西多摩郡日の出町大字大久野6416, 042-597-0873(代）,西多摩高次脳機能障害支援センター又は、地域連携課042-597-1003(直)  ,診断、リハビリテーション、制度利用、各種相談をご希望する方は、事前に西多摩高次脳機能障害支援センターもしくは、地域連携課までお問い合わせください。また初回診察時に、診療情報提供書、CT、MRI等フィルム・資料等があれば、ご持参ください。
奥多摩町国民健康保険奥多摩病院,,○,○,西多摩郡奥多摩町氷川1111,0428-83-2145(代),事務室,要予約、紹介状、診療情報提供書、脳画像
,,,,,,,
,,,,,,,
,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,,,,,,
