1,"東京都生計分析調査　令和 4年 8月","","","","","","","","","","","","","","","","","",""
17,"2","基礎的支出",19296,5.9,-23.5,1078,1.1,8726,5.3,10824,5.1,14851,5.7,18246,5.7,30055,7.1,50743,6.2
18,"3","選択的支出",1824,0.6,33.7,-,-,393,0.2,1858,0.9,135,0.1,446,0.1,3355,0.8,6523,0.8
19,"1","光熱・水道",21342,6.5,18.6,10406,10.6,17716,10.7,19411,9.2,20998,8.1,27552,8.7,25223,6.0,27909,3.4
20,"2","基礎的支出",21342,6.5,18.6,10406,10.6,17716,10.7,19411,9.2,20998,8.1,27552,8.7,25223,6.0,27909,3.4
21,"3","選択的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,"1","家具・家事用品",13970,4.3,-1.8,3075,3.1,5525,3.3,7938,3.8,9667,3.7,13142,4.1,20174,4.8,37905,4.7
23,"2","基礎的支出",9854,3.0,-11.3,2687,2.7,4789,2.9,6439,3.1,7836,3.0,10150,3.2,11401,2.7,25449,3.1
24,"3","選択的支出",4116,1.3,31.8,387,0.4,736,0.4,1499,0.7,1831,0.7,2992,0.9,8773,2.1,12457,1.5
25,"1","被服及び履物",8916,2.7,24.2,1656,1.7,2701,1.6,4460,2.1,9105,3.5,9326,2.9,13397,3.2,21558,2.6
26,"2","基礎的支出",694,0.2,41.9,229,0.2,292,0.2,610,0.3,812,0.3,666,0.2,996,0.2,1245,0.2
27,"3","選択的支出",8222,2.5,22.9,1427,1.5,2410,1.5,3849,1.8,8293,3.2,8660,2.7,12400,2.9,20313,2.5
28,"1","保健医療",22587,6.9,22.7,4667,4.8,9043,5.5,14513,6.9,17083,6.6,18309,5.8,23827,5.6,70026,8.6
29,"2","基礎的支出",20268,6.2,24.0,4426,4.5,7889,4.8,12451,5.9,14164,5.4,17560,5.5,19834,4.7,64971,8.0
30,"3","選択的支出",2319,0.7,12.5,241,0.2,1154,0.7,2062,1.0,2919,1.1,749,0.2,3993,0.9,5055,0.6
31,"1","交通・通信",34925,10.6,-1.2,7154,7.3,14011,8.5,21836,10.4,31115,11.9,31588,9.9,50474,11.9,87456,10.7
32,"2","基礎的支出",9034,2.8,5.1,1701,1.7,3769,2.3,6226,3.0,9885,3.8,10002,3.1,12688,3.0,18793,2.3
33,"3","選択的支出",25891,7.9,-3.3,5454,5.6,10241,6.2,15609,7.4,21230,8.2,21586,6.8,37786,8.9,68663,8.4
34,"1","教育",14003,4.3,29.3,513,0.5,1013,0.6,3067,1.5,1386,0.5,5314,1.7,21176,5.0,64877,8.0
35,"2","基礎的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,"3","選択的支出",14003,4.3,29.3,513,0.5,1013,0.6,3067,1.5,1386,0.5,5314,1.7,21176,5.0,64877,8.0
37,"1","教養娯楽",42599,13.0,31.1,6342,6.5,15563,9.4,19036,9.1,27794,10.7,44087,13.9,54169,12.8,129924,15.9
38,"2","基礎的支出",6870,2.1,-0.6,2461,2.5,5033,3.0,6582,3.1,6254,2.4,8466,2.7,8071,1.9,11140,1.4
39,"3","選択的支出",35729,10.9,39.7,3880,4.0,10530,6.4,12454,5.9,21540,8.3,35621,11.2,46097,10.9,118784,14.6
40,"1","その他の消費支出",53281,16.2,36.1,7970,8.1,18253,11.0,22816,10.9,39079,15.0,47798,15.0,59751,14.1,175571,21.6
41,"2","基礎的支出",21512,6.6,46.7,4806,4.9,8075,4.9,10323,4.9,12434,4.8,18692,5.9,27276,6.4,68322,8.4
42,"3","選択的支出",31769,9.7,29.8,3164,3.2,10178,6.2,12493,5.9,26645,10.2,29107,9.2,32475,7.7,107249,13.2
