1,"東京都生計分析調査　令和 4年 6月","","","","","","","","","","","","","","","","","",""
17,"2","基礎的支出",20662,7.2,27.3,3215,3.4,4731,3.1,13214,6.8,14362,5.9,18569,6.2,32209,8.4,57992,9.0
18,"3","選択的支出",1569,0.5,30.8,-,-,1213,0.8,927,0.5,1770,0.7,2102,0.7,2189,0.6,2758,0.4
19,"1","光熱・水道",20323,7.1,8.4,10120,10.6,19103,12.6,18806,9.7,19689,8.1,22313,7.5,24749,6.4,27301,4.2
20,"2","基礎的支出",20323,7.1,8.4,10120,10.6,19103,12.6,18806,9.7,19689,8.1,22313,7.5,24749,6.4,27301,4.2
21,"3","選択的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,"1","家具・家事用品",12995,4.5,-1.4,4097,4.3,4253,2.8,9048,4.7,10439,4.3,11129,3.7,16269,4.2,35564,5.5
23,"2","基礎的支出",9699,3.4,-1.7,3408,3.6,3378,2.2,6418,3.3,7362,3.0,8609,2.9,13194,3.4,25402,3.9
24,"3","選択的支出",3296,1.1,-0.5,689,0.7,876,0.6,2629,1.4,3077,1.3,2520,0.8,3076,0.8,10163,1.6
25,"1","被服及び履物",11014,3.8,-8.4,3268,3.4,3579,2.4,6549,3.4,10533,4.4,13384,4.5,14408,3.7,25242,3.9
26,"2","基礎的支出",929,0.3,-11.4,230,0.2,397,0.3,480,0.2,907,0.4,1354,0.5,1423,0.4,1698,0.3
27,"3","選択的支出",10086,3.5,-8.1,3038,3.2,3182,2.1,6069,3.1,9626,4.0,12030,4.0,12985,3.4,23544,3.6
28,"1","保健医療",16148,5.6,-24.3,4521,4.7,7580,5.0,9501,4.9,13549,5.6,18134,6.1,23736,6.2,35794,5.5
29,"2","基礎的支出",13216,4.6,-29.8,4104,4.3,6996,4.6,8138,4.2,11125,4.6,14523,4.9,18322,4.8,29131,4.5
30,"3","選択的支出",2932,1.0,16.8,417,0.4,585,0.4,1363,0.7,2424,1.0,3610,1.2,5415,1.4,6663,1.0
31,"1","交通・通信",34055,11.8,35.3,5005,5.2,14309,9.5,15453,8.0,22002,9.1,26928,9.1,48048,12.5,106073,16.4
32,"2","基礎的支出",7099,2.5,1.3,1203,1.3,3891,2.6,3388,1.8,5487,2.3,8183,2.8,15100,3.9,12324,1.9
33,"3","選択的支出",26955,9.4,48.4,3801,4.0,10418,6.9,12065,6.3,16515,6.8,18745,6.3,32947,8.6,93749,14.5
34,"1","教育",12972,4.5,10.5,307,0.3,1715,1.1,3379,1.8,4677,1.9,8760,2.9,16828,4.4,54878,8.5
35,"2","基礎的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,"3","選択的支出",12972,4.5,10.5,307,0.3,1715,1.1,3379,1.8,4677,1.9,8760,2.9,16828,4.4,54878,8.5
37,"1","教養娯楽",30023,10.4,4.9,6873,7.2,14054,9.3,17128,8.9,23748,9.8,30506,10.3,45552,11.8,71854,11.1
38,"2","基礎的支出",6048,2.1,4.3,2809,2.9,5390,3.6,4772,2.5,5371,2.2,8582,2.9,6815,1.8,8536,1.3
39,"3","選択的支出",23975,8.3,5.0,4065,4.2,8663,5.7,12356,6.4,18377,7.6,21924,7.4,38738,10.1,63318,9.8
40,"1","その他の消費支出",39560,13.7,-17.0,6158,6.4,15188,10.1,25769,13.3,34050,14.1,45786,15.4,48393,12.6,100973,15.6
41,"2","基礎的支出",18067,6.3,3.0,2658,2.8,8364,5.5,12680,6.6,13805,5.7,17727,6.0,18773,4.9,52181,8.1
42,"3","選択的支出",21493,7.5,-28.6,3500,3.6,6824,4.5,13089,6.8,20245,8.4,28059,9.4,29620,7.7,48791,7.5
