1,"東京都生計分析調査　令和 4年11月","","","","","","","","","","","","","","","","","",""
17,"2","基礎的支出",31936,9.2,7.1,1981,1.8,7849,4.4,21063,9.2,20162,7.1,24561,7.2,22774,5.3,124814,14.6
18,"3","選択的支出",2666,0.8,144.6,218,0.2,729,0.4,501,0.2,754,0.3,3041,0.9,1032,0.2,12368,1.4
19,"1","光熱・水道",21395,6.2,26.7,12811,11.9,19011,10.7,21006,9.2,20101,7.1,22481,6.6,24299,5.6,29932,3.5
20,"2","基礎的支出",21395,6.2,26.7,12811,11.9,19011,10.7,21006,9.2,20101,7.1,22481,6.6,24299,5.6,29932,3.5
21,"3","選択的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,"1","家具・家事用品",15411,4.4,15.6,3533,3.3,5581,3.1,9204,4.0,11179,4.0,13756,4.0,16894,3.9,47611,5.6
23,"2","基礎的支出",9755,2.8,16.2,2922,2.7,4716,2.6,5982,2.6,7921,2.8,8086,2.4,13448,3.1,25140,2.9
24,"3","選択的支出",5656,1.6,14.7,611,0.6,866,0.5,3221,1.4,3257,1.2,5670,1.7,3446,0.8,22470,2.6
25,"1","被服及び履物",14247,4.1,5.5,2571,2.4,6337,3.6,7280,3.2,8432,3.0,14607,4.3,17296,4.0,43097,5.1
26,"2","基礎的支出",829,0.2,32.9,471,0.4,466,0.3,742,0.3,949,0.3,862,0.3,1004,0.2,1301,0.2
27,"3","選択的支出",13419,3.9,4.2,2100,2.0,5871,3.3,6538,2.9,7483,2.6,13746,4.0,16292,3.8,41796,4.9
28,"1","保健医療",18945,5.5,2.9,5297,4.9,9320,5.2,14332,6.3,17264,6.1,20091,5.9,21918,5.1,44238,5.2
29,"2","基礎的支出",15999,4.6,5.1,4833,4.5,7883,4.4,13134,5.7,15490,5.5,17259,5.0,17427,4.0,35837,4.2
30,"3","選択的支出",2946,0.9,-7.5,464,0.4,1437,0.8,1198,0.5,1774,0.6,2831,0.8,4492,1.0,8402,1.0
31,"1","交通・通信",32322,9.3,-11.4,7642,7.1,14948,8.4,20697,9.0,27726,9.8,35030,10.2,53740,12.5,66223,7.8
32,"2","基礎的支出",8011,2.3,-11.1,2430,2.3,3730,2.1,6762,3.0,7699,2.7,9591,2.8,13208,3.1,12592,1.5
33,"3","選択的支出",24311,7.0,-11.5,5212,4.8,11219,6.3,13935,6.1,20027,7.1,25438,7.4,40532,9.4,53631,6.3
34,"1","教育",21758,6.3,53.4,98,0.1,853,0.5,1293,0.6,4503,1.6,8697,2.5,31309,7.3,105413,12.4
35,"2","基礎的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,"3","選択的支出",21758,6.3,53.4,98,0.1,853,0.5,1293,0.6,4503,1.6,8697,2.5,31309,7.3,105413,12.4
37,"1","教養娯楽",37823,10.9,4.7,6985,6.5,19860,11.2,20701,9.0,35599,12.6,38736,11.3,47403,11.0,95175,11.2
38,"2","基礎的支出",6229,1.8,2.6,3210,3.0,5026,2.8,5272,2.3,6907,2.4,6664,1.9,7437,1.7,9054,1.1
39,"3","選択的支出",31593,9.1,5.1,3775,3.5,14834,8.3,15429,6.7,28692,10.2,32072,9.4,39966,9.3,86121,10.1
40,"1","その他の消費支出",52627,15.2,-2.1,9169,8.5,18790,10.6,29115,12.7,40097,14.2,55012,16.0,69294,16.1,146493,17.2
41,"2","基礎的支出",22295,6.4,-12.9,3985,3.7,8202,4.6,13777,6.0,17765,6.3,23293,6.8,25231,5.9,63624,7.5
42,"3","選択的支出",30331,8.8,7.8,5183,4.8,10588,5.9,15338,6.7,22332,7.9,31719,9.3,44064,10.2,82868,9.7
