"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年増加率（％）","65歳未満／実数（円）","65歳未満／構成比（％）","65歳以上／実数（円）","65歳以上／構成比（％）","（再掲）75歳以上／実数（円）","（再掲）75歳以上／構成比（％）"
"1","4","0","0","0","他の事業収入",1364,0.5,92.1,8390,3.4,581,0.2,677,0.3
"1","4","0","0","0","内職収入",3829,1.5,44.4,12783,5.1,2913,1.2,1485,0.7
"1","3","0","0","0","他の経常収入",194309,78.3,2.5,122436,49.0,201834,81.3,193613,85.8
"1","4","0","0","0","財産収入",8290,3.3,93.9,5296,2.1,8563,3.4,10800,4.8
"1","4","0","0","0","社会保障給付",185240,74.6,0.8,114632,45.8,192649,77.6,182411,80.8
"1","5","0","0","0","公的年金給付",179697,72.4,0.0,81218,32.5,189908,76.5,179787,79.7
"1","5","0","0","0","他の社会保障給付",5543,2.2,39.0,33414,13.4,2741,1.1,2624,1.2
"1","4","0","0","0","仕送り金",779,0.3,-46.9,2507,1.0,622,0.3,402,0.2
"1","2","0","0","0","特別収入",17855,7.2,178.4,18755,7.5,17754,7.1,9688,4.3
"1","3","0","0","0","受贈金",8505,3.4,...,1209,0.5,9236,3.7,832,0.4
"1","3","0","0","0","他の特別収入",9349,3.8,65.3,17546,7.0,8517,3.4,8856,3.9
"1","1","0","0","0","実収入以外の受取(繰入金を除く)",345463,-,-4.1,441275,-,335569,-,293152,-
"1","2","0","0","0","預貯金引出",255245,-,-1.0,315316,-,249031,-,223498,-
"1","2","0","0","0","保険金",32919,-,-18.0,46595,-,31280,-,28943,-
"1","3","0","0","0","個人・企業年金保険金",27714,-,-5.8,23914,-,28183,-,24706,-
"1","3","0","0","0","他の保険金",5205,-,-51.5,22681,-,3097,-,4237,-
"1","2","0","0","0","有価証券売却",130,-,10.2,-,-,142,-,-,-
"1","2","0","0","0","土地家屋借入金",-,-,-,-,-,-,-,-,-
"1","2","0","0","0","他の借入金",167,-,-87.5,2223,-,12,-,5,-
"1","2","0","0","0","クレジット購入借入金",56512,-,-6.1,77102,-,54563,-,40222,-
"1","2","0","0","0","土地家屋売却",-,-,-,-,-,-,-,-,-
"1","2","0","0","0","実収入以外の受取のその他",490,-,-9.1,40,-,541,-,484,-
"1","1","0","0","0","繰入金",116831,-,11.9,244906,-,103037,-,106070,-
"2","0","0","0","0","支払",710502,-,1.5,936237,-,686961,-,624860,-
"2","1","0","0","0","実支出",304792,-,4.2,354704,-,299852,-,273615,-
"2","2","0","0","0","生計支出",271232,-,7.1,311505,-,267148,-,242928,-
"2","3","0","0","0","消費支出",265685,100.0,4.9,311505,100.0,261071,100.0,242928,100.0
"2","4","1","0","0","食料",79514,29.9,0.2,88629,28.5,78653,30.1,73770,30.4
"2","5","1","1","0","穀類",6421,2.4,-2.3,7105,2.3,6359,2.4,5926,2.4
"2","6","1","1","1","米類",1720,0.6,-6.4,1932,0.6,1702,0.7,1635,0.7
"2","6","1","1","2","パン",2737,1.0,1.0,2686,0.9,2744,1.1,2522,1.0
"2","6","1","1","3","麺類",1489,0.6,-1.3,1902,0.6,1449,0.6,1342,0.6
"2","6","1","1","4","他の穀類",474,0.2,-8.3,585,0.2,463,0.2,427,0.2
"2","5","1","2","0","魚介類",7620,2.9,-2.2,7125,2.3,7672,2.9,7948,3.3
"2","6","1","2","1","生鮮魚介",4126,1.6,-9.3,3652,1.2,4175,1.6,4286,1.8
"2","6","1","2","2","塩干魚介",1367,0.5,5.3,1257,0.4,1377,0.5,1476,0.6
"2","6","1","2","3","魚肉練製品",936,0.4,14.6,918,0.3,937,0.4,918,0.4
"2","6","1","2","4","他の魚介加工品",1193,0.4,5.4,1297,0.4,1184,0.5,1269,0.5
"2","5","1","3","0","肉類",6689,2.5,-8.5,7719,2.5,6589,2.5,6013,2.5
"2","6","1","3","1","生鮮肉",5255,2.0,-10.8,6077,2.0,5174,2.0,4693,1.9
"2","6","1","3","2","加工肉",1434,0.5,0.6,1642,0.5,1414,0.5,1320,0.5
"2","5","1","4","0","乳卵類",4162,1.6,-5.6,4207,1.4,4161,1.6,3856,1.6
"2","6","1","4","1","牛乳",1305,0.5,-7.0,1260,0.4,1312,0.5,1253,0.5
"2","6","1","4","2","乳製品",2032,0.8,-5.8,2140,0.7,2021,0.8,1792,0.7
"2","6","1","4","3","卵",825,0.3,-2.6,808,0.3,828,0.3,811,0.3
"2","5","1","5","0","野菜・海藻",11481,4.3,-3.9,9931,3.2,11654,4.5,11528,4.7
"2","6","1","5","1","生鮮野菜",7983,3.0,-3.0,6981,2.2,8097,3.1,7995,3.3
"2","6","1","5","2","乾物・海藻",828,0.3,-8.6,604,0.2,851,0.3,850,0.3
"2","6","1","5","3","大豆加工品",1235,0.5,-5.7,1110,0.4,1249,0.5,1187,0.5
"2","6","1","5","4","他の野菜・海藻加工品",1434,0.5,-4.5,1236,0.4,1456,0.6,1496,0.6
"2","5","1","6","0","果物",4478,1.7,-7.4,3696,1.2,4561,1.7,4531,1.9
"2","6","1","6","1","生鮮果物",4075,1.5,-6.7,3146,1.0,4172,1.6,4177,1.7
"2","6","1","6","2","果物加工品",403,0.2,-14.1,550,0.2,389,0.1,354,0.1
"2","5","1","7","0","油脂・調味料",3943,1.5,-2.0,3994,1.3,3943,1.5,3794,1.6
"2","6","1","7","1","油脂",490,0.2,-1.0,462,0.1,494,0.2,437,0.2
"2","6","1","7","2","調味料",3452,1.3,-2.2,3532,1.1,3449,1.3,3357,1.4
"2","5","1","8","0","菓子類",5988,2.3,3.3,7708,2.5,5811,2.2,5196,2.1
"2","5","1","9","0","調理食品",13024,4.9,7.2,14668,4.7,12864,4.9,12361,5.1
"2","6","1","9","1","主食的調理食品",5454,2.1,6.7,6531,2.1,5347,2.0,5054,2.1
"2","6","1","9","2","他の調理食品",7570,2.8,7.6,8137,2.6,7518,2.9,7307,3.0
"2","5","1","10","0","飲料",4761,1.8,0.2,6066,1.9,4632,1.8,4238,1.7
"2","6","1","10","1","茶類",1223,0.5,-1.8,1299,0.4,1215,0.5,1155,0.5
"2","6","1","10","2","コーヒー・ココア",950,0.4,-1.2,1057,0.3,940,0.4,737,0.3
"2","6","1","10","3","他の飲料",2589,1.0,1.7,3710,1.2,2477,0.9,2346,1.0
"2","5","1","11","0","酒類",3773,1.4,9.3,4778,1.5,3670,1.4,3057,1.3
"2","5","1","12","0","外食",7174,2.7,13.3,11633,3.7,6738,2.6,5323,2.2
"2","6","1","12","1","一般外食",7131,2.7,13.2,11335,3.6,6721,2.6,5315,2.2
"2","6","1","12","2","学校給食",43,0.0,19.4,298,0.1,17,0.0,9,0.0
"2","4","2","0","0","住居",23096,8.7,-0.4,36585,11.7,21629,8.3,19640,8.1
"2","5","2","1","0","家賃地代",8870,3.3,67.9,20565,6.6,7674,2.9,6875,2.8
"2","5","2","2","0","設備修繕・維持",14226,5.4,-20.6,16020,5.1,13955,5.3,12764,5.3
"2","6","2","2","1","設備材料",4309,1.6,-12.4,1291,0.4,4632,1.8,4106,1.7
"2","6","2","2","2","工事その他のサービス",9917,3.7,-23.7,14728,4.7,9323,3.6,8659,3.6
"2","4","3","0","0","光熱・水道",22860,8.6,12.6,23478,7.5,22781,8.7,22217,9.1
"2","5","3","1","0","電気代",11148,4.2,21.9,12035,3.9,11043,4.2,10572,4.4
"2","5","3","2","0","ガス代",6421,2.4,14.7,6483,2.1,6416,2.5,6407,2.6
"2","5","3","3","0","他の光熱",635,0.2,42.4,282,0.1,669,0.3,690,0.3
"2","5","3","4","0","上下水道料",4655,1.8,-8.9,4678,1.5,4654,1.8,4547,1.9
"2","4","4","0","0","家具・家事用品",10720,4.0,-5.0,11510,3.7,10649,4.1,10094,4.2
"2","5","4","1","0","家庭用耐久財",4294,1.6,5.0,2615,0.8,4474,1.7,4226,1.7
"2","6","4","1","1","家事用耐久財",1569,0.6,-21.8,1835,0.6,1553,0.6,1486,0.6
"2","6","4","1","2","冷暖房用器具",2258,0.8,29.1,531,0.2,2431,0.9,2511,1.0
"2","6","4","1","3","一般家具",467,0.2,39.0,249,0.1,490,0.2,230,0.1
"2","5","4","2","0","室内装備・装飾品",511,0.2,-11.6,174,0.1,544,0.2,535,0.2
"2","5","4","3","0","寝具類",691,0.3,-6.0,1162,0.4,659,0.3,576,0.2
"2","5","4","4","0","家事雑貨",1626,0.6,-13.6,2245,0.7,1567,0.6,1481,0.6
"2","5","4","5","0","家事用消耗品",2859,1.1,-3.6,3478,1.1,2799,1.1,2650,1.1
"2","5","4","6","0","家事サービス",740,0.3,-28.1,1837,0.6,607,0.2,625,0.3
"2","4","5","0","0","被服及び履物",5945,2.2,-9.8,7468,2.4,5788,2.2,5346,2.2
"2","5","5","1","0","和服",20,0.0,-93.0,-,-,22,0.0,34,0.0
"2","5","5","2","0","洋服",1839,0.7,-18.5,2451,0.8,1776,0.7,1627,0.7
"2","6","5","2","1","男子用洋服",459,0.2,-51.6,437,0.1,463,0.2,453,0.2
"2","6","5","2","2","婦人用洋服",1360,0.5,5.3,1928,0.6,1301,0.5,1174,0.5
"2","6","5","2","3","子供用洋服",20,0.0,25.0,86,0.0,13,0.0,-,-
"2","5","5","3","0","シャツ・セーター類",1261,0.5,-10.6,1568,0.5,1231,0.5,1185,0.5
"2","6","5","3","1","男子用シャツ・セーター類",382,0.1,-8.0,387,0.1,380,0.1,335,0.1
"2","6","5","3","2","婦人用シャツ・セーター類",866,0.3,-12.4,1123,0.4,842,0.3,850,0.3
"2","6","5","3","3","子供用シャツ・セーター類",14,0.0,100.0,58,0.0,10,0.0,0,0.0
"2","5","5","4","0","下着類",798,0.3,-4.8,753,0.2,802,0.3,786,0.3
"2","6","5","4","1","男子用下着類",291,0.1,-12.3,176,0.1,303,0.1,313,0.1
"2","6","5","4","2","婦人用下着類",503,0.2,0.6,563,0.2,495,0.2,472,0.2
"2","6","5","4","3","子供用下着類",5,0.0,-16.7,14,0.0,4,0.0,1,0.0
"2","5","5","5","0","生地・糸類",117,0.0,-14.0,158,0.1,112,0.0,121,0.0
"2","5","5","6","0","他の被服",539,0.2,10.9,770,0.2,517,0.2,455,0.2
"2","5","5","7","0","履物類",894,0.3,6.4,1276,0.4,855,0.3,703,0.3
"2","5","5","8","0","被服関連サービス",476,0.2,38.4,493,0.2,474,0.2,435,0.2
"2","4","6","0","0","保健医療",18901,7.1,0.6,11508,3.7,19674,7.5,20222,8.3
"2","5","6","1","0","医薬品",3303,1.2,-1.6,2898,0.9,3342,1.3,3336,1.4
"2","5","6","2","0","健康保持用摂取品",2004,0.8,31.8,751,0.2,2136,0.8,2538,1.0
"2","5","6","3","0","保健医療用品・器具",2242,0.8,-9.7,2203,0.7,2250,0.9,2423,1.0
"2","5","6","4","0","保健医療サービス",11352,4.3,-0.7,5656,1.8,11946,4.6,11925,4.9
"2","4","7","0","0","交通・通信",27463,10.3,36.6,26067,8.4,27601,10.6,22551,9.3
"2","5","7","1","0","交通",4114,1.5,43.9,4941,1.6,4044,1.5,3638,1.5
"2","5","7","2","0","自動車等関係費",13614,5.1,89.4,10959,3.5,13867,5.3,10046,4.1
"2","6","7","2","1","自動車等購入",4223,1.6,...,-,-,4647,1.8,2796,1.2
"2","6","7","2","2","自転車購入",202,0.1,-52.1,441,0.1,179,0.1,182,0.1
"2","6","7","2","3","自動車等維持",9189,3.5,35.8,10519,3.4,9041,3.5,7068,2.9
"2","5","7","3","0","通信",9735,3.7,-3.2,10166,3.3,9690,3.7,8866,3.6
"2","4","8","0","0","教育",636,0.2,-72.9,4559,1.5,232,0.1,363,0.1
"2","5","8","1","0","授業料等",536,0.2,-74.3,3721,1.2,211,0.1,336,0.1
"2","5","8","2","0","教科書・学習参考教材",12,0.0,-36.8,122,0.0,1,0.0,1,0.0
"2","5","8","3","0","補習教育",88,0.0,-64.8,716,0.2,20,0.0,26,0.0
"2","4","9","0","0","教養娯楽",27505,10.4,11.1,33123,10.6,26978,10.3,22853,9.4
"2","5","9","1","0","教養娯楽用耐久財",1613,0.6,-0.6,2178,0.7,1561,0.6,833,0.3
"2","5","9","2","0","教養娯楽用品",4058,1.5,-14.2,5337,1.7,3939,1.5,3538,1.5
"2","5","9","3","0","書籍・他の印刷物",4325,1.6,-3.7,2729,0.9,4483,1.7,4382,1.8
"2","5","9","4","0","教養娯楽サービス",17509,6.6,25.8,22878,7.3,16996,6.5,14101,5.8
"2","6","9","4","1","宿泊料",1798,0.7,112.8,3311,1.1,1658,0.6,766,0.3
"2","6","9","4","2","パック旅行費",4416,1.7,289.8,2208,0.7,4663,1.8,4636,1.9
"2","6","9","4","3","月謝類",1852,0.7,4.5,3687,1.2,1676,0.6,1187,0.5
"2","6","9","4","4","他の教養娯楽サービス",9443,3.6,-7.1,13673,4.4,8998,3.4,7512,3.1
"2","4","10","0","0","その他の消費支出",49046,18.5,5.6,68579,22.0,47086,18.0,45875,18.9
"2","5","10","1","0","諸雑費",23531,8.9,13.8,45151,14.5,21314,8.2,18922,7.8
"2","6","10","1","1","理美容サービス",3077,1.2,-1.1,3731,1.2,3013,1.2,2522,1.0
"2","6","10","1","2","理美容用品",3821,1.4,-4.4,4821,1.5,3729,1.4,3393,1.4
"2","6","10","1","3","身の回り用品",879,0.3,-21.5,1553,0.5,809,0.3,656,0.3
"2","6","10","1","4","たばこ",614,0.2,-9.2,992,0.3,568,0.2,324,0.1
"2","6","10","1","5","他の諸雑費",15139,5.7,28.7,34054,10.9,13195,5.1,12027,5.0
"2","5","10","2","0","こづかい",4542,1.7,-20.0,1756,0.6,4848,1.9,5453,2.2
"2","5","10","3","0","交際費",19593,7.4,8.3,20030,6.4,19560,7.5,21011,8.6
"2","6","10","3","1","食料",4971,1.9,17.9,4514,1.4,5017,1.9,5013,2.1
"2","6","10","3","2","家具・家事用品",106,0.0,-31.2,107,0.0,105,0.0,40,0.0
"2","6","10","3","3","被服及び履物",207,0.1,-39.8,407,0.1,186,0.1,119,0.0
"2","6","10","3","4","教養娯楽",1064,0.4,55.1,1423,0.5,1027,0.4,1098,0.5
"2","6","10","3","5","他の物品サービス",561,0.2,70.5,1583,0.5,459,0.2,474,0.2
"2","6","10","3","6","贈与金",8961,3.4,1.2,7416,2.4,9126,3.5,10948,4.5
"2","6","10","3","7","他の交際費",3723,1.4,6.4,4580,1.5,3639,1.4,3319,1.4
"2","5","10","4","0","仕送り金",1380,0.5,-32.3,1642,0.5,1364,0.5,489,0.2
"2","3","0","0","0","土地家屋購入",5547,-,...,-,-,6077,-,-,-
"2","3","0","0","0","（再掲）教育関係費",1254,0.5,-58.8,6157,2.0,760,0.3,839,0.3
"2","3","0","0","0","（再掲）教養娯楽関係費",30746,11.6,16.3,38406,12.3,30016,11.5,25709,10.6
"2","3","0","0","0","（再掲）移転支出（贈与金＋仕送り金）",10341,3.9,-5.1,9058,2.9,10490,4.0,11437,4.7
"2","3","0","0","0","（再掲）経常消費支出",197940,74.5,2.5,222299,71.4,195550,74.9,183992,75.7
"2","3","0","0","0","（再掲）情報通信関係費",13802,5.2,-3.4,14662,4.7,13709,5.3,12020,4.9
"2","3","0","0","0","（再掲）消費支出（除く住居等）1)",228025,85.8,4.1,265862,85.3,224305,85.9,209056,86.1
"2","2","0","0","0","その他の実支出",33560,-,-14.8,43200,-,32705,-,30687,-
"2","3","0","0","0","直接税",14030,-,-17.6,17250,-,13740,-,12804,-
"2","4","0","0","0","勤労所得税",486,-,-36.1,1507,-,390,-,354,-
"2","4","0","0","0","個人住民税",4527,-,-21.7,7654,-,4226,-,3304,-
"2","4","0","0","0","他の税",9017,-,-13.9,8089,-,9123,-,9146,-
"2","3","0","0","0","社会保険料",19513,-,-12.8,25945,-,18947,-,17872,-
"2","4","0","0","0","公的年金保険料",2519,-,-30.6,12031,-,1580,-,1386,-
"2","4","0","0","0","健康保険料",10860,-,-11.0,12524,-,10727,-,10336,-
"2","4","0","0","0","介護保険料",6066,-,-6.3,1153,-,6587,-,6107,-
"2","4","0","0","0","他の社会保険料",68,-,-1.4,238,-,53,-,44,-
"2","3","0","0","0","その他",17,-,142.9,5,-,18,-,11,-
"2","1","0","0","0","実支出以外の支払(繰越金を除く)",314534,-,-2.6,353065,-,310756,-,275948,-
"2","2","0","0","0","預貯金",260324,-,-2.1,252493,-,261211,-,235993,-
"2","2","0","0","0","保険料",7368,-,5.4,14757,-,6583,-,6573,-
"2","3","0","0","0","個人・企業年金保険料",650,-,-23.6,4041,-,321,-,224,-
"2","3","0","0","0","他の保険料",6719,-,9.4,10716,-,6263,-,6349,-
"2","2","0","0","0","有価証券購入",2498,-,393.7,189,-,2727,-,3164,-
"2","2","0","0","0","土地家屋借金返済",4319,-,27.2,25184,-,2196,-,878,-
"2","2","0","0","0","他の借金返済",207,-,19.7,1145,-,115,-,79,-
"2","2","0","0","0","クレジット購入借入金返済",38648,-,-14.6,55165,-,37133,-,28319,-
"2","2","0","0","0","実支出以外の支払のその他",1170,-,63.0,4131,-,791,-,943,-
"2","1","0","0","0","繰越金",91176,-,8.3,228468,-,76353,-,75296,-
"3","0","0","0","0","可処分所得",214648,-,9.6,206857,-,215651,-,194951,-
"3","0","0","0","0","黒字",-51037,-,11.1,-104648,-,-45420,-,-47977,-
"3","1","0","0","0","金融資産純増",-18104,-,26.4,-94471,-,-9932,-,-6711,-
"3","3","0","0","0","貯蓄純増",-20472,-,18.1,-94660,-,-12517,-,-9875,-
"3","4","0","0","0","預貯金純増",5078,-,-37.8,-62823,-,12180,-,12495,-
"3","4","0","0","0","保険純増",-25551,-,22.9,-31837,-,-24697,-,-22370,-
"3","3","0","0","0","有価証券純購入",2368,-,511.9,189,-,2585,-,3164,-
"3","1","0","0","0","土地家屋借金純減",4319,-,27.2,25184,-,2196,-,878,-
"3","1","0","0","0","他の借金純減",40,-,103.4,-1077,-,103,-,74,-
"3","1","0","0","0","クレジット購入借入金純減",-17864,-,-19.6,-21937,-,-17430,-,-11903,-
"3","1","0","0","0","土地家屋純増",5547,-,...,-,-,6077,-,-,-
"3","1","0","0","0","その他の純増",680,-,279.9,4092,-,250,-,459,-
"3","1","0","0","0","繰越純増",-25655,-,-26.6,-16438,-,-26684,-,-30773,-
"","","","","","","","","","","","","","",""
"東京都生計分析調査　令和 4年","","","","","","","","","","","","","",""
"第３３表　世帯主年齢階層別１世帯当たり年平均１か月間の収入と用途別生計支出　―　無職世帯　―　","","","","","","","","","","","","","",""
"注）　1)は、「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いたもの。","","","","","","","","","","","","","",""
"項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）","","","","","","","","","","","","","",""
