1,"東京都生計分析調査　令和 4年 9月","","","","","","","","","","","","","","","","","",""
17,"2","基礎的支出",20280,6.3,-11.1,1923,1.9,3795,2.4,18493,8.7,19547,7.4,14033,4.3,35895,8.7,47894,6.1
18,"3","選択的支出",2157,0.7,58.0,1539,1.5,1279,0.8,715,0.3,112,0.0,2072,0.6,2322,0.6,7050,0.9
19,"1","光熱・水道",21068,6.5,17.8,13318,13.1,19973,12.5,17321,8.1,23099,8.8,22319,6.9,24031,5.8,27342,3.5
20,"2","基礎的支出",21068,6.5,17.8,13318,13.1,19973,12.5,17321,8.1,23099,8.8,22319,6.9,24031,5.8,27342,3.5
21,"3","選択的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,"1","家具・家事用品",13833,4.3,14.3,4255,4.2,4902,3.1,7260,3.4,10731,4.1,10663,3.3,19288,4.7,39566,5.0
23,"2","基礎的支出",8362,2.6,5.8,3632,3.6,4429,2.8,5454,2.6,7270,2.8,8564,2.7,9001,2.2,20111,2.6
24,"3","選択的支出",5471,1.7,30.2,623,0.6,473,0.3,1806,0.8,3461,1.3,2098,0.6,10287,2.5,19454,2.5
25,"1","被服及び履物",12036,3.7,35.4,1537,1.5,3614,2.3,4853,2.3,9141,3.5,13729,4.3,23710,5.8,27527,3.5
26,"2","基礎的支出",764,0.2,24.6,83,0.1,290,0.2,340,0.2,456,0.2,1290,0.4,1166,0.3,1714,0.2
27,"3","選択的支出",11272,3.5,36.3,1454,1.4,3324,2.1,4513,2.1,8685,3.3,12439,3.9,22543,5.5,25813,3.3
28,"1","保健医療",18109,5.6,-6.8,5020,4.9,9604,6.0,9363,4.4,19197,7.3,19088,5.9,22985,5.6,41354,5.3
29,"2","基礎的支出",15250,4.7,-10.3,4112,4.0,8997,5.7,8402,3.9,17408,6.6,15556,4.8,19714,4.8,32438,4.1
30,"3","選択的支出",2859,0.9,17.0,907,0.9,607,0.4,961,0.5,1789,0.7,3532,1.1,3271,0.8,8916,1.1
31,"1","交通・通信",36902,11.4,4.3,7378,7.3,12403,7.8,19044,9.0,28214,10.7,39382,12.2,42953,10.4,108485,13.8
32,"2","基礎的支出",8307,2.6,6.9,2096,2.1,2215,1.4,5046,2.4,7173,2.7,14008,4.3,9632,2.3,17899,2.3
33,"3","選択的支出",28596,8.8,3.5,5281,5.2,10188,6.4,13999,6.6,21041,8.0,25374,7.9,33321,8.1,90586,11.5
34,"1","教育",27443,8.5,32.4,356,0.4,1523,1.0,4476,2.1,3862,1.5,9608,3.0,13185,3.2,158511,20.1
35,"2","基礎的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,"3","選択的支出",27443,8.5,32.4,356,0.4,1523,1.0,4476,2.1,3862,1.5,9608,3.0,13185,3.2,158511,20.1
37,"1","教養娯楽",36495,11.3,12.0,5927,5.8,13098,8.2,21899,10.3,24950,9.5,38919,12.1,52615,12.8,97548,12.4
38,"2","基礎的支出",6615,2.0,7.4,2526,2.5,4353,2.7,6350,3.0,5168,2.0,8236,2.6,8188,2.0,11409,1.4
39,"3","選択的支出",29880,9.2,13.0,3401,3.3,8744,5.5,15548,7.3,19782,7.5,30683,9.5,44426,10.8,86139,10.9
40,"1","その他の消費支出",41985,13.0,-9.5,6091,6.0,19290,12.1,24969,11.7,36254,13.8,46668,14.5,56191,13.6,103908,13.2
41,"2","基礎的支出",18125,5.6,1.4,1720,1.7,10154,6.4,11364,5.3,13251,5.0,18784,5.8,25630,6.2,45719,5.8
42,"3","選択的支出",23860,7.4,-16.4,4372,4.3,9135,5.7,13605,6.4,23003,8.7,27884,8.6,30561,7.4,58189,7.4
