1,"東京都生計分析調査　令和 4年12月","","","","","","","","","","","","","","","","","",""
17,"2","基礎的支出",24087,6.4,-40.0,6626,5.2,8421,4.2,12919,5.0,20308,6.3,29580,7.5,29197,6.1,61318,7.1
18,"3","選択的支出",3917,1.0,93.9,1594,1.2,291,0.1,2956,1.1,1866,0.6,1212,0.3,10177,2.1,9286,1.1
19,"1","光熱・水道",24640,6.5,21.4,12940,10.1,20264,10.0,24378,9.4,26809,8.4,25391,6.5,29695,6.2,32884,3.8
20,"2","基礎的支出",24640,6.5,21.4,12940,10.1,20264,10.0,24378,9.4,26809,8.4,25391,6.5,29695,6.2,32884,3.8
21,"3","選択的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,"1","家具・家事用品",19352,5.1,22.6,4800,3.7,9311,4.6,9504,3.6,13413,4.2,17996,4.6,19812,4.2,60392,7.0
23,"2","基礎的支出",10321,2.7,-3.5,4229,3.3,7377,3.6,7540,2.9,10014,3.1,12319,3.1,11795,2.5,18895,2.2
24,"3","選択的支出",9031,2.4,77.4,571,0.4,1934,1.0,1964,0.8,3398,1.1,5677,1.4,8017,1.7,41497,4.8
25,"1","被服及び履物",14869,3.9,1.8,2442,1.9,5978,3.0,10118,3.9,9823,3.1,16439,4.2,19794,4.2,39368,4.6
26,"2","基礎的支出",928,0.2,-20.7,63,0.0,850,0.4,580,0.2,1149,0.4,866,0.2,1359,0.3,1615,0.2
27,"3","選択的支出",13941,3.7,3.7,2379,1.9,5128,2.5,9538,3.7,8674,2.7,15573,4.0,18435,3.9,37753,4.4
28,"1","保健医療",18930,5.0,12.1,7615,5.9,10360,5.1,14050,5.4,17123,5.3,28535,7.3,21102,4.4,33654,3.9
29,"2","基礎的支出",16843,4.5,14.6,6416,5.0,9775,4.8,12011,4.6,13746,4.3,26771,6.8,19547,4.1,29583,3.4
30,"3","選択的支出",2087,0.6,-5.1,1199,0.9,584,0.3,2039,0.8,3376,1.1,1764,0.4,1555,0.3,4071,0.5
31,"1","交通・通信",37073,9.8,12.2,10615,8.3,16656,8.2,20499,7.9,26023,8.1,37662,9.6,47324,10.0,100357,11.6
32,"2","基礎的支出",10295,2.7,3.2,3883,3.0,5618,2.8,7450,2.9,9235,2.9,10640,2.7,13727,2.9,21425,2.5
33,"3","選択的支出",26779,7.1,16.1,6731,5.2,11038,5.5,13049,5.0,16788,5.2,27022,6.9,33597,7.1,78932,9.2
34,"1","教育",20239,5.4,42.4,392,0.3,939,0.5,2043,0.8,5270,1.6,10016,2.5,30189,6.3,92418,10.7
35,"2","基礎的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,"3","選択的支出",20239,5.4,42.4,392,0.3,939,0.5,2043,0.8,5270,1.6,10016,2.5,30189,6.3,92418,10.7
37,"1","教養娯楽",40679,10.8,-0.4,8783,6.8,17807,8.8,25298,9.7,35310,11.0,44890,11.4,56086,11.8,96151,11.2
38,"2","基礎的支出",7936,2.1,-3.8,3835,3.0,5457,2.7,5599,2.1,9266,2.9,6928,1.8,8699,1.8,15676,1.8
39,"3","選択的支出",32743,8.7,0.4,4949,3.9,12350,6.1,19699,7.6,26044,8.1,37962,9.6,47387,10.0,80475,9.3
40,"1","その他の消費支出",57428,15.2,1.0,8912,6.9,20918,10.3,30821,11.8,48562,15.1,51969,13.2,67822,14.3,172195,20.0
41,"2","基礎的支出",30899,8.2,15.1,4359,3.4,11532,5.7,13818,5.3,22533,7.0,20636,5.2,30980,6.5,111924,13.0
42,"3","選択的支出",26529,7.0,-11.7,4553,3.5,9386,4.6,17004,6.5,26029,8.1,31333,8.0,36843,7.7,60271,7.0
