"名称","所在地","連絡先","入出庫可能時間","収容台数","利用形態","一時利用料_都度","定期利用料_1ヶ月","定期利用料_3ヶ月","定期利用料_年間","バイク利用","バイク一時利用料","窓口開設時間","添付ファイル","経度","緯度","分類"
"中野四季の森公園地下自転車駐車場","東京都中野区中野4-12","03-3385-1226","24時間","1500台","一時利用と定期利用の併設","1回100円","1600円","4200円","-","不可","-","6:30~20:00(一日利用は24時間可能)","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/1_中野四季の森公園地下自転車駐車場利用案内.pdf","139.662065","35.7084179999983","区営自転車駐車場設置箇所"
"沼袋南自転車等駐車整理区画","東京都中野区沼袋3-1","03-5380-3337","24時間","200台","一時利用と年間利用の併設","1回100円","-","-","9600円","不可","-","6:30~20:00(沼袋第一)","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/8_沼袋南自転車等駐車整理区画利用案内.pdf","139.663113857944","35.7182890284702","区営自転車駐車場設置箇所"
"沼袋第一自転車駐車場","東京都中野区沼袋3-1","03-5380-3337","24時間","17台","一時利用のみ","1回100円","-","-","-","可","1回200円","24時間(自動精算機)","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/7_沼袋第一自転車駐車場利用案内.pdf","139.663196104023","35.7185933566873","区営自転車駐車場設置箇所"
"沼袋地下自転車駐車場","東京都中野区沼袋1-34-14","03-3387-2178","4:30-（翌）1:30","470台","一時利用と定期利用の併設","1回100円","1600円","4200円","-","不可","-","6:30~20:00","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/9_沼袋地下自転車駐車場利用案内.pdf","139.665221","35.7198349999984","区営自転車駐車場設置箇所"
"中野富士見町自転車駐車場","東京都中野区弥生町5-23-17","03-3228-5528","24時間","90台","年間利用のみ","-","-","-","9600円","不可","-","7:30~10:30,14:00~16:00","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/18_中野富士見町自転車駐車場利用案内.pdf","139.666383","35.6902229999977","区営自転車駐車場設置箇所"
"杉山公園地下自転車駐車場","東京都中野区本町6-15","03-3229-1077","24時間","240台","一時利用と定期利用の併設","1回100円","1600円","4200円","-","不可","-","6:00~21:00(継続購入は24時間精算機にて可能)","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/27_杉山公園地下自転車駐車場利用案内.pdf","139.66726","35.697041999998","区営自転車駐車場設置箇所"
"中野南自転車駐車場","東京都中野区中野2-24-9","03-3382-6930","24時間","500台","一時利用と定期利用の併設","1回100円(地下のみ)","2200円(1階は2500円)","6000円(1階は6900円)","-","不可","-","6:30~20:00","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/3_中野南自転車駐車場利用案内.pdf","139.666964828006","35.704341907215","区営自転車駐車場設置箇所"
"鍋横自転車駐車場","東京都中野区本町4-44","03-3383-5576","24時間","250台","一時利用と定期利用の併設","1回100円","1600円","4200円","-","不可","-","6:30~20:00","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/26_鍋横自転車駐車場利用案内.pdf","139.669934","35.6964769999977","区営自転車駐車場設置箇所"
"新江古田自転車駐車場","東京都中野区江原町2-29-17","03-3228-5528","24時間","200台","年間利用のみ","-","-","-","9600円","不可","-","7:30~10:30,14:00~16:00","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/25_新江古田自転車駐車場利用案内.pdf","139.671334999999","35.7320009999981","区営自転車駐車場設置箇所"
"新井薬師北自転車駐車場","東京都中野区上高田5-43-6","03-3386-0717","24時間","230台","一時利用と定期利用の併設","1回100円","1900円","5100円","-","不可","-","6:30~20:00","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/23_新井薬師北自転車駐車場利用案内.pdf","139.672137","35.7161729999982","区営自転車駐車場設置箇所"
"新井薬師南自転車駐車場","東京都中野区上高田3-36","03-3386-0717","24時間","70台","一時利用と定期利用の併設","1回100円","1700円","4500円","-","不可","-","6:30~20:00(新井薬師北)","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/24_新井薬師南自転車駐車場利用案内.pdf","139.672171","35.7148229999979","区営自転車駐車場設置箇所"
"中野新橋駅自転車駐車場","東京都中野区弥生町2-24","03-5385-6606","24時間","250台","一時利用と定期利用の併設","1回100円","1900円","5100円","-","不可","-","6:30~20:00","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/17_中野新橋駅自転車駐車場利用案内.pdf","139.673795","35.6925389999983","区営自転車駐車場設置箇所"
"中野坂上駅自転車駐車場","東京都中野区中央2-8","03-5330-8610","4:00-（翌）1:30","1052台","一時利用と定期利用の併設","1回100円","1600円","4200円","-","不可","-","6:30~20:00","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/12_中野坂上駅自転車駐車場利用案内.pdf","139.682778","35.6981509999986","区営自転車駐車場設置箇所"
"東中野駅自転車駐車場","東京都中野区東中野3-9","03-5386-8191","4:00-（翌）1:30","930台","一時利用と定期利用の併設","1回100円","1600円","4200円","-","不可","-","6:30~20:00","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/14_東中野駅自転車駐車場利用案内.pdf","139.683294","35.7079179999981","区営自転車駐車場設置箇所"
"東中野駅前広場地下自転車駐車場","東京都中野区東中野1-58-9先","03-3367-1021","4:00-（翌）1:30","220台","一時利用と定期利用の併設","1回150円","2500円","6900円","-","不可","-","6:30~20:00","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/16_東中野駅前広場地下自転車駐車場利用案内.pdf","139.683657","35.7060638999981","区営自転車駐車場設置箇所"
"落合駅自転車等駐車整理区画","東京都中野区東中野3-14","03-3360-1105","24時間","160台","一時利用と年間利用の併設","1回100円","-","-","9600円","不可","-","6:30~18:00","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/13_落合駅自転車等駐車整理区画利用案内.pdf","139.684168","35.7101869999984","区営自転車駐車場設置箇所"
"東中野東自転車等駐車整理区画","東京都中野区東中野5-3","03-3367-1021","24時間","34台","年間利用のみ","-","-","-","9600円","不可","-","6:30~20:00(東中野駅前広場地下)","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/15_東中野東自転車等駐車整理区画利用案内.pdf","139.686459","35.7069329999984","区営自転車駐車場設置箇所"
