"市区町村コード","番号","都道府県名","市区町村名","営業所名称","営業の種類","業態","営業所所在地","営業所方書","営業所電話番号","許可番号","初回許可年月日","許可日","許可開始日","許可満了日","最終確認日","経度","緯度","分類"
"","","","","","小柴　歩","⑯ コーヒー製造・加工業（飲料の製造を除く。）","南台二丁目１８番３号","和暢ビル３０２","","4中健衛食第114号","","","","","","139.67162804585","35.6825800104097","食品等営業許可_届出一覧"
"","","","","","渡辺豆腐店","【～Ｒ３．５】豆腐製造業","南台二丁目２４番１０号","","3381-4115","29中環生食第980号","昭和56年12月9日","平成29年12月22日","平成30年1月1日","令和6年12月31日","","139.671174911701","35.6834876306617","食品等営業許可_届出一覧"
"","","","","","キッチン　ノア","【～Ｒ３．５】飲食店営業（仕出し）","南台二丁目２５番７号","リーブラン若林１Ｆ","6383-3688","28中環生食第1044号","平成29年3月31日","平成29年3月31日","平成29年3月31日","令和6年3月31日","","139.670992199692","35.6834219623957","食品等営業許可_届出一覧"
"","","","","","米っこらぼ","【～Ｒ３．５】菓子製造業（パン製造業）","南台二丁目２６番６号","ファミールＫＳ１Ｆ","03-5340-7921","28中環生食第896号","平成29年2月15日","平成29年2月15日","平成29年2月15日","令和6年2月29日","","139.670503917416","35.6834025450925","食品等営業許可_届出一覧"
"","","","","","米っこらぼ","【～Ｒ３．５】飲食店営業（調理パン）","南台二丁目２６番６号","ファミールＫＳ１Ｆ","03-5340-7921","28中環生食第897号","平成29年2月15日","平成29年2月15日","平成29年2月15日","令和6年2月29日","","139.670503917416","35.6834025450925","食品等営業許可_届出一覧"
"","","","","","えぶロケ","【～Ｒ３．５】飲食店営業（一般・軽食喫茶）","南台二丁目２６番６号","ファミールＫＳ　１０１号","03-6382-8451","2中健衛食第703号","令和2年10月9日","令和2年10月9日","令和2年10月9日","令和8年10月31日","","139.670503917416","35.6834025450925","食品等営業許可_届出一覧"
"","","","","","マザーズハート南台園","? 集団給食施設","南台二丁目２８番４号","","03-6382-6228","3中健衛食第1633号","","","","","","139.669637164282","35.6828781325889","食品等営業許可_届出一覧"
"","","","","","ドミノ・ピザ　中野南台店","飲食店営業［一般飲食店］","南台二丁目２８番８号","","","3中健衛食第1397号","令和3年11月12日","令和3年11月12日","令和3年11月12日","令和10年11月30日","","139.669554917858","35.6833914021243","食品等営業許可_届出一覧"
"","","","","","焼肉　未来台所","【～Ｒ３．５】飲食店営業（一般・その他）","南台二丁目２９番３号","","3380-9974","30中環生食第263号","平成16年6月17日","平成30年6月13日","平成30年7月1日","令和7年6月30日","","139.669494154402","35.6839339112393","食品等営業許可_届出一覧"
"","","","","","ジャンクコーヒー","【～Ｒ３．５】飲食店営業（一般・軽食喫茶）","南台二丁目２９番３号","都営南台アパート１階１０４","5340-2365","31中健衛食第946号","平成18年3月7日","令和2年3月18日","令和2年4月1日","令和9年3月31日","","139.669494154402","35.6839339112393","食品等営業許可_届出一覧"
"","","","","","いなば播七","⑪ 菓子製造業","南台二丁目２９番３号","107","03-3382-7615","3中健衛食第2044号","令和4年3月30日","令和4年3月30日","令和4年3月30日","令和11年3月31日","","139.669494154402","35.6839339112393","食品等営業許可_届出一覧"
"","","","","","居酒屋　とみＱ","飲食店営業［一般飲食店］","南台二丁目３１番１号","","","4中健衛食第642号","令和5年1月23日","令和5年1月23日","令和5年1月23日","令和11年1月31日","","139.670373144798","35.6836032840646","食品等営業許可_届出一覧"
"","","","","","魚五","【～Ｒ３．５】飲食店営業（一般そうざい）","南台二丁目３１番２号","","3381-4146","2中健衛食第563号","昭和59年8月7日","令和2年8月19日","令和2年9月1日","令和8年8月31日","","139.67016931796","35.683598585871","食品等営業許可_届出一覧"
"","","","","","魚五","【～Ｒ３．５】魚介類販売業（一般）","南台二丁目３１番２号","","3381-4146","2中健衛食第564号","昭和59年8月7日","令和2年8月19日","令和2年9月1日","令和8年8月31日","","139.67016931796","35.683598585871","食品等営業許可_届出一覧"
"","","","","","Ｂｕｄｄｙ","【～Ｒ３．５】飲食店営業（一般・スナック）","南台二丁目３１番３号","","03-3381-0776","30中環生食第16号","平成5年4月30日","平成30年4月13日","平成30年5月1日","令和7年4月30日","","139.670037916687","35.6835641710415","食品等営業許可_届出一覧"
"","","","","","オリーブ","飲食店営業［一般飲食店］","南台二丁目３２番１号","","03-6382-6224","4中健衛食第372号","令和4年9月27日","令和4年9月27日","令和4年9月27日","令和11年9月30日","","139.670595842442","35.6835635426223","食品等営業許可_届出一覧"
"","","","","","ゆるり","【～Ｒ３．５】飲食店営業（一般・その他）","南台二丁目３２番１０号","","","30中環生食第549号","平成30年10月9日","平成30年10月9日","平成30年10月9日","令和6年10月31日","","139.671048777629","35.6846766612871","食品等営業許可_届出一覧"
"","","","","","（有）杉田製餡所","【～Ｒ３．５】あん類製造業","南台二丁目３３番４号","","3381-2355","2中健衛食第1232号","平成7年4月1日","令和3年3月4日","令和3年4月1日","令和10年3月31日","","139.67133594491","35.6847189844311","食品等営業許可_届出一覧"
"","","","","","利喜庵","【～Ｒ３．５】飲食店営業（そば）","南台二丁目３３番１３号","","3381-7934","31中健衛食第943号","昭和58年3月16日","令和2年3月10日","令和2年4月1日","令和9年3月31日","","139.67095808479","35.6836294540282","食品等営業許可_届出一覧"
"","","","","","川上商店","【～Ｒ３．５】食肉処理業（畜肉）","南台二丁目３５番７号","","3229-2422","31中健衛食第492号","平成4年10月26日","令和1年10月10日","令和1年11月1日","令和8年10月31日","","139.671836741218","35.684011613174","食品等営業許可_届出一覧"
"","","","","","幼保園ベビーサロン南台","? 集団給食施設","南台二丁目４９番１３号","","03-3383-7893","3中健衛食第946号","","","","","","139.670270728043","35.6856225223863","食品等営業許可_届出一覧"
"","","","","","とら八商店","【～Ｒ３．５】菓子製造業（生菓子・和生）","南台二丁目５０番６号","","5385-8878","29中環生食第296号","平成3年6月5日","平成29年6月21日","平成29年7月1日","令和5年6月30日","","139.669864874211","35.6849940348459","食品等営業許可_届出一覧"
"","","","","","株式会社　ライフコーポレーション　中野南台店","【～Ｒ３．５】飲食店営業（弁当）","南台二丁目５１番７号","","3384-8581","28中環生食第665号","平成7年12月1日","平成28年11月18日","平成28年12月1日","令和5年11月30日","","139.669409132015","35.684995688738","食品等営業許可_届出一覧"
"","","","","","株式会社　ライフコーポレーション　中野南台店","【～Ｒ３．５】食肉販売業（一般・畜肉）","南台二丁目５１番７号","","3384-8581","28中環生食第667号","平成2年11月21日","平成28年11月18日","平成28年12月1日","令和5年11月30日","","139.669409132015","35.684995688738","食品等営業許可_届出一覧"
"","","","","","株式会社　ライフコーポレーション　中野南台店","【～Ｒ３．５】魚介類販売業（一般）","南台二丁目５１番７号","","3384-8581","28中環生食第668号","平成2年11月21日","平成28年11月18日","平成28年12月1日","令和5年11月30日","","139.669409132015","35.684995688738","食品等営業許可_届出一覧"
"","","","","","株式会社　ライフコーポレーション　中野南台店","【～Ｒ３．５】飲食店営業（食肉そうざい）","南台二丁目５１番７号","","3384-8581","31中健衛食第574号","令和1年11月6日","令和1年11月6日","令和1年11月6日","令和8年11月30日","","139.669409132015","35.684995688738","食品等営業許可_届出一覧"
"","","","","","株式会社　ライフコーポレーション　中野南台店","⑪ 百貨店、総合スーパー","南台二丁目５１番７号","","3384-8581","3中健衛食第542号","","","","","","139.669409132015","35.684995688738","食品等営業許可_届出一覧"
"","","","","","ファミリーマート南台二丁目店","【～Ｒ３．５】菓子製造業（パン製造業）","南台二丁目５２番６号","","03-5328-2981","29中環生食第45号","平成29年4月19日","平成29年4月19日","平成29年4月19日","令和6年4月30日","","139.669315330033","35.6860272177486","食品等営業許可_届出一覧"
"","","","","","ファミリーマート南台二丁目店","【～Ｒ３．５】飲食店営業（一般・その他）","南台二丁目５２番６号","","03-5328-2981","31中健衛食第894号","平成25年2月25日","令和2年2月28日","令和2年3月1日","令和9年2月28日","","139.669315330033","35.6860272177486","食品等営業許可_届出一覧"
"","","","","","ファミリーマート南台二丁目店","⑩ コンビニエンスストア","南台二丁目５２番６号","","03-5328-2981","3中健衛食第454号","","","","","","139.669315330033","35.6860272177486","食品等営業許可_届出一覧"
"","","","","","カフェ　シャローム","飲食店営業［一般飲食店］","南台二丁目５２番８号","リンデンホフ１Ｆ","03-3380-1211","3中健衛食第1699号","令和3年12月10日","令和3年12月10日","令和3年12月10日","令和10年12月31日","","139.669505422938","35.6859977567698","食品等営業許可_届出一覧"
"","","","","","ローソンストア１００　中野南台店","【～Ｒ３．５】飲食店営業（一般・その他）","南台三丁目１番１５号","金城共同マンション　１階","03-5342-6099","2中健衛食第1090号","令和3年1月26日","令和3年1月26日","令和3年1月26日","令和10年1月31日","","139.669205188417","35.6828790700268","食品等営業許可_届出一覧"
"","","","","","ローソンストア１００　中野南台店","⑩ コンビニエンスストア","南台三丁目１番１５号","金城共同マンション　１階","03-5342-6099","3中健衛食第469号","","","","","","139.669205188417","35.6828790700268","食品等営業許可_届出一覧"
"","","","","","ローソンストア１００　中野南台店","【～Ｒ３．５】飲食店営業（一般・その他）","南台三丁目１番１５号","金城共同マンション　１階","03-5342-6099","2中健衛食第973号","平成25年12月10日","令和2年12月22日","令和3年1月1日","令和9年12月31日","","139.669205188417","35.6828790700268","食品等営業許可_届出一覧"
"","","","","","とんかつ　きむら","【～Ｒ３．５】飲食店営業（一般・その他）","南台三丁目２番２号","鈴木ビル　１階","","29中環生食第842号","平成22年11月30日","平成29年11月27日","平成29年12月1日","令和6年11月30日","","139.668961282267","35.6835667306983","食品等営業許可_届出一覧"
"","","","","","有限会社多田米店","⑧ 米穀類販売業","南台三丁目２番１３号","","03-3381-4965","3中健衛食第1273号","","","","","","139.669167953225","35.68380172601","食品等営業許可_届出一覧"
"","","","","","ファミリーマート中野南台三丁目店","飲食店営業［一般飲食店］","南台三丁目２番１４号","","","3中健衛食第1081号","令和3年9月1日","令和3年9月1日","令和3年9月1日","令和10年8月31日","","139.669125184923","35.6836454267663","食品等営業許可_届出一覧"
"","","","","","ファミリーマート中野南台三丁目店","⑩ コンビニエンスストア","南台三丁目２番１４号","","","3中健衛食第1082号","","","","","","139.669125184923","35.6836454267663","食品等営業許可_届出一覧"
"","","","","","ＳＷＥＥＴ　ＴＷＩＳＴ","【～Ｒ３．５】飲食店営業（一般・その他）","南台三丁目３番５号","","03-6407-0877","2中健衛食第876号","令和2年11月19日","令和2年11月19日","令和2年11月19日","令和8年11月30日","","139.668870461672","35.6842187764051","食品等営業許可_届出一覧"
"","","","","","ＳＷＥＥＴ　ＴＷＩＳＴ","【～Ｒ３．５】菓子製造業（その他・その他）","南台三丁目３番５号","","03-6407-0877","2中健衛食第877号","令和2年11月19日","令和2年11月19日","令和2年11月19日","令和8年11月30日","","139.668870461672","35.6842187764051","食品等営業許可_届出一覧"
"","","","","","ＳＷＥＥＴ　ＴＷＩＳＴ","【～Ｒ３．５】アイスクリーム類製造業","南台三丁目３番５号","","03-6407-0877","2中健衛食第878号","令和2年11月19日","令和2年11月19日","令和2年11月19日","令和8年11月30日","","139.668870461672","35.6842187764051","食品等営業許可_届出一覧"
"","","","","","ココカラファイン中野南台店","⑬ その他の食料・飲料販売業","南台三丁目３番１４号","","03-5341-3961","3中健衛食第1666号","","","","","","139.669067122263","35.6842165449316","食品等営業許可_届出一覧"
"","","","","","四代目　鮨　三國　－Ｍｉｋｕｎｉ－","① 魚介類販売業（包装済みの魚介類のみの販売）","南台三丁目６番１４号","東急ドエルアルス２１３","","3中健衛食第1737号","","","","","","139.667803941918","35.6854771675857","食品等営業許可_届出一覧"
"","","","","","キャリー保育園　なかのふじみちょう","? 集団給食施設","南台三丁目６番１６号","メゾンドルミエール１階","6382-4852","3中健衛食第928号","","","","","","139.668153694608","35.6854404048376","食品等営業許可_届出一覧"
"","","","","","ちとせぎく","【～Ｒ３．５】菓子製造業（生菓子・和生）","南台三丁目６番１７号","","3382-2018","29中環生食第721号","昭和63年10月12日","平成29年10月17日","平成29年11月1日","令和6年10月31日","","139.668251946729","35.6857476944402","食品等営業許可_届出一覧"
"","","","","","ぷりむら","【～Ｒ３．５】飲食店営業（一般・その他）","南台三丁目６番１７号","クリスタルコート８８　２階","5342-5108","31中健衛食第109号","平成17年5月23日","令和1年5月21日","令和1年6月1日","令和8年5月31日","","139.668251946729","35.6857476944402","食品等営業許可_届出一覧"
"","","","","","なかみなみコスモ保育園","? 集団給食施設","南台三丁目６番１７号","クリスタルコート８８　３階","03-5342-2921","3中健衛食第1519号","","","","","","139.668251946729","35.6857476944402","食品等営業許可_届出一覧"
"","","","","","こっぺぱん専門店　ふわこっぺ","飲食店営業［一般飲食店］","南台三丁目６番１７号","クリスタルコート８８－１Ｆー３号室","","3中健衛食第1497号","令和3年12月17日","令和3年12月17日","令和3年12月17日","令和10年12月31日","","139.668251946729","35.6857476944402","食品等営業許可_届出一覧"
"","","","","","すし屋の久","【～Ｒ３．５】飲食店営業（すし屋）","南台三丁目６番２５号","１Ｆ","3381-6862","31中健衛食第421号","令和1年9月11日","令和1年9月11日","令和1年9月11日","令和8年9月30日","","139.66893458444","35.6855498291027","食品等営業許可_届出一覧"
"","","","","","宮田屋精肉店","⑬ その他の食料・飲料販売業","南台三丁目１１番２号","","3383-1460","3中健衛食第543号","","","","","","139.668312199502","35.6835724650041","食品等営業許可_届出一覧"
"","","","","","更科","【～Ｒ３．５】飲食店営業（そば）","南台三丁目１１番３号","","3381-7779","30中環生食第625号","昭和52年11月28日","平成30年11月7日","平成30年12月1日","令和7年11月30日","","139.668336248015","35.6836979126771","食品等営業許可_届出一覧"
"","","","","","鳥一番","【～Ｒ３．５】飲食店営業（食肉そうざい）","南台三丁目１２番８号","","3383-8167","2中健衛食第276号","昭和52年6月10日","令和2年6月30日","令和2年7月1日","令和9年6月30日","","139.668284413787","35.6833838710208","食品等営業許可_届出一覧"
"","","","","","鳥一番","【～Ｒ３．５】食肉販売業（一般・畜肉）","南台三丁目１２番８号","","3383-8167","2中健衛食第277号","昭和52年6月10日","令和2年6月30日","令和2年7月1日","令和9年6月30日","","139.668284413787","35.6833838710208","食品等営業許可_届出一覧"
"","","","","","ありん堂","【～Ｒ３．５】飲食店営業（おにぎり）","南台三丁目１２番１０号","扶桑ハイツ中野南台３号","3384-9322","2中健衛食第286号","平成11年7月1日","令和2年6月10日","令和2年7月1日","令和9年6月30日","","139.66847968349","35.6829810313877","食品等営業許可_届出一覧"
"","","","","","ありん堂","【～Ｒ３．５】菓子製造業（生菓子・和生）","南台三丁目１２番１０号","扶桑ハイツ中野南台３号","3384-9322","2中健衛食第287号","平成11年7月1日","令和2年6月10日","令和2年7月1日","令和9年6月30日","","139.66847968349","35.6829810313877","食品等営業許可_届出一覧"
"","","","","","吾田久","【～Ｒ３．５】飲食店営業（一般・その他）","南台三丁目１２番１０号","","3384-0245","31中健衛食第614号","昭和61年10月6日","令和1年11月11日","令和1年12月1日","令和8年11月30日","","139.66847968349","35.6829810313877","食品等営業許可_届出一覧"
"","","","","","ＴＯＫＹＯ　ＤＩＮＥＲ","【～Ｒ３．５】飲食店営業（一般・その他）","南台三丁目１２番１０号","扶桑ハイツ中野南台","","2中健衛食第222号","令和2年5月27日","令和2年5月27日","令和2年5月27日","令和9年5月31日","","139.66847968349","35.6829810313877","食品等営業許可_届出一覧"
"","","","","","かじゅある　かっぽう　凡","【～Ｒ３．５】飲食店営業（一般・大衆酒場）","南台三丁目１３番９号","","3229-1613","29中環生食第770号","平成8年10月4日","平成29年10月13日","平成29年11月1日","令和6年10月31日","","139.6678060696","35.6833674317759","食品等営業許可_届出一覧"
"","","","","","ケノヒノパン","飲食店営業［一般飲食店］","南台三丁目１３番１２号","１Ｆ","","3中健衛食第2042号","令和4年4月12日","令和4年4月12日","令和4年4月12日","令和11年4月30日","","139.668192719181","35.6833820491595","食品等営業許可_届出一覧"
"","","","","","ケノヒノパン","⑪ 菓子製造業","南台三丁目１３番１２号","１Ｆ","","3中健衛食第2043号","令和4年4月12日","令和4年4月12日","令和4年4月12日","令和11年4月30日","","139.668192719181","35.6833820491595","食品等営業許可_届出一覧"
"","","","","","カフェてい～えむ","飲食店営業［一般飲食店］","南台三丁目１４番８号","","3381-6898","3中健衛食第1260号","令和3年10月14日","令和3年10月14日","令和3年10月14日","令和9年10月31日","","139.667470261719","35.6833427019121","食品等営業許可_届出一覧"
"","","","","","ファミリーマート中野南台","【～Ｒ３．５】菓子製造業（その他・その他）","南台三丁目１５番１号","","03-3380-9301","29中環生食第136号","平成29年5月15日","平成29年5月15日","平成29年5月15日","令和6年5月31日","","139.667341801321","35.6834900329589","食品等営業許可_届出一覧"
"","","","","","ファミリーマート　中野南台","【～Ｒ３．５】飲食店営業（一般・その他）","南台三丁目１５番１号","","03-5328-5135","2中健衛食第1185号","令和3年3月30日","令和3年3月30日","令和3年3月30日","令和10年3月31日","","139.667341801321","35.6834900329589","食品等営業許可_届出一覧"
"","","","","","ファミリーマート　中野南台","【～Ｒ３．５】菓子製造業（その他・その他）","南台三丁目１５番１号","","03-5328-5135","2中健衛食第1189号","令和3年3月30日","令和3年3月30日","令和3年3月30日","令和10年3月31日","","139.667341801321","35.6834900329589","食品等営業許可_届出一覧"
"","","","","","ファミリーマート　中野南台","⑩ コンビニエンスストア","南台三丁目１５番１号","","03-5328-5135","3中健衛食第402号","","","","","","139.667341801321","35.6834900329589","食品等営業許可_届出一覧"
"","","","","","かさねや方南町店","飲食店営業［一般飲食店］","南台三丁目１６番２号","１Ｆ","03-6382-7377","5中健衛食第115号","令和5年5月30日","令和5年5月30日","令和5年5月30日","令和12年5月31日","","139.66756329306","35.6835002676222","食品等営業許可_届出一覧"
"","","","","","スギドラッグ南台三丁目店","⑪ 百貨店、総合スーパー","南台三丁目２３番７号","堀第２南台ビル１階","03-6382-6181","3中健衛食第544号","","","","","","139.66684806958","35.6858388803742","食品等営業許可_届出一覧"
"","","","","","カフェレストランアンドデリ　バトルシップグレイ","飲食店営業［一般飲食店］","南台三丁目２３番１３号","","3384-0384","4中健衛食第266号","令和4年7月29日","令和4年7月29日","令和4年7月29日","令和11年7月31日","","139.667065542694","35.6853905276549","食品等営業許可_届出一覧"
"","","","","","セブン－イレブン南台店","【～Ｒ３．５】食肉販売業（一般・畜肉）","南台三丁目２４番５号","","03-6382-4889","2中健衛食第1336号","平成26年4月24日","令和3年4月7日","令和3年5月1日","令和10年4月30日","","139.666382217494","35.6856519092553","食品等営業許可_届出一覧"
"","","","","","セブン－イレブン南台店","【～Ｒ３．５】魚介類販売業（一般）","南台三丁目２４番５号","","03-6382-4889","2中健衛食第1337号","平成26年4月24日","令和3年4月7日","令和3年5月1日","令和10年4月30日","","139.666382217494","35.6856519092553","食品等営業許可_届出一覧"
"","","","","","セブン－イレブン南台店","⑩ コンビニエンスストア","南台三丁目２４番５号","","03-6382-4889","3中健衛食第231号","","","","","","139.666382217494","35.6856519092553","食品等営業許可_届出一覧"
"","","","","","セブン－イレブン南台店","飲食店営業［一般飲食店］","南台三丁目２４番５号","","03-6382-4889","3中健衛食第304号","令和3年6月9日","令和3年6月9日","令和3年6月9日","令和10年6月30日","","139.666382217494","35.6856519092553","食品等営業許可_届出一覧"
"","","","","","有限会社　三味庵","【～Ｒ３．５】飲食店営業（そば）","南台三丁目２４番８号","","3381-2657","29中環生食第633号","昭和63年9月13日","平成29年9月15日","平成29年10月1日","令和6年9月30日","","139.666580754897","35.685812319341","食品等営業許可_届出一覧"
"","","","","","カフェタイム","【～Ｒ３．５】飲食店営業（一般・軽食喫茶）","南台三丁目２４番１０号","南台ビル　１階","353853338","31中健衛食第115号","平成24年5月9日","令和1年5月21日","令和1年6月1日","令和8年5月31日","","139.666488591541","35.6857687519858","食品等営業許可_届出一覧"
"","","","","","（有）深井製菓","【～Ｒ３．５】菓子製造業（その他・その他）","南台三丁目２６番６号","","3381-8946","29中環生食第497号","昭和57年8月13日","平成29年8月22日","平成29年9月1日","令和5年8月31日","","139.665351146671","35.684719658874","食品等営業許可_届出一覧"
"","","","","","株式会社ニチイケアパレス桜湯園中野南台","【～Ｒ３．５】飲食店営業（集団給食・病院）","南台三丁目２６番２４号","","5328-3271","28中環生食第491号","平成21年10月27日","平成28年10月31日","平成28年11月1日","令和5年10月31日","","139.666099440005","35.6848258185046","食品等営業許可_届出一覧"
"","","","","","こゝからはじまる、珈琲。","⑯ コーヒー製造・加工業（飲料の製造を除く。）","南台三丁目３３番１５号","","","4中健衛食第32号","","","","","","139.666468150899","35.6833709318794","食品等営業許可_届出一覧"
"","","","","","南台保育園","? 集団給食施設","南台三丁目３５番３号","","03-3384-0906","3中健衛食第1527号","","","","","","139.665308269348","35.6843539203253","食品等営業許可_届出一覧"
"","","","","","栄楽","【～Ｒ３．５】飲食店営業（一般・中華料理）","南台三丁目４２番５号","","3381-2331","30中環生食第186号","平成12年5月29日","平成30年5月21日","平成30年6月1日","令和6年5月31日","","139.663578536741","35.6825914148287","食品等営業許可_届出一覧"
"","","","","","東京都立中野特別支援学校","【～Ｒ３．５】飲食店営業（集団給食・病院）","南台三丁目４６番２０号","","03-3384-7741","3中健衛食第60号","令和3年4月28日","令和3年4月28日","令和3年4月28日","令和10年4月30日","","139.662830083939","35.6843968163","食品等営業許可_届出一覧"
"","","","","","オフィスグリコ冷凍冷蔵庫１４５２９８","⑬ その他の食料・飲料販売業","南台三丁目４６番２０号","","","3中健衛食第1344号","","","","","","139.662830083939","35.6843968163","食品等営業許可_届出一覧"
"","","","","","東京都立中野特別支援学校","飲食店営業［一般飲食店］","南台三丁目４６番２０号","","03-3384-7741","4中健衛食第852号","令和5年4月5日","令和5年4月5日","令和5年4月5日","令和12年4月30日","","139.662830083939","35.6843968163","食品等営業許可_届出一覧"
"","","","","","ガルバ","飲食店営業［一般飲食店］","南台四丁目１番５号","","","3中健衛食第368号","令和3年6月18日","令和3年6月18日","令和3年6月18日","令和9年6月30日","","139.669473683617","35.6809644860833","食品等営業許可_届出一覧"
"","","","","","中野区立　南台小学校","【～Ｒ３．５】飲食店営業（集団給食・病院）","南台四丁目４番１号","","03-3381-7257","3中健衛食第92号","令和3年5月26日","令和3年5月26日","令和3年5月26日","令和10年5月31日","","139.668317372487","35.6818569393973","食品等営業許可_届出一覧"
"","","","","","明治城西販売センター","③ 乳類販売業","南台四丁目６番４号","","03-3229-5022","3中健衛食第303号","","","","","","139.669337701553","35.6820959298873","食品等営業許可_届出一覧"
