応援を行った消防本部／応援救急隊,出場件数／合計,出場件数／搬送,出場件数／不搬送／計,出場件数／不搬送／現場処置,出場件数／不搬送／不救護,救護人員／計,救護人員／搬送,救護人員／現場処置,程度別搬送人員／死亡,程度別搬送人員／重篤,程度別搬送人員／重症,程度別搬送人員／中等症,程度別搬送人員／軽症,備考
計,141,105,36,－,36,165,165,－,2,1,7,45,110,
稲城市／稲城,1,1,－,－,－,1,1,－,－,－,－,－,1,多摩市(1件)
東久留米市／東久留米,6,3,3,－,3,5,5,－,－,1,－,1,3,"小平市(2件)､東村山市(2件)
清瀬市(2件)"
浦安市／今川,11,7,4,－,4,11,11,－,－,－,－,3,8,江戸川区(11件)
市川市／市川第1,2,1,1,－,1,1,1,－,－,－,1,－,－,江戸川区(2件)
市川市／市川第2,4,3,1,－,1,7,7,－,－,－,1,－,6,江戸川区(4件)
市川市／市川第3,1,－,1,－,1,－,－,－,－,－,－,－,－,江戸川区(1件)
市川市／市川第9,2,2,－,－,－,6,6,－,－,－,－,1,5,江戸川区(2件)
松戸市／西口,2,1,1,－,1,1,1,－,－,－,－,1,－,葛飾区(2件)
松戸市／20世紀丘,1,－,1,－,1,－,－,－,－,－,－,－,－,葛飾区(1件)
八潮市／八潮,5,5,－,－,－,6,6,－,－,－,－,2,4,足立区(5件)
草加市／草加,1,1,－,－,－,1,1,－,－,－,－,－,1,足立区(1件)
川口市／川口,7,4,3,－,3,6,6,－,－,－,－,3,3,足立区(7件)
和光市／和光,1,1,－,－,－,1,1,－,－,－,－,－,1,練馬区(1件)
新座市／新座,5,4,1,－,1,4,4,－,－,－,－,－,4,清瀬市(5件)
新座市／片山,2,2,－,－,－,2,2,－,－,－,－,－,2,練馬区(2件)
所沢市／東分署,1,1,－,－,－,1,1,－,－,－,－,－,1,清瀬市(1件)
所沢市／西分署,4,4,－,－,－,5,5,－,－,－,1,3,1,"東村山市(1件)､東大和市(2件)
武蔵村山市(1件)"
所沢市／南分署,23,19,4,－,4,37,37,－,－,－,2,13,22,"東村山市(1件)､東大和市(20件)
武蔵村山市(2件)"
入間市／第1救急,1,－,1,－,1,－,－,－,－,－,－,－,－,青梅市(1件)
戸田市／戸田,2,1,1,－,1,1,1,－,－,－,－,－,1,板橋区(2件)
三郷市／南分署,1,1,－,－,－,1,1,－,－,－,－,1,－,葛飾区(1件)
川崎市／大師,1,1,－,－,－,1,1,－,－,－,1,－,－,大田区(1件)
川崎市／高津,3,3,－,－,－,4,4,－,－,－,－,1,3,世田谷区(3件)
川崎市／久地,4,3,1,－,1,6,6,－,－,－,－,3,3,世田谷区(4件)
川崎市／宮前,12,10,2,－,2,13,13,－,－,－,1,4,8,世田谷区(12件)
相模原市／相模原,1,1,－,－,－,1,1,－,－,－,－,1,－,町田市(1件)
相模原市／橋本,2,－,2,－,2,－,－,－,－,－,－,－,－,町田市(2件)
相模原市／大沼,1,1,－,－,－,1,1,－,－,－,－,－,1,町田市(1件)
横浜市／長津田,1,－,1,－,1,－,－,－,－,－,－,－,－,町田市(1件)
横浜市／若葉台,2,1,1,－,1,2,2,－,－,－,－,－,2,町田市(2件)
津久井郡広域行政組合／本署,2,－,2,－,2,－,－,－,－,－,－,－,－,八王子市(2件)
営利法人,ふたばクラブ港南保育園,108-0075,港区港南二丁目１６番６号　ＣａｎｏｎＳタワー,139.74068,35.62649,JGD2011,03-6712-9428,29
区市町村,台場保育園,135-0091,港区台場一丁目３番６号お台場レインボー公園内仮設園舎,139.7782,35.63247,JGD2011,03-5500-2360,131
営利法人,にじいろ保育園四ツ谷,160-0004,新宿区四谷１－６－１　コモレ四谷２F,139.72881,35.68591,JGD2011,03-6709-9123,30
営利法人,グローバルキッズ愛住町園,160-0005,新宿区愛住町６,139.71976,35.6895,JGD2011,03-6380-6798,80
営利法人,グローバルキッズ若葉園,160-0011,新宿区若葉１－９,139.72581,35.6857,JGD2011,03-3353-2002,42
社福法人,二葉南元保育園,160-0012,新宿区南元町４,139.72333,35.6819,JGD2011,03-3351-3819,110
社福法人,新宿三つの木保育園もりさんかくしかく,160-0015,新宿区大京町２９,139.71617,35.68194,JGD2011,03-6457-4455,80
営利法人,フロンティアキッズ新宿,160-0022,新宿区新宿６－２７－５６　新宿スクエアビル２F,139.70866,35.69651,JGD2011,03-3208-2744,48
営利法人,きゃんばす東新宿保育園,160-0022,新宿区新宿７－１６－８,139.71118,35.69987,JGD2011,03-6380-3460,50
営利法人,ポピンズナーサリースクール西新宿,160-0023,新宿区西新宿５－２－１　シティタワー新宿アネックス２F　,139.68764,35.69535,JGD2011,03-6381-6182,60
営利法人,グローバルキッズ西新宿園,160-0023,新宿区西新宿５－５－１　２F,139.68648,35.69387,JGD2011,03-6383-3793,51
営利法人,アイグラン保育園西新宿,160-0023,新宿区西新宿６－１１－３Ｄタワー西新宿２F,139.68979,35.69478,JGD2011,03-6258-1098,46
社福法人,新宿成子坂愛育園,160-0023,新宿区西新宿６－７－３９,139.69193,35.69378,JGD2011,03-3342-6907,130
営利法人,ルーチェ保育園　西新宿,160-0023,新宿区西新宿７－１８－１　ＴＯＭＯＥビル２F,139.69653,35.69614,JGD2011,03-5937-5581,65
営利法人,キッズガーデン新宿西落合,161-0031,新宿区西落合２－７－１６　伊勢光ビル２・３F,139.67845,35.71988,JGD2011,03-6908-1723,80
営利法人,グローバルキッズ西落合保育園,161-0031,新宿区西落合３－１９－９,139.67963,35.72533,JGD2011,03-3952-5600,96
区市町村,中落合第ニ保育園,161-0032,新宿区中落合２－７－２４,139.69426,35.71777,JGD2011,03-3952-7165,136
社福法人,下落合そらいろ保育園,161-0032,新宿区中落合２－７－５　１F,139.69426,35.71777,JGD2011,03-3565-5050,80
営利法人,ウィズブック保育園中落合,161-0032,新宿区中落合３－２１－１０,139.68689,35.72094,JGD2011,03-6914-4960,66
社福法人,新宿こだま保育園,161-0032,新宿区中落合４ー２５ー１９,139.68202,35.71888,JGD2011,03-5988-7807,105
社福法人,キッズタウン下落合保育園,161-0033,新宿区下落合１－９－１０,139.69901,35.71611,JGD2011,03-3365-1332,131
営利法人,ほっぺるランド上落合,161-0034,新宿区上落合１－１５－１３,139.69319,35.71539,JGD2011,03-6908-8415,116
他の法人,八幡神社愛育園,161-0034,新宿区上落合１－２６－１９,139.6909,35.71284,JGD2011,03-3368-3939,76
営利法人,アイグラン保育園落合,161-0034,新宿区上落合１－５－２　羽場ビル,139.69115,35.71143,JGD2011,03-6908-7381,117
他の法人,獅子吼保育園,161-0035,新宿区中井２－８－６,139.68637,35.71775,JGD2011,03-3951-0759,80
営利法人,ほっぺるランド早稲田鶴巻町,162-0041,新宿区早稲田鶴巻町５７５－１　早稲田鶴巻町パーク・ホームズ１F,139.72777,35.70897,JGD2011,03-3235-5008,60
区市町村,早稲田南町保育園,162-0043,新宿区早稲田南町５０,139.72243,35.70497,JGD2011,03-3203-7848,221
区市町村,戸山第ニ保育園,162-0052,新宿区戸山２－１８－１０１,139.7124,35.70209,JGD2011,03-3203-2385,111
社福法人,原町みゆき保育園,162-0053,新宿区原町２－４３,139.72382,35.69889,JGD2011,03-3356-2663,160
社福法人,至誠会保育園,162-0054,新宿区河田町１０－１３,139.71794,35.69818,JGD2011,03-3341-4677,180
営利法人,フロンティアキッズ曙橋,162-0054,新宿区河田町３－29　プラウドフラット新宿河田町１F,139.72084,35.69587,JGD2011,03-5379-1680,70
営利法人,にじいろ保育園市谷加賀町,162-0062,新宿区市谷加賀町２－４－１８,139.727452,35.69684913,JGD2011,03-6280-7391,66
営利法人,アスク薬王寺保育園,162-0063,新宿区市谷薬王寺町５１,139.72418,35.69611,JGD2011,03-5362-7177,74
営利法人,ニチイキッズ曙橋保育園,162-0066,新宿区市谷台町１－３　モデラート１F,139.72058,35.69317,JGD2011,03-5366-5127,65
区市町村,富久町保育園,162-0067,新宿区富久町２２－２１,139.71545,35.69352,JGD2011,03-3357-7720,164
営利法人,アスク神楽坂保育園,162-0805,新宿区矢来町９８－１　スキップビル１F,139.73451,35.7027,JGD2011,03-5225-6933,79
営利法人,ほっぺるランド神楽坂,162-0806,新宿区榎町４３－１　ユニゾ神楽坂ビル２・３Ｆ,139.72855,35.70453,JGD2011,03-5227-6798,122
区市町村,東五軒町保育園,162-0813,新宿区東五軒町５－２４,139.73976,35.7067,JGD2011,03-3269-6820,174
営利法人,太陽の子　新小川町保育園,162-0814,新宿区新小川町１－８　こだまビル２F,139.74358,35.70446,JGD2011,03-5579-2348,64
営利法人,小学館アカデミー飯田橋ガーデン保育園,162-0814,新宿区新小川町４－１１,139.74316,35.70544,JGD2011,03-5206-3722,60
営利法人,グローバルキッズ神楽坂園,162-0825,新宿区神楽坂４－８　神楽坂プラザビル１F,139.73973,35.70245,JGD2011,03-3269-8011,60
他の法人,ぽけっとランド市ヶ谷保育園,162-0826,新宿区市谷船河原町１　市ヶ谷エスワンビル２・３F,139.73973,35.69725,JGD2011,03-5227-7520,122
営利法人,アスク新宿南町保育園,162-0836,新宿区南町２０－３,139.73616,35.69871,JGD2011,03-5225-2166,89
営利法人,ポピンズナーサリースクール市ヶ谷,162-0841,新宿区払方町１９－１　エムジー市ヶ谷ビル２・３F,139.73482,35.69666,JGD2011,03-5946-8670,80
営利法人,ポピンズナーサリースクール四ッ谷,162-0845,新宿区市谷本村町２－１０　ストリーム市ヶ谷３F,139.73164,35.69041,JGD2011,03-5225-2015,61
区市町村,長延保育園,162-0847,新宿区市谷長延寺町８,139.73456,35.6941,JGD2011,03-3260-1335,74
区市町村,弁天町保育園,162-0851,新宿区弁天町５０,139.72746,35.70326,JGD2011,03-3268-1337,148
営利法人,ほっぺるランド牛込,162-0853,新宿区北山伏町１－２,139.73114,35.69965,JGD2011,03-6265-0841,115
営利法人,にじいろ保育園西早稲田,169-0051,新宿区西早稲田１－２－２,139.71774,35.70814,JGD2011,03-6273-9227,67
区市町村,西早稲田保育園,169-0051,新宿区西早稲田１－９－３０,139.72012,35.71101,JGD2011,03-3209-5294,79
営利法人,ぴっころきっず西早稲田,169-0051,新宿区西早稲田３－９－１４,139.71417,35.71141,JGD2011,03-3209-2267,63
営利法人,ほっぺるランド新大久保,169-0072,新宿区大久保１－１６－２０,139.70265,35.70026,JGD2011,03-6380-3920,57
社福法人,エイビイシイ保育園,169-0072,新宿区大久保２－１１－５,139.707,35.70285,JGD2011,03-3232-9633,90
区市町村,大久保第一保育園,169-0072,新宿区大久保３－１１－１,139.70653,35.70842,JGD2011,03-3203-0346,116
営利法人,にじいろ保育園高田馬場南,169-0072,新宿区大久保３－８－４　住友不動産新宿ガーデンタワーアネックス２F,139.7027912,35.7094086,JGD2011,03-6457-6991,20
区市町村,百人町保育園,169-0073,新宿区百人町２－１８－２１,139.69818,35.70377,JGD2011,03-3367-4991,85
営利法人,クオリスキッズおおくぼ保育園,169-0073,新宿区百人町２－２２－６,139.69742,35.70382,JGD2011,03-5937-0418,60
社福法人,新栄保育園,169-0073,新宿区百人町３－２１－１４,139.69965,35.70487,JGD2011,03-6304-0241,148
営利法人,アスク北新宿保育園,169-0074,新宿区北新宿２－４－１１,139.69061,35.6996,JGD2011,03-5338-2511,81
営利法人,ほっぺるランド北新宿,169-0074,新宿区北新宿３－９－２０,139.69168,35.70213,JGD2011,03-5937-2960,72
社福法人,東京母子愛育会保育園,169-0074,新宿区北新宿４－２１－１４,139.69139,35.70739,JGD2011,03-3369-6005,100
営利法人,にじいろ保育園高田馬場東,169-0075,新宿区高田馬場１－１６－２６,139.70639,35.71062,JGD2011,03-6205-6338,72
営利法人,にじいろ保育園高田馬場西,169-0075,新宿区高田馬場１－２４－１６　内田ビル１Ｆ,139.70532,35.71127,JGD2011,03-6302-1073,24
区市町村,高田馬場第ニ保育園,169-0075,新宿区高田馬場１－４－１７,139.70874,35.71053,JGD2011,03-3209-1433,105
営利法人,保育所まぁむ高田馬場駅前園,169-0075,新宿区高田馬場３ー１ー５　花川第２ビル1・２Ｆ,139.70346,35.7146,JGD2011,03-6279-1105,75
社福法人,オルト保育園,169-0075,新宿区高田馬場３－４０－３,139.69615,35.71292,JGD2011,03-5332-7081,122
社福法人,白山ひかり保育園,112-0001,文京区白山２－２９－９,139.75111,35.71784,JGD2011,03-3818-1188,60
区市町村,文京区立さしがや保育園,112-0001,文京区白山２－３２－６,139.74957,35.71822,JGD2011,03-3811-3474,128
営利法人,木下の保育園白山,112-0001,文京区白山２丁目１５番１２号,139.74722,35.71749,JGD2011,03-5615-9985,96
営利法人,文京白山雲母保育園,112-0001,文京区白山２丁目１５番５号,139.74722,35.71749,JGD2011,03-3830-1033,60
営利法人,こころぶんきょうみょうがだに保育園,112-0001,文京区白山３丁目３番３号,139.74243,35.71942,JGD2011,03-5615-8300,60
営利法人,キッズハーモニー・白山,112-0001,文京区白山４－３６－１３,139.74788,35.72227,JGD2011,03-3942-6460,47
営利法人,ベネッセかごまち保育園,112-0001,文京区白山５－１７－１７,139.74606,35.727,JGD2011,03-5940-2023,42
区市町村,文京区立柳町保育園,112-0002,文京区小石川１－２３－６,139.75053,35.71401,JGD2011,03-3811-0978,36
他の法人,にじのいるか保育園小石川,112-0002,文京区小石川１－２４－３,139.74907,35.71445,JGD2011,03-6801-8228,63
社福法人,文京ガーデンひかり保育園,112-0002,文京区小石川１丁目１番７号　文京ガーデンセンターテラス３０１,139.75291,35.70877,JGD2011,03-3813-1188,60
営利法人,小学館アカデミー小石川保育園,112-0002,文京区小石川２－１－１２,139.75153,35.70876,JGD2011,03-5805-1015,69
公益法人,富坂まきば保育園,112-0002,文京区小石川２丁目１７番４０号,139.74901,35.7115,JGD2011,03-3868-3374,86
営利法人,クオリスキッズ小石川保育園,112-0002,文京区小石川２丁目２番６号,139.7515,35.70966,JGD2011,03-5615-9515,48
社福法人,小石川ちとせ保育園,112-0002,文京区小石川２丁目４番１２号,139.75041,35.7093,JGD2011,03-5802-8817,90
営利法人,ちゃいれっく小石川保育園,112-0002,文京区小石川２丁目６番９号,139.74939,35.70924,JGD2011,03-5615-9410,69
区市町村,文京区立久堅保育園,112-0002,文京区小石川５－２７－７,139.74146,35.71844,JGD2011,03-3811-0712,123
営利法人,ハッピーマム茗荷谷,112-0002,文京区小石川５－４－１,139.73819,35.71722,JGD2011,03-5615-8877,55
営利法人,グローバルキッズ茗荷谷園,112-0002,文京区小石川５丁目３８番１１号,139.74292,35.7183,JGD2011,03-3868-2625,63
営利法人,モニカ茗荷谷駅前園,112-0002,文京区小石川５丁目３番２号　エイト印刷ビル２階,139.73897,35.71666,JGD2011,03-5615-8798,60
営利法人,茗荷谷ここわ保育園,112-0002,文京区小石川５丁目８番１号,139.73883,35.71777,JGD2011,03-3868-0639,60
営利法人,小石川ここわ保育園,112-0002,文京区小石川三丁目１９番７号,139.74944,35.71268,JGD2011,03-3830-0402,100
営利法人,テンダーラビング保育園小石川,112-0004,文京区後楽１－８－１３　小石川運動場内,139.74686,35.70442,JGD2011,03-3868-3997,100
営利法人,グローバルキッズ後楽二丁目園,112-0004,文京区後楽２－２０－１５,139.74548,35.70717,JGD2011,03-5684-3060,105
区市町村,文京区立水道保育園,112-0005,文京区水道１－３－２６,139.74171,35.70906,JGD2011,03-3812-2237,122
営利法人,クオリスキッズ江戸川橋保育園,112-0005,文京区水道２丁目１０番３号,139.73283,35.71078,JGD2011,03-5981-9612,50
営利法人,さくらさくみらい　水道,112-0005,文京区水道２丁目１４番１０号,139.73615,35.70998,JGD2011,03-6902-2139,70
社福法人,神田川ほとりに花咲く保育園,112-0005,文京区水道２丁目９番６号,139.73239,35.71049,JGD2011,03-5810-1651,73
区市町村,文京区立こひなた保育園,112-0006,文京区小日向１－２１－１,139.7365,35.71418,JGD2011,03-3943-4457,97
営利法人,さくらさくみらい小日向,112-0006,文京区小日向２－１８－３,139.73351,35.71119,JGD2011,03-6902-2902,76
営利法人,えがおの森保育園・せんごく,112-0011,文京区千石１－２９－４,139.74518,35.72714,JGD2011,03-3947-3702,60
区市町村,文京区立千石保育園,112-0011,文京区千石１－４－３,139.74319,35.72475,JGD2011,03-3947-9220,146
営利法人,キッズパートナー文京千石,112-0011,文京区千石１丁目１８番１９号,139.74295,35.7268,JGD2011,03-5810-1750,74
営利法人,千石すきっぷ保育園,112-0011,文京区千石１丁目５番１５号,139.74275,35.72535,JGD2011,03-5810-1640,59
他の法人,にじのいるか保育園千石,112-0011,文京区千石２－８－９,139.73877,35.72301,JGD2011,03-6902-1551,69
区�
