政令用途等,火災件数・計,火災件数・全焼,火災件数・半焼,火災件数・部分焼,火災件数・ぼや,焼損棟数・計,焼損棟数・全焼,焼損棟数・半焼,焼損棟数・部分焼,焼損棟数・ぼや,り災世帯数・計,り災世帯数・全損,り災世帯数・半損,り災世帯数・小損,り災人員,焼損床面積（㎡）,損害額（円）,死者,負傷者
六項・ハ・(2)・更生施設,3,-,-,-,3,3,-,-,-,3,1,-,-,1,1,-,19200,-,-
六項・ハ・(3)・保育所,3,-,-,-,3,3,-,-,-,3,-,-,-,-,-,-,40770,-,-
六項・ハ・(5)・障害者支援施設（避難困難者入所以外）,2,-,-,-,2,2,-,-,-,2,-,-,-,-,-,-,"2,600",-,-
六項・ハ・(5)・共同生活援助施設（避難困難者入所以外）,1,-,-,1,-,3,-,-,3,-,6,1,-,5,10,10,"2,747,100",-,-
六項・ハ・(4)・放課後等デイサービスを行う施設,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"35,000",-,-
六項・ハ・(3)・一時預かり事業を行う施設,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"29,050",-,-
六項・ニ・幼稚園,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,700,-,-
六項・ニ・特別支援学校,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"241,000",-,-
七項・小学校,6,-,-,-,6,6,-,-,-,6,-,-,-,-,-,-,"4,030",-,2
七項・中学校,8,-,-,1,7,8,-,-,1,7,-,-,-,-,-,10,3022358,-,2
七項・高等学校,13,-,-,2,11,13,-,-,2,11,-,-,-,-,-,20,1969352,-,-
七項・大学,21,-,-,1,20,21,-,-,1,20,-,-,-,-,-,2,"6,799,062",-,6
七項・専修学校,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,100,-,-
八項・その他（８項）,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"355,000",-,-
十項・停車場,13,-,-,-,13,13,-,-,-,13,-,-,-,-,-,-,"1,003,120",-,1
十一項・神社,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"3,600",-,-
十一項・寺院,5,-,1,1,3,5,-,1,1,3,-,-,-,-,-,15,"11,998,300",-,-
十一項・協会,2,-,1,-,1,5,-,1,1,3,2,1,-,1,3,133,"4,146,100",-,2
十二項・イ・工場,30,1,1,6,22,37,1,2,9,25,6,-,1,5,16,759,"406,470,878",-,10
十二項・イ・作業場,26,4,-,4,18,34,4,-,8,22,6,-,-,6,16,1006,"177,438,520",-,3
十三項・イ・車庫,1,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,"10,000",-,-
十三項・イ・駐車場,6,-,-,-,6,6,-,-,-,6,-,-,-,-,-,-,"202,510",-,-
十四項・倉庫,11,2,-,3,6,13,2,-,5,6,-,-,-,-,-,870,"1,922,224,600",3,1
十五項・変電所,1,1,-,-,-,1,1,-,-,-,-,-,-,-,-,184,"725,104,800",-,-
十五項・官公署,9,-,-,-,9,9,-,-,-,9,-,-,-,-,-,-,"843,910",-,1
十五項・銀行,2,-,-,-,2,2,-,-,-,2,-,-,-,-,-,-,600,-,-
十五項・事務所,52,1,1,6,44,54,2,1,6,45,1,-,-,1,1,268,"369,995,750",-,3
十五項・研究所,4,-,-,-,4,4,-,-,-,4,-,-,-,-,-,-,"218,200",-,-
十五項・その他の事業所,53,1,-,3,49,53,1,-,3,49,-,-,-,-,-,20,"18,139,240",-,-
十六項・イ・特定複合用途,830,-,8,106,716,848,-,7,113,728,225,21,11,193,365,1373,"674,267,523",9,120
十六項・ロ・非特定複合用途,321,2,18,67,234,356,3,19,79,255,391,49,50,292,581,2309,"429,961,177",24,91
政令用途以外から出火,524,57,43,86,338,749,74,55,163,457,762,75,62,625,1788,8537,1731713430,40,176
住宅,473,45,40,75,313,668,53,52,137,426,745,72,62,611,1748,7575,1495740610,39,164
附属建物等,29,11,-,5,13,56,20,-,18,18,13,3,-,10,33,582,52313198,1,3
空家,3,1,1,-,1,5,1,1,2,1,2,-,-,2,4,104,14690200,-,1
工事中の建物,18,-,2,5,11,19,-,2,5,12,2,-,-,2,3,276,167147422,-,8
使用中建物の工事部分,1,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,1822000,-,-
