"救急隊出場先
区市町村","全事故
種別",ころぶ,落ちる,ぶつかる,"ものが
つまる等","切る・
刺さる","はさむ・
はさまれる",やけど,"かまれる・
刺される",おぼれる,その他,不明
足立区,6688 ,3875 ,739 ,267 ,215 ,148 ,98 ,56 ,35 ,28 ,964 ,263 
墨田区,2665 ,1590 ,308 ,121 ,71 ,41 ,28 ,13 ,3 ,20 ,388 ,82 
江東区,4762 ,2617 ,524 ,271 ,113 ,123 ,103 ,51 ,9 ,27 ,744 ,180 
葛飾区,4448 ,2602 ,486 ,195 ,139 ,96 ,49 ,48 ,21 ,29 ,594 ,189 
江戸川区,6006 ,3455 ,635 ,288 ,177 ,131 ,102 ,62 ,31 ,28 ,848 ,249 
立川市,1956 ,1150 ,216 ,87 ,56 ,34 ,14 ,13 ,9 ,6 ,285 ,86 
国立市,664 ,398 ,64 ,35 ,15 ,15 ,7 ,6 ,1 ,1 ,94 ,28 
武蔵野市,1392 ,859 ,128 ,62 ,35 ,31 ,17 ,14 ,5 ,1 ,190 ,50 
三鷹市,1505 ,905 ,150 ,71 ,44 ,36 ,11 ,17 ,6 ,4 ,187 ,74 
府中市,1973 ,1097 ,198 ,111 ,62 ,49 ,19 ,12 ,17 ,10 ,327 ,71 
昭島市,1036 ,600 ,94 ,59 ,29 ,29 ,18 ,8 ,7 ,2 ,140 ,50 
調布市,1923 ,1171 ,190 ,109 ,56 ,39 ,19 ,15 ,6 ,8 ,250 ,60 
小金井市,857 ,500 ,86 ,40 ,18 ,29 ,9 ,7 ,7 ,4 ,120 ,37 
小平市,1596 ,961 ,160 ,68 ,34 ,39 ,14 ,19 ,9 ,4 ,221 ,67 
東村山市,1410 ,845 ,155 ,43 ,39 ,27 ,11 ,15 ,10 ,5 ,206 ,54 
国分寺市,936 ,575 ,92 ,44 ,33 ,21 ,9 ,7 ,5 ,5 ,108 ,37 
狛江市,586 ,343 ,65 ,16 ,24 ,8 ,6 ,6 ,4 ,4 ,89 ,21 
東大和市,772 ,454 ,87 ,31 ,23 ,15 ,7 ,6 ,5 ,4 ,113 ,27 
武蔵村山市,589 ,330 ,57 ,44 ,10 ,23 ,14 ,6 ,3 ,1 ,85 ,16 
清瀬市,769 ,476 ,75 ,20 ,18 ,18 ,7 ,5 ,1 ,3 ,113 ,33 
東久留米市,1055 ,622 ,112 ,52 ,21 ,22 ,8 ,8 ,1 ,9 ,153 ,47 
西東京市,1682 ,1039 ,156 ,73 ,35 ,26 ,13 ,10 ,4 ,13 ,230 ,83 
八王子市,4930 ,2800 ,574 ,227 ,136 ,118 ,65 ,43 ,50 ,22 ,739 ,156 
青梅市,990 ,567 ,118 ,35 ,32 ,25 ,12 ,6 ,20 ,8 ,131 ,36 
町田市,3969 ,2390 ,386 ,173 ,110 ,81 ,35 ,24 ,39 ,17 ,570 ,144 
日野市,1495 ,824 ,193 ,55 ,41 ,37 ,24 ,13 ,17 ,6 ,196 ,89 
多摩市,1257 ,784 ,95 ,68 ,24 ,23 ,14 ,6 ,13 ,5 ,181 ,44 
福生市,545 ,293 ,71 ,32 ,15 ,12 ,6 ,4 ,2 ,2 ,94 ,14 
羽村市,453 ,277 ,51 ,23 ,17 ,2 ,8 ,-,3 ,1 ,60 ,11 
瑞穂町,281 ,133 ,32 ,24 ,8 ,10 ,17 ,4 ,1 ,1 ,41 ,10 
あきる野市,629 ,336 ,80 ,29 ,18 ,18 ,10 ,4 ,18 ,6 ,100 ,10 
日の出町,158 ,85 ,24 ,9 ,7 ,3 ,3 ,-,-,1 ,19 ,7 
檜原村,40 ,14 ,9 ,1 ,2 ,2 ,3 ,1 ,1 ,-,4 ,3 
奥多摩町,113 ,43 ,28 ,4 ,1 ,7 ,-,1 ,4 ,1 ,15 ,9 
